<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TLD,20180807,7.02,7.16,7.02,7.05,352040,7.02,7.16,7.02,7.05,0,0,0
TLD,20180806,7.30,7.45,7.01,7.01,766250,7.30,7.45,7.01,7.01,0,0,0
TLD,20180803,7.15,7.49,7.15,7.16,732830,7.15,7.49,7.15,7.16,0,0,0
TLD,20180802,7.00,7.40,7.00,7.23,675070,7.00,7.40,7.00,7.23,0,0,0
TLD,20180801,7.51,7.60,7.15,7.15,190530,7.51,7.60,7.15,7.15,0,0,0
TLD,20180731,8.00,8.05,7.42,7.65,1816690,8.00,8.05,7.42,7.65,0,10000,0
TLD,20180730,8.62,8.62,7.97,7.97,965720,8.62,8.62,7.97,7.97,0,10000,0
TLD,20180727,7.95,8.56,7.44,8.56,3062970,7.95,8.56,7.44,8.56,0,8310,15500
TLD,20180726,8.00,8.00,7.52,8.00,801680,8.00,8.00,7.52,8.00,0,420,0
TLD,20180725,8.08,8.64,8.08,8.08,1035140,8.08,8.64,8.08,8.08,0,14100,1000
TLD,20180724,9.32,9.61,8.55,8.68,1325410,9.32,9.61,8.55,8.68,0,22540,100
TLD,20180723,9.19,9.19,7.99,9.19,2236100,9.19,9.19,7.99,9.19,0,9400,220
TLD,20180720,8.59,9.10,8.42,8.59,722270,8.59,9.10,8.42,8.59,0,18820,11000
TLD,20180719,8.65,9.30,8.65,9.05,1932280,8.65,9.30,8.65,9.05,0,9210,5490
TLD,20180718,9.50,9.99,9.30,9.30,977360,9.50,9.99,9.30,9.30,0,19660,10
TLD,20180717,10.50,10.60,9.77,10.00,867900,10.50,10.60,9.77,10.00,0,20840,0
TLD,20180716,10.30,10.75,9.68,10.50,1748110,10.30,10.75,9.68,10.50,0,28960,180
TLD,20180713,10.55,10.55,9.82,10.40,1216390,10.55,10.55,9.82,10.40,0,22410,50
TLD,20180712,10.55,11.00,10.55,10.55,645970,10.55,11.00,10.55,10.55,0,2100,0
TLD,20180711,10.70,10.95,10.60,10.70,474170,10.70,10.95,10.60,10.70,0,2100,0
TLD,20180710,9.77,10.85,9.77,10.65,1622550,9.77,10.85,9.77,10.65,0,53760,14370
TLD,20180709,10.50,11.37,10.50,10.50,1384460,10.90,11.80,10.90,10.90,0,500,0
TLD,20180706,11.27,11.27,11.27,11.27,89100,11.70,11.70,11.70,11.70,0,10,0
TLD,20180705,12.09,12.09,12.09,12.09,410,12.55,12.55,12.55,12.55,0,0,0
TLD,20180704,12.96,12.96,12.96,12.96,421710,13.45,13.45,13.45,13.45,0,50,0
TLD,20180703,13.92,13.92,13.92,13.92,296950,14.45,14.45,14.45,14.45,0,0,0
TLD,20180702,15.17,16.13,14.11,14.93,1896490,15.75,16.75,14.65,15.50,0,22560,10000
TLD,20180629,14.30,15.12,14.11,15.12,1389740,14.85,15.70,14.65,15.70,0,3000,34400
TLD,20180628,13.25,14.17,13.20,14.16,1375960,13.75,14.70,13.70,14.70,0,3000,34400
TLD,20180627,13.30,13.49,13.10,13.25,210910,13.80,14.00,13.60,13.75,0,1000,0
TLD,20180626,13.20,13.30,13.10,13.20,221580,13.70,13.80,13.60,13.70,0,0,0
TLD,20180625,13.10,13.34,13.10,13.20,501790,13.60,13.85,13.60,13.70,0,1000,0
TLD,20180622,13.29,13.58,12.67,13.10,436600,13.80,14.10,13.15,13.60,0,34400,26000
TLD,20180621,13.39,13.68,13.19,13.58,672620,13.90,14.20,13.70,14.10,0,13500,0
TLD,20180620,12.77,13.35,12.72,13.29,816930,13.25,13.85,13.20,13.80,0,0,0
TLD,20180619,12.72,12.72,12.38,12.72,241310,13.20,13.20,12.85,13.20,0,0,0
TLD,20180618,11.76,12.43,11.66,12.43,556690,12.20,12.90,12.10,12.90,0,0,0
TLD,20180615,11.66,11.85,11.66,11.66,236540,12.10,12.30,12.10,12.10,0,0,0
TLD,20180614,11.47,12.04,11.37,11.85,710070,11.90,12.50,11.80,12.30,0,0,0
TLD,20180613,10.84,11.42,10.65,11.37,589970,11.25,11.85,11.05,11.80,0,6750,0
TLD,20180612,10.84,10.88,10.60,10.79,245060,11.25,11.30,11.00,11.20,0,0,0
TLD,20180611,10.55,10.75,10.36,10.74,267580,10.95,11.15,10.75,11.15,0,4950,0
TLD,20180608,10.50,10.55,10.35,10.36,203810,10.90,10.95,10.75,10.75,0,0,0
TLD,20180607,10.35,10.45,10.16,10.45,356720,10.75,10.85,10.55,10.85,0,0,0
TLD,20180606,10.35,10.59,10.16,10.45,445520,10.75,11.00,10.55,10.85,0,0,0
TLD,20180605,11.32,11.32,10.55,10.69,129770,11.75,11.75,10.95,11.10,0,0,0
TLD,20180604,11.42,11.85,10.98,11.32,1081410,11.85,12.30,11.40,11.75,0,20300,0
TLD,20180601,10.79,11.32,10.79,11.32,1289500,11.20,11.75,11.20,11.75,0,2000,0
TLD,20180531,9.97,10.60,9.97,10.60,287930,10.35,11.00,10.35,11.00,0,0,0
TLD,20180530,10.41,10.41,9.93,10.07,420050,10.80,10.80,10.30,10.45,0,0,0
TLD,20180529,9.87,10.35,9.73,10.36,158900,10.25,10.75,10.10,10.75,0,0,0
TLD,20180528,9.78,9.92,9.63,9.87,276810,10.15,10.30,10.00,10.25,0,0,0
TLD,20180525,9.83,9.97,9.60,9.68,133900,10.20,10.35,9.96,10.05,0,0,0
TLD,20180524,9.63,9.78,9.56,9.73,98640,10.00,10.15,9.93,10.10,0,0,0
TLD,20180523,9.63,9.68,9.60,9.68,229400,10.00,10.05,9.97,10.05,0,0,0
TLD,20180522,9.92,9.92,9.61,9.68,146090,10.30,10.30,9.98,10.05,0,0,0
TLD,20180521,9.63,9.92,9.57,9.92,158610,10.00,10.30,9.94,10.30,0,0,0
TLD,20180518,9.45,9.68,9.45,9.63,115680,9.81,10.05,9.81,10.00,0,0,0
TLD,20180517,9.73,9.77,9.53,9.63,174720,10.10,10.15,9.90,10.00,0,0,0
TLD,20180516,9.54,9.64,9.49,9.63,335940,9.90,10.00,9.85,10.00,0,0,0
TLD,20180515,9.92,10.07,9.45,9.54,171360,10.30,10.45,9.81,9.90,0,0,0
TLD,20180514,10.31,10.60,9.88,10.02,240420,10.70,11.00,10.25,10.40,0,0,0
