<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TNT,20180418,2.65,2.65,2.50,2.56,74910,2.65,2.65,2.50,2.56,0,0,0
TNT,20180417,2.62,2.62,2.50,2.60,195080,2.62,2.62,2.50,2.60,0,0,0
TNT,20180416,2.60,2.64,2.50,2.50,185840,2.60,2.64,2.50,2.50,70000,0,0
TNT,20180413,2.65,2.74,2.61,2.65,84660,2.65,2.74,2.61,2.65,0,0,0
TNT,20180412,2.82,2.82,2.62,2.65,97240,2.82,2.82,2.62,2.65,0,0,0
TNT,20180411,3.04,3.04,2.79,2.79,485650,3.04,3.04,2.79,2.79,0,0,0
TNT,20180410,2.83,3.02,2.83,3.00,414310,2.83,3.02,2.83,3.00,70000,0,0
TNT,20180409,2.60,2.83,2.60,2.83,367340,2.60,2.83,2.60,2.83,0,0,0
TNT,20180406,2.60,2.69,2.57,2.65,118500,2.60,2.69,2.57,2.65,0,0,0
TNT,20180405,2.72,2.72,2.60,2.65,98260,2.72,2.72,2.60,2.65,0,0,0
TNT,20180404,2.50,2.66,2.50,2.66,159310,2.50,2.66,2.50,2.66,0,0,0
TNT,20180403,2.49,2.49,2.46,2.49,43430,2.49,2.49,2.46,2.49,0,0,0
TNT,20180402,2.50,2.54,2.49,2.49,113980,2.50,2.54,2.49,2.49,0,0,0
TNT,20180330,2.53,2.54,2.49,2.54,24580,2.53,2.54,2.49,2.54,0,0,0
TNT,20180329,2.49,2.55,2.48,2.54,53110,2.49,2.55,2.48,2.54,0,0,0
TNT,20180328,2.55,2.55,2.49,2.50,54930,2.55,2.55,2.49,2.50,0,0,0
TNT,20180327,2.55,2.55,2.50,2.55,82680,2.55,2.55,2.50,2.55,0,0,0
TNT,20180326,2.60,2.60,2.52,2.55,18200,2.60,2.60,2.52,2.55,0,0,0
TNT,20180323,2.60,2.61,2.49,2.60,40100,2.60,2.61,2.49,2.60,0,10,0
TNT,20180322,2.60,2.66,2.58,2.65,129610,2.60,2.66,2.58,2.65,0,0,0
TNT,20180321,2.60,2.64,2.59,2.60,88540,2.60,2.64,2.59,2.60,0,0,0
TNT,20180320,2.60,2.66,2.56,2.60,85490,2.60,2.66,2.56,2.60,0,0,0
TNT,20180319,2.60,2.67,2.60,2.60,106650,2.60,2.67,2.60,2.60,0,0,0
TNT,20180316,2.66,2.66,2.60,2.66,48250,2.66,2.66,2.60,2.66,0,0,0
TNT,20180315,2.68,2.70,2.59,2.67,114660,2.68,2.70,2.59,2.67,0,0,0
TNT,20180314,2.70,2.70,2.58,2.70,114140,2.70,2.70,2.58,2.70,0,30,0
TNT,20180313,2.69,2.69,2.62,2.69,62870,2.69,2.69,2.62,2.69,0,0,0
TNT,20180312,2.67,2.67,2.61,2.67,97030,2.67,2.67,2.61,2.67,0,0,0
TNT,20180309,2.59,2.60,2.53,2.60,28140,2.59,2.60,2.53,2.60,0,0,0
TNT,20180308,2.55,2.64,2.55,2.60,115040,2.55,2.64,2.55,2.60,0,1510,0
TNT,20180307,2.50,2.60,2.45,2.55,76090,2.50,2.60,2.45,2.55,0,0,0
TNT,20180306,2.51,2.51,2.45,2.51,107000,2.51,2.51,2.45,2.51,0,0,0
TNT,20180305,2.49,2.51,2.47,2.51,42120,2.49,2.51,2.47,2.51,0,0,0
TNT,20180302,2.45,2.49,2.42,2.49,159360,2.45,2.49,2.42,2.49,0,0,0
TNT,20180301,2.50,2.50,2.45,2.45,94510,2.50,2.50,2.45,2.45,0,0,0
TNT,20180228,2.48,2.49,2.45,2.47,47220,2.48,2.49,2.45,2.47,0,0,0
TNT,20180227,2.48,2.50,2.44,2.44,101880,2.48,2.50,2.44,2.44,0,0,0
TNT,20180226,2.50,2.50,2.47,2.50,30990,2.50,2.50,2.47,2.50,0,0,0
TNT,20180223,2.52,2.52,2.47,2.50,200600,2.52,2.52,2.47,2.50,0,0,0
TNT,20180222,2.55,2.58,2.50,2.50,30500,2.55,2.58,2.50,2.50,0,0,0
TNT,20180221,2.54,2.70,2.50,2.55,69910,2.54,2.70,2.50,2.55,0,0,0
TNT,20180213,2.43,2.54,2.42,2.54,56510,2.43,2.54,2.42,2.54,0,0,0
TNT,20180212,2.41,2.55,2.40,2.42,83950,2.41,2.55,2.40,2.42,0,0,0
TNT,20180209,2.38,2.43,2.38,2.43,51720,2.38,2.43,2.38,2.43,0,0,80
TNT,20180208,2.46,2.59,2.43,2.43,90540,2.46,2.59,2.43,2.43,0,0,0
TNT,20180207,2.57,2.58,2.46,2.46,171430,2.57,2.58,2.46,2.46,0,0,0
TNT,20180206,2.42,2.51,2.42,2.42,263800,2.42,2.51,2.42,2.42,0,0,310
TNT,20180205,2.60,2.76,2.60,2.60,172180,2.60,2.76,2.60,2.60,0,0,240
TNT,20180202,2.88,2.88,2.72,2.78,97070,2.88,2.88,2.72,2.78,0,0,0
TNT,20180201,2.88,2.90,2.80,2.83,106430,2.88,2.90,2.80,2.83,0,410,0
TNT,20180131,2.70,2.90,2.70,2.90,542480,2.70,2.90,2.70,2.90,0,850,0
TNT,20180130,2.60,2.72,2.60,2.72,164390,2.60,2.72,2.60,2.72,0,0,0
TNT,20180129,2.62,2.68,2.60,2.67,259060,2.62,2.68,2.60,2.67,0,1000,0
TNT,20180126,2.65,2.76,2.55,2.55,83490,2.65,2.76,2.55,2.55,0,0,0
TNT,20180125,2.74,2.74,2.65,2.70,236850,2.74,2.74,2.65,2.70,985000,0,0
TNT,20180122,2.71,2.80,2.70,2.70,91640,2.71,2.80,2.70,2.70,0,0,0
TNT,20180119,2.80,2.80,2.70,2.72,56870,2.80,2.80,2.70,2.72,0,0,0
TNT,20180118,2.76,2.80,2.71,2.80,287460,2.76,2.80,2.71,2.80,0,0,0
TNT,20180117,2.83,2.83,2.66,2.71,269750,2.83,2.83,2.66,2.71,553920,0,0
TNT,20180116,2.88,2.90,2.80,2.86,313030,2.88,2.90,2.80,2.86,0,0,0
TNT,20180115,2.90,2.93,2.85,2.91,220890,2.90,2.93,2.85,2.91,0,10,0
TNT,20180112,2.88,3.07,2.88,2.88,531000,2.88,3.07,2.88,2.88,0,10000,0
TNT,20180111,3.00,3.09,2.90,3.01,624360,3.00,3.09,2.90,3.01,0,0,0
TNT,20180110,2.80,2.90,2.80,2.90,364370,2.80,2.90,2.80,2.90,0,0,0
TNT,20180109,2.82,2.86,2.78,2.82,244620,2.82,2.86,2.78,2.82,0,0,0
TNT,20180108,2.84,2.84,2.74,2.82,395080,2.84,2.84,2.74,2.82,0,0,0
TNT,20180105,2.74,2.76,2.71,2.74,104930,2.74,2.76,2.71,2.74,0,500,0
TNT,20180104,2.74,2.76,2.62,2.74,179410,2.74,2.76,2.62,2.74,0,0,0
TNT,20180103,2.77,2.77,2.57,2.70,134570,2.77,2.77,2.57,2.70,0,0,0
TNT,20180102,2.76,2.77,2.70,2.76,123250,2.76,2.77,2.70,2.76,0,0,0
