<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VCI,20170706,14.7558,14.7558,14.7558,14.7558,0
VCI,20170707,14.7558,17.7070,14.7558,17.7069,114260
VCI,20170710,17.7069,18.9365,17.7069,18.4755,2677240
VCI,20170711,18.4755,18.5062,17.8299,18.1373,838360
VCI,20170712,18.1373,18.4140,18.0143,18.1988,376520
VCI,20170713,18.1988,18.1988,17.9221,17.9221,780690
VCI,20170714,17.9221,18.0143,17.6147,17.6454,605590
VCI,20170717,17.6454,18.1373,17.5839,17.8914,469140
VCI,20170718,17.8914,17.8914,17.7069,17.7069,319370
VCI,20170719,17.7069,17.9221,17.6762,17.7377,279130
VCI,20170720,17.7377,17.8299,17.6762,17.7684,342050
VCI,20170721,17.7684,17.8299,17.7069,17.7377,140450
VCI,20170724,17.7377,17.7684,17.7377,17.7377,282460
VCI,20170725,17.7377,17.8299,17.6147,17.6762,198020
VCI,20170726,17.6762,18.2910,17.6762,18.1066,307260
VCI,20170727,18.1066,18.8751,18.1066,18.4447,438580
VCI,20170728,18.4447,18.8751,18.4447,18.7521,600310
VCI,20170731,18.7521,18.8136,18.5984,18.7521,145430
VCI,20170801,18.7521,18.7521,18.4447,18.4447,198280
VCI,20170802,18.4447,18.7521,18.3832,18.4447,530950
VCI,20170803,18.4447,18.7829,18.4447,18.7521,476970
VCI,20170804,18.7521,18.7521,18.5984,18.6292,267610
VCI,20170807,18.6292,18.8136,18.6292,18.7521,447390
VCI,20170808,18.7521,18.7521,18.5369,18.5984,236400
VCI,20170809,18.5984,18.7214,18.2910,18.4447,384710
VCI,20170810,18.4447,18.5984,18.1680,18.4755,172920
VCI,20170811,18.4755,18.5370,18.4140,18.4755,125740
VCI,20170814,18.4755,18.5985,18.2911,18.4447,168300
VCI,20170815,18.4447,18.7521,17.8299,18.4447,151120
VCI,20170816,18.4447,18.5062,18.1373,18.4447,73300
VCI,20170817,18.4447,18.4754,18.2910,18.4447,190470
VCI,20170818,18.4447,18.4447,18.4140,18.4447,159680
VCI,20170821,18.4447,18.5677,18.3832,18.4447,176960
VCI,20170822,18.4447,18.4447,18.3525,18.4140,71320
VCI,20170823,18.4140,18.4447,18.3525,18.3832,61150
VCI,20170824,18.3832,18.4140,18.3525,18.4140,199860
VCI,20170825,18.4140,18.4140,18.2910,18.3525,60460
VCI,20170828,18.3525,18.3525,18.2295,18.2295,58920
VCI,20170829,18.2295,18.2910,18.1373,18.2295,49710
VCI,20170830,18.2295,18.2295,18.1373,18.2295,72360
VCI,20170831,18.2295,18.2295,18.1373,18.1988,63060
VCI,20170901,18.1988,18.2910,18.1988,18.1988,19610
VCI,20170905,18.1988,18.1988,18.0758,18.1373,41150
VCI,20170906,18.1373,18.1373,17.8299,17.8299,63080
VCI,20170907,17.8299,17.8299,17.6762,17.7069,174740
VCI,20170908,17.7069,17.9221,17.6454,17.6454,81480
