<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VEA,20201028,43.0000,43.0000,42.3000,42.6000,105284,43.0000,43.0000,42.3000,42.6000,0,1000,7500
VEA,20201027,43.0000,43.0000,42.8000,43.0000,30927,43.0000,43.0000,42.8000,43.0000,0,0,0
VEA,20201026,43.1000,43.2000,42.9000,43.0000,80667,43.1000,43.2000,42.9000,43.0000,0,0,0
VEA,20201023,43.4000,43.8000,42.5000,43.1000,258419,43.4000,43.8000,42.5000,43.1000,0,1000,178000
VEA,20201022,43.6000,43.6000,43.3000,43.6000,44720,43.6000,43.6000,43.3000,43.6000,0,0,0
VEA,20201021,43.6000,43.8000,43.5000,43.5000,59320,43.6000,43.8000,43.5000,43.5000,0,1900,0
VEA,20201020,43.9000,44.0000,43.5000,43.8000,39100,43.9000,44.0000,43.5000,43.8000,0,0,0
VEA,20201019,43.6000,44.0000,43.6000,43.9000,64538,43.6000,44.0000,43.6000,43.9000,0,0,0
VEA,20201016,43.2000,43.8000,43.0000,43.6000,98000,43.2000,43.8000,43.0000,43.6000,0,1000,75000
VEA,20201015,43.5000,43.5000,43.0000,43.1000,134900,43.5000,43.5000,43.0000,43.1000,0,0,34100
VEA,20201014,43.8000,43.8000,43.4000,43.4000,68310,43.8000,43.8000,43.4000,43.4000,0,0,34100
VEA,20201013,43.8000,43.8000,43.6000,43.7000,80900,43.8000,43.8000,43.6000,43.7000,0,0,14200
VEA,20201012,44.1000,44.1000,43.7000,43.8000,90200,44.1000,44.1000,43.7000,43.8000,0,0,14200
VEA,20201009,44.2000,44.2000,43.9000,44.1000,51160,44.2000,44.2000,43.9000,44.1000,0,1000,20600
VEA,20201008,44.3000,44.4000,43.8000,44.0000,38756,44.3000,44.4000,43.8000,44.0000,0,9900,11400
VEA,20201007,43.5000,45.1000,43.5000,44.4000,175905,43.5000,45.1000,43.5000,44.4000,0,0,58400
VEA,20201006,43.6000,43.9000,43.4000,43.9000,76570,43.6000,43.9000,43.4000,43.9000,0,550,0
VEA,20201005,43.8000,43.8000,43.2000,43.4000,38830,43.8000,43.8000,43.2000,43.4000,0,1300,0
VEA,20201002,43.6000,43.8000,42.6000,43.5000,169281,43.6000,43.8000,42.6000,43.5000,485800,493200,485800
VEA,20201001,43.3000,43.8000,43.3000,43.4000,103337,43.3000,43.8000,43.3000,43.4000,0,2500,53800
VEA,20200930,43.2000,43.6000,42.9000,43.2000,99725,43.2000,43.6000,42.9000,43.2000,0,10000,0
VEA,20200929,43.8000,44.0000,43.1000,43.1000,165892,43.8000,44.0000,43.1000,43.1000,0,15600,47100
VEA,20200928,43.8000,44.0000,43.7000,43.9000,66006,43.8000,44.0000,43.7000,43.9000,0,0,10200
VEA,20200925,44.1000,44.2000,43.4000,43.9000,234927,44.1000,44.2000,43.4000,43.9000,0,500,43600
VEA,20200924,44.3000,44.3000,43.8000,44.0000,121648,44.3000,44.3000,43.8000,44.0000,0,300,66300
VEA,20200923,44.1000,44.3000,43.8000,44.0000,192643,44.1000,44.3000,43.8000,44.0000,0,300,68400
VEA,20200922,44.0000,44.4000,44.0000,44.0000,115420,44.0000,44.4000,44.0000,44.0000,0,5000,34000
VEA,20200921,44.7000,44.7000,44.1000,44.3000,103220,44.7000,44.7000,44.1000,44.3000,0,15600,30500
VEA,20200918,44.6000,44.9000,44.2000,44.7000,105833,44.6000,44.9000,44.2000,44.7000,0,2800,62200
VEA,20200917,45.0000,45.3000,44.5000,44.9000,120839,45.0000,45.3000,44.5000,44.9000,0,1500,26000
VEA,20200916,44.2000,45.6000,44.2000,45.2000,284950,44.2000,45.6000,44.2000,45.2000,0,110,77000
VEA,20200915,44.0000,44.5000,43.9000,44.1000,113700,44.0000,44.5000,43.9000,44.1000,0,200,22000
VEA,20200914,44.3000,44.5000,43.9000,44.0000,132680,44.3000,44.5000,43.9000,44.0000,0,200,22000
VEA,20200911,44.3000,44.4000,44.0000,44.1000,113660,44.3000,44.4000,44.0000,44.1000,0,300,40000
VEA,20200910,44.3000,44.4000,44.0000,44.3000,48744,44.3000,44.4000,44.0000,44.3000,0,0,0
VEA,20200909,43.9000,44.4000,43.5000,44.0000,64731,43.9000,44.4000,43.5000,44.0000,0,200,0
VEA,20200908,44.3000,44.4000,43.7000,44.3000,100700,44.3000,44.4000,43.7000,44.3000,0,200,0
VEA,20200907,44.2000,45.0000,43.9000,44.1000,100660,44.2000,45.0000,43.9000,44.1000,0,700,0
VEA,20200904,44.0000,44.2000,43.1000,44.0000,104091,44.0000,44.2000,43.1000,44.0000,0,17400,3000
VEA,20200903,45.3000,45.3000,43.8000,44.3000,212879,45.3000,45.3000,43.8000,44.3000,0,13000,80500
VEA,20200901,45.0000,45.7000,44.6000,45.1000,32825,45.0000,45.7000,44.6000,45.1000,0,500,900
