<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VHM,20180517,87.3518,87.3518,87.3518,87.3518,18000
VHM,20180518,87.3518,87.3518,87.3518,87.3518,0
VHM,20180521,87.3518,87.3518,87.3518,87.3518,0
VHM,20180522,93.4388,93.4388,93.4387,93.4387,20
VHM,20180523,90.5138,90.5138,86.9565,87.1937,4839580
VHM,20180524,87.5890,90.7510,87.0356,90.5138,1937240
VHM,20180525,90.7510,94.7826,90.5138,92.8854,1749720
VHM,20180528,87.7471,93.2807,87.7471,92.4901,2944740
VHM,20180529,92.4901,92.6482,89.4071,91.6996,884320
VHM,20180530,91.6996,92.4901,89.3281,92.4901,2448260
VHM,20180531,92.4901,92.8854,90.9881,90.9881,1178690
VHM,20180601,90.9881,92.8853,90.5138,92.0949,814870
VHM,20180604,91.6996,93.2016,91.3044,93.2016,1762630
VHM,20180605,93.2016,94.0712,92.4901,93.2806,1229890
VHM,20180606,92.8853,95.5731,92.4901,94.8617,712230
VHM,20180607,96.4427,96.4427,88.2214,94.8617,1167210
VHM,20180608,94.8617,95.5732,92.8854,94.8617,462940
VHM,20180611,95.4941,95.4941,94.0712,94.8617,425790
VHM,20180612,94.8617,94.8617,92.4902,93.2806,816310
VHM,20180613,93.2806,93.5968,92.9644,93.2806,289590
VHM,20180614,93.2806,93.6759,91.9367,92.4901,624230
VHM,20180615,93.0435,93.0435,92.0948,92.0949,213150
VHM,20180618,92.0949,93.2807,91.6996,92.0949,626280
VHM,20180619,92.0949,92.0949,90.6720,90.9091,770730
VHM,20180620,84.6640,91.6996,84.6640,90.9091,613980
VHM,20180621,90.9091,90.9882,90.1186,90.9091,117280
VHM,20180622,90.9091,90.9091,90.1186,90.2767,83230
VHM,20180625,90.2767,91.6206,90.2767,91.3043,214260
VHM,20180626,91.3043,91.3043,90.1976,90.9091,112440
VHM,20180627,88.9328,90.1976,86.9565,86.9565,305740
VHM,20180628,86.9565,89.3280,85.3755,86.9565,185920
VHM,20180629,89.3280,89.3280,85.7707,88.8538,321730
VHM,20180702,88.9329,88.9329,86.9566,87.9842,456190
VHM,20180703,87.9842,87.9842,81.8972,81.8972,165430
VHM,20180704,80.7114,87.5889,80.7114,87.5889,1358170
VHM,20180705,87.5889,90.9091,87.5889,90.1186,1208630
VHM,20180706,88.1423,90.0395,88.1423,88.9328,497040
VHM,20180709,88.9328,89.6443,88.9328,89.1700,134390
VHM,20180710,89.0909,89.1700,85.7708,87.7470,298180
VHM,20180711,86.9565,87.7470,85.3755,86.7194,86370
VHM,20180712,86.7194,87.5890,85.3755,86.9565,113470
VHM,20180713,84.8221,87.7470,84.8221,86.4032,57420
VHM,20180716,87.3518,87.3518,83.7945,83.7945,93750
VHM,20180717,86.1660,87.7471,83.7945,83.7945,410540
VHM,20180718,86.9566,86.9566,84.5850,84.9012,115930
VHM,20180719,85.3755,85.3755,84.1897,84.1897,359780
VHM,20180720,84.5850,85.3755,83.8735,84.5059,361710
