<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VIB,20180629,26.80,27.50,26.50,27.00,127100,26.80,27.50,26.50,27.00,0,0,0
VIB,20180628,27.00,27.00,26.70,26.80,102785,27.00,27.00,26.70,26.80,4859348,0,0
VIB,20180627,27.50,27.50,27.00,27.00,139110,27.50,27.50,27.00,27.00,0,0,0
VIB,20180626,27.50,28.00,27.00,28.00,149204,27.50,28.00,27.00,28.00,0,0,0
VIB,20180625,27.50,28.90,27.30,27.60,99960,27.50,28.90,27.30,27.60,0,0,0
VIB,20180622,27.20,27.50,27.00,27.10,113860,27.20,27.50,27.00,27.10,0,0,0
VIB,20180621,27.50,27.50,26.80,27.00,179910,27.50,27.50,26.80,27.00,0,0,0
VIB,20180620,27.50,28.00,27.10,27.40,292100,27.50,28.00,27.10,27.40,0,0,0
VIB,20180619,28.00,28.00,26.50,27.50,332150,28.00,28.00,26.50,27.50,0,0,0
VIB,20180618,29.30,29.30,28.10,28.50,74900,29.30,29.30,28.10,28.50,0,0,0
VIB,20180615,29.40,29.50,29.20,29.30,71408,29.40,29.50,29.20,29.30,0,0,0
VIB,20180614,30.00,31.00,29.00,29.50,258925,30.00,31.00,29.00,29.50,0,0,0
VIB,20180613,30.20,30.60,30.00,30.30,65360,30.20,30.60,30.00,30.30,0,0,0
VIB,20180612,30.90,31.00,29.80,30.40,221750,30.90,31.00,29.80,30.40,0,0,0
VIB,20180611,31.00,31.50,30.60,31.30,136430,31.00,31.50,30.60,31.30,0,0,0
VIB,20180608,31.00,31.50,30.60,31.40,196600,31.00,31.50,30.60,31.40,0,0,0
VIB,20180607,30.50,31.50,30.40,31.20,321188,30.50,31.50,30.40,31.20,0,0,0
VIB,20180606,30.40,30.50,30.00,30.30,203835,30.40,30.50,30.00,30.30,0,0,0
VIB,20180605,30.30,31.80,30.00,30.40,231470,30.30,31.80,30.00,30.40,0,0,0
VIB,20180604,28.00,30.80,28.00,30.30,241940,28.00,30.80,28.00,30.30,0,0,0
VIB,20180601,28.00,28.60,28.00,28.20,168520,28.00,28.60,28.00,28.20,0,0,0
VIB,20180531,27.70,28.30,27.60,28.10,228678,27.70,28.30,27.60,28.10,0,0,0
VIB,20180530,27.80,28.50,27.50,27.80,264240,27.80,28.50,27.50,27.80,73000,0,0
VIB,20180529,26.50,28.70,26.50,27.50,388556,26.50,28.70,26.50,27.50,0,17,0
VIB,20180528,29.50,29.50,25.90,26.00,129800,29.50,29.50,25.90,26.00,0,0,0
VIB,20180525,29.50,29.60,29.10,29.10,159510,29.50,29.60,29.10,29.10,0,0,0
VIB,20180524,30.00,30.00,29.40,29.70,134127,30.00,30.00,29.40,29.70,0,0,9
VIB,20180523,29.50,30.40,29.30,30.00,241212,29.50,30.40,29.30,30.00,0,0,0
VIB,20180522,31.50,31.50,29.90,30.20,325349,31.50,31.50,29.90,30.20,29100,0,0
VIB,20180521,31.40,32.00,31.00,31.50,247809,31.40,32.00,31.00,31.50,0,9,0
VIB,20180518,32.40,32.40,30.80,31.40,218800,32.40,32.40,30.80,31.40,4000,0,0
VIB,20180517,32.90,32.90,32.20,32.70,84803,32.90,32.90,32.20,32.70,0,0,0
VIB,20180516,33.30,33.50,32.70,33.00,63545,33.30,33.50,32.70,33.00,0,65,0
VIB,20180515,33.90,33.90,33.40,33.50,23548,33.90,33.90,33.40,33.50,0,18,0
VIB,20180514,33.60,33.60,33.00,33.00,52792,33.60,33.60,33.00,33.00,0,0,0
VIB,20180511,33.30,34.20,33.10,34.20,91270,33.30,34.20,33.10,34.20,0,0,0
VIB,20180510,34.30,35.20,34.00,34.00,73710,34.30,35.20,34.00,34.00,350000,0,100
VIB,20180509,35.50,35.50,35.00,35.00,80076,35.50,35.50,35.00,35.00,0,0,0
VIB,20180508,36.00,36.60,35.30,35.60,133891,36.00,36.60,35.30,35.60,0,50,0
VIB,20180507,34.70,35.50,34.70,35.40,67380,34.70,35.50,34.70,35.40,0,0,0
VIB,20180504,35.80,36.00,35.00,35.10,67676,35.80,36.00,35.00,35.10,24000,0,0
VIB,20180503,33.00,35.80,32.50,35.80,288680,33.00,35.80,32.50,35.80,0,0,50
