<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VIC,20201014,94.1000,95.0000,94.0000,95.0000,389260,94.1000,95.0000,94.0000,95.0000,0,195000,27340
VIC,20201013,93.9000,94.1000,93.4000,94.1000,271990,93.9000,94.1000,93.4000,94.1000,0,90460,76470
VIC,20201012,93.6000,94.0000,92.5000,93.9000,326290,93.6000,94.0000,92.5000,93.9000,0,90460,76470
VIC,20201009,92.3000,93.7000,92.3000,93.6000,309580,92.3000,93.7000,92.3000,93.6000,77000,101160,13580
VIC,20201008,92.0000,92.9000,91.5000,92.3000,216990,92.0000,92.9000,91.5000,92.3000,120000,56850,109610
VIC,20201007,91.5000,93.5000,91.0000,92.5000,381520,91.5000,93.5000,91.0000,92.5000,76000,149660,56490
VIC,20201006,93.3000,93.3000,91.8000,91.8000,521190,93.3000,93.3000,91.8000,91.8000,103510,8850,27580
VIC,20201005,94.0000,94.0000,92.0000,93.3000,90450,94.0000,94.0000,92.0000,93.3000,0,8850,27580
VIC,20201002,92.5000,94.0000,92.0000,94.0000,400770,92.5000,94.0000,92.0000,94.0000,96660,220470,51990
VIC,20201001,91.9000,93.4000,91.9000,92.5000,212510,91.9000,93.4000,91.9000,92.5000,104980,125240,83400
VIC,20200930,91.5000,93.4000,91.5000,91.5000,417360,91.5000,93.4000,91.5000,91.5000,0,22630,525130
VIC,20200929,94.0000,94.0000,91.5000,91.5000,394490,94.0000,94.0000,91.5000,91.5000,210780,22630,314350
VIC,20200928,93.0000,94.2000,92.8000,92.8000,202840,93.0000,94.2000,92.8000,92.8000,0,77140,133820
VIC,20200925,94.5000,94.8000,92.8000,92.8000,412210,94.5000,94.8000,92.8000,92.8000,24110,121610,311590
VIC,20200924,93.8000,95.5000,93.0000,93.0000,388940,93.8000,95.5000,93.0000,93.0000,0,180170,171550
VIC,20200923,95.0000,95.7000,94.5000,94.5000,111830,95.0000,95.7000,94.5000,94.5000,0,10910,62140
VIC,20200922,96.0000,96.2000,94.6000,94.6000,505230,96.0000,96.2000,94.6000,94.6000,0,355230,268030
VIC,20200921,94.0000,96.0000,94.0000,96.0000,571860,94.0000,96.0000,94.0000,96.0000,0,263920,228290
VIC,20200918,95.0000,95.4000,93.5000,94.0000,1089310,95.0000,95.4000,93.5000,94.0000,0,1031120,914160
VIC,20200917,93.1000,95.5000,93.0000,94.0000,833870,93.1000,95.5000,93.0000,94.0000,0,646080,127870
VIC,20200916,94.9000,95.5000,93.1000,95.5000,544300,94.9000,95.5000,93.1000,95.5000,0,456890,76020
VIC,20200915,93.2000,95.0000,93.2000,95.0000,983560,93.2000,95.0000,93.2000,95.0000,0,389360,43900
VIC,20200914,91.3000,93.6000,91.2000,93.1000,608930,91.3000,93.6000,91.2000,93.1000,0,326250,132040
VIC,20200911,90.0000,92.3000,89.9000,91.1000,411350,90.0000,92.3000,89.9000,91.1000,0,237160,113210
VIC,20200910,91.0000,92.5000,90.5000,90.5000,421160,91.0000,92.5000,90.5000,90.5000,128400,389930,486930
VIC,20200909,90.4000,92.4000,89.4000,90.5000,865880,90.4000,92.4000,89.4000,90.5000,145410,85010,1266890
VIC,20200908,91.6000,92.5000,90.5000,90.5000,622290,91.6000,92.5000,90.5000,90.5000,870000,85010,396890
VIC,20200907,94.0000,95.3000,91.5000,91.5000,465400,94.0000,95.3000,91.5000,91.5000,0,175760,107380
VIC,20200904,94.5000,95.5000,93.3000,94.0000,825960,94.5000,95.5000,93.3000,94.0000,0,362840,463290
VIC,20200903,93.5000,95.6000,92.7000,94.5000,1037080,93.5000,95.6000,92.7000,94.5000,70000,461670,408400
VIC,20200901,90.2000,94.0000,89.9000,92.7000,675310,90.2000,94.0000,89.9000,92.7000,0,199030,122700
VIC,20200831,90.0000,91.5000,90.0000,90.0000,276580,90.0000,91.5000,90.0000,90.0000,502261,85650,116710
VIC,20200828,91.3000,92.3000,89.9000,89.9000,636020,91.3000,92.3000,89.9000,89.9000,55000,60940,246370
VIC,20200827,90.1000,91.0000,90.1000,91.0000,437950,90.1000,91.0000,90.1000,91.0000,40000,319830,36240
VIC,20200826,90.8000,91.2000,90.0000,91.0000,547280,90.8000,91.2000,90.0000,91.0000,110000,311520,122070
VIC,20200825,89.0000,91.9000,89.0000,91.0000,1074660,89.0000,91.9000,89.0000,91.0000,0,302160,263520
VIC,20200824,86.5000,89.0000,86.5000,89.0000,1052840,86.5000,89.0000,86.5000,89.0000,102000,330710,457870
VIC,20200821,86.0000,86.9000,85.9000,86.1000,376790,86.0000,86.9000,85.9000,86.1000,100000,43180,342140
VIC,20200820,86.6000,87.2000,86.0000,86.0000,990220,86.6000,87.2000,86.0000,86.0000,0,106900,443950
VIC,20200819,86.5000,87.6000,86.5000,86.5000,347140,86.5000,87.6000,86.5000,86.5000,67490,162670,211450
VIC,20200818,87.3000,87.7000,86.2000,86.5000,772670,87.3000,87.7000,86.2000,86.5000,20000,216400,628420
VIC,20200817,87.7000,88.5000,86.8000,87.7000,376200,87.7000,88.5000,86.8000,87.7000,132450,213760,232780
VIC,20200814,88.0000,89.0000,87.4000,87.4000,654070,88.0000,89.0000,87.4000,87.4000,0,177150,409470
VIC,20200813,88.5000,89.0000,87.5000,88.0000,458680,88.5000,89.0000,87.5000,88.0000,134000,236300,237350
VIC,20200812,87.5000,88.5000,87.4000,87.4000,302330,87.5000,88.5000,87.4000,87.4000,0,123790,203600
VIC,20200811,89.2000,89.2000,87.5000,87.5000,215330,89.2000,89.2000,87.5000,87.5000,0,89030,155540
VIC,20200810,88.0000,89.9000,87.4000,88.2000,542550,88.0000,89.9000,87.4000,88.2000,0,69320,228360
VIC,20200807,87.6000,88.2000,87.3000,87.5000,182500,87.6000,88.2000,87.3000,87.5000,780000,82300,48220
VIC,20200806,88.0000,88.2000,87.1000,87.5000,332340,88.0000,88.2000,87.1000,87.5000,0,91260,66200
VIC,20200805,88.0000,88.5000,84.8000,87.0000,434490,88.0000,88.5000,84.8000,87.0000,54010,111280,260680
VIC,20200804,88.7000,88.7000,87.4000,88.0000,229230,88.7000,88.7000,87.4000,88.0000,0,115130,94520
VIC,20200803,85.0000,88.1000,85.0000,87.6000,164310,85.0000,88.1000,85.0000,87.6000,0,50010,39730
VIC,20200731,84.0000,90.0000,83.8000,87.5000,939040,84.0000,90.0000,83.8000,87.5000,0,138080,391430
VIC,20200730,83.5000,85.5000,83.5000,85.1000,242030,83.5000,85.5000,83.5000,85.1000,0,294030,44280
VIC,20200729,84.0000,85.0000,83.0000,83.5000,379370,84.0000,85.0000,83.0000,83.5000,0,294030,44280
VIC,20200728,85.0000,87.0000,79.9000,85.2000,534300,85.0000,87.0000,79.9000,85.2000,0,205450,143650
VIC,20200727,83.9000,86.0000,82.9000,85.0000,825080,83.9000,86.0000,82.9000,85.0000,430000,528390,237240
VIC,20200724,89.9000,90.0000,84.0000,88.0000,674430,89.9000,90.0000,84.0000,88.0000,0,49710,84080
VIC,20200723,90.0000,90.3000,89.5000,90.0000,181680,90.0000,90.3000,89.5000,90.0000,0,54360,123040
VIC,20200722,90.0000,91.0000,89.8000,89.8000,202110,90.0000,91.0000,89.8000,89.8000,0,81310,149720
VIC,20200721,91.2000,91.2000,90.2000,90.2000,220660,91.2000,91.2000,90.2000,90.2000,0,81310,149720
VIC,20200720,90.2000,91.4000,90.2000,90.2000,222400,90.2000,91.4000,90.2000,90.2000,0,51210,117400
VIC,20200717,91.5000,92.0000,91.0000,91.5000,214530,91.5000,92.0000,91.0000,91.5000,0,129700,32590
