<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VNM,20060119,2.6890,2.6890,2.6890,2.6890,109350
VNM,20060120,2.6890,2.7905,2.6890,2.7397,157840
VNM,20060123,2.7397,2.7397,2.6636,2.6636,81400
VNM,20060124,2.6636,2.6636,2.6382,2.6382,66000
VNM,20060125,2.6382,2.6890,2.6382,2.6890,57220
VNM,20060126,2.6890,2.7144,2.6890,2.7143,18750
VNM,20060127,2.7143,2.7143,2.6889,2.6890,25630
VNM,20060206,2.6890,2.6890,2.6890,2.6890,25190
VNM,20060207,2.6890,2.7397,2.6890,2.7397,138720
VNM,20060208,2.7397,2.7904,2.7397,2.7904,159300
VNM,20060209,2.7904,2.7904,2.7904,2.7904,153580
VNM,20060210,2.7904,2.7904,2.7397,2.7904,128650
VNM,20060213,2.7904,2.7904,2.7904,2.7904,153670
VNM,20060214,2.7904,2.7904,2.7904,2.7904,113260
VNM,20060215,2.7904,2.7904,2.7650,2.7651,132600
VNM,20060216,2.7651,2.7905,2.7651,2.7904,184290
VNM,20060217,2.7904,2.9173,2.7904,2.9173,128090
VNM,20060220,2.9173,3.0441,2.9173,3.0441,62050
VNM,20060221,3.0441,3.1963,3.0441,3.1963,101970
VNM,20060222,3.1963,3.2978,3.1963,3.1963,264890
VNM,20060223,3.1963,3.2471,3.1963,3.2471,130490
VNM,20060224,3.2471,3.2725,3.2471,3.2724,90480
VNM,20060227,3.2724,3.3232,3.2724,3.3232,162140
VNM,20060228,3.3232,3.4754,3.3232,3.4754,164820
VNM,20060301,3.4754,3.6276,3.4754,3.6022,164480
VNM,20060302,3.6022,3.6529,3.6022,3.6529,222520
VNM,20060303,3.6529,3.6529,3.4753,3.4754,227880
VNM,20060306,3.4754,3.5515,3.4500,3.5515,200050
VNM,20060307,3.5515,3.5515,3.5515,3.5515,129210
VNM,20060308,3.5515,3.5515,3.4500,3.4500,163660
VNM,20060309,3.4500,3.5007,3.4500,3.4754,206310
VNM,20060310,3.4754,3.5008,3.4754,3.4754,125760
VNM,20060313,3.4754,3.5515,3.4754,3.5515,257130
VNM,20060314,3.5515,3.6022,3.5515,3.6022,223540
VNM,20060315,3.6022,3.6022,3.5007,3.5007,201720
VNM,20060316,3.5007,3.6022,3.5007,3.5515,171110
VNM,20060317,3.5515,3.6022,3.5515,3.6022,189800
VNM,20060320,3.6022,3.6529,3.6022,3.6529,320020
VNM,20060321,3.6529,3.7291,3.6529,3.7291,266040
VNM,20060322,3.7291,3.8052,3.7291,3.7291,173010
VNM,20060323,3.7291,3.7798,3.7291,3.7798,181330
VNM,20060324,3.7798,3.7798,3.7544,3.7544,137520
VNM,20060327,3.7544,3.7798,3.7544,3.7798,167410
VNM,20060328,3.7798,3.7798,3.7798,3.7798,130790
VNM,20060329,3.7798,3.8813,3.7798,3.8813,284640
VNM,20060330,3.8813,4.0589,3.8813,4.0588,184200
VNM,20060331,4.0588,4.1603,4.0588,4.1096,171770
VNM,20060403,4.1096,4.3125,4.1096,4.3125,259620
VNM,20060404,4.3125,4.4647,4.1096,4.1096,242500
VNM,20060405,4.1096,4.3125,4.1096,4.3125,191790
VNM,20060406,4.3125,4.4140,4.3125,4.4140,234410
VNM,20060407,4.4140,4.5662,4.4140,4.5662,276750
VNM,20060410,4.5662,4.6423,4.5155,4.5155,190930
VNM,20060411,4.5155,4.5155,4.3886,4.3886,152780
VNM,20060412,4.3886,4.5155,4.3886,4.5155,134540
VNM,20060413,4.5155,4.6170,4.5155,4.6169,182010
VNM,20060414,4.6169,4.6169,4.5662,4.5662,135270
VNM,20060417,4.5662,4.5662,4.5662,4.5662,162080
VNM,20060418,4.5662,4.6169,4.5662,4.6169,183230
VNM,20060419,4.6169,4.6676,4.6169,4.6169,195960
VNM,20060420,4.6169,4.6169,4.6169,4.6169,130410
VNM,20060421,4.6169,4.8452,4.6169,4.8452,378460
VNM,20060424,4.8452,5.0735,4.8452,5.0735,202190
VNM,20060425,5.0735,5.2764,5.0735,5.1750,387490
VNM,20060426,5.1750,5.1750,4.9721,4.9721,282180
VNM,20060427,4.9721,4.9721,4.7438,4.7438,371490
VNM,20060428,4.7438,4.7438,4.7184,4.7438,420830
VNM,20060503,4.7438,4.9214,4.7438,4.9213,132570
VNM,20060504,4.9213,4.9213,4.8198,4.8199,217800
VNM,20060505,4.8199,4.8199,4.7184,4.7184,272950
VNM,20060508,4.7184,4.7184,4.5662,4.5662,217830
VNM,20060509,4.5662,4.5662,4.3379,4.3379,421900
VNM,20060510,4.3379,4.3379,4.1349,4.1349,360820
VNM,20060511,4.1349,4.3379,4.1349,4.3379,393040
VNM,20060512,4.3379,4.5408,4.3379,4.5408,60420
VNM,20060515,4.5408,4.7438,4.5408,4.7438,133080
VNM,20060516,4.7438,4.7438,4.5155,4.5155,340760
VNM,20060517,4.5155,4.6170,4.5155,4.5916,191180
VNM,20060518,4.5916,4.5916,4.5408,4.5408,112310
VNM,20060519,4.5408,4.5408,4.4647,4.5155,137010
VNM,20060522,4.5155,4.5155,4.4647,4.4647,122780
VNM,20060523,4.4647,4.4647,4.3632,4.3632,122020
VNM,20060524,4.3632,4.5662,4.3632,4.5662,122100
VNM,20060525,4.5662,4.5662,4.4140,4.4140,127620
VNM,20060526,4.4140,4.4647,4.4140,4.4647,105180
VNM,20060529,4.4647,4.4647,4.4140,4.4140,105830
VNM,20060530,4.4140,4.4140,4.3632,4.3632,227310
VNM,20060531,4.3632,4.5155,4.3632,4.5155,196540
VNM,20060601,4.5155,4.5155,4.4647,4.4647,61330
VNM,20060602,4.4647,4.4647,4.4647,4.4647,63670
VNM,20060605,4.4647,4.5155,4.4647,4.5155,90560
VNM,20060606,4.5155,4.5409,4.5155,4.5155,117690
VNM,20060607,4.5155,4.5155,4.4647,4.4647,67020
VNM,20060608,4.4647,4.4901,4.4647,4.4901,70020
VNM,20060609,4.4901,4.5408,4.4901,4.5155,140600
VNM,20060612,4.5155,4.5155,4.4647,4.4647,29670
VNM,20060613,4.4647,4.4647,4.4393,4.4393,85330
VNM,20060614,4.4393,4.4393,4.4139,4.4140,62490
VNM,20060615,4.4140,4.4140,4.3886,4.3886,54860
VNM,20060616,4.3886,4.3886,4.2618,4.2618,215160
VNM,20060619,4.2618,4.2618,4.2110,4.2110,107900
VNM,20060620,4.2110,4.2110,4.0588,4.0588,143160
VNM,20060621,4.0588,4.0588,3.9066,3.9066,590790
VNM,20060622,3.9066,4.0842,3.9066,4.0842,195510
VNM,20060623,4.0842,4.1349,4.0588,4.0842,168260
VNM,20060626,4.0842,4.0842,4.0335,4.0335,105820
VNM,20060627,4.0335,4.0335,3.9828,4.0081,134560
VNM,20060628,4.0081,4.1056,4.0081,4.1055,93070
VNM,20060629,4.1055,4.1568,4.1055,4.1568,178890
VNM,20060630,4.1568,4.1568,4.1311,4.1568,364050
VNM,20060703,4.1568,4.1568,4.1055,4.1055,53410
VNM,20060704,4.1055,4.1055,4.0542,4.0542,55320
VNM,20060705,4.0542,4.0542,4.0542,4.0542,38160
VNM,20060706,4.0542,4.1055,4.0285,4.1055,43990
VNM,20060707,4.1055,4.1055,4.1055,4.1055,61580
VNM,20060710,4.1055,4.1055,4.0542,4.0542,50220
VNM,20060711,4.0542,4.0799,4.0542,4.0542,74950
VNM,20060712,4.0542,4.0542,4.0285,4.0285,55640
