<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VPB,20170817,24.1009,24.1009,20.3931,24.1009,58299310
VPB,20170818,23.4829,23.7919,22.9885,22.9885,1092840
VPB,20170821,22.1233,22.7413,21.9380,22.1542,798670
VPB,20170822,21.5053,22.2469,21.5053,22.2469,2295930
VPB,20170823,22.2469,22.7413,22.0924,22.3705,520790
VPB,20170824,22.4632,22.4632,22.1233,22.4014,678690
VPB,20170825,22.1851,22.4323,22.1233,22.4323,615370
VPB,20170828,22.2469,22.4323,22.1851,22.4323,761670
VPB,20170829,22.3087,22.4323,22.2160,22.4323,990000
VPB,20170830,22.4323,22.4323,22.2469,22.4323,830100
VPB,20170831,22.3087,22.4323,22.3087,22.4323,1196380
VPB,20170901,22.3087,22.4323,22.3087,22.4323,978060
VPB,20170905,22.2778,22.4941,22.2778,22.4941,1274130
VPB,20170906,22.4941,23.6064,22.4323,23.5756,1269010
VPB,20170907,23.6065,24.2863,23.6065,23.8228,900290
VPB,20170908,23.7919,23.7919,23.5756,23.6065,339640
VPB,20170911,23.4829,23.5447,22.8031,22.8649,655570
VPB,20170912,22.8649,23.1739,22.4941,23.0812,330150
VPB,20170913,23.0812,23.2357,22.9267,23.1739,312470
VPB,20170914,23.1739,23.2357,23.0503,23.1430,268880
VPB,20170915,23.1430,23.2357,23.0812,23.1121,352480
VPB,20170918,23.1121,23.1739,23.0194,23.0503,323580
VPB,20170919,23.0503,23.0503,22.8031,22.8340,820020
VPB,20170920,22.8340,23.0503,22.7722,22.8031,789670
VPB,20170921,22.8031,22.8340,22.7104,22.8031,535570
VPB,20170922,22.8031,22.8031,22.5559,22.6795,1288830
VPB,20170925,22.6795,22.7722,22.6486,22.6486,504360
VPB,20170926,22.8031,22.8031,22.6177,22.6177,718370
VPB,20170927,22.6177,23.1430,22.6177,23.0194,1473820
VPB,20170928,23.0503,23.3593,22.9885,23.0194,1238590
VPB,20170929,23.0194,23.3284,23.0194,23.1739,752340
VPB,20171002,23.1739,23.2357,22.8649,23.0194,634350
VPB,20171003,22.9885,23.0503,22.7104,22.8031,659660
VPB,20171004,22.8031,22.8649,22.7104,22.8031,457470
VPB,20171005,22.9267,22.9576,22.7722,22.7722,219990
VPB,20171006,22.8958,22.9885,22.7413,22.9885,409110
VPB,20171009,23.2357,23.2357,23.0194,23.1430,936770
VPB,20171010,23.1430,23.6065,23.0812,23.4829,869010
VPB,20171011,23.6065,24.4099,23.5756,24.4098,3495690
VPB,20171012,24.4407,25.2132,24.2862,24.7497,2362040
VPB,20171013,24.6570,25.3677,24.6570,24.8424,1322500
VPB,20171016,24.8424,25.4604,24.8424,25.1514,2217910
VPB,20171017,25.1514,25.6458,25.1514,25.4604,1689100
VPB,20171018,25.9548,26.0166,25.5222,25.5222,2362080
VPB,20171019,25.4604,25.7694,25.2132,25.3986,1057180
VPB,20171020,25.3986,25.7076,25.3986,25.5222,1480860
VPB,20171023,25.5222,25.8930,25.1514,25.2132,1498490
VPB,20171024,25.3059,25.3059,24.9969,25.1514,826280
VPB,20171025,25.1514,25.4295,24.9042,25.3368,1275530
VPB,20171026,25.3368,25.5222,25.0278,25.1514,757830
VPB,20171027,25.0896,25.3368,25.0587,25.2441,738890
VPB,20171030,25.2441,25.8312,25.2441,25.3986,1960480
VPB,20171031,25.3986,25.5222,25.0896,25.1205,1027260
VPB,20171101,25.0896,25.2750,24.8115,24.9042,994020
VPB,20171102,24.8424,25.0896,23.2357,23.2975,2450520
VPB,20171103,23.3593,24.8424,23.3593,24.8424,1257280
VPB,20171106,24.8424,24.8424,24.4098,24.6570,490420
VPB,20171107,24.5952,24.5952,24.3480,24.4098,579800
VPB,20171108,24.4098,24.9042,24.1935,24.8424,826220
VPB,20171109,24.9042,24.9042,24.4098,24.5334,537590
VPB,20171110,24.5025,24.5334,24.4098,24.4407,503430
VPB,20171113,24.4716,24.4716,23.8536,23.9155,734400
VPB,20171114,23.9155,24.3481,23.9155,24.1318,777620
VPB,20171115,24.2554,24.3790,23.9773,24.2862,775820
VPB,20171116,24.2862,24.9660,24.1317,24.4098,916660
VPB,20171117,24.5952,24.7188,24.3789,24.4098,561660
VPB,20171120,24.4716,24.4716,24.1317,24.1626,629260
VPB,20171121,24.1008,24.3171,23.9463,24.0700,1003180
