<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VPG,20180309,19.30,19.80,19.10,19.70,71230,19.30,19.80,19.10,19.70,0,0,0
VPG,20180308,19.50,20.00,19.00,19.00,94850,19.50,20.00,19.00,19.00,0,0,0
VPG,20180307,19.60,20.30,19.50,20.00,88030,19.60,20.30,19.50,20.00,0,0,0
VPG,20180306,19.60,20.00,19.60,20.00,95930,19.60,20.00,19.60,20.00,0,0,0
VPG,20180305,19.60,19.70,19.30,19.60,102060,19.60,19.70,19.30,19.60,0,0,0
VPG,20180302,19.70,20.00,19.50,19.50,113140,19.70,20.00,19.50,19.50,0,0,0
VPG,20180301,20.80,20.80,19.50,20.00,105870,20.80,20.80,19.50,20.00,0,0,0
VPG,20180228,20.90,20.90,20.00,20.30,108870,20.90,20.90,20.00,20.30,0,0,0
VPG,20180227,19.90,21.00,19.50,21.00,106990,19.90,21.00,19.50,21.00,0,0,0
VPG,20180226,19.00,19.90,19.00,19.90,114390,19.00,19.90,19.00,19.90,0,0,0
VPG,20180223,18.60,19.50,18.60,18.60,151990,18.60,19.50,18.60,18.60,0,0,0
VPG,20180222,19.50,20.00,19.00,19.00,115010,19.50,20.00,19.00,19.00,0,0,0
VPG,20180221,20.50,20.50,19.50,19.50,76550,20.50,20.50,19.50,19.50,0,0,0
VPG,20180213,21.00,21.00,20.00,20.50,130330,21.00,21.00,20.00,20.50,0,0,500
VPG,20180212,20.30,21.00,20.00,20.40,128290,20.30,21.00,20.00,20.40,0,0,0
VPG,20180209,20.00,20.90,19.80,20.30,101080,20.00,20.90,19.80,20.30,0,0,0
VPG,20180208,21.00,21.00,19.90,20.00,108730,21.00,21.00,19.90,20.00,0,0,0
VPG,20180207,18.95,19.90,18.60,19.90,166790,18.95,19.90,18.60,19.90,0,0,0
VPG,20180206,18.60,20.00,18.60,18.60,182810,18.60,20.00,18.60,18.60,0,0,0
VPG,20180205,20.00,20.00,19.00,20.00,165240,20.00,20.00,19.00,20.00,0,0,0
VPG,20180202,20.00,20.40,19.00,20.40,154050,20.00,20.40,19.00,20.40,0,0,0
VPG,20180201,22.50,22.50,20.40,20.40,214680,22.50,22.50,20.40,20.40,0,0,0
VPG,20180131,19.50,21.95,19.50,21.90,240700,19.50,21.95,19.50,21.90,0,0,0
VPG,20180130,20.55,20.55,19.25,20.55,291600,20.55,20.55,19.25,20.55,0,1150,0
VPG,20180129,19.25,19.25,19.25,19.25,7000,19.25,19.25,19.25,19.25,0,0,0
VPG,20180126,18.00,18.00,18.00,18.00,9900,18.00,18.00,18.00,18.00,100000,0,0
VPG,20180125,16.85,16.85,16.85,16.85,1000,16.85,16.85,16.85,16.85,300000,0,0
VPG,20180122,15.75,15.75,15.75,15.75,3400,15.75,15.75,15.75,15.75,100000,0,0
VPG,20180119,14.75,14.75,14.75,14.75,2200,14.75,14.75,14.75,14.75,0,0,0
