<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VPH,20180222,12.70,12.80,12.55,12.55,414660,12.70,12.80,12.55,12.55,0,0,0
VPH,20180221,12.35,13.00,12.35,12.70,399130,12.35,13.00,12.35,12.70,0,0,0
VPH,20180213,12.50,12.50,12.30,12.40,103970,12.50,12.50,12.30,12.40,0,0,0
VPH,20180212,12.65,12.70,12.30,12.40,149160,12.65,12.70,12.30,12.40,0,0,0
VPH,20180209,12.00,12.40,12.00,12.40,153010,12.00,12.40,12.00,12.40,0,1500,0
VPH,20180208,12.40,12.60,12.15,12.35,404710,12.40,12.60,12.15,12.35,0,0,0
VPH,20180207,12.20,12.20,11.65,12.15,116080,12.20,12.20,11.65,12.15,0,0,0
VPH,20180206,11.90,11.90,11.20,11.90,184160,11.90,11.90,11.20,11.90,0,0,0
VPH,20180205,12.00,12.35,11.80,12.00,370360,12.00,12.35,11.80,12.00,0,5000,2000
VPH,20180202,12.00,12.00,11.75,11.90,50880,12.00,12.00,11.75,11.90,0,0,0
VPH,20180201,12.15,12.20,11.80,12.10,117640,12.15,12.20,11.80,12.10,0,0,0
VPH,20180131,12.65,12.70,12.20,12.20,375210,12.65,12.70,12.20,12.20,380000,900,0
VPH,20180130,11.50,12.25,11.30,12.25,344890,11.50,12.25,11.30,12.25,0,0,0
VPH,20180129,11.50,11.60,11.40,11.45,47310,11.50,11.60,11.40,11.45,0,0,0
VPH,20180126,11.25,11.50,11.25,11.45,79810,11.25,11.50,11.25,11.45,0,0,0
VPH,20180125,11.15,11.45,10.90,11.30,379120,11.15,11.45,10.90,11.30,0,64330,0
VPH,20180122,11.40,11.40,11.10,11.30,99180,11.40,11.40,11.10,11.30,0,6000,0
VPH,20180119,11.30,11.30,11.00,11.30,122620,11.30,11.30,11.00,11.30,0,10000,0
VPH,20180118,11.30,11.40,11.15,11.30,119510,11.30,11.40,11.15,11.30,0,21400,9500
VPH,20180117,11.60,11.60,11.30,11.30,75970,11.60,11.60,11.30,11.30,0,330,0
VPH,20180116,11.70,11.70,11.40,11.55,102410,11.70,11.70,11.40,11.55,0,0,0
VPH,20180115,11.30,11.55,11.30,11.50,62100,11.30,11.55,11.30,11.50,0,0,0
VPH,20180112,11.30,11.60,11.25,11.30,173300,11.30,11.60,11.25,11.30,0,0,0
VPH,20180111,11.50,11.75,11.50,11.70,263200,11.50,11.75,11.50,11.70,0,0,0
VPH,20180110,11.70,11.70,11.45,11.55,59530,11.70,11.70,11.45,11.55,0,0,0
VPH,20180109,11.40,11.60,11.30,11.50,244160,11.40,11.60,11.30,11.50,100000,47690,0
