<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VSC,20080109,2.3395,2.4716,2.3395,2.3395,96510
VSC,20080110,2.3395,2.3395,2.2263,2.2263,63590
VSC,20080111,2.2263,2.3206,2.2263,2.2640,60040
VSC,20080114,2.2640,2.3206,2.1697,2.1697,28870
VSC,20080115,2.1697,2.1697,2.0754,2.0754,8710
VSC,20080116,2.0754,2.1697,2.0754,2.1697,24170
VSC,20080117,2.1697,2.1886,2.0942,2.1320,27040
VSC,20080118,2.1320,2.1697,2.1320,2.1697,18510
VSC,20080121,2.1697,2.1697,2.0754,2.0754,27850
VSC,20080122,2.0754,2.1131,1.9810,1.9810,30590
VSC,20080123,1.9810,1.9810,1.8867,1.8867,23670
VSC,20080124,1.8867,1.9244,1.8018,1.8018,41820
VSC,20080125,1.8018,1.8678,1.8018,1.8301,23710
VSC,20080128,1.8301,1.9056,1.8301,1.9056,42340
VSC,20080129,1.9056,1.9999,1.9056,1.9999,1170
VSC,20080130,1.9999,2.0942,1.9999,2.0942,260
VSC,20080131,2.0942,2.1886,2.0942,2.1886,22480
VSC,20080201,2.1886,2.2829,2.1886,2.2829,15470
VSC,20080212,2.2829,2.3961,2.2829,2.3961,8490
VSC,20080213,2.3961,2.4716,2.2829,2.3772,146090
VSC,20080214,2.3772,2.4904,2.3772,2.4904,76170
VSC,20080215,2.4904,2.6036,2.4527,2.6036,81380
VSC,20080218,2.6036,2.6036,2.4904,2.4904,22300
VSC,20080219,2.4904,2.4904,2.3772,2.3961,72820
VSC,20080220,2.3961,2.3961,2.2829,2.2829,53480
VSC,20080221,2.2829,2.2829,2.1697,2.1697,30660
VSC,20080222,2.1697,2.1697,2.0754,2.0754,62780
VSC,20080225,2.0754,2.1697,2.0754,2.1697,48970
VSC,20080226,2.1697,2.1697,2.0754,2.0754,40020
VSC,20080227,2.0754,2.1131,1.9810,1.9810,63030
VSC,20080228,1.9810,1.9999,1.9056,1.9433,40500
VSC,20080229,1.9433,1.9433,1.8867,1.8867,40020
VSC,20080303,1.8867,1.8867,1.7924,1.7924,45940
VSC,20080304,1.7924,1.7924,1.7075,1.7075,7560
VSC,20080305,1.7075,1.7075,1.6226,1.6226,8730
VSC,20080306,1.6226,1.6980,1.6226,1.6980,12550
VSC,20080307,1.6980,1.7829,1.6980,1.7829,103810
VSC,20080310,1.7829,1.8678,1.7829,1.8112,79070
VSC,20080311,1.8112,1.8395,1.7263,1.7263,65280
VSC,20080312,1.7263,1.7924,1.7263,1.7735,34470
VSC,20080313,1.7735,1.8112,1.7735,1.7924,24120
VSC,20080314,1.7924,1.7924,1.7169,1.7169,65610
VSC,20080317,1.7169,1.7169,1.6320,1.6320,44800
VSC,20080318,1.6320,1.6320,1.5565,1.5565,16800
VSC,20080319,1.5565,1.5565,1.4811,1.4811,72570
VSC,20080320,1.4811,1.4811,1.4150,1.4150,111310
VSC,20080321,1.4150,1.4150,1.3584,1.3679,78880
VSC,20080324,1.3679,1.3679,1.3018,1.3018,93240
VSC,20080325,1.3018,1.3018,1.2452,1.2452,89070
VSC,20080326,1.2452,1.3018,1.2358,1.3018,59990
VSC,20080327,1.3018,1.3113,1.3018,1.3113,15130
VSC,20080328,1.3113,1.3207,1.3113,1.3207,120
VSC,20080331,1.3207,1.3301,1.3207,1.3301,2020
VSC,20080401,1.3301,1.3396,1.3301,1.3396,10020
VSC,20080402,1.3396,1.3490,1.3396,1.3490,5320
VSC,20080403,1.3490,1.3584,1.3490,1.3584,5010
VSC,20080404,1.3584,1.3679,1.3584,1.3679,10
VSC,20080407,1.3679,1.3867,1.3679,1.3867,5000
VSC,20080408,1.3867,1.4056,1.3679,1.3867,117780
VSC,20080409,1.3867,1.3867,1.3679,1.3679,32590
VSC,20080410,1.3679,1.3679,1.3490,1.3490,5450
VSC,20080411,1.3490,1.3490,1.3301,1.3301,8070
VSC,20080416,1.3301,1.3301,1.3113,1.3113,3220
VSC,20080417,1.3113,1.3301,1.2924,1.3301,62840
VSC,20080418,1.3301,1.3301,1.3113,1.3113,20260
VSC,20080421,1.3113,1.3113,1.2924,1.2924,7360
VSC,20080422,1.2924,1.2924,1.2735,1.2735,3050
VSC,20080423,1.2735,1.2735,1.2547,1.2547,200
VSC,20080424,1.2547,1.2547,1.2358,1.2358,39480
VSC,20080425,1.2358,1.2547,1.2169,1.2264,27990
VSC,20080428,1.2264,1.2452,1.2075,1.2358,32860
VSC,20080429,1.2358,1.2547,1.2169,1.2358,21190
VSC,20080505,1.2358,1.2358,1.2169,1.2169,12000
VSC,20080506,1.2169,1.2169,1.1980,1.1980,3200
VSC,20080507,1.1980,1.1980,1.1792,1.1792,60
VSC,20080508,1.1792,1.1792,1.1603,1.1603,10
VSC,20080509,1.1603,1.1603,1.1414,1.1414,20
VSC,20080512,1.1414,1.1414,1.1226,1.1226,500
VSC,20080513,1.1226,1.1226,1.1037,1.1037,10
VSC,20080514,1.1037,1.1037,1.0848,1.0848,500
VSC,20080515,1.0848,1.0848,1.0660,1.0660,10
VSC,20080516,1.0660,1.0660,1.0471,1.0471,5190
VSC,20080519,1.0471,1.0471,1.0282,1.0282,710
VSC,20080520,1.0282,1.0282,1.0094,1.0094,10
VSC,20080521,1.0094,1.0094,0.9905,0.9905,10
VSC,20080522,0.9905,0.9905,0.9811,0.9811,2000
VSC,20080523,0.9811,0.9811,0.9622,0.9622,1050
VSC,20080526,0.9622,0.9622,0.9433,0.9433,520
VSC,20080527,0.9433,0.9433,0.9433,0.9433,0
VSC,20080528,0.9433,0.9433,0.9433,0.9433,0
VSC,20080529,0.9433,0.9433,0.9433,0.9433,0
VSC,20080530,0.9433,0.9433,0.9245,0.9245,910
VSC,20080602,0.9245,0.9245,0.9075,0.9075,30
VSC,20080603,0.9075,0.9075,0.8905,0.8905,5010
VSC,20080604,0.8905,0.8905,0.8735,0.8735,6170
VSC,20080605,0.8735,0.8735,0.8581,0.8581,7020
VSC,20080606,0.8581,0.8581,0.8422,0.8422,8400
VSC,20080609,0.8422,0.8422,0.8264,0.8264,2010
VSC,20080610,0.8264,0.8264,0.8105,0.8105,10
VSC,20080611,0.8105,0.8264,0.7947,0.8264,43200
VSC,20080612,0.8264,0.8422,0.8264,0.8422,22490
VSC,20080613,0.8422,0.8581,0.8422,0.8581,4040
VSC,20080616,0.8581,0.8739,0.8581,0.8739,3760
VSC,20080617,0.8739,0.8898,0.8739,0.8898,200
VSC,20080618,0.8898,0.9056,0.8739,0.8739,46570
VSC,20080619,0.8739,0.8739,0.8490,0.8490,3510
VSC,20080620,0.8490,0.8490,0.8241,0.8264,20310
VSC,20080623,0.8264,0.8490,0.8151,0.8490,32640
VSC,20080624,0.8490,0.8739,0.8490,0.8739,810
VSC,20080625,0.8739,0.8988,0.8739,0.8988,6540
VSC,20080626,0.8988,0.9237,0.8988,0.8988,86110
VSC,20080627,0.8988,0.9237,0.8739,0.9237,50200
VSC,20080630,0.9237,0.9509,0.8988,0.9509,14330
VSC,20080701,0.9509,0.9781,0.9509,0.9781,9200
VSC,20080702,0.9781,1.0052,0.9781,1.0052,65660
VSC,20080703,1.0052,1.0347,1.0052,1.0347,9100
VSC,20080704,1.0347,1.0641,1.0347,1.0641,9420
VSC,20080707,1.0641,1.0958,1.0460,1.0550,98190
VSC,20080708,1.0550,1.0845,1.0301,1.0845,100440
VSC,20080709,1.0845,1.1162,1.0845,1.1162,20
VSC,20080710,1.1162,1.1433,1.1162,1.1433,3250
VSC,20080711,1.1433,1.1773,1.1433,1.1773,750
VSC,20080714,1.1773,1.2113,1.1773,1.2113,24450
VSC,20080715,1.2113,1.2452,1.2113,1.2452,12300
VSC,20080716,1.2452,1.2792,1.2452,1.2792,50970
VSC,20080717,1.2792,1.3131,1.2792,1.3131,8760
VSC,20080718,1.3131,1.3471,1.2792,1.3471,127430
VSC,20080721,1.3471,1.3471,1.3131,1.3131,35330
VSC,20080722,1.3131,1.3131,1.2792,1.2792,22300
VSC,20080723,1.2792,1.2792,1.2452,1.2452,7920
VSC,20080724,1.2452,1.2792,1.2113,1.2113,215060
VSC,20080725,1.2113,1.2452,1.2113,1.2452,131290
VSC,20080728,1.2452,1.2792,1.2452,1.2792,8310
VSC,20080729,1.2792,1.3131,1.2792,1.3131,700
VSC,20080730,1.3131,1.3471,1.3131,1.3471,118720
VSC,20080731,1.3471,1.3811,1.3471,1.3811,118550
VSC,20080801,1.3811,1.4150,1.3811,1.4150,35200
VSC,20080804,1.4150,1.4490,1.3811,1.4150,147500
VSC,20080805,1.4150,1.4150,1.3811,1.3811,142880
VSC,20080806,1.3811,1.4162,1.3811,1.4162,49500
VSC,20080807,1.4162,1.4513,1.4162,1.4396,57390
VSC,20080808,1.4396,1.4747,1.4396,1.4747,84620
VSC,20080811,1.4747,1.5098,1.4747,1.5098,10750
VSC,20080812,1.5098,1.5449,1.5098,1.5449,45580
VSC,20080813,1.5449,1.5800,1.5449,1.5800,55460
VSC,20080814,1.5800,1.6268,1.5800,1.6268,81970
VSC,20080815,1.6268,1.6737,1.6268,1.6737,6600
VSC,20080818,1.6737,1.7556,1.6737,1.7556,12340
VSC,20080819,1.7556,1.8375,1.7556,1.8375,96220
VSC,20080820,1.8375,1.9194,1.8375,1.9194,92050
VSC,20080821,1.9194,2.0131,1.9194,2.0131,82390
VSC,20080822,2.0131,2.1067,2.0131,2.0599,102520
VSC,20080825,2.0599,2.1535,2.0599,2.1535,115780
VSC,20080826,2.1535,2.2589,2.0716,2.0716,53040
VSC,20080827,2.0716,2.1652,2.0248,2.0716,129940
VSC,20080828,2.0716,2.0716,1.9780,1.9780,98290
VSC,20080829,1.9780,1.9780,1.8843,1.9780,73620
VSC,20080903,1.9780,2.0716,1.9780,2.0716,35910
VSC,20080904,2.0716,2.1067,1.9780,2.0599,21030
VSC,20080905,2.0599,2.0599,1.9663,1.9663,19540
VSC,20080908,1.9663,1.9663,1.8726,1.8726,65590
VSC,20080909,1.8726,1.9546,1.7790,1.9546,55740
