Ticker,Close,Close_1D,Open,Low,High,Volume,MeanVol_13W,MeanVol_10W,High52W,Low52W,EPS,PE,Market capital,Float,BookValue,Beta,ROE,EPS_52W,CPM,FVQ
AAA,21.3,21.85,21.7,21.3,21.95,447340.0,1300320.0,956515.0,26.0,18.0,1336.0,15.9,1781.0,167.2,27.4,0.53,16.0,2397.0,1.4444444444444444,128.58373323489602
AAM,10.5,10.5,0.0,0.0,0.0,0.0,2693.0,991.0,11.0,8.9,103.0,101.9,133.0,10.44,23.1,-0.17,0.0,230.0,1.2359550561797752,3876.717415521723
ABC,13.7,13.7,13.5,13.5,13.7,9300.0,18200.0,22597.0,31.1,13.5,15521.0,0.9,279.0,20.39,26.7,0.0,59.0,4077.0,2.303703703703704,1120.3296703296705
ABI,26.4,26.5,26.4,26.4,26.4,800.0,9128.0,7648.0,39.6,21.0,3380.0,7.8,1003.0,38.0,18.3,0.0,18.0,2934.0,1.8857142857142857,4163.014899211218
ABT,37.9,36.65,36.6,35.0,37.9,700.0,2131.0,1667.0,43.5,25.1,2368.0,16.0,535.0,11.56,34.9,0.38,7.0,4124.0,1.7330677290836651,5424.683247301737
AC4,13.6,13.6,0.0,0.0,0.0,0.0,9.0,0.0,35.6,9.8,0.0,0.0,40.0,2.94,0.0,0.0,23.0,0.0,3.63265306122449,326666.6666666667
ACB,48.9,49.5,49.5,48.7,50.3,3236000.0,4288686.0,3969029.0,51.1,20.1,1927.0,25.4,50236.0,1099.35,16.0,1.51,13.0,1326.0,2.54228855721393,256.33725574686514
ACC,20.0,20.45,20.0,20.0,20.0,20.0,1757.0,726.0,27.0,19.5,2385.0,8.4,200.0,10.0,0.0,0.04,12.0,0.0,1.3846153846153846,5691.519635742743
ACE,24.7,24.9,24.8,24.7,24.8,10300.0,2209.0,4600.0,30.1,23.7,1806.0,13.7,75.0,3.05,0.0,0.0,21.0,0.0,1.270042194092827,1380.7152557718423
ACL,9.4,9.2,9.4,9.4,9.4,10.0,12418.0,10436.0,9.4,7.6,983.0,9.6,214.0,22.8,16.4,0.22,6.0,1025.0,1.236842105263158,1836.0444516025125
ACM,1.0,1.0,1.0,0.9,1.1,261800.0,332923.0,190388.0,2.5,1.0,-536.0,-1.9,51.0,51.0,10.0,1.49,-5.0,158.0,2.5,153.1885751359924
ACS,14.1,14.1,0.0,0.0,0.0,0.0,92.0,17.0,20.3,7.4,0.0,0.0,56.0,4.0,0.0,0.0,13.0,0.0,2.7432432432432434,43478.260869565216
ACV,92.0,92.9,93.0,91.0,93.0,52300.0,170388.0,81144.0,119.0,47.4,1921.0,47.9,200300.0,2177.17,12.6,0.0,15.0,2399.0,2.5105485232067513,12777.7190881987
ADC,17.5,17.5,17.5,17.5,17.5,500.0,237.0,160.0,17.5,12.4,2919.0,6.0,54.0,3.06,15.9,0.75,19.0,2302.0,1.411290322580645,12911.39240506329
ADP,21.0,18.3,21.0,21.0,21.0,100.0,2142.0,711.0,37.8,17.0,3082.0,6.8,323.0,15.36,14.2,0.0,22.0,4006.0,2.2235294117647055,7170.868347338935
ADS,16.1,16.1,15.9,15.9,16.15,15070.0,23749.0,14485.0,19.8,15.7,2499.0,6.4,411.0,25.52,25.8,0.05,15.0,2150.0,1.2611464968152868,1074.5715609078277
AFC,10.0,10.0,0.0,0.0,0.0,0.0,35795.0,0.0,20.0,6.5,3.0,3333.3,107.0,10.69,9.8,0.0,-2.0,0.0,3.076923076923077,298.64506215951945
AFX,4.3,4.2,4.3,4.3,4.3,1000.0,2205.0,2821.0,5.9,3.1,672.0,6.4,151.0,35.0,10.6,0.0,6.0,229.0,1.903225806451613,15873.015873015873
AG1,15.0,15.0,0.0,0.0,0.0,0.0,347.0,40.0,15.0,11.9,422.0,35.5,73.0,4.86,10.2,0.0,17.0,422.0,1.2605042016806722,14005.763688760808
AGF,5.7,5.7,0.0,0.0,0.0,0.0,5654.0,1911.0,10.5,5.2,-10131.0,-0.6,160.0,28.11,18.0,0.47,-56.0,162.0,2.019230769230769,4971.701450300672
AGM,9.0,8.81,8.31,8.31,9.0,20.0,2863.0,1824.0,10.1,8.0,619.0,14.5,164.0,18.2,19.8,0.17,3.0,322.0,1.2625,6356.968215158924
AGP,29.5,29.5,0.0,0.0,0.0,0.0,202.0,10.0,30.5,21.5,2674.0,11.0,218.0,7.4,19.3,0.0,19.0,0.0,1.4186046511627908,36633.66336633664
AGR,4.95,5.08,5.14,4.95,5.14,185060.0,505230.0,126351.0,6.7,3.4,296.0,16.7,1049.0,211.2,8.4,0.84,4.0,-1965.0,1.9705882352941178,418.0274330502939
AGX,34.4,34.4,0.0,0.0,0.0,0.0,169.0,573.0,41.0,19.1,0.0,0.0,372.0,10.8,0.0,0.0,18.0,0.0,2.1465968586387434,63905.32544378699
ALT,12.5,12.5,0.0,0.0,0.0,0.0,842.0,16.0,16.2,11.9,1195.0,10.5,77.0,5.74,36.3,0.28,4.0,1035.0,1.3613445378151259,6817.102137767221
ALV,6.2,6.4,6.2,5.8,6.3,238100.0,104434.0,175487.0,18.4,3.2,3182.0,1.9,20.0,3.16,17.2,0.86,23.0,897.0,5.749999999999999,30.25834498343451
AMC,25.5,25.0,25.0,25.0,25.5,1900.0,696.0,1060.0,30.0,20.0,4231.0,6.0,73.0,2.85,17.7,0.35,24.0,4436.0,1.5,4094.8275862068967
AMD,4.03,3.77,3.82,3.82,4.03,1239760.0,2411052.0,815586.0,23.5,3.7,274.0,14.7,659.0,163.5,12.1,0.0,5.0,665.0,6.351351351351351,67.81272241328682
AME,12.4,12.4,0.0,0.0,0.0,0.0,2298.0,0.0,16.2,4.0,1009.0,12.3,149.0,12.0,12.4,0.97,8.0,175.0,4.05,5221.9321148825065
AMP,16.2,16.2,0.0,0.0,0.0,0.0,1291.0,610.0,24.0,12.5,1063.0,15.2,211.0,13.0,12.8,0.0,12.0,0.0,1.92,10069.713400464756
AMS,7.6,7.6,0.0,0.0,0.0,0.0,2813.0,2471.0,9.5,5.6,794.0,9.6,114.0,15.0,12.1,0.0,6.0,1116.0,1.6964285714285716,5332.385353714895
AMV,16.9,16.9,16.9,16.9,16.9,2300.0,5580.0,5450.0,18.5,12.6,1419.0,11.9,458.0,27.12,13.0,0.35,11.0,30.0,1.4682539682539684,4860.215053763441
ANT,10.3,10.3,0.0,0.0,0.0,0.0,461.0,0.0,12.9,8.3,0.0,0.0,62.0,6.0,0.0,0.0,-40.0,0.0,1.5542168674698795,13015.184381778741
ANV,26.4,26.9,27.0,25.8,27.2,937450.0,802105.0,921500.0,26.9,3.4,1050.0,25.1,3301.0,124.65,11.1,0.3,10.0,158.0,7.911764705882352,155.40359429251782
