Ticker,Close,Close_1D,Open,Low,High,Volume,MeanVol_13W,MeanVol_10D,High52W,Low52W,EPS,PE,Market capital,Float,BookValue,Beta,ROE,EPS_52W,CPM,FVQ,Exchange
000001.SS,2901.66,2939.21,2905.07,2899.52,2905.07,830860300.0,285463.0,0.0,3270.8,2464.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3272196072066222,0.0,BM
A32,25.5,25.5,0.0,0.0,0.0,0.0,34.0,0.0,30.5,22.0,0.0,0.0,173000000000.0,6800000.0,0.0,0.0,20.0,0.0,1.3863636363636365,199999.99999999997,BM
AAA,17.2,17.2,0.0,0.0,0.0,0.0,2752962.0,1868697.0,23.0,13.8,1200.0,13.9,2945000000000.0,171200000.0,17.4,0.71,8.0,1538.0,1.6666666666666665,62.187563794923435,BM
AAM,12.45,12.45,0.0,0.0,0.0,0.0,4357.0,6199.0,14.5,7.3,700.0,18.1,157000000000.0,13960000.0,19.7,0.09,5.0,100.0,1.9863013698630136,3204.0394767041544,BM
AAV,10.0,10.0,0.0,0.0,0.0,0.0,131417.0,180015.0,28.1,9.4,700.0,13.8,144000000000.0,31870000.0,14.2,0.97,14.0,827.0,2.9893617021276597,242.5104819011239,BM
ABC,9.3,9.3,0.0,0.0,0.0,0.0,10268.0,24689.0,14.6,6.6,1200.0,8.0,190000000000.0,20390000.0,27.6,0.0,4.0,15755.0,2.2121212121212124,1985.7810673938452,BM
ABI,23.2,23.2,0.0,0.0,0.0,0.0,3037.0,200.0,27.5,19.7,4700.0,5.0,882000000000.0,38000000.0,20.7,0.0,23.0,3380.0,1.3959390862944163,12512.347711557459,BM
ABR,5.0,5.0,0.0,0.0,0.0,0.0,2705.0,0.0,10.5,3.0,0.0,0.0,15000000000.0,3000000.0,0.0,0.0,2.0,0.0,3.5,1109.0573012939,BM
ABT,38.05,38.05,0.0,0.0,0.0,0.0,829.0,1917.0,45.3,30.6,5800.0,6.6,537000000000.0,11560000.0,36.3,0.19,16.0,2368.0,1.480392156862745,13944.511459589867,BM
ACB,29.3,29.3,0.0,0.0,0.0,0.0,1748732.0,2648981.0,38.7,26.0,4100.0,7.1,37756000000000.0,1247170000.0,16.9,1.55,24.0,1698.0,1.4884615384615385,713.1853251384433,BM
ACC,20.1,20.1,0.0,0.0,0.0,0.0,1770.0,823.0,22.5,17.1,3500.0,5.7,201000000000.0,10000000.0,0.0,0.22,17.0,0.0,1.3157894736842104,5649.717514124294,BM
ACE,24.0,24.0,0.0,0.0,0.0,0.0,449.0,1290.0,26.2,16.6,1800.0,13.3,73000000000.0,3050000.0,0.0,0.0,21.0,0.0,1.578313253012048,6792.873051224944,BM
ACL,40.75,40.75,0.0,0.0,0.0,0.0,49891.0,91290.0,46.0,8.8,10400.0,3.9,929000000000.0,22800000.0,24.8,0.34,42.0,983.0,5.227272727272727,456.9962518289872,BM
ACM,0.6,0.6,0.0,0.0,0.0,0.0,234800.0,81541.0,1.0,0.5,-100.0,-7.1,31000000000.0,51000000.0,9.9,1.23,-1.0,-536.0,2.0,217.20613287904598,BM
ACS,15.5,15.5,0.0,0.0,0.0,0.0,7.0,0.0,16.1,7.9,0.0,0.0,62000000000.0,4000000.0,0.0,0.0,12.0,0.0,2.037974683544304,571428.5714285714,BM
ACV,80.1,80.1,0.0,0.0,0.0,0.0,72566.0,30020.0,95.2,78.4,2900.0,28.1,174392000000000.0,2177170000.0,14.0,0.0,20.0,1931.0,1.2142857142857142,30002.618306093762,BM
ADC,15.7,15.7,0.0,0.0,0.0,0.0,768.0,1.0,18.1,14.7,3300.0,4.7,48000000000.0,3060000.0,17.3,0.14,19.0,2919.0,1.231292517006803,3984.375,BM
ADP,19.6,19.6,0.0,0.0,0.0,0.0,225.0,29.0,43.5,16.1,2000.0,9.7,301000000000.0,15360000.0,14.3,0.0,14.0,3082.0,2.701863354037267,68266.66666666667,BM
ADS,15.2,15.2,0.0,0.0,0.0,0.0,15386.0,18018.0,16.4,13.1,2900.0,5.2,388000000000.0,25520000.0,17.7,0.11,18.0,2381.0,1.2519083969465647,1658.6507214350709,BM
AFC,10.3,10.3,0.0,0.0,0.0,0.0,7.0,0.0,10.3,8.5,0.0,3433.3,110000000000.0,10690000.0,9.8,0.0,-2.0,0.0,1.211764705882353,1527142.857142857,BM
AFX,2.9,2.9,0.0,0.0,0.0,0.0,478.0,7860.0,4.0,2.6,200.0,13.3,102000000000.0,35000000.0,10.4,0.0,2.0,696.0,1.5384615384615383,73221.75732217573,BM
AG1,11.0,11.0,0.0,0.0,0.0,0.0,49.0,0.0,12.1,5.2,400.0,26.1,53000000000.0,4860000.0,10.2,0.0,17.0,422.0,2.3269230769230766,99183.67346938777,BM
AGF,4.8,4.8,0.0,0.0,0.0,0.0,6178.0,379.0,8.4,3.0,-2800.0,-1.7,135000000000.0,28110000.0,15.1,0.24,-19.0,-10131.0,2.8000000000000003,4550.016186468112,BM
AGM,10.5,10.5,0.0,0.0,0.0,0.0,2401.0,40588.0,15.3,7.9,1500.0,6.9,191000000000.0,18200000.0,20.7,-0.07,7.0,619.0,1.9367088607594938,7580.174927113702,BM
AGP,23.1,23.1,0.0,0.0,0.0,0.0,149.0,0.0,32.0,20.0,2900.0,8.0,222000000000.0,9630000.0,17.1,0.0,17.0,2703.0,1.6,64630.87248322148,BM
AGR,3.69,3.69,0.0,0.0,0.0,0.0,155051.0,69282.0,4.2,3.1,300.0,11.5,782000000000.0,211200000.0,8.9,0.81,4.0,296.0,1.3548387096774195,1362.1324596423112,BM
AGX,26.0,26.0,0.0,0.0,0.0,0.0,193.0,1840.0,30.6,16.4,0.0,0.0,281000000000.0,10800000.0,0.0,0.0,18.0,0.0,1.8658536585365857,55958.54922279793,BM
ALT,11.1,11.1,0.0,0.0,0.0,0.0,758.0,30.0,15.6,11.1,1200.0,9.5,69000000000.0,5740000.0,36.4,-0.02,3.0,1187.0,1.4054054054054055,7572.559366754617,BM
ALV,3.0,3.0,0.0,0.0,0.0,0.0,12042.0,3211.0,4.7,1.9,1900.0,1.6,9000000000.0,3160000.0,20.4,0.92,11.0,2577.0,2.473684210526316,262.414881248962,BM
AMC,20.0,20.0,0.0,0.0,0.0,0.0,732.0,1420.0,24.7,17.5,3800.0,5.3,57000000000.0,2850000.0,16.5,0.61,23.0,4231.0,1.4114285714285715,3893.44262295082,BM
AMD,1.83,1.83,0.0,0.0,0.0,0.0,2635848.0,416375.0,4.1,1.8,400.0,5.2,299000000000.0,163500000.0,11.0,0.99,3.0,224.0,2.2777777777777777,62.029373469183355,BM
AME,9.8,9.8,0.0,0.0,0.0,0.0,483.0,100.0,16.5,7.2,700.0,13.3,247000000000.0,25200000.0,13.9,-0.35,11.0,1009.0,2.2916666666666665,52173.91304347826,BM
AMP,16.2,16.2,0.0,0.0,0.0,0.0,23.0,10.0,25.8,16.2,1300.0,12.9,211000000000.0,13000000.0,13.4,0.0,9.0,262.0,1.5925925925925928,565217.3913043478,BM
