DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
24/03/2021,ACB,32.4,32.45,32.75,32.05,9941600,322347
23/03/2021,ACB,33.55,33,33.55,32.8,10347000,343091
22/03/2021,ACB,34.05,33.4,34.1,33.35,8706000,292502
19/03/2021,ACB,33.95,33.8,34.2,33.7,7108900,241305
18/03/2021,ACB,33.9,33.95,34.25,33.5,10281900,349046
17/03/2021,ACB,33.45,33.5,33.55,33.2,6246400,208406
16/03/2021,ACB,33.4,33.45,33.7,33.05,6112900,203900
15/03/2021,ACB,33,33.5,33.85,32.6,18052500,601077
12/03/2021,ACB,33,32.95,33.05,32.65,5195500,170412
11/03/2021,ACB,33,33,33.1,32.75,7124300,234600
10/03/2021,ACB,32.1,32.75,33.2,31.9,12152700,395808
09/03/2021,ACB,31.5,32.05,32.3,31.1,8819900,279208
08/03/2021,ACB,32.5,31.8,32.7,31.55,16047000,513871
05/03/2021,ACB,32.1,32.45,32.6,31.6,10157000,325976
04/03/2021,ACB,33.4,32.4,33.4,32.05,9814000,322331
03/03/2021,ACB,32.9,33.25,33.45,32.7,9072300,300597
02/03/2021,ACB,33.4,33,33.45,32.8,9574100,317278
01/03/2021,ACB,33.4,33.25,33.45,32.9,8464900,280895
26/02/2021,ACB,31.9,33.05,33.35,31.9,13071400,429305
25/02/2021,ACB,31.5,32.4,32.45,31.1,15014200,475955
24/02/2021,ACB,31.65,31.2,31.85,31,18685200,587404
23/02/2021,ACB,31.85,31.7,32.25,31.45,13951000,445362
22/02/2021,ACB,31.5,31.6,32.2,31.1,12587300,400543
19/02/2021,ACB,29,31.1,31.15,28.9,31184200,955345
18/02/2021,ACB,29.4,29.15,29.45,28.8,5547900,162199
17/02/2021,ACB,28.8,29.4,29.5,28.7,6855800,200110
09/02/2021,ACB,27.5,28.55,28.55,27.3,5954800,166713
08/02/2021,ACB,28.5,27.5,28.75,27.2,5755400,161109
05/02/2021,ACB,28.2,28.5,28.65,28.15,5610600,159713
04/02/2021,ACB,28.1,28.2,28.2,27.8,4250800,119229
03/02/2021,ACB,27.35,28.1,28.2,27.2,7054500,195374
02/02/2021,ACB,26.65,27.35,27.4,26.35,6544600,176046
01/02/2021,ACB,26.8,26.65,27.4,26.3,7528200,202084
29/01/2021,ACB,24.5,26.8,26.9,24.5,7621200,197435
28/01/2021,ACB,26,25.6,26.7,25.6,15154800,394649
27/01/2021,ACB,27.8,27.5,28.35,27.2,6387700,177674
26/01/2021,ACB,28.05,27.8,28.65,27.5,8096200,226784
25/01/2021,ACB,28.3,28.1,28.5,28.05,7683600,217133
22/01/2021,ACB,28.9,28.65,29.1,28.5,5438100,156699
21/01/2021,ACB,28.8,28.95,29.1,28.35,6535000,187464
20/01/2021,ACB,28,28.3,28.3,26.3,12323000,337432
19/01/2021,ACB,29.8,27.9,29.9,27.9,13077400,372993
18/01/2021,ACB,30.35,29.95,30.5,29.9,8419100,254632
15/01/2021,ACB,30,30.25,30.4,29.95,8184100,247201
14/01/2021,ACB,29.9,29.85,29.9,29.2,8491200,251521
13/01/2021,ACB,30.3,29.85,30.35,29.7,9915300,298476
12/01/2021,ACB,30.25,30.1,30.3,29.95,9277600,278980
11/01/2021,ACB,30.5,30.35,30.9,30.15,9821800,299405
08/01/2021,ACB,29.95,30.2,30.4,29.8,15519300,467789
07/01/2021,ACB,29.9,29.9,30,29.6,11636100,347102
06/01/2021,ACB,29.7,29.9,30.6,29.3,15883900,474885
05/01/2021,ACB,28.6,29.35,29.6,28.3,1869390,544055
04/01/2021,ACB,28.55,28.65,28.85,28.5,1077630,308837
31/12/2020,ACB,27.9,28.1,28.3,27.85,6774680,190241
30/12/2020,ACB,27.75,27.8,28.2,27.75,6741290,188327
29/12/2020,ACB,27.8,27.7,27.95,27.6,6501920,180670
28/12/2020,ACB,28.3,27.8,28.3,27.65,6223680,173685
25/12/2020,ACB,27.3,27.95,28,27.2,9194080,254292
24/12/2020,ACB,28.1,27.3,28.3,26.5,15831250,433277
23/12/2020,ACB,28.8,28.1,28.85,28,11216860,318931
22/12/2020,ACB,28.95,28.75,29,28.6,7573290,217803
21/12/2020,ACB,28.5,28.95,29.3,28.35,22481640,647070
18/12/2020,ACB,28.45,28.4,28.65,28.3,11693630,332617
17/12/2020,ACB,28.1,28.3,28.85,28.05,13567290,385226
16/12/2020,ACB,28,28.25,28.45,28,10461450,295830
15/12/2020,ACB,28.2,28,28.25,27.9,7305490,205170
14/12/2020,ACB,28.3,28.2,28.5,28.1,7325960,207005
11/12/2020,ACB,28.1,28.2,28.25,27.8,4459820,125178
10/12/2020,ACB,28.8,27.95,28.8,27.9,9233750,260989
09/12/2020,ACB,28.1,28.55,28.95,27.8,24200930,687775
02/12/2020,ACB,0,0,0,0,0,0
01/12/2020,ACB,27.2,27.3,27.3,26.8,9242900,250270
30/11/2020,ACB,27.4,27.2,27.4,27,8939000,242832
27/11/2020,ACB,27.5,27.2,27.6,27.2,5460400,148867
26/11/2020,ACB,27.3,27.4,27.7,27,10030200,274043
25/11/2020,ACB,27.3,27.3,27.6,27.1,6484600,177024
24/11/2020,ACB,27.3,27.3,27.8,27.1,10353900,282826
23/11/2020,ACB,27.5,27.3,27.6,27,10891200,296845
20/11/2020,ACB,27.3,27.3,27.4,26.8,9590800,259587
19/11/2020,ACB,27.3,27.2,27.5,27,6411600,174157
