DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
21/03/2018,ALV,10.3,10,10.4,9.8,125920,1267
20/03/2018,ALV,10,10.4,10.5,10,84430,870
19/03/2018,ALV,10.1,10.3,10.3,10,78215,799
16/03/2018,ALV,9.7,10.3,10.3,9.6,138200,1382
15/03/2018,ALV,9.5,9.7,9.8,9.3,105600,1008
14/03/2018,ALV,8.8,9.4,9.4,8.8,89556,832
13/03/2018,ALV,8.8,9.3,9.4,8.8,147300,1348
12/03/2018,ALV,9.2,9.2,9.4,8.6,127200,1148
09/03/2018,ALV,8.6,9.2,9.3,8.6,116165,1037
08/03/2018,ALV,8.8,8.9,9.1,8.5,63050,560
07/03/2018,ALV,8.5,8.8,9.4,8.5,168160,1496
06/03/2018,ALV,7.5,8.8,8.8,7.5,139000,1127
05/03/2018,ALV,7.8,8,8,7.4,100640,777
02/03/2018,ALV,8,8,8,7.5,87544,676
01/03/2018,ALV,8.5,8.1,8.5,7.8,96900,780
28/02/2018,ALV,8.2,8.5,8.5,8.2,57815,481
27/02/2018,ALV,9,8.5,9,8.3,59510,501
26/02/2018,ALV,8.8,8.7,8.8,8.5,77620,672
23/02/2018,ALV,8.6,8.6,8.6,8.2,77700,652
22/02/2018,ALV,8.6,8.6,8.7,8.3,73410,624
21/02/2018,ALV,8.7,8.8,8.9,8.5,50700,442
13/02/2018,ALV,8.9,8.9,9,8.4,53900,472
12/02/2018,ALV,9.1,8.9,9.3,8.5,49600,440
09/02/2018,ALV,9.1,8.8,9.1,8.4,133815,1140
08/02/2018,ALV,9.5,9.3,9.5,8.7,143000,1285
07/02/2018,ALV,8.8,9.6,9.6,8.8,110000,1013
06/02/2018,ALV,9.2,8.9,9.2,8.9,74310,662
05/02/2018,ALV,10.6,9.8,10.6,9.8,39795,396
02/02/2018,ALV,11.1,10.8,11.2,10.2,117500,1251
01/02/2018,ALV,10.5,11.2,11.2,10,202600,2124
31/01/2018,ALV,10.5,10.9,11.3,10.3,104660,1097
30/01/2018,ALV,12.3,11.4,12.3,11.4,49920,570
29/01/2018,ALV,12.1,12.6,12.9,11.4,60551,726
26/01/2018,ALV,12.1,12.1,12.1,10.8,86910,1021
25/01/2018,ALV,10.9,11,11,10.9,54656,601
24/01/2018,ALV,9.1,10,10,9.1,118991,1178
23/01/2018,ALV,9.3,9.1,9.3,8.9,67900,618
22/01/2018,ALV,9.1,9.3,9.3,9,49900,458
19/01/2018,ALV,9.6,9.5,9.8,9,139200,1309
18/01/2018,ALV,10,9.9,10.1,9.6,72281,706
17/01/2018,ALV,10.2,10.1,10.4,9.7,82300,821
16/01/2018,ALV,10.1,10.3,10.4,9.7,85500,858
15/01/2018,ALV,10.6,10.3,10.6,9.6,114697,1125
12/01/2018,ALV,10.9,10.6,11,10.1,143580,1533
11/01/2018,ALV,11.2,11.1,11.4,10.7,105856,1165
10/01/2018,ALV,10.7,11.2,11.3,10.7,104478,1150
09/01/2018,ALV,11.5,11.3,11.7,10.8,123100,1391
08/01/2018,ALV,12.2,11.5,12.3,11.1,106992,1237
05/01/2018,ALV,11.7,12.2,12.2,11.7,109710,1318
04/01/2018,ALV,10.9,11.8,12,10.9,75975,891
