DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
26/04/2019,APC,28.8,28.5,28.8,28.5,10540,302
25/04/2019,APC,28.55,28.8,28.8,28.4,7980,228
24/04/2019,APC,28.95,28.8,28.95,28.5,11660,334
23/04/2019,APC,28.3,28.5,28.75,28.3,15210,433
22/04/2019,APC,29.05,28.3,29.5,28.3,55000,1578
19/04/2019,APC,29,29.25,29.8,29,82690,2425
18/04/2019,APC,29.95,29.15,30.1,29.15,22400,666
17/04/2019,APC,30.1,29.95,30.3,29.95,19730,593
16/04/2019,APC,30.5,30.1,30.5,30,44150,1332
12/04/2019,APC,30.6,30.5,30.6,30.25,13140,399
11/04/2019,APC,30.5,30.5,30.6,30.1,12230,372
10/04/2019,APC,30.1,30.3,30.5,30.1,20980,639
09/04/2019,APC,30.5,30.4,30.7,30.3,33660,1023
08/04/2019,APC,30.6,30.4,30.6,30.2,38990,1182
05/04/2019,APC,30.7,30.5,30.8,30.05,31590,959
04/04/2019,APC,30.45,30.5,30.55,30.1,27590,838
03/04/2019,APC,30.5,30.45,30.5,30,19580,591
02/04/2019,APC,29.9,30.7,31,29.9,46640,1431
01/04/2019,APC,31.75,29.9,31.75,29.6,136260,4114
29/03/2019,APC,33.9,31.75,33.95,31.75,168200,5431
28/03/2019,APC,34.45,33.9,34.45,33,7400,248
27/03/2019,APC,34.5,34.5,34.8,34.1,17890,616
26/03/2019,APC,34,34,34.5,33.2,18120,614
25/03/2019,APC,34,33.2,34.8,33.2,77940,2627
22/03/2019,APC,35.2,34.6,35.3,34.15,45370,1581
21/03/2019,APC,35,35.35,35.4,34.5,48760,1713
20/03/2019,APC,34.1,35.4,36,34.1,96790,3410
19/03/2019,APC,35.4,35,35.4,33.1,111940,3844
18/03/2019,APC,35.9,35,35.9,35,81000,2849
15/03/2019,APC,35.5,35.9,36.3,35.4,103890,3717
14/03/2019,APC,34.5,35.4,35.6,34.5,86350,3041
13/03/2019,APC,34.6,34.5,34.9,34.1,59920,2071
12/03/2019,APC,33.9,34.4,35,33.9,113280,3883
11/03/2019,APC,33.8,33.75,33.9,33.5,10340,349
08/03/2019,APC,33.9,33.8,34,33.3,20560,691
07/03/2019,APC,33.6,34.2,34.6,33.05,52370,1779
06/03/2019,APC,34,33.7,34.2,32.7,68330,2300
05/03/2019,APC,34.7,34.3,35.8,33.5,95050,3303
04/03/2019,APC,31.7,33.9,33.9,31.7,104450,3513
01/03/2019,APC,31.4,31.7,31.8,31.4,30990,978
28/02/2019,APC,31.9,31.6,31.9,31.5,14990,475
27/02/2019,APC,31.7,31.8,31.8,31.3,39360,1242
26/02/2019,APC,32,31.7,32.15,31.7,15290,488
25/02/2019,APC,31.55,31.95,32.1,31.55,37170,1183
22/02/2019,APC,32,32,32.1,31.5,38340,1220
21/02/2019,APC,31.6,32,32.15,31.55,16220,517
20/02/2019,APC,31.55,31.6,31.95,31.55,23040,731
19/02/2019,APC,32.1,31.75,32.3,31.75,32590,1041
18/02/2019,APC,32.3,32.25,32.35,31.9,20820,668
15/02/2019,APC,31.55,32.35,32.5,31.55,18770,603
14/02/2019,APC,32.35,32.6,32.7,32,18440,595
13/02/2019,APC,32.4,32.35,32.8,31.6,15180,485
12/02/2019,APC,32.1,32.35,32.75,31.7,37860,1211
11/02/2019,APC,31.65,31.7,31.8,31.5,14100,447
01/02/2019,APC,31.8,31.65,31.8,31.2,9880,313
31/01/2019,APC,31.6,32,32.9,31.5,11290,361
30/01/2019,APC,32.6,31.6,32.6,31,12500,392
29/01/2019,APC,31.2,31.2,32,30.1,29090,908
28/01/2019,APC,33.45,31.2,33.45,31,23240,742
25/01/2019,APC,32.4,33,33.5,32.3,47140,1556
24/01/2019,APC,33,32.35,33,32.2,18990,622
23/01/2019,APC,31.9,32.25,32.8,31.9,11630,376
22/01/2019,APC,33.4,32.25,34.2,32.05,36650,1212
21/01/2019,APC,35.3,33.4,35.5,33.4,164280,5598
18/01/2019,APC,35.2,35.9,36.1,33.5,41260,1463
17/01/2019,APC,35.55,35.2,35.7,35.2,16620,587
16/01/2019,APC,35.9,35.55,35.9,33.85,14060,496
15/01/2019,APC,35.25,35.85,36.2,35.15,20740,737
14/01/2019,APC,34,35.7,36.5,34,78050,2791
11/01/2019,APC,36.3,35,36.75,33.7,135450,4893
10/01/2019,APC,34.2,34.9,34.9,34.1,65260,2264
09/01/2019,APC,31.25,32.65,32.65,31.2,33650,1079
08/01/2019,APC,30.7,30.55,31.3,30.2,28880,883
07/01/2019,APC,30.1,30.3,30.9,30,16090,491
04/01/2019,APC,29,29.4,29.4,28,42540,1219
03/01/2019,APC,30.8,29.4,30.8,28.75,26040,777
02/01/2019,APC,31.35,30.8,32,30.8,24180,749
28/12/2018,APC,31.1,31.35,32.35,31,9990,313
27/12/2018,APC,32.35,31.3,32.35,31.2,14210,446
26/12/2018,APC,31.5,31,31.5,31,32000,997
25/12/2018,APC,31.5,31,31.8,30,18050,559
24/12/2018,APC,32,31.9,32.5,31.6,19040,612
21/12/2018,APC,31.3,31.6,31.9,31,28590,894
20/12/2018,APC,32.4,32,33.5,31.7,10150,325
19/12/2018,APC,32.45,31.95,32.8,31.3,14880,477
18/12/2018,APC,33.5,31.8,33.5,31.5,39020,1258
17/12/2018,APC,34.8,33.8,34.8,33.8,10070,343
14/12/2018,APC,35,34.6,35,34.6,10900,379
13/12/2018,APC,35,35,35.3,34.8,23130,811
12/12/2018,APC,35.2,35,35.25,34.6,8630,300
11/12/2018,APC,34.8,35,35.5,34.8,22660,791
10/12/2018,APC,35.6,34.8,35.6,34.75,23780,835
07/12/2018,APC,34.5,35.5,35.6,34.5,80060,2790
06/12/2018,APC,34.7,34.5,34.85,34.35,42940,1490
05/12/2018,APC,35.5,34.85,35.5,34.6,40930,1430
04/12/2018,APC,35.8,35.6,35.8,35.3,21590,767
03/12/2018,APC,35.5,35.75,35.8,35.1,20540,729
30/11/2018,APC,35.65,34.85,35.65,34.8,14230,496
29/11/2018,APC,34.7,34.85,35.8,34.5,24690,868
28/11/2018,APC,35.3,34.7,35.3,34.7,39790,1391
27/11/2018,APC,35.7,35.3,35.85,35,32740,1163
26/11/2018,APC,36,35.5,36,35,21840,778
23/11/2018,APC,36.2,36,36.2,35.6,18140,651
22/11/2018,APC,36.1,36,36.2,35.75,11710,421
21/11/2018,APC,35.55,36.1,36.1,35.4,36510,1305
20/11/2018,APC,35.5,36.1,36.4,35.5,21150,761
19/11/2018,APC,36.5,36.05,36.7,35.8,17890,647
16/11/2018,APC,36.2,36.05,36.2,35.6,22000,791
15/11/2018,APC,35,35.1,35.9,34.85,25110,886
14/11/2018,APC,35.05,35,36.2,35,40260,1425
13/11/2018,APC,35,35.05,35.5,34.8,42640,1498
12/11/2018,APC,35.6,35.85,36.3,35.4,28790,1026
09/11/2018,APC,37.3,36,37.3,36,38320,1391
08/11/2018,APC,37,37.3,37.8,36.2,28650,1062
07/11/2018,APC,37.2,37,37.2,36.4,44020,1618
06/11/2018,APC,38,37.2,38,36.8,33900,1256
05/11/2018,APC,37.7,37.4,37.7,36.5,31180,1155
02/11/2018,APC,36,37.7,37.8,36,82900,3036
01/11/2018,APC,36.4,36,37,35.3,41100,1488
31/10/2018,APC,36.4,36,36.4,35,46670,1668
30/10/2018,APC,34.3,34.4,35.8,33.7,43450,1501
29/10/2018,APC,36,34.2,36,34.2,86150,3020
26/10/2018,APC,36.9,35.7,38.5,35.7,49640,1837
25/10/2018,APC,36,36.9,37.5,35.85,137190,4969
24/10/2018,APC,40.5,38.5,41,38.5,103750,4090
23/10/2018,APC,42,40.5,42,40,117960,4816
22/10/2018,APC,40.7,42,43,40.7,128730,5418
19/10/2018,APC,39.6,40.7,42,38.6,81360,3277
18/10/2018,APC,37.2,39.6,39.6,36,165070,6144
17/10/2018,APC,42,38.7,42,38.7,159470,6340
16/10/2018,APC,43,41.6,43.5,40.7,113010,4728
15/10/2018,APC,42.2,43,44.75,42,134430,5766
12/10/2018,APC,38.55,42.2,43.5,38.55,213470,8473
11/10/2018,APC,41.8,41.4,44,41.4,163390,6839
10/10/2018,APC,42.5,44.5,44.5,42,132830,5789
09/10/2018,APC,40,41.7,42.8,40,212600,8951
08/10/2018,APC,38.3,40,41.4,38.1,126480,5128
05/10/2018,APC,39.4,38.7,39.4,38.1,84620,3280
04/10/2018,APC,38,39.4,39.95,38,138750,5420
03/10/2018,APC,35.1,37.5,37.5,34.7,85000,3128
02/10/2018,APC,34.15,35.05,35.1,33.65,67720,2321
01/10/2018,APC,35.1,34.5,35.3,34.3,62480,2167
28/09/2018,APC,36.55,35.1,36.6,34.9,127930,4562
27/09/2018,APC,34.7,35.4,35.4,34.5,280850,9905
26/09/2018,APC,31.4,33.1,33.1,31.1,97530,3191
25/09/2018,APC,30.7,30.95,31,30.3,36700,1123
24/09/2018,APC,30.7,30.5,30.7,30.1,26230,797
21/09/2018,APC,30.4,30.7,31.3,30,43580,1321
20/09/2018,APC,31.5,30.8,31.5,30.5,44730,1392
19/09/2018,APC,31.8,31.5,31.8,31.05,41750,1305
18/09/2018,APC,30.7,31.4,31.5,29.6,48880,1482
17/09/2018,APC,31.35,30.7,32,30,48690,1519
14/09/2018,APC,33,31.35,33.7,31.35,109440,3608
13/09/2018,APC,32,32,32,31.5,161520,5166
12/09/2018,APC,27.95,29.95,29.95,27.9,49690,1433
11/09/2018,APC,27.7,28,28,27.7,13760,384
10/09/2018,APC,28.2,27.8,28.2,27.75,12740,354
07/09/2018,APC,27.5,28,28.2,27.5,21950,607
06/09/2018,APC,27.8,27.6,28,27.6,14800,410
05/09/2018,APC,28.5,27.8,28.5,27.3,21380,598
04/09/2018,APC,29,28.5,29,28.3,15480,444
31/08/2018,APC,28.9,29,29.1,28.6,23630,681
30/08/2018,APC,28.8,28.9,29.15,28.7,24060,695
29/08/2018,APC,29.1,28.9,29.25,28.9,20830,606
28/08/2018,APC,29.4,29.25,29.8,29.1,27670,809
27/08/2018,APC,30,29.4,30,29.4,47830,1411
