DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
21/03/2018,APS,3,3.1,3.1,2.9,232700,688
20/03/2018,APS,3,3,3,2.9,98608,292
19/03/2018,APS,3.1,3,3.1,2.9,130700,387
16/03/2018,APS,3,3.1,3.1,2.9,150100,449
15/03/2018,APS,3,3,3.1,2.9,39300,117
14/03/2018,APS,3,3,3.1,3,85500,257
13/03/2018,APS,3,3,3.1,3,144900,435
12/03/2018,APS,3,3,3.1,3,121510,365
09/03/2018,APS,3,3.1,3.1,3,102702,308
08/03/2018,APS,3,3,3.1,2.9,69800,209
07/03/2018,APS,3,3,3.1,2.9,206200,617
06/03/2018,APS,2.9,3,3,2.8,142000,412
05/03/2018,APS,2.9,2.9,3,2.9,37300,108
02/03/2018,APS,2.9,2.9,2.9,2.9,71300,207
01/03/2018,APS,2.9,2.9,2.9,2.8,27110,78
28/02/2018,APS,2.9,2.9,2.9,2.8,200500,571
27/02/2018,APS,2.9,2.9,2.9,2.9,68200,198
26/02/2018,APS,2.9,3,3,2.9,57900,172
23/02/2018,APS,2.9,2.9,3,2.9,171500,508
22/02/2018,APS,2.9,2.9,2.9,2.9,133000,386
21/02/2018,APS,3,3,3,3,21200,64
13/02/2018,APS,2.9,3,3,2.8,130800,372
12/02/2018,APS,2.9,2.9,2.9,2.9,102400,297
09/02/2018,APS,2.8,2.9,3,2.8,122600,352
08/02/2018,APS,3,3,3,2.9,65800,192
07/02/2018,APS,2.7,2.9,2.9,2.7,108500,310
06/02/2018,APS,2.8,2.7,2.8,2.6,267500,718
05/02/2018,APS,2.9,2.8,3,2.8,124100,358
02/02/2018,APS,3,2.9,3,2.9,109100,320
01/02/2018,APS,3.1,3,3.1,3,180210,542
31/01/2018,APS,3.1,3.1,3.1,3.1,139800,433
30/01/2018,APS,3,3.1,3.2,3,173507,533
29/01/2018,APS,3.2,3,3.2,3,248700,750
26/01/2018,APS,3.1,3.1,3.2,3.1,194400,603
25/01/2018,APS,3.3,3.1,3.3,3.1,145778,472
24/01/2018,APS,3.2,3.3,3.3,3.1,334100,1070
23/01/2018,APS,3.2,3.2,3.3,3.1,214400,679
22/01/2018,APS,3.2,3.2,3.2,3.1,144630,455
19/01/2018,APS,3.2,3.2,3.2,3.1,58200,186
18/01/2018,APS,3.1,3.2,3.2,3.1,110010,342
17/01/2018,APS,3.2,3.1,3.3,3.1,143070,457
16/01/2018,APS,3.2,3.3,3.3,3.1,206700,658
15/01/2018,APS,3.2,3.3,3.3,3.2,112900,362
12/01/2018,APS,3.2,3.2,3.3,3.2,126900,406
11/01/2018,APS,3.2,3.3,3.3,3.2,89602,288
10/01/2018,APS,3.2,3.3,3.3,3.1,239600,756
09/01/2018,APS,3.2,3.3,3.3,3.1,160600,513
08/01/2018,APS,3.1,3.2,3.3,3.1,127310,407
05/01/2018,APS,3.2,3.2,3.3,3.2,193700,620
04/01/2018,APS,3.2,3.3,3.3,3.1,150600,482
03/01/2018,APS,3.3,3.2,3.3,3.2,179400,577
02/01/2018,APS,3.4,3.3,3.5,3.3,116000,391
29/12/2017,APS,3.2,3.3,3.5,3.1,424610,1419
28/12/2017,APS,3.1,3.2,3.2,3.1,49240,154
27/12/2017,APS,3,3.1,3.1,3,142610,436
26/12/2017,APS,3.1,3,3.1,3,151930,461
25/12/2017,APS,3.1,3.2,3.2,3.1,71440,222
22/12/2017,APS,3.2,3.2,3.2,3.1,90400,286
21/12/2017,APS,3.2,3.2,3.3,3.1,26930,85
20/12/2017,APS,3.2,3.2,3.3,3.2,89900,288
19/12/2017,APS,3.3,3.3,3.3,3.1,93010,298
18/12/2017,APS,3.2,3.3,3.3,3.2,84300,272
15/12/2017,APS,3.2,3.2,3.3,3.2,72700,233
14/12/2017,APS,3.2,3.3,3.3,3.2,44900,144
13/12/2017,APS,3.2,3.2,3.3,3.2,57800,185
12/12/2017,APS,3.2,3.2,3.3,3,270300,842
11/12/2017,APS,3.3,3.3,3.3,3.2,56100,185
08/12/2017,APS,3.3,3.3,3.4,3.3,97600,322
07/12/2017,APS,3.4,3.4,3.4,3.3,62600,212
06/12/2017,APS,3.4,3.4,3.4,3.3,138410,461
05/12/2017,APS,3.5,3.4,3.5,3.3,310210,1057
04/12/2017,APS,3.4,3.4,3.5,3.3,325960,1103
01/12/2017,APS,3.3,3.4,3.4,3.3,111600,372
30/11/2017,APS,3.5,3.4,3.5,3.3,246300,823
29/11/2017,APS,3.3,3.4,3.5,3.3,243350,818
28/11/2017,APS,3.4,3.3,3.5,3.3,218710,735
27/11/2017,APS,3.2,3.4,3.5,3.2,311090,1037
24/11/2017,APS,3,3.2,3.2,3,143700,440
23/11/2017,APS,3,3,3.1,3,98000,295
22/11/2017,APS,3.1,3,3.1,2.9,166300,490
21/11/2017,APS,3,3,3.1,3,122600,369
20/11/2017,APS,3,3,3.1,3,44400,133
17/11/2017,APS,3.1,3,3.2,3,90400,278
16/11/2017,APS,2.9,3.1,3.1,2.9,186200,565
15/11/2017,APS,2.8,2.9,3,2.8,76100,221
14/11/2017,APS,2.9,2.8,2.9,2.8,69100,197
13/11/2017,APS,2.9,2.9,2.9,2.8,87400,250
10/11/2017,APS,2.9,2.9,3,2.8,123650,358
09/11/2017,APS,2.9,2.9,2.9,2.8,79500,230
08/11/2017,APS,2.9,2.9,2.9,2.9,72800,211
07/11/2017,APS,2.9,3,3,2.8,355190,1015
06/11/2017,APS,2.9,2.9,2.9,2.8,47300,137
03/11/2017,APS,3,3,3,2.8,66700,194
02/11/2017,APS,2.9,3,3,2.9,128900,382
01/11/2017,APS,2.8,3,3,2.8,158700,455
31/10/2017,APS,2.8,2.8,3,2.8,183400,525
30/10/2017,APS,2.9,2.8,3,2.8,199700,581
27/10/2017,APS,3,3,3.1,3,192105,577
26/10/2017,APS,3.2,3.1,3.2,3,311500,962
25/10/2017,APS,3.2,3.2,3.3,3.1,110600,352
24/10/2017,APS,3,3.2,3.3,3,468810,1493
23/10/2017,APS,3.3,3.1,3.3,3,329600,1039
20/10/2017,APS,3.3,3.3,3.5,3.2,372900,1262
19/10/2017,APS,3.3,3.2,3.3,3.2,67800,220
18/10/2017,APS,3.3,3.3,3.4,3.3,148700,491
17/10/2017,APS,3.3,3.3,3.4,3.3,129600,428
16/10/2017,APS,3.4,3.4,3.4,3.3,83700,278
13/10/2017,APS,3.4,3.4,3.4,3.3,122600,405
12/10/2017,APS,3.4,3.3,3.4,3.3,160200,529
11/10/2017,APS,3.3,3.4,3.4,3.3,173000,588
10/10/2017,APS,3.3,3.3,3.4,3.2,161700,537
09/10/2017,APS,3.4,3.4,3.5,3.3,154710,521
06/10/2017,APS,3.4,3.4,3.5,3.3,135900,458
05/10/2017,APS,3.5,3.4,3.5,3.3,569800,1934
04/10/2017,APS,3.3,3.4,3.5,3.3,241100,817
03/10/2017,APS,3.5,3.3,3.6,3.3,574500,1946
02/10/2017,APS,3.7,3.6,3.7,3.5,205400,735
29/09/2017,APS,3.7,3.7,3.8,3.6,215900,790
28/09/2017,APS,3.8,3.7,3.8,3.6,329200,1209
27/09/2017,APS,3.8,3.7,3.8,3.7,460100,1707
26/09/2017,APS,3.9,3.8,3.9,3.8,345100,1313
25/09/2017,APS,3.9,3.9,3.9,3.8,156450,610
22/09/2017,APS,3.9,3.9,4,3.8,513000,1996
21/09/2017,APS,4,4,4,3.9,324800,1274
20/09/2017,APS,4,4,4.1,3.9,238300,944
19/09/2017,APS,4,3.9,4.1,3.9,546400,2181
18/09/2017,APS,3.9,4,4.1,3.8,448800,1768
15/09/2017,APS,4,4,4,3.8,161850,629
14/09/2017,APS,3.8,4,4,3.8,616210,2384
13/09/2017,APS,3.8,3.8,3.9,3.8,504200,1916
12/09/2017,APS,3.8,3.8,3.9,3.7,329200,1247
11/09/2017,APS,4,3.9,4,3.8,147700,575
08/09/2017,APS,4.1,3.9,4.1,3.9,192600,769
07/09/2017,APS,4,4,4.1,4,430510,1761
06/09/2017,APS,4.1,4.1,4.2,4,316000,1281
05/09/2017,APS,4.4,4,4.4,4,236800,958
01/09/2017,APS,4,4,4,3.9,157300,629
31/08/2017,APS,4,4.1,4.1,3.9,169700,679
30/08/2017,APS,3.9,4,4,3.9,224100,894
29/08/2017,APS,4,3.9,4,3.9,671440,2635
28/08/2017,APS,4,4,4.2,3.9,790645,3167
25/08/2017,APS,4.1,4.1,4.1,4,560100,2251
24/08/2017,APS,4.1,4.1,4.2,4,768000,3125
23/08/2017,APS,4.3,4.2,4.3,4.1,370000,1561
22/08/2017,APS,4.4,4.3,4.4,4.2,750260,3221
21/08/2017,APS,4.1,4.3,4.4,4,941600,3954
18/08/2017,APS,4.2,4.1,4.3,4,781800,3206
17/08/2017,APS,4.6,4.3,4.6,4.2,755120,3278
16/08/2017,APS,4.7,4.6,4.7,4.5,249500,1144
15/08/2017,APS,4.8,4.7,4.8,4.6,403540,1897
14/08/2017,APS,4.6,4.8,4.9,4.6,420900,1986
11/08/2017,APS,4.6,4.6,4.9,4.5,739100,3449
10/08/2017,APS,4.8,4.7,4.8,4.5,1363220,6278
09/08/2017,APS,5.4,4.9,5.4,4.9,2863505,14280
08/08/2017,APS,5.3,5.4,5.6,5.2,1886420,10255
07/08/2017,APS,5,5.2,5.2,4.8,2061800,10658
04/08/2017,APS,4.8,4.8,5,4.5,1074800,5143
03/08/2017,APS,5,4.8,5.2,4.5,913000,4458
02/08/2017,APS,5,5,5,4.7,2553050,12677
01/08/2017,APS,4.6,4.6,4.6,4.4,2154105,9896
31/07/2017,APS,3.9,4.2,4.2,3.8,1063680,4435
28/07/2017,APS,3.8,3.9,3.9,3.8,172050,656
27/07/2017,APS,3.9,3.8,3.9,3.8,69310,264
26/07/2017,APS,3.8,3.8,3.9,3.6,368100,1365
25/07/2017,APS,3.9,3.8,3.9,3.8,148900,569
24/07/2017,APS,4.1,3.9,4.1,3.9,138160,549
21/07/2017,APS,3.9,4,4.1,3.8,810655,3254
20/07/2017,APS,3.5,3.8,3.8,3.5,450770,1669
19/07/2017,APS,3.5,3.5,3.6,3.5,136100,481
18/07/2017,APS,3.5,3.5,3.6,3.5,199130,699
17/07/2017,APS,3.6,3.5,3.7,3.5,161840,588
14/07/2017,APS,3.6,3.6,3.7,3.6,70300,253
13/07/2017,APS,3.6,3.7,3.7,3.6,100770,363
12/07/2017,APS,3.6,3.6,3.8,3.6,62600,229
11/07/2017,APS,3.7,3.6,3.8,3.6,308820,1120
10/07/2017,APS,3.8,3.8,3.8,3.7,280700,1052
07/07/2017,APS,3.9,3.9,4,3.8,240700,944
06/07/2017,APS,4.2,3.9,4.2,3.9,511010,2068
05/07/2017,APS,3.7,3.9,3.9,3.7,480420,1845
04/07/2017,APS,3.7,3.6,3.7,3.6,165600,603
03/07/2017,APS,3.6,3.6,3.7,3.5,94960,342
30/06/2017,APS,3.6,3.6,3.7,3.5,215120,775
29/06/2017,APS,3.8,3.6,3.8,3.6,178100,659
28/06/2017,APS,3.6,3.8,3.8,3.6,95600,351
27/06/2017,APS,3.8,3.7,3.9,3.7,96630,368
26/06/2017,APS,3.8,3.7,4,3.6,272240,1027
23/06/2017,APS,3.8,3.7,3.9,3.7,189000,706
22/06/2017,APS,3.7,3.7,3.8,3.6,261710,949
21/06/2017,APS,3.7,3.7,3.8,3.7,354800,1320
20/06/2017,APS,3.8,3.8,3.9,3.7,112000,423
19/06/2017,APS,3.9,3.7,3.9,3.7,348055,1325
16/06/2017,APS,4.1,3.9,4.1,3.8,148600,584
15/06/2017,APS,4,4.1,4.2,4,141900,580
14/06/2017,APS,4.3,4.2,4.3,4,295200,1213
13/06/2017,APS,4.6,4.3,4.6,4,332680,1393
12/06/2017,APS,4,4.4,4.4,3.6,719900,3148
09/06/2017,APS,3.8,4,4,3.8,355214,1393
08/06/2017,APS,3.7,3.8,3.9,3.7,386600,1469
07/06/2017,APS,3.5,3.7,3.7,3.3,326900,1181
06/06/2017,APS,3.4,3.4,3.4,3.3,62900,213
05/06/2017,APS,3.4,3.4,3.5,3.4,38610,131
02/06/2017,APS,3.4,3.4,3.5,3.3,137200,461
01/06/2017,APS,3.3,3.4,3.4,3.3,148700,504
31/05/2017,APS,3.3,3.3,3.4,3.3,45300,150
30/05/2017,APS,3.4,3.4,3.4,3.3,186200,630
29/05/2017,APS,3.4,3.3,3.4,3.3,151400,504
26/05/2017,APS,3.2,3.3,3.3,3.2,183600,599
25/05/2017,APS,3.3,3.3,3.4,3.3,148410,490
24/05/2017,APS,3.4,3.3,3.4,3.3,150826,502
23/05/2017,APS,3.4,3.4,3.5,3.3,307300,1054
22/05/2017,APS,3.2,3.4,3.5,3.2,508010,1705
19/05/2017,APS,3,3.2,3.3,3,282200,892
18/05/2017,APS,3,3,3.1,3,113810,345
17/05/2017,APS,3,3.1,3.1,2.9,114041,341
16/05/2017,APS,3.1,3.1,3.2,3,171100,529
15/05/2017,APS,3.1,3.1,3.1,3,228200,704
12/05/2017,APS,3,3.1,3.1,3,179161,550
11/05/2017,APS,3,3.2,3.3,3,253800,804
10/05/2017,APS,2.8,3,3,2.8,518041,1527
09/05/2017,APS,2.6,2.8,2.8,2.5,229400,605
08/05/2017,APS,2.7,2.6,2.7,2.6,51500,134
05/05/2017,APS,2.6,2.7,2.7,2.6,26520,69
04/05/2017,APS,2.6,2.6,2.6,2.6,65500,170
03/05/2017,APS,2.5,2.6,2.6,2.5,38900,101
28/04/2017,APS,2.5,2.5,2.67,2.5,39110,98
27/04/2017,APS,2.5,2.6,2.6,2.4,34600,87
26/04/2017,APS,2.5,2.6,2.6,2.5,45600,114
25/04/2017,APS,2.6,2.5,2.6,2.4,48400,120
24/04/2017,APS,2.5,2.6,2.6,2.5,13100,33
21/04/2017,APS,2.5,2.5,2.5,2.5,17110,43
20/04/2017,APS,2.5,2.5,2.5,2.5,62000,155
19/04/2017,APS,2.5,2.5,2.6,2.5,9051,23
18/04/2017,APS,2.5,2.6,2.6,2.5,128300,330
17/04/2017,APS,2.6,2.6,2.6,2.5,60500,155
14/04/2017,APS,2.6,2.6,2.6,2.5,130700,330
13/04/2017,APS,2.6,2.5,2.6,2.5,106600,277
