DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
23/01/2020,BCM,0,0,0,0,0,0
22/01/2020,BCM,29,29.2,29.2,29,200,6
21/01/2020,BCM,0,29.3,0,0,0,0
20/01/2020,BCM,28.2,29.3,29.3,28.2,9000,261
17/01/2020,BCM,28.8,29.1,29.2,28.2,8200,237
16/01/2020,BCM,28.9,28.9,28.9,28.9,300,9
15/01/2020,BCM,28,28.8,28.9,28,5300,152
14/01/2020,BCM,28.3,29,29,28.3,1900,54
13/01/2020,BCM,27.8,28.7,28.9,27.8,12200,344
10/01/2020,BCM,27.9,27.8,27.9,27.5,9200,254
09/01/2020,BCM,27.8,27.8,28,27.8,15600,436
08/01/2020,BCM,28.2,28,28.2,28,8100,228
07/01/2020,BCM,29,28.2,29,28.2,4100,117
06/01/2020,BCM,29,29,29,28.7,3200,92
03/01/2020,BCM,29.3,29.3,29.3,29.3,1600,47
02/01/2020,BCM,29.7,29.6,29.7,29.6,1900,56
01/01/2020,BCM,0,0,0,0,0,0
31/12/2019,BCM,29.5,30.1,30.1,29.4,23800,714
30/12/2019,BCM,30,30,30.1,29.6,36700,1098
27/12/2019,BCM,29.8,30,30,29.5,39400,1178
26/12/2019,BCM,29.6,30,30,29.5,33000,983
25/12/2019,BCM,29.8,29.6,29.8,29.6,700,21
24/12/2019,BCM,29.9,30,30,29.2,36000,1066
23/12/2019,BCM,29.7,29.9,30,29.7,15700,470
20/12/2019,BCM,28.9,30,30,28.9,27900,829
19/12/2019,BCM,28.6,29.5,29.5,28.5,48900,1409
18/12/2019,BCM,28.3,29.3,29.3,28.1,53000,1518
17/12/2019,BCM,29,29,29,28,47800,1357
16/12/2019,BCM,28,28.9,29,27.5,109400,3086
13/12/2019,BCM,28,28.3,28.3,28,4100,115
12/12/2019,BCM,28,28.3,28.3,27.8,25900,726
11/12/2019,BCM,28.1,28.3,28.3,27.6,40400,1133
10/12/2019,BCM,28.3,28.5,28.5,27.6,24600,693
09/12/2019,BCM,28,28.6,28.6,28,7100,202
06/12/2019,BCM,28.1,28.5,28.8,27.9,3100,88
05/12/2019,BCM,28.3,28.3,28.3,27.7,7400,208
04/12/2019,BCM,27.9,28.3,28.3,27.5,13800,387
03/12/2019,BCM,27.4,27.9,28,27.4,7700,214
02/12/2019,BCM,27.3,27.9,28,27,29300,803
29/11/2019,BCM,27.8,27.3,27.8,27.3,2100,58
28/11/2019,BCM,28,28.3,28.3,26.1,91000,2482
27/11/2019,BCM,28.5,28.5,28.5,28,31800,898
26/11/2019,BCM,28.9,28.8,28.9,28,22800,650
25/11/2019,BCM,28.2,28.9,29.4,28.2,10500,303
22/11/2019,BCM,28.4,28.2,30,28.2,93700,2712
21/11/2019,BCM,27.9,28.2,28.3,27.9,18000,505
20/11/2019,BCM,27.9,28,28,27.8,15800,441
19/11/2019,BCM,27.8,28,28,27.8,6600,184
18/11/2019,BCM,28.1,28,28.1,27.6,19800,553
15/11/2019,BCM,28.2,28.3,28.5,27.8,44900,1258
14/11/2019,BCM,28.3,28.6,28.6,28.2,6700,190
13/11/2019,BCM,28.6,28.7,28.7,28,68000,1927
12/11/2019,BCM,29.2,28.9,29.2,28.6,59000,1698
11/11/2019,BCM,29.3,29.1,29.3,28.5,21800,630
08/11/2019,BCM,29,29.3,29.3,28.7,33700,981
07/11/2019,BCM,29.2,29.3,29.5,29,27300,796
06/11/2019,BCM,29.5,29.4,29.5,28.9,76200,2223
05/11/2019,BCM,30,29.6,30,29.2,26900,790
04/11/2019,BCM,29.9,30,30,29.3,55300,1632
01/11/2019,BCM,30,30.3,30.3,29.8,14700,440
