DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
29/05/2019,BFC,20.7,20.7,20.95,20.6,22350,462
28/05/2019,BFC,21.1,20.7,21.1,20.5,41680,860
27/05/2019,BFC,21,20.9,21.15,20.8,38210,799
24/05/2019,BFC,21.2,20.95,21.3,20.95,36000,757
23/05/2019,BFC,21.2,21.2,21.2,20.9,28070,591
22/05/2019,BFC,21.8,21.2,21.8,21.2,32890,700
21/05/2019,BFC,21.6,21.8,21.8,21.4,40350,870
20/05/2019,BFC,21.5,21.45,21.5,21.25,37640,803
17/05/2019,BFC,21.25,21.3,21.7,21,75720,1618
16/05/2019,BFC,21.1,21.25,21.5,20.95,64380,1358
15/05/2019,BFC,20.85,21.1,21.3,20.5,56200,1173
14/05/2019,BFC,20.4,20.5,20.5,20,70240,1415
13/05/2019,BFC,20.4,20.5,21.3,20.35,36910,755
10/05/2019,BFC,20.4,20.5,20.8,20.35,29640,606
09/05/2019,BFC,20.5,20.4,20.8,20.35,36510,748
08/05/2019,BFC,20.7,20.35,20.7,20.3,52110,1064
07/05/2019,BFC,21.5,20.8,21.5,20.5,141030,2928
06/05/2019,BFC,22,21,22,21,124290,2645
03/05/2019,BFC,22.15,22.3,22.3,21.9,109400,2409
02/05/2019,BFC,22.9,22.3,23,22.2,39850,892
26/04/2019,BFC,22.5,22.9,23.05,22.2,249020,5674
25/04/2019,BFC,22.2,22.25,22.5,22.2,30930,690
24/04/2019,BFC,22.4,22.4,22.75,22.3,51630,1157
23/04/2019,BFC,23.1,22.4,23.15,22.3,209930,4737
22/04/2019,BFC,23.2,23.1,23.2,22.75,163030,3750
19/04/2019,BFC,22.2,22.9,22.9,22.2,15610,353
18/04/2019,BFC,22,22.2,23,22,171680,3818
17/04/2019,BFC,22.85,22.4,23.5,22.4,109530,2503
16/04/2019,BFC,22.6,22.85,23.2,22.6,246060,5663
12/04/2019,BFC,24,23.4,24,23.35,131540,3101
11/04/2019,BFC,24,24.35,24.5,23.95,80830,1942
10/04/2019,BFC,24.5,24,24.6,24,118980,2874
09/04/2019,BFC,25.05,24.5,25.3,24.5,176160,4384
08/04/2019,BFC,25,25.35,25.5,24.9,116390,2920
05/04/2019,BFC,25,25,25.6,24.6,144720,3610
04/04/2019,BFC,24.5,25,25.1,24.5,68080,1702
03/04/2019,BFC,23.6,25,25.45,23.6,352500,8852
02/04/2019,BFC,23.8,23.8,24.05,23.8,52460,1253
01/04/2019,BFC,24.3,23.8,24.3,23.8,47500,1141
29/03/2019,BFC,24.3,24.3,24.5,24,65600,1590
28/03/2019,BFC,25,24.5,25,24.4,97410,2402
27/03/2019,BFC,24.1,24.95,24.95,24.1,91930,2246
26/03/2019,BFC,24.2,24.55,24.6,23.9,145600,3549
25/03/2019,BFC,23.1,23.9,24.1,23.1,161950,3817
22/03/2019,BFC,24,23.4,24.6,23.4,88070,2092
21/03/2019,BFC,25,24,25,24,215490,5285
20/03/2019,BFC,25.1,25.1,25.1,24.15,100130,2478
19/03/2019,BFC,24.6,25.1,25.6,24.5,426770,10740
18/03/2019,BFC,22.5,23.95,23.95,22.3,780620,18245
15/03/2019,BFC,22.4,22.4,22.65,22.3,122280,2748
14/03/2019,BFC,22.6,22.4,22.6,22.3,127350,2861
13/03/2019,BFC,21.6,22.6,22.6,21.45,544710,11909
12/03/2019,BFC,21.3,21.5,21.55,21.3,248410,5316
11/03/2019,BFC,21.85,21.3,21.85,21.25,180190,3862
