DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
17/09/2020,BMI,24.95,25.35,26,24.95,737420,18741
16/09/2020,BMI,24.65,24.7,24.7,24.5,152370,3751
15/09/2020,BMI,24.7,24.55,24.8,24.4,256690,6317
14/09/2020,BMI,24.4,24.5,24.7,24.1,263020,6429
11/09/2020,BMI,24.4,24.5,24.65,23.95,299360,7293
10/09/2020,BMI,25.1,24.65,25.1,24.6,431420,10694
09/09/2020,BMI,24,24.75,25,24,270120,6638
08/09/2020,BMI,24.7,24.6,24.8,23.85,411880,10023
07/09/2020,BMI,25.4,24.5,25.4,24.45,438620,10885
04/09/2020,BMI,24.65,25.3,25.3,24.6,478270,11967
03/09/2020,BMI,24.2,25.15,25.4,24.2,911210,22586
01/09/2020,BMI,23.95,24.2,24.3,23.95,250630,6040
31/08/2020,BMI,24.3,24.3,24.5,23.8,268940,6502
28/08/2020,BMI,23.8,24.3,24.8,23.8,540970,13190
27/08/2020,BMI,24,23.8,24,23.6,237590,5657
26/08/2020,BMI,24.2,24,24.85,24,450650,10949
25/08/2020,BMI,22.85,24.2,24.2,22.7,1833100,43767
24/08/2020,BMI,22.6,22.65,22.95,22.6,288120,6566
21/08/2020,BMI,22.5,22.6,22.85,22,465490,10522
20/08/2020,BMI,21.85,22.2,22.5,21.55,335990,7431
19/08/2020,BMI,22,21.8,22,21.55,135030,2945
18/08/2020,BMI,22.15,21.95,22.2,21.95,144890,3201
17/08/2020,BMI,22.45,22.15,22.45,21.95,148200,3275
14/08/2020,BMI,21.6,22.45,22.8,21.6,408610,9094
13/08/2020,BMI,21.5,21.6,21.6,21.4,126310,2720
12/08/2020,BMI,21.3,21.45,21.45,21.15,66230,1411
11/08/2020,BMI,21.1,21.4,21.45,21.1,110550,2352
10/08/2020,BMI,21.4,21.35,21.75,21.2,158390,3399
07/08/2020,BMI,22,21.65,22,21.4,156660,3403
06/08/2020,BMI,21,22,22.2,20.75,310010,6566
05/08/2020,BMI,20.45,20.8,21,20.45,161450,3337
04/08/2020,BMI,20.95,20.45,20.95,20.3,88340,1814
03/08/2020,BMI,20.1,20.45,21,19.7,105410,2116
31/07/2020,BMI,19.6,20,20.55,19.6,112990,2240
30/07/2020,BMI,21.35,20.5,21.35,20,79870,1622
29/07/2020,BMI,20.8,20.5,20.8,19.4,167220,3297
28/07/2020,BMI,19.9,20.8,20.95,19.65,91590,1841
27/07/2020,BMI,20.1,19.95,20.85,19.5,262960,5242
24/07/2020,BMI,21.55,20.95,21.6,20.5,267390,5645
23/07/2020,BMI,21.5,21.6,21.8,21.45,91680,1975
22/07/2020,BMI,21.6,21.6,21.85,21.4,85840,1855
21/07/2020,BMI,21.9,21.75,21.95,21.45,93090,2007
20/07/2020,BMI,21.5,21.45,21.55,21.4,129980,2792
17/07/2020,BMI,21.7,21.55,21.7,21.5,133820,2885
16/07/2020,BMI,21.9,21.8,21.95,21.5,119540,2593
15/07/2020,BMI,21.7,21.95,22.2,21.7,76530,1671
14/07/2020,BMI,22.2,22,22.4,21.4,72380,1582
13/07/2020,BMI,22.55,22.1,22.55,21.95,97770,2163
10/07/2020,BMI,22.8,22.45,22.8,21.9,191400,4246
09/07/2020,BMI,22.95,22.7,22.95,22.35,59150,1337
08/07/2020,BMI,22.8,22.7,23,22.4,138180,3152
07/07/2020,BMI,21.8,22.8,23.2,21.8,248330,5589
06/07/2020,BMI,21.75,21.8,22.1,21.75,105110,2293
03/07/2020,BMI,21.5,21.75,21.8,21.4,21500,464
02/07/2020,BMI,21.9,21.8,21.9,21.4,33430,722
01/07/2020,BMI,21.4,21.75,21.75,21.35,43500,935
30/06/2020,BMI,21.45,21.4,21.7,21.3,125250,2687
29/06/2020,BMI,21.4,21.45,21.55,21.3,161860,3469
26/06/2020,BMI,21.3,21.45,21.6,21.3,74330,1592
25/06/2020,BMI,21.2,21.3,21.5,21.2,76280,1629
24/06/2020,BMI,21.55,21.55,21.65,21.3,91260,1957
23/06/2020,BMI,22,21.6,22,21.6,97530,2116
22/06/2020,BMI,22,22,22,21.35,259580,5609
19/06/2020,BMI,22,22,22.2,21.75,118130,2592
18/06/2020,BMI,21.85,21.9,21.9,21.6,159490,3459
17/06/2020,BMI,21.8,21.8,21.85,21.5,91720,1990
16/06/2020,BMI,21.4,21.9,22.25,21.4,62430,1362
15/06/2020,BMI,22.05,21.3,22.4,21.15,437130,9409
12/06/2020,BMI,21.4,22.45,22.5,21.4,371670,8055
11/06/2020,BMI,24,22.8,24,22.8,373070,8719
10/06/2020,BMI,23.9,24,24.4,23.05,982230,23458
09/06/2020,BMI,21.4,22.85,22.85,21.3,788530,17705
08/06/2020,BMI,21.4,21.4,21.7,21.4,140430,3021
05/06/2020,BMI,21.05,21.5,21.6,21.05,167260,3581
04/06/2020,BMI,21.45,21.2,21.7,21.2,206670,4427
03/06/2020,BMI,21.5,21.45,21.8,21.4,88940,1912
02/06/2020,BMI,21.55,21.7,21.75,21.4,183980,3956
01/06/2020,BMI,21.7,21.8,21.85,21.3,233600,5053
29/05/2020,BMI,21.85,21.75,21.85,21.3,196170,4256
28/05/2020,BMI,21.35,21.7,21.9,21.35,190430,4142
27/05/2020,BMI,22.6,21.7,22.6,21.7,418060,9263
26/05/2020,BMI,21.4,21.65,21.65,21.1,378240,8078
25/05/2020,BMI,20.8,21.4,21.4,20.65,293010,6154
22/05/2020,BMI,21.4,21.1,21.6,21,285370,6068
21/05/2020,BMI,21.9,21.4,21.9,21.3,124380,2670
20/05/2020,BMI,21.8,21.75,21.95,21.7,116040,2531
19/05/2020,BMI,21.8,21.85,22.1,21.7,294960,6465
18/05/2020,BMI,21.5,21.7,21.95,21.5,242260,5254
15/05/2020,BMI,21.5,21.5,22.1,21.35,225240,4850
14/05/2020,BMI,22,21.5,22.4,21.1,416310,9005
13/05/2020,BMI,22.5,23.4,23.8,22.3,373930,8664
12/05/2020,BMI,22.95,23,23.1,21.75,511040,11495
11/05/2020,BMI,22.4,22.95,23.1,22.35,213340,4868
08/05/2020,BMI,22.4,22.4,22.7,22.1,264050,5914
07/05/2020,BMI,22.45,22.4,22.6,21.9,185410,4099
06/05/2020,BMI,22.5,22.4,22.5,22.05,88900,1972
05/05/2020,BMI,21.05,22.4,22.7,21.05,281750,6243
04/05/2020,BMI,22.6,21.6,22.75,21.05,374420,8300
29/04/2020,BMI,21.25,22.6,22.7,21,916410,20612
28/04/2020,BMI,21.4,21.25,21.45,21,207430,4390
27/04/2020,BMI,21,21.2,21.5,20.55,354950,7516
24/04/2020,BMI,20.1,20.5,20.75,19.8,158770,3201
23/04/2020,BMI,21,20.2,21.6,20.2,315640,6600
22/04/2020,BMI,19.3,21,21,19.25,323660,6500
21/04/2020,BMI,21,20.5,21.2,20.5,696960,14385
20/04/2020,BMI,22,22,22.45,21.5,995720,22086
17/04/2020,BMI,19.65,21,21,19.65,643650,13293
16/04/2020,BMI,18.2,19.65,19.65,17.9,754820,14481
15/04/2020,BMI,19,18.4,19,18.05,384780,7149
14/04/2020,BMI,18.4,18.4,18.4,18,784090,14426
13/04/2020,BMI,16.7,17.2,17.2,16.65,360770,6181
10/04/2020,BMI,16.3,16.1,16.45,16.05,353710,5740
09/04/2020,BMI,16.3,16.4,16.85,16.15,542650,8905
08/04/2020,BMI,16.25,16.5,16.6,16.2,279540,4573
07/04/2020,BMI,16.8,16.95,17.05,16.2,260870,4397
06/04/2020,BMI,15.55,16.55,16.55,15.55,297050,4837
03/04/2020,BMI,15.1,15.5,15.6,15.1,53030,818
01/04/2020,BMI,15.25,15.15,15.7,15,204260,3101
31/03/2020,BMI,15.45,15.2,15.45,14.7,131380,1970
30/03/2020,BMI,15.5,15.45,15.5,14.9,172580,2622
27/03/2020,BMI,14.8,15.7,15.75,14.6,115630,1753
26/03/2020,BMI,15,14.85,15.1,14.75,112920,1686
25/03/2020,BMI,14.8,15,15.15,14.5,414350,6110
24/03/2020,BMI,14.75,14.75,15.85,14.75,306130,4554
23/03/2020,BMI,16,15.85,16,15.85,123220,1954
20/03/2020,BMI,17,17,17,16,120250,1946
19/03/2020,BMI,16.8,17,17,16.4,152190,2528
18/03/2020,BMI,17.5,17.6,18,17.5,74520,1317
17/03/2020,BMI,17.1,18,18,17,86920,1526
16/03/2020,BMI,18,18.2,18.4,17.15,337430,5884
13/03/2020,BMI,17.3,18.4,18.6,17.3,116830,2047
12/03/2020,BMI,19,18.6,19,18.6,134400,2505
11/03/2020,BMI,20.8,20,20.95,20,126040,2562
10/03/2020,BMI,20,21.2,21.4,20,79470,1642
09/03/2020,BMI,21.8,21.15,21.8,21.15,111930,2384
06/03/2020,BMI,22,22.7,22.8,21.85,79020,1760
05/03/2020,BMI,21.85,22.5,22.5,21.8,99110,2182
04/03/2020,BMI,21.9,21.95,21.95,21.7,33720,736
03/03/2020,BMI,22.3,22.15,22.5,21.8,53060,1166
02/03/2020,BMI,22.2,22.3,22.35,21.8,40200,886
28/02/2020,BMI,21.8,22.2,22.65,21.2,93220,2048
27/02/2020,BMI,22.8,22.7,22.8,22.2,23780,534
26/02/2020,BMI,22,22.3,22.75,22,70090,1557
25/02/2020,BMI,21.5,22.3,22.3,21.5,81410,1800
24/02/2020,BMI,23.1,22.65,23.2,22.2,76310,1734
21/02/2020,BMI,23.6,23.65,23.7,23.4,70130,1651
20/02/2020,BMI,24,23.8,24,23.65,26920,640
19/02/2020,BMI,23.75,23.8,23.8,23.6,75000,1777
18/02/2020,BMI,23.6,23.8,24,23.5,146120,3480
17/02/2020,BMI,23.5,23.25,23.5,23,53620,1242
14/02/2020,BMI,23.35,23.55,23.75,22.85,118820,2751
13/02/2020,BMI,23.8,23.8,23.8,23.8,2710,64
12/02/2020,BMI,24.1,23.9,24.1,23.65,44090,1050
11/02/2020,BMI,24,24.1,24.1,23.8,56160,1347
10/02/2020,BMI,24,24.3,24.3,23.9,17360,418
07/02/2020,BMI,23,24,24,23,65150,1550
06/02/2020,BMI,24.85,23.9,24.85,23.9,141020,3404
05/02/2020,BMI,24.35,24.6,24.6,24.25,78210,1909
04/02/2020,BMI,24.8,24.7,24.8,24.3,27840,679
03/02/2020,BMI,24.4,24.85,25,24.25,39790,978
31/01/2020,BMI,25.45,25.3,25.45,24.35,39050,978
30/01/2020,BMI,25.3,24.9,25.3,24.5,53870,1338
22/01/2020,BMI,25,26,26,24.95,41480,1057
21/01/2020,BMI,24.95,25.4,25.4,24.95,10430,262
20/01/2020,BMI,25.45,25.5,25.5,24.9,11700,298
17/01/2020,BMI,25.5,25.7,26,25.2,30680,785
16/01/2020,BMI,25,25.5,25.5,25,49680,1245
15/01/2020,BMI,25,25.6,25.6,24.9,22000,556
14/01/2020,BMI,25.75,25.75,25.75,25.75,100,3
13/01/2020,BMI,24.7,25.8,25.8,24.7,33620,846
10/01/2020,BMI,25,24.8,25,24.3,40420,1000
09/01/2020,BMI,24.8,24.7,25.2,24.45,37750,932
08/01/2020,BMI,25.45,25.4,25.45,24.7,31070,784
07/01/2020,BMI,25.6,25.45,25.6,24.8,15880,403
06/01/2020,BMI,25.8,25.5,25.8,25.15,26560,675
03/01/2020,BMI,24.6,25.65,25.8,24.6,37610,956
02/01/2020,BMI,25.05,25.15,25.15,24.75,18540,464
31/12/2019,BMI,24.9,24.8,24.9,24.5,20350,502
30/12/2019,BMI,25.15,24.8,25.2,24.7,64320,1606
27/12/2019,BMI,25.1,25.2,25.2,24.7,26250,660
26/12/2019,BMI,25.15,25.15,25.15,24.6,29600,734
25/12/2019,BMI,25.3,25.3,25.3,24.8,25460,639
24/12/2019,BMI,24.8,25.3,25.3,24.7,52900,1312
23/12/2019,BMI,25,24.9,25.2,24.9,33390,834
20/12/2019,BMI,24.85,24.9,24.9,24.6,17830,440
19/12/2019,BMI,24.5,24.9,24.9,24.3,25940,640
18/12/2019,BMI,24.65,24.7,24.7,24.35,29120,714
17/12/2019,BMI,24.75,24.65,24.8,24.65,25390,628
16/12/2019,BMI,24.85,24.75,25.4,24.6,24500,608
13/12/2019,BMI,25.15,25.15,25.2,25,50210,1259
12/12/2019,BMI,25.1,25.2,25.3,25,10560,265
11/12/2019,BMI,25.1,25.1,25.3,25.1,13310,334
10/12/2019,BMI,25,25.1,25.2,25,18860,474
09/12/2019,BMI,25.75,25.5,25.75,25.35,33650,857
06/12/2019,BMI,25.7,25.75,25.9,25,16440,418
05/12/2019,BMI,26,25.7,26,25.45,8160,209
04/12/2019,BMI,25.5,25.7,25.7,25.5,7390,189
03/12/2019,BMI,25.9,25.7,25.9,25.5,25550,658
02/12/2019,BMI,25.7,25.9,26,25.5,20630,530
29/11/2019,BMI,26,26.05,26.05,25.6,24360,631
28/11/2019,BMI,26.15,26.05,26.15,25.6,32270,835
27/11/2019,BMI,25.9,25.9,26.15,25.6,97000,2495
26/11/2019,BMI,26.3,26.15,26.3,25.9,12060,314
25/11/2019,BMI,26.25,26.25,26.4,25.9,173020,4537
22/11/2019,BMI,26.3,26.35,26.35,25.7,80900,2109
21/11/2019,BMI,26,26.35,26.5,26,26080,685
