DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
27/05/2020,DBC,38.2,36.5,38.5,36.5,4339020,162913
26/05/2020,DBC,38.75,37.9,38.85,37.6,3328780,127286
25/05/2020,DBC,35.65,37.2,37.2,35.3,2556530,93838
22/05/2020,DBC,34.4,34.8,35.25,34.3,2918830,101605
21/05/2020,DBC,32.6,34.4,34.55,32.2,6705990,227104
20/05/2020,DBC,32.25,32.3,33.1,32.25,2076020,67636
19/05/2020,DBC,33.8,32.8,34,32.5,2437320,81234
18/05/2020,DBC,30.3,32.15,32.15,30.05,2423380,75630
15/05/2020,DBC,32,30.05,32.1,30,3834940,118711
14/05/2020,DBC,31.65,31.75,33,31.5,2957120,95215
13/05/2020,DBC,31.4,32.1,33.3,30.8,2884740,92609
12/05/2020,DBC,30.85,31.4,32.15,30.6,2853920,90184
11/05/2020,DBC,28.85,30.05,30.05,28.4,3798540,111602
08/05/2020,DBC,28,28.1,29.45,27.95,5053760,144867
07/05/2020,DBC,27.8,27.8,28.3,27.4,1412400,39381
06/05/2020,DBC,27.45,27.6,28.45,27.2,2706020,75274
05/05/2020,DBC,26.3,27.25,27.5,26.3,1777480,47847
04/05/2020,DBC,27.2,26.5,27.85,26.2,2513680,68064
29/04/2020,DBC,28.6,27.7,28.95,27.45,2439410,68759
28/04/2020,DBC,28,28.35,28.35,27.2,6067880,170662
27/04/2020,DBC,25.1,26.5,26.5,24.8,5219290,134717
24/04/2020,DBC,24.9,24.8,25.45,24.2,1663290,41279
23/04/2020,DBC,26.8,25,27.2,24.6,2939110,75854
22/04/2020,DBC,23.2,25.9,25.9,23.05,4871430,120185
21/04/2020,DBC,26,24.25,26.05,24.25,5087660,126389
20/04/2020,DBC,28.75,26.05,29.95,26.05,7052040,199302
17/04/2020,DBC,28,28,28,27,3746600,104392
16/04/2020,DBC,24.2,26.2,26.2,24.05,3395130,87532
15/04/2020,DBC,23.7,24.5,24.55,23.4,3733810,89510
14/04/2020,DBC,22,23.1,23.1,21.4,3647600,80133
13/04/2020,DBC,21.45,22,22.3,21.45,4029610,88668
10/04/2020,DBC,20.4,20.85,21.15,20,2621760,54211
