DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
23/11/2021,DCM,35,37,37,34.8,5420600,194907
22/11/2021,DCM,36.8,35,37.05,35,5412700,194952
19/11/2021,DCM,36,35.9,37.5,34,11080600,399085
18/11/2021,DCM,38.5,36.5,38.65,36.1,15836300,593194
17/11/2021,DCM,39.2,38.7,39.5,38.5,4922900,191841
16/11/2021,DCM,39.2,39.2,39.8,38.6,6192500,243294
15/11/2021,DCM,38.5,38.8,39.75,37.5,7641700,291761
12/11/2021,DCM,37.5,38.1,38.45,37,6546600,247052
11/11/2021,DCM,38.45,37.2,38.45,37.05,7667500,289934
10/11/2021,DCM,37.25,38.45,38.45,36.6,8734400,328589
09/11/2021,DCM,36.85,36.75,37,36,10330400,376408
08/11/2021,DCM,36.5,36.85,37.5,36,7887000,288936
05/11/2021,DCM,33,35.1,35.1,32.85,12651500,428832
04/11/2021,DCM,32.9,32.85,33.5,32.3,9328500,305429
03/11/2021,DCM,33.9,32.65,34.3,32,7581500,253361
02/11/2021,DCM,34.2,33.9,34.7,33.3,7260500,245883
01/11/2021,DCM,33.8,34,34.85,33.15,9363100,319130
29/10/2021,DCM,33.5,33.3,33.95,32.8,6903200,230444
28/10/2021,DCM,32.1,33.5,33.5,31.7,8110500,265246
27/10/2021,DCM,32.5,31.7,32.7,31.7,5767300,184514
26/10/2021,DCM,31.2,31.8,32.3,30.7,9255600,293297
25/10/2021,DCM,32.8,31.5,33,31.3,7568100,242506
22/10/2021,DCM,33.9,33.2,33.9,32.65,7164600,238035
21/10/2021,DCM,33.8,33.8,34.1,32.9,4817000,161144
20/10/2021,DCM,32.8,33.5,33.9,32.5,5413200,179697
19/10/2021,DCM,31.15,32.5,32.5,30.5,9616700,305743
18/10/2021,DCM,32.8,31.1,33.3,30.9,12102000,386378
15/10/2021,DCM,32.5,32.7,33.35,31.6,4786800,155582
14/10/2021,DCM,32,32.1,33,31.5,4687300,151051
13/10/2021,DCM,29.1,31.05,31.05,28.75,9255100,277416
12/10/2021,DCM,29.8,29.05,30.15,28.95,6067700,178287
11/10/2021,DCM,28.9,29.5,29.6,28.2,5415900,156707
08/10/2021,DCM,29.4,28.25,29.4,28.2,5927700,169632
07/10/2021,DCM,29.25,29.15,30.7,29.15,5660900,168685
06/10/2021,DCM,28.8,29.25,29.7,28.35,6551700,189504
05/10/2021,DCM,28,28.8,29.7,27.8,7723900,223258
04/10/2021,DCM,28.8,28.4,29.85,28.2,6320600,182265
01/10/2021,DCM,26.6,28.2,28.3,26.55,9130200,252300
30/09/2021,DCM,25,26.45,26.45,24.9,10520100,271291
29/09/2021,DCM,23.15,24.75,24.75,22.65,3987100,96006
28/09/2021,DCM,22.65,23.15,23.3,21.4,3292600,74628
27/09/2021,DCM,24.2,22.8,24.2,22.8,4173100,98203
24/09/2021,DCM,24.7,24.2,24.9,24.15,2879400,70189
23/09/2021,DCM,24.55,24.7,25,24.4,2561500,63093
22/09/2021,DCM,24.8,24.5,24.95,24.2,2789400,68713
21/09/2021,DCM,24.15,24.7,24.7,24.1,3255000,79282
20/09/2021,DCM,25.4,24.75,25.65,24.6,3255900,81887
17/09/2021,DCM,24.7,25.05,25.2,24,6065700,148517
16/09/2021,DCM,25.1,24.8,25.15,24.55,2916200,72323
15/09/2021,DCM,25.2,25,25.4,24.75,2704900,67754
14/09/2021,DCM,25.4,25.25,25.95,25.25,4512600,115387
13/09/2021,DCM,25,25.1,25.5,24.7,3784400,94951
10/09/2021,DCM,24.8,24.95,25.45,24.6,4414700,110176
09/09/2021,DCM,24.95,24.8,24.95,24.4,2090400,51505
