DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
18/10/2021,DRC,33.5,32.2,33.8,32.2,4286900,139990
15/10/2021,DRC,34.65,34.2,34.7,33.6,1400500,47741
14/10/2021,DRC,33.7,34.4,34.6,33.5,2696000,92188
13/10/2021,DRC,33.3,33.4,33.5,33.1,1133700,37734
12/10/2021,DRC,33.3,33.1,33.5,33,1423900,47212
11/10/2021,DRC,33,33.3,33.75,33,1296500,43267
08/10/2021,DRC,34.05,33.3,34.25,33.2,1371600,46106
07/10/2021,DRC,34,34.05,34.55,33.75,2479000,84802
06/10/2021,DRC,32.8,33.7,33.75,32.8,1751900,58290
05/10/2021,DRC,32.65,32.75,32.9,32.5,1096400,35825
04/10/2021,DRC,31.7,32.65,33,31.3,1393300,45101
01/10/2021,DRC,32,31.8,32.3,31.5,977000,31266
30/09/2021,DRC,32.2,32.2,32.7,32.1,905700,29274
29/09/2021,DRC,31.4,32.2,32.25,31.25,1228800,39136
28/09/2021,DRC,31,31.45,31.75,30.6,1300300,40584
27/09/2021,DRC,32.65,31.1,32.65,31,2438600,77078
24/09/2021,DRC,33.2,32.5,33.5,32.5,1603100,52500
23/09/2021,DRC,33.9,33.2,34.1,33.1,1306500,43911
22/09/2021,DRC,32.8,33.75,34,32.6,1757500,58439
21/09/2021,DRC,32.9,32.7,33,32.05,2443000,79593
20/09/2021,DRC,35,33,35.05,33,3698400,125629
17/09/2021,DRC,35.4,35,35.5,34.75,1870600,65597
16/09/2021,DRC,34.85,35,35.4,34.3,1657300,58043
15/09/2021,DRC,34.15,34.8,35,33.9,1578000,54448
14/09/2021,DRC,34.5,34.3,35.2,34.15,1363000,47025
13/09/2021,DRC,35,34.8,36,34.5,1805100,63235
10/09/2021,DRC,35.7,35.2,35.7,35,1166500,41121
09/09/2021,DRC,34.45,35.6,35.8,34.4,1542500,53870
08/09/2021,DRC,34.9,34.4,35.1,34,2535600,87757
07/09/2021,DRC,36,35.1,36.05,34.95,3098700,110190
06/09/2021,DRC,36.8,36.25,36.9,36.2,2302400,83942
01/09/2021,DRC,34.5,36.3,36.5,34.1,4358900,154940
31/08/2021,DRC,34.6,34.7,35.3,34.1,3478000,120983
30/08/2021,DRC,34.15,34.6,34.75,33.7,2843100,97584
27/08/2021,DRC,31.5,34,34,31.2,3844000,126343
26/08/2021,DRC,32.45,32,32.9,31.85,2626200,85231
25/08/2021,DRC,31.6,32.3,32.3,31.2,1223700,38653
24/08/2021,DRC,30.85,31.5,32,30.15,2900200,89838
23/08/2021,DRC,33.4,31.2,33.4,31.2,4224200,135050
20/08/2021,DRC,35.35,33.5,35.75,32.9,4514400,155013
19/08/2021,DRC,34.7,35.35,35.45,34.5,2628200,92180
18/08/2021,DRC,34.1,34.7,35.2,34,2161000,74711
17/08/2021,DRC,34.8,34.3,34.8,33.7,2344900,80325
16/08/2021,DRC,34.45,34.7,35.95,34.3,3919700,137683
13/08/2021,DRC,33.5,34.2,34.2,32.5,3365100,112238
12/08/2021,DRC,33.2,33.65,34.45,33.2,2452500,82816
11/08/2021,DRC,34.65,33.4,35.6,33.4,4134300,141675
10/08/2021,DRC,34.15,34.6,34.6,33.55,4471500,152093
09/08/2021,DRC,33,34.1,34.4,32.8,2464400,83216
06/08/2021,DRC,33.7,33.1,33.85,33.1,2879900,96461
05/08/2021,DRC,30.95,33.1,33.1,30.65,6938800,225076
04/08/2021,DRC,31.1,30.95,31.3,30.55,2132600,65677
03/08/2021,DRC,31,31,31.4,30.5,2330600,71974
02/08/2021,DRC,29.8,30.9,31.45,29.65,4393700,135654
30/07/2021,DRC,29.7,29.95,30.45,29.55,2854000,85738
29/07/2021,DRC,29.4,29.55,29.75,29.3,1288600,37958
28/07/2021,DRC,29.5,29.4,30,29.2,1489200,44102
27/07/2021,DRC,30.1,29.8,30.5,29.65,1952600,58698
26/07/2021,DRC,28.5,29.6,29.7,28.45,2628200,76503
23/07/2021,DRC,29.15,28.6,29.85,28.6,2791000,81691
22/07/2021,DRC,28.4,29.1,29.25,28.2,2148700,62245
21/07/2021,DRC,28.9,28.3,28.9,28.1,1281200,36473
20/07/2021,DRC,28.7,28.7,29.2,28.2,1110100,31727
19/07/2021,DRC,27.5,28.5,29.5,27.5,5215800,149781
16/07/2021,DRC,27.55,28.05,28.5,27.4,1722800,48097
05/07/2021,DRC,31.2,31.65,32.2,30.75,2592200,81771
02/07/2021,DRC,31.4,31.2,31.7,31.1,1535900,48201
01/07/2021,DRC,30.3,31.65,32.2,30,5373300,167190
30/06/2021,DRC,30.6,30.25,30.7,30.1,1610400,48899
29/06/2021,DRC,30.6,30.45,30.9,29.8,2415500,73530
28/06/2021,DRC,29.9,30.4,30.8,29.85,2738100,82864
25/06/2021,DRC,30,29.8,30.4,29.7,1229300,36790
24/06/2021,DRC,30.9,29.95,30.9,29.6,2511900,76426
23/06/2021,DRC,29.5,30.4,30.5,28.6,4039300,118517
22/06/2021,DRC,30.5,29.4,31,29.25,2796400,83806
21/06/2021,DRC,30,30.45,31.4,29.7,3442500,104414
18/06/2021,DRC,30.8,30.3,31.5,29.95,2890000,88358
17/06/2021,DRC,29,30.8,31,28.7,3255400,98028
16/06/2021,DRC,30,29.2,30.3,29.2,2396800,71299
15/06/2021,DRC,27.3,29.2,29.2,27.3,6252200,178835
14/06/2021,DRC,27.2,27.3,27.5,26.8,1481300,40276
