DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
28/03/2019,FCN,14.85,14.85,14.95,14.45,321130,4721
27/03/2019,FCN,14.7,14.7,14.95,14.7,190390,2816
26/03/2019,FCN,14.7,14.7,14.75,14.3,292630,4254
25/03/2019,FCN,14.6,14.4,14.8,14.35,340240,4955
22/03/2019,FCN,15.15,15,15.2,14.9,394980,5940
21/03/2019,FCN,15.25,15.05,15.5,15.05,437130,6695
20/03/2019,FCN,15.2,15.25,15.5,15.15,422990,6480
19/03/2019,FCN,15.4,15.2,15.5,15.1,296740,4535
18/03/2019,FCN,15.4,15.4,15.7,15.4,179110,2780
15/03/2019,FCN,15.55,15.3,15.55,15.3,255470,3945
14/03/2019,FCN,15.6,15.55,15.85,15.55,471290,7384
13/03/2019,FCN,15.55,15.6,15.7,15.55,271250,4231
12/03/2019,FCN,15.8,15.55,15.85,15.55,386820,6049
11/03/2019,FCN,15.4,15.7,15.8,15.3,659020,10242
08/03/2019,FCN,15.65,15.25,15.9,15.25,711370,11049
07/03/2019,FCN,16,16,16.05,15.8,427990,6825
06/03/2019,FCN,15.5,15.95,15.95,15.4,839650,13257
05/03/2019,FCN,15.2,15.7,15.7,14.95,1080710,16559
04/03/2019,FCN,15,15.35,15.5,14.95,672750,10302
01/03/2019,FCN,14.7,14.95,15.05,14.5,369960,5485
28/02/2019,FCN,14.9,14.5,15.05,14.45,383200,5669
27/02/2019,FCN,14.9,14.9,15.15,14.65,463750,6931
26/02/2019,FCN,14.7,14.8,14.95,14.6,292720,4321
25/02/2019,FCN,14.2,14.6,14.95,14.1,477570,6941
22/02/2019,FCN,14.4,14.2,14.5,14.1,177940,2557
21/02/2019,FCN,14.7,14.4,14.7,14.35,104950,1518
20/02/2019,FCN,14.6,14.5,14.7,14.5,231350,3375
19/02/2019,FCN,14.85,14.7,14.95,14.55,265180,3901
18/02/2019,FCN,14.95,14.85,14.95,14.55,266850,3927
15/02/2019,FCN,14.8,14.7,14.85,14.55,324980,4780
14/02/2019,FCN,14.7,14.8,14.9,14.5,370330,5424
13/02/2019,FCN,14.75,14.7,15.2,14.65,299680,4451
12/02/2019,FCN,14.15,14.75,14.9,14.15,855070,12517
11/02/2019,FCN,13.9,14.1,14.2,13.8,242710,3421
01/02/2019,FCN,13.95,13.75,13.95,13.6,104460,1428
31/01/2019,FCN,13.65,13.7,13.95,13.65,95550,1311
30/01/2019,FCN,13.75,13.65,13.9,13.6,115310,1578
29/01/2019,FCN,13.95,13.75,14.15,13.65,236020,3259
28/01/2019,FCN,14.05,13.95,14.25,13.9,131960,1845
25/01/2019,FCN,13.55,14.15,14.4,13.55,632720,8957
24/01/2019,FCN,13.55,13.5,13.6,13.4,113410,1529
23/01/2019,FCN,13.35,13.5,13.6,13.35,93290,1260
22/01/2019,FCN,13.75,13.55,13.75,13.5,173210,2352
21/01/2019,FCN,13.25,13.7,13.8,13.25,191650,2603
18/01/2019,FCN,14.1,13.25,14.1,13.25,322160,4380
17/01/2019,FCN,14.1,14.1,14.25,14,469350,6650
16/01/2019,FCN,13.7,14.1,14.3,13.7,905890,12779
15/01/2019,FCN,13.45,13.9,13.9,13.45,494370,6729
14/01/2019,FCN,13.7,13.6,13.75,13.4,522910,7099
11/01/2019,FCN,12.75,13.5,13.5,12.7,1504060,19875
10/01/2019,FCN,13,12.65,13.1,12.5,538390,6854
09/01/2019,FCN,13,12.9,13.15,12.9,288760,3757
08/01/2019,FCN,13.2,12.8,13.2,12.65,885850,11387
07/01/2019,FCN,14.1,13.2,14.4,13.2,1426360,19402
04/01/2019,FCN,14,14.15,14.2,13.8,170900,2388
03/01/2019,FCN,14.45,14.1,14.6,14.1,782060,11209
02/01/2019,FCN,15,14.5,15,14.4,417950,6111
28/12/2018,FCN,15.05,14.9,15.1,14.9,325570,4864
27/12/2018,FCN,15.5,15.05,15.5,14.95,571760,8673
26/12/2018,FCN,15,15,15.1,14.7,488120,7302
25/12/2018,FCN,14.5,15.05,15.3,14.5,1020310,15151
24/12/2018,FCN,15.15,15.05,15.35,15.05,990150,15063
21/12/2018,FCN,15.05,15.15,15.25,14.95,475320,7204
20/12/2018,FCN,15.1,15.2,15.25,15,432490,6522
19/12/2018,FCN,15.1,15.05,15.4,15.05,520330,7899
18/12/2018,FCN,15.35,15.15,15.45,14.95,1139480,17298
17/12/2018,FCN,16.25,15.7,16.25,15.7,1694770,27128
14/12/2018,FCN,16.55,16.3,16.6,16.3,594090,9766
13/12/2018,FCN,16.4,16.55,16.75,16.4,1496180,24762
12/12/2018,FCN,16.4,16.4,16.55,16.3,724580,11906
11/12/2018,FCN,16.3,16.4,16.45,16.1,844630,13745
10/12/2018,FCN,16.5,16.3,16.5,16.25,642360,10507
07/12/2018,FCN,16.8,16.5,16.8,16.45,938980,15582
06/12/2018,FCN,16,16.6,16.7,16,3329290,54916
05/12/2018,FCN,15.8,16,16,15.7,398490,6343
04/12/2018,FCN,16,15.95,16.2,15.75,667630,10630
03/12/2018,FCN,16.1,15.95,16.4,15.9,1355260,21755
30/11/2018,FCN,15.75,15.8,16,15.65,157790,2491
29/11/2018,FCN,15.9,15.8,16.2,15.8,721340,11546
28/11/2018,FCN,15.8,15.8,15.9,15.6,341500,5364
27/11/2018,FCN,15.75,15.85,15.95,15.7,445910,7059
26/11/2018,FCN,16,15.85,16.05,15.8,552250,8777
23/11/2018,FCN,16,15.9,16.3,15.9,715090,11493
22/11/2018,FCN,16,16,16.2,15.8,682430,10930
21/11/2018,FCN,16,16,16.1,15.85,720590,11509
20/11/2018,FCN,15.8,16.15,16.6,15.75,1417370,22874
19/11/2018,FCN,15.3,15.9,15.9,15,1232800,19032
16/11/2018,FCN,14.85,14.95,15.45,14.85,342100,5133
15/11/2018,FCN,14.8,14.85,15,14.6,203500,2997
14/11/2018,FCN,14.75,14.85,14.9,14.75,169010,2505
13/11/2018,FCN,14.9,14.9,14.95,14.8,404590,6012
12/11/2018,FCN,14.8,14.95,15.1,14.8,111050,1664
09/11/2018,FCN,14.9,15,15,14.85,216500,3237
08/11/2018,FCN,14.85,15,15,14.85,291530,4353
07/11/2018,FCN,14.8,14.8,15,14.8,192800,2873
06/11/2018,FCN,15,14.9,15,14.7,206850,3077
05/11/2018,FCN,14.8,14.7,14.95,14.55,386900,5680
02/11/2018,FCN,15,15,15.25,15,235620,3561
01/11/2018,FCN,15,15,15.3,15,486570,7380
31/10/2018,FCN,14.9,15.15,15.25,14.9,173050,2620
30/10/2018,FCN,14.8,14.9,15.15,14.75,265130,3959
29/10/2018,FCN,14.8,14.65,14.85,14.65,252610,3734
26/10/2018,FCN,14.9,14.8,15.25,14.7,554570,8255
25/10/2018,FCN,14.4,14.85,14.85,14.3,423240,6213
24/10/2018,FCN,15.15,14.85,15.3,14.6,316710,4718
23/10/2018,FCN,15.2,14.85,15.3,14.6,371350,5546
22/10/2018,FCN,15.2,15.2,15.5,15.15,185620,2839
19/10/2018,FCN,14.9,15.35,15.35,14.9,190900,2885
18/10/2018,FCN,15.7,15.5,15.7,15.3,90240,1395
17/10/2018,FCN,15.35,15.6,15.8,15.3,359850,5586
16/10/2018,FCN,15.15,15.2,15.25,15.15,274260,4164
15/10/2018,FCN,15.35,15.2,15.35,15,266810,4058
12/10/2018,FCN,14.5,15.35,15.35,14.5,451660,6807
11/10/2018,FCN,16.5,15.9,16.5,15.65,672120,10780
10/10/2018,FCN,16.65,16.75,16.8,16.6,393330,6568
09/10/2018,FCN,16.8,16.75,16.9,16.75,281420,4736
08/10/2018,FCN,16.7,16.8,17,16.7,332190,5611
05/10/2018,FCN,16.7,16.8,17.1,16.7,676380,11415
04/10/2018,FCN,16.8,16.7,16.95,16.7,539000,9066
03/10/2018,FCN,16.4,16.6,16.75,16.35,338090,5598
02/10/2018,FCN,16.45,16.4,16.5,16.3,456960,7494
01/10/2018,FCN,16.6,16.55,16.8,16.25,520470,8559
28/09/2018,FCN,16.75,16.6,16.85,16.6,623950,10406
27/09/2018,FCN,17,16.75,17.1,16.7,573490,9667
26/09/2018,FCN,16.5,16.95,17.15,16.5,1244070,21150
25/09/2018,FCN,16.25,16.5,16.5,16.2,573550,9376
24/09/2018,FCN,16.55,16.3,16.55,16.25,300570,4914
21/09/2018,FCN,16.45,16.45,16.55,16.15,543400,8876
20/09/2018,FCN,16.4,16.45,16.55,16.3,429830,7047
19/09/2018,FCN,16.2,16.3,16.45,16.05,720690,11780
18/09/2018,FCN,15.9,16.2,16.2,15.75,428220,6816
17/09/2018,FCN,16.1,15.95,16.15,15.85,210260,3353
14/09/2018,FCN,16.2,16.1,16.4,16.1,695170,11249
13/09/2018,FCN,15.65,15.9,16,15.6,755740,11996
12/09/2018,FCN,15.7,15.65,15.9,15.55,433060,6817
11/09/2018,FCN,15.55,15.5,15.6,15.4,800110,12376
10/09/2018,FCN,15.7,15.55,15.7,15.5,146320,2279
07/09/2018,FCN,15.7,15.7,15.7,15.45,323400,5024
06/09/2018,FCN,15.5,15.4,15.85,15.4,313570,4895
05/09/2018,FCN,15.65,15.5,15.9,15.5,353550,5546
04/09/2018,FCN,16.3,15.8,16.5,15.7,486540,7792
31/08/2018,FCN,16.9,16.3,16.9,16.3,390050,6457
30/08/2018,FCN,16.45,16.8,16.8,16.45,459230,7656
29/08/2018,FCN,16.75,16.5,16.75,16.4,393450,6495
28/08/2018,FCN,17,16.75,17.1,16.55,776400,13020
27/08/2018,FCN,17,17,17.1,16.7,1174750,19921
24/08/2018,FCN,16.2,16.8,16.9,16.15,1252490,20875
23/08/2018,FCN,16.25,16.25,16.4,16.05,386860,6300
22/08/2018,FCN,16.3,16.25,16.65,16.1,371870,6096
21/08/2018,FCN,15.95,16.05,16.6,15.9,950750,15520
20/08/2018,FCN,15.5,15.85,16,15.35,851630,13449
17/08/2018,FCN,15.25,15.3,15.5,15.15,154800,2362
16/08/2018,FCN,15.25,15.3,15.45,15.15,137640,2096
