DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
02/05/2018,FLC,5.46,5.35,5.47,5.35,4317640,23276
27/04/2018,FLC,5.35,5.42,5.52,5.34,4374460,23733
26/04/2018,FLC,5.56,5.35,5.56,5.3,5654570,30555
24/04/2018,FLC,5.5,5.5,5.55,5.44,4793580,26354
23/04/2018,FLC,5.75,5.5,5.85,5.5,7396590,42092
20/04/2018,FLC,5.79,5.75,5.82,5.75,6563560,37904
19/04/2018,FLC,5.9,5.78,5.92,5.75,5321040,31059
18/04/2018,FLC,5.85,5.85,6.04,5.79,7893870,46563
17/04/2018,FLC,5.85,5.82,5.94,5.8,5046160,29442
16/04/2018,FLC,5.8,5.81,5.82,5.7,3753770,21707
13/04/2018,FLC,5.8,5.78,5.86,5.76,5207010,30157
12/04/2018,FLC,5.75,5.77,5.9,5.73,7220840,41821
11/04/2018,FLC,6,5.8,6.06,5.77,10910500,64237
10/04/2018,FLC,6.19,6,6.19,5.97,11300740,68229
09/04/2018,FLC,6.18,6.11,6.26,6.1,7598150,46886
06/04/2018,FLC,6.24,6.11,6.27,6.11,11818470,73362
05/04/2018,FLC,6.34,6.24,6.34,6.23,6951140,43572
04/04/2018,FLC,6.3,6.27,6.37,6.26,6250850,39353
03/04/2018,FLC,6.38,6.26,6.42,6.26,9485990,60016
02/04/2018,FLC,6.3,6.4,6.47,6.28,10207450,65091
30/03/2018,FLC,6.27,6.25,6.35,6.23,8151950,51162
29/03/2018,FLC,6.45,6.26,6.52,6.26,13967080,88888
28/03/2018,FLC,6.66,6.45,6.84,6.45,20871100,139908
23/03/2018,FLC,6.1,6.05,6.1,6.03,12963640,78679
22/03/2018,FLC,6.1,6.17,6.23,6.1,15879390,98060
21/03/2018,FLC,6.04,6.07,6.17,6.04,8427250,51446
20/03/2018,FLC,6.08,6.03,6.09,6.02,7551830,45682
19/03/2018,FLC,6.15,6.09,6.3,6.08,14606000,90410
16/03/2018,FLC,6.05,6.01,6.15,6.01,9393740,56947
15/03/2018,FLC,5.88,5.99,6.06,5.85,8877110,53038
14/03/2018,FLC,5.79,5.87,5.93,5.77,9504720,55618
13/03/2018,FLC,5.82,5.8,5.84,5.79,6382400,37063
12/03/2018,FLC,5.82,5.83,5.98,5.82,6310430,37099
09/03/2018,FLC,5.9,5.82,5.95,5.79,8558750,49972
08/03/2018,FLC,6.05,5.91,6.23,5.91,11859020,72192
07/03/2018,FLC,5.7,5.99,5.99,5.68,24369290,145606
06/03/2018,FLC,5.55,5.6,5.67,5.5,3909960,21880
05/03/2018,FLC,5.5,5.59,5.7,5.5,4301590,24169
02/03/2018,FLC,5.54,5.49,5.54,5.47,3855430,21204
01/03/2018,FLC,5.55,5.54,5.58,5.49,4226820,23330
28/02/2018,FLC,5.67,5.59,5.67,5.58,5565800,31210
27/02/2018,FLC,5.7,5.67,5.73,5.62,4669250,26506
26/02/2018,FLC,5.81,5.69,5.82,5.59,10461800,59852
23/02/2018,FLC,5.9,5.83,5.92,5.82,3353330,19642
22/02/2018,FLC,5.98,5.83,5.98,5.83,4963300,29332
21/02/2018,FLC,5.95,5.98,6.04,5.95,6114810,36653
13/02/2018,FLC,5.79,5.8,5.84,5.75,4493740,26068
12/02/2018,FLC,5.41,5.61,5.63,5.41,2942210,16414
09/02/2018,FLC,5.3,5.41,5.45,5.29,6354310,34203
08/02/2018,FLC,5.67,5.63,5.78,5.63,6583700,37432
07/02/2018,FLC,5.55,5.63,5.63,5.52,8423370,47280
06/02/2018,FLC,5.27,5.27,5.41,5.27,13944360,73611
05/02/2018,FLC,6.04,5.66,6.05,5.66,7300120,42576
02/02/2018,FLC,6.15,6.08,6.15,6.01,5294060,32043
01/02/2018,FLC,6.25,6.15,6.36,6.15,7649940,48043
