DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
23/08/2019,GTN,19.3,19.1,19.4,19.05,144700,2801
22/08/2019,GTN,19,19.4,19.4,19,187740,3616
21/08/2019,GTN,19.6,18.95,19.6,18.9,283050,5429
20/08/2019,GTN,19.8,19.5,19.8,19.4,226140,4431
19/08/2019,GTN,19.5,19.5,19.65,19.1,162270,3153
16/08/2019,GTN,19.3,19.4,19.8,19.3,199870,3890
15/08/2019,GTN,19.4,19.3,19.5,19.15,128360,2480
14/08/2019,GTN,19.8,19.4,19.8,19.35,240090,4676
13/08/2019,GTN,19.9,19.5,19.9,19.25,333140,6523
12/08/2019,GTN,19.65,20,20,19.6,218810,4318
09/08/2019,GTN,20,19.65,20,19.65,604460,12005
08/08/2019,GTN,19.1,20,20,19,431020,8434
07/08/2019,GTN,19,19,19.2,18.7,262450,4958
06/08/2019,GTN,18.6,19,19.1,18.6,168170,3155
05/08/2019,GTN,19.6,19,19.6,18.6,381130,7308
02/08/2019,GTN,18.7,19.6,19.7,18.5,703820,13606
01/08/2019,GTN,18,18.8,18.8,18,391170,7205
31/07/2019,GTN,17.7,18.05,18.1,17.7,156900,2823
30/07/2019,GTN,18.4,18,18.4,18,158920,2872
29/07/2019,GTN,17.8,18.15,18.35,17.6,260380,4686
26/07/2019,GTN,17.5,17.9,17.9,17.5,208530,3727
25/07/2019,GTN,17.6,17.85,17.85,17.35,152390,2692
24/07/2019,GTN,17.75,17.55,17.8,17.15,274720,4809
23/07/2019,GTN,17.75,17.75,17.9,17.75,188910,3366
22/07/2019,GTN,17.85,17.65,17.95,17.65,178060,3165
19/07/2019,GTN,17.8,17.8,18,17.8,82160,1465
18/07/2019,GTN,18,17.8,18.1,17.8,231900,4152
17/07/2019,GTN,18.2,18.15,18.2,18,147000,2661
16/07/2019,GTN,18.05,18.2,18.3,18,187350,3388
15/07/2019,GTN,18.15,18.15,18.35,18.1,225630,4113
12/07/2019,GTN,18.7,18.25,18.7,18.25,239880,4400
11/07/2019,GTN,18.45,18.6,18.65,18.35,310370,5732
10/07/2019,GTN,18.6,18.45,19,18.45,277090,5158
09/07/2019,GTN,18.65,18.6,18.75,18.3,199800,3702
08/07/2019,GTN,18.75,18.3,18.75,18.3,125400,2313
05/07/2019,GTN,18.25,18.55,19,18.25,388700,7219
04/07/2019,GTN,18.25,18.15,18.35,18.05,188890,3445
03/07/2019,GTN,17.95,18,18.2,17.85,107900,1945
02/07/2019,GTN,18.1,17.95,18.2,17.95,91930,1656
01/07/2019,GTN,18.3,18.3,18.3,17.75,297430,5349
28/06/2019,GTN,18,18.3,18.4,17.7,196580,3537
27/06/2019,GTN,18.75,17.8,18.75,17.8,455660,8262
26/06/2019,GTN,18.6,17.9,19.5,17.9,640750,11857
25/06/2019,GTN,18.9,18.6,18.9,18.55,79590,1484
24/06/2019,GTN,18.6,18.6,19,18.6,146770,2752
21/06/2019,GTN,18.9,18.9,19,18.8,148820,2811
20/06/2019,GTN,19.15,18.8,19.15,18.7,172680,3275
19/06/2019,GTN,19.3,19.15,19.45,19,211880,4052
18/06/2019,GTN,18.7,19,19.1,18.6,172090,3250
17/06/2019,GTN,19.2,18.95,19.2,18.9,107470,2051
14/06/2019,GTN,18.9,19.15,19.5,18.9,368120,7076
13/06/2019,GTN,18.5,18.9,19,18.5,219600,4113
12/06/2019,GTN,18.3,18.8,18.8,18.1,223150,4127
11/06/2019,GTN,18.2,18.45,18.6,18.15,167020,3066
10/06/2019,GTN,19.2,18.2,19.2,18.2,583980,10849
07/06/2019,GTN,19.2,19.2,19.8,19.1,316690,6160
06/06/2019,GTN,19.7,19.5,19.7,19,219460,4234
05/06/2019,GTN,20,19.7,20.75,19.6,1018210,20511
04/06/2019,GTN,18.8,19.7,20,18.8,479380,9376
03/06/2019,GTN,18.7,18.8,19.4,18.4,541820,10259
31/05/2019,GTN,19.1,19.05,19.6,19.05,227660,4376
30/05/2019,GTN,19.4,19.2,20,19.1,266260,5197
29/05/2019,GTN,18.45,19.4,19.7,18.45,770280,14710
28/05/2019,GTN,18.55,18.65,19,18.55,425400,7983
27/05/2019,GTN,17.65,18.5,18.65,17.65,318310,5856
24/05/2019,GTN,18,18.2,18.35,18,256390,4670
23/05/2019,GTN,18.2,18.35,18.5,18,347370,6348
22/05/2019,GTN,17.4,18.15,18.2,17.4,485900,8752
21/05/2019,GTN,18,17.65,18.05,17.25,380400,6742
20/05/2019,GTN,17.95,18,18.1,17.7,478250,8598
17/05/2019,GTN,18.45,18.1,18.5,18.05,193470,3517
16/05/2019,GTN,18.45,18.4,18.7,18.35,260430,4816
15/05/2019,GTN,18.05,18.45,18.9,18.05,587820,10889
14/05/2019,GTN,18,18.1,18.4,17.95,367790,6685
13/05/2019,GTN,18.1,18.1,18.4,18,242090,4374
10/05/2019,GTN,18.1,18.35,18.8,18,400390,7359
09/05/2019,GTN,18.45,18.2,19.1,17.9,520380,9500
08/05/2019,GTN,18.85,18.5,18.85,18.3,228940,4244
07/05/2019,GTN,18.4,19,19.65,18.4,720800,13864
06/05/2019,GTN,17.5,18.4,18.5,17.1,586920,10584
03/05/2019,GTN,17.4,17.55,17.95,17.1,371080,6516
02/05/2019,GTN,16.95,17.3,17.35,16.8,327100,5609
26/04/2019,GTN,16.7,16.85,16.95,16.7,272660,4592
25/04/2019,GTN,16.9,16.85,16.9,16.6,257470,4322
24/04/2019,GTN,17.15,16.85,17.15,16.65,144610,2433
23/04/2019,GTN,16.9,16.95,17.3,16.5,246990,4127
22/04/2019,GTN,16.8,17,17.05,16.7,120660,2040
19/04/2019,GTN,16.7,16.8,17.4,16.7,167000,2843
18/04/2019,GTN,17.5,16.7,17.5,16.6,307210,5199
17/04/2019,GTN,17.6,17.3,18.2,17.3,330190,5850
16/04/2019,GTN,17.1,17.85,17.85,16.6,310910,5390
12/04/2019,GTN,18,17.1,18.05,17.1,1103250,19568
11/04/2019,GTN,17.1,17.1,17.1,17,401240,6861
10/04/2019,GTN,16.45,16,16.45,16,456060,7379
09/04/2019,GTN,16.75,16.45,16.75,16.4,391040,6456
08/04/2019,GTN,16.9,16.7,16.9,16.4,268060,4452
05/04/2019,GTN,16.3,16.8,17.1,16.3,225290,3803
04/04/2019,GTN,16.5,16.5,16.85,16,253070,4197
03/04/2019,GTN,16.5,16.5,16.6,15.8,481170,7761
02/04/2019,GTN,16.6,16.5,16.9,16.45,445490,7395
01/04/2019,GTN,16.6,16.6,16.9,16.55,334440,5585
29/03/2019,GTN,16.8,16.6,17.3,16.4,545030,9093
28/03/2019,GTN,18.25,17.3,18.95,17.3,1190910,21799
