DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
19/06/2018,HDB,34.6,36.8,37.4,34.6,3075220,112418
18/06/2018,HDB,38.5,36.8,39.5,36.4,1403380,52487
15/06/2018,HDB,39.2,39.1,39.6,38.2,1092080,42502
14/06/2018,HDB,41.5,39.2,41.5,39.2,348610,14079
13/06/2018,HDB,40.9,41,42,40.9,377960,15534
12/06/2018,HDB,41.5,40.9,41.5,39,2322470,92018
11/06/2018,HDB,42.5,41.9,42.8,41.9,1676050,71156
08/06/2018,HDB,44.5,43.4,44.65,43.2,863640,37818
07/06/2018,HDB,43.1,44.6,44.8,42.9,1512020,66299
06/06/2018,HDB,43.2,43.2,43.5,42.8,1099960,47421
05/06/2018,HDB,43,43.2,44,42.7,2204580,95277
04/06/2018,HDB,41.1,43,43,40.6,2343110,98177
01/06/2018,HDB,39.5,41.2,41.65,38.8,2692760,110115
31/05/2018,HDB,36.2,39,39.1,36.2,1875240,71926
30/05/2018,HDB,36,36.7,37.4,34.9,4462960,160546
29/05/2018,HDB,34,35.05,35.05,33.45,3943980,135803
28/05/2018,HDB,35,32.8,35,32.8,2696050,92019
25/05/2018,HDB,35.5,35.25,35.7,34.3,2692400,94602
24/05/2018,HDB,38,35.5,38.3,35.1,2368050,85397
23/05/2018,HDB,39,37.7,39.3,36.8,959240,36189
22/05/2018,HDB,40.2,39,40.6,38.25,1406120,54766
21/05/2018,HDB,41,41.1,41.3,40.5,1746750,71426
18/05/2018,HDB,40.9,40.55,41.45,40.2,1552940,63601
17/05/2018,HDB,40.5,40.5,40.8,40.2,701400,28356
16/05/2018,HDB,40.9,40.15,40.9,39.8,999600,40299
15/05/2018,HDB,40.9,40.9,41.3,40.35,1347990,55004
14/05/2018,HDB,41.5,40.5,42,40.3,550760,22490
07/05/2018,HDB,43.5,43.5,44,42.5,1601930,69248
04/05/2018,HDB,44,43,44,42.8,646170,27822
03/05/2018,HDB,41.5,43.5,43.5,41.05,2085150,88104
02/05/2018,HDB,42.9,42,42.9,41,1017430,42897
27/04/2018,HDB,42,42.8,43.05,41.8,1706640,72591
26/04/2018,HDB,45,42.2,45.5,41.9,3073110,133543
24/04/2018,HDB,46,45,46.4,43.35,3013200,135488
23/04/2018,HDB,49.5,46.6,49.7,46.6,3902200,187553
20/04/2018,HDB,49,50.1,50.1,48.7,1802740,88678
19/04/2018,HDB,51.9,49.2,51.9,49,3452260,173685
18/04/2018,HDB,50.9,51.8,52.4,50.6,4624790,238828
17/04/2018,HDB,51.5,50.8,51.7,50.6,1678660,85770
16/04/2018,HDB,50,51,51.3,49.2,2836140,143732
13/04/2018,HDB,49.55,50,50.1,49.1,3033930,150884
12/04/2018,HDB,49.5,49.1,49.9,49,2705590,133579
11/04/2018,HDB,50.6,50.1,50.8,49.2,5630290,283107
10/04/2018,HDB,49,50.6,50.6,49,9215650,459657
09/04/2018,HDB,46.5,48.7,48.7,46.3,7770500,368558
06/04/2018,HDB,46.45,46.45,46.5,46.1,2975100,138083
05/04/2018,HDB,46.5,46.45,46.8,46.2,2804190,130169
04/04/2018,HDB,45.9,46.5,46.6,45.6,5350390,248076
03/04/2018,HDB,45.4,45.6,45.8,45.15,2115830,96200
02/04/2018,HDB,46,45.6,46.1,45.5,2317540,106274
30/03/2018,HDB,46,45.9,46,45,2358520,107113
29/03/2018,HDB,45.5,46,46.3,45.45,3603320,165976
28/03/2018,HDB,44.6,45.45,45.45,44.45,3904720,176161
23/03/2018,HDB,42,42,42.2,40.9,2122680,88261
22/03/2018,HDB,43.5,42.5,44,42.5,2881270,123776
