DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
22/09/2021,HDG,60,59.4,60.1,58.3,1551300,91654
21/09/2021,HDG,54,59.4,59.4,54,4580500,262808
20/09/2021,HDG,57.7,55.6,57.7,55.5,1450300,81842
17/09/2021,HDG,54.2,56.9,56.9,53.5,4029200,226540
16/09/2021,HDG,53.5,53.2,53.5,51.5,958700,50701
15/09/2021,HDG,51.2,53,53,51.2,785600,41063
14/09/2021,HDG,52.8,51.5,53,51.5,1872400,97577
13/09/2021,HDG,54.1,52.8,54.4,52.5,1371000,72710
10/09/2021,HDG,54.1,53.7,54.7,53.5,716700,38668
09/09/2021,HDG,53.1,53.5,54,52.9,1673600,89153
08/09/2021,HDG,54.3,53.6,55,53.6,1610800,87375
07/09/2021,HDG,55.9,54.3,56.9,54,1743500,96848
06/09/2021,HDG,55.9,55.9,57.3,55.5,2368600,133526
01/09/2021,HDG,56.3,55.6,56.9,55.5,1825200,102237
31/08/2021,HDG,55.5,56.4,57.2,55,2145500,120747
30/08/2021,HDG,55.3,55.2,55.9,54.4,1685400,92977
27/08/2021,HDG,52.7,55,55,52,2565500,138349
26/08/2021,HDG,53.5,52.8,53.9,52.6,1700600,90559
25/08/2021,HDG,51.5,53.5,53.5,51,1509600,78474
24/08/2021,HDG,51.3,51.5,52.5,50.5,2266200,116923
23/08/2021,HDG,54.8,51.4,55,51.4,4727800,248208
20/08/2021,HDG,58.7,55.2,59.5,55.2,5330100,302058
19/08/2021,HDG,58.2,59.3,59.3,57.9,1604000,94053
18/08/2021,HDG,57.6,58.5,59.2,57.6,1776100,103763
17/08/2021,HDG,59,58,59.4,57.7,2506200,146194
16/08/2021,HDG,60.5,59.4,60.5,59,1517400,90453
13/08/2021,HDG,57.2,59.9,59.9,56.8,3884400,225168
12/08/2021,HDG,56.9,57.3,58.9,56.2,3163800,182992
11/08/2021,HDG,58,56.9,59,56.9,2188100,126563
10/08/2021,HDG,57.5,58.5,59.5,56.4,2988100,171882
09/08/2021,HDG,57,57.3,58.2,56.8,2105800,120742
06/08/2021,HDG,56.1,57.2,58.8,55.9,2846100,163474
05/08/2021,HDG,55.5,56.3,56.5,54.5,2251900,125615
04/08/2021,HDG,56.4,55.9,57.6,55.5,1950500,110381
03/08/2021,HDG,52.2,56.4,56.4,52.2,6207100,343454
02/08/2021,HDG,52,52.8,53.4,51.5,4814300,252574
30/07/2021,HDG,52.5,53.3,54.9,52.5,2317900,124323
29/07/2021,HDG,49.9,53,53.5,49.45,4254400,218246
28/07/2021,HDG,52.1,50,52.7,50,3781200,194353
27/07/2021,HDG,54.2,52.6,54.4,52.6,3262000,173452
26/07/2021,HDG,52.3,54.1,54.5,52.2,2713200,145199
23/07/2021,HDG,53,52.7,54.4,52,2382400,127292
