DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
23/02/2018,HII,27,27.6,27.8,27,44470,1224
22/02/2018,HII,28.5,27.6,28.8,27.4,45240,1259
21/02/2018,HII,29,29,29,27.9,131960,3779
13/02/2018,HII,26,27.2,27.2,25.9,176400,4751
12/02/2018,HII,24.2,25.45,25.45,24.2,178670,4518
09/02/2018,HII,22,23.8,23.8,22,42960,978
08/02/2018,HII,23,23.65,24.1,23,20300,483
07/02/2018,HII,22.65,23.4,24.2,22.65,88630,2070
06/02/2018,HII,23,22.65,23.7,22.65,186890,4239
05/02/2018,HII,25.9,24.35,25.9,24.35,180480,4425
02/02/2018,HII,26.2,26.15,26.25,25.8,18740,487
01/02/2018,HII,26.3,26.2,26.3,25.05,66820,1706
31/01/2018,HII,26.5,26.2,26.5,25.7,56110,1463
30/01/2018,HII,26.3,25.4,26.4,25.3,132320,3388
29/01/2018,HII,27.05,26.3,27.5,26.2,227660,6092
26/01/2018,HII,27.1,27.05,27.7,27,100080,2716
25/01/2018,HII,28.3,27.1,28.6,27,267770,7404
22/01/2018,HII,29.3,28.8,29.45,28.25,171760,4904
19/01/2018,HII,29.35,29.2,29.95,29,84640,2481
18/01/2018,HII,28.9,29,29.4,28.5,58290,1679
17/01/2018,HII,29.6,28.9,30.5,28.9,127650,3795
16/01/2018,HII,30.5,29.4,30.85,28.7,482540,14112
15/01/2018,HII,31.4,30.85,31.4,30.1,71890,2216
12/01/2018,HII,31.7,31.45,32,31.15,101880,3200
11/01/2018,HII,30.8,31.7,32,30.7,132160,4159
10/01/2018,HII,31.2,31.05,31.5,30.6,101180,3140
09/01/2018,HII,29.45,31.15,31.15,29.15,221730,6824
08/01/2018,HII,28.2,29.15,29.3,28.1,70050,2029
05/01/2018,HII,29.1,28.8,29.2,28.8,68560,1984
04/01/2018,HII,29,29.3,29.3,28.8,34530,1004
03/01/2018,HII,29.2,29.1,29.4,28.8,51130,1486
02/01/2018,HII,29,29.1,29.5,28.6,52340,1516
29/12/2017,HII,29.9,29,29.9,28.9,87810,2560
28/12/2017,HII,29.2,29.6,29.9,29.2,37820,1113
27/12/2017,HII,30,29.3,30,29,113580,3349
26/12/2017,HII,30.5,30.2,30.5,29.7,47930,1434
25/12/2017,HII,30.4,30.1,30.4,29.95,19590,589
22/12/2017,HII,30.5,29.9,30.6,29.9,44080,1328
21/12/2017,HII,30.3,30.45,31.2,30.3,89300,2731
20/12/2017,HII,29.6,30.2,30.6,29.6,49010,1480
19/12/2017,HII,30.7,30,30.7,30,55350,1662
18/12/2017,HII,30.95,30.5,30.95,30.2,87180,2663
15/12/2017,HII,29.8,30.45,30.65,29.5,78620,2347
14/12/2017,HII,30.2,30.2,30.2,29.7,52480,1570
13/12/2017,HII,30.5,29.8,30.5,29.8,32200,969
12/12/2017,HII,30.3,30.4,30.5,29,33010,981
11/12/2017,HII,30.5,30.5,30.8,29.8,36890,1124
08/12/2017,HII,31,31,31.5,30.5,58920,1829
07/12/2017,HII,30,30.6,30.6,29.8,69510,2086
06/12/2017,HII,30.5,30.2,30.5,29.9,83500,2517
05/12/2017,HII,31.3,30.5,31.3,30.5,93770,2888
04/12/2017,HII,31.3,31.3,31.7,30.7,90650,2815
01/12/2017,HII,31.4,31.3,31.4,30.7,78680,2436
30/11/2017,HII,32.7,31.3,32.7,31,118160,3722
29/11/2017,HII,31.5,32.3,32.4,30.8,187230,5959
28/11/2017,HII,30,31.2,31.45,29.8,406630,12373
27/11/2017,HII,29.2,29.7,30.1,29.1,83700,2476
24/11/2017,HII,28.6,29.2,29.3,28.1,72030,2096
23/11/2017,HII,29.1,28.6,29.85,28.4,89870,2582
22/11/2017,HII,30.2,29.3,30.2,28.9,188500,5497
21/11/2017,HII,31,30.25,31,30,87380,2630
20/11/2017,HII,30.5,30.75,30.8,30,102360,3117
17/11/2017,HII,30.7,30.4,30.85,29.8,104810,3186
16/11/2017,HII,30.1,30.8,30.9,30.1,69690,2133
15/11/2017,HII,29.9,30.1,30.5,29.4,104540,3151
14/11/2017,HII,28.3,29.3,29.7,28,183140,5277
13/11/2017,HII,29.35,28.1,30,28,245240,7088
10/11/2017,HII,29.9,30,30.7,29,117060,3512
09/11/2017,HII,29.5,29.9,30.9,29.5,103050,3106
08/11/2017,HII,31.1,30,31.5,30,261410,8008
07/11/2017,HII,31.65,31.75,33,31.65,106320,3436
06/11/2017,HII,29.75,31.65,31.65,29.75,145080,4452
03/11/2017,HII,29.6,29.6,30,27.85,588030,16631
02/11/2017,HII,32,29.9,32,29.8,190400,5779
01/11/2017,HII,32.9,31.3,33.5,31.3,76990,2473
31/10/2017,HII,33.8,31.8,33.9,30.9,266880,8403
30/10/2017,HII,35.5,33.2,35.8,33.2,559220,18825
27/10/2017,HII,36.15,35.65,36.5,35.6,86450,3109
26/10/2017,HII,37.4,36.15,37.4,36,163860,6005
25/10/2017,HII,36.4,37,37.5,36.4,181520,6684
24/10/2017,HII,34.05,36.4,36.4,34.05,215550,7667
23/10/2017,HII,36.4,34.05,36.7,34.05,470900,16213
20/10/2017,HII,37.5,36.6,37.7,36.5,233780,8651
19/10/2017,HII,37.5,37.4,38.4,37.4,184760,6949
18/10/2017,HII,39,37.8,39,37.5,278930,10732
17/10/2017,HII,39.55,39,39.6,38.6,203170,7949
16/10/2017,HII,39.7,39.2,40,39,257390,10219
13/10/2017,HII,39.15,39.7,39.9,38.95,218980,8611
12/10/2017,HII,39.8,39.15,39.8,38.3,269090,10550
11/10/2017,HII,39.6,39.3,39.95,39.1,238060,9370
10/10/2017,HII,38.5,39.5,40,38.5,237610,9364
09/10/2017,HII,38.9,38.75,39,38.2,173290,6688
06/10/2017,HII,38.1,38.1,38.75,38.1,147430,5664
05/10/2017,HII,38.3,38.1,39.2,38.1,86190,3316
04/10/2017,HII,37.8,37.7,38,37.5,89350,3365
03/10/2017,HII,38.3,37.6,38.3,37.4,170280,6426
02/10/2017,HII,38.5,37.9,38.5,37.9,98160,3745
29/09/2017,HII,37.85,38.3,38.3,37.7,227480,8643
28/09/2017,HII,37.9,37.85,38.3,37.3,256670,9671
27/09/2017,HII,37.3,37.7,37.9,37.3,286650,10772
26/09/2017,HII,37.1,37.2,37.7,37.1,225380,8414
25/09/2017,HII,38,37.2,38,36.5,302070,11358
22/09/2017,HII,38.3,38,38.6,37.65,155320,5939
21/09/2017,HII,38,38.4,39.2,38,501970,19279
20/09/2017,HII,36.1,37.8,37.9,35.8,717660,26685
19/09/2017,HII,37.35,36.5,37.35,36.05,439390,16082
18/09/2017,HII,36.95,37.1,37.75,36.3,670730,25040
15/09/2017,HII,33.1,35.3,35.3,32.9,762520,25778
14/09/2017,HII,32.4,33,33.75,32.4,563210,18513
13/09/2017,HII,32.3,32.4,32.4,31.9,390360,12529
12/09/2017,HII,30.4,32.3,32.3,30.3,493950,15476
11/09/2017,HII,30.5,30.3,30.5,29.9,311900,9400
08/09/2017,HII,30,30,30.2,29.9,264030,7931
07/09/2017,HII,30,30,30.3,29.8,232790,6988
06/09/2017,HII,30.5,29.9,30.5,29.9,369920,11172
05/09/2017,HII,30.3,30.4,30.5,30,511130,15464
01/09/2017,HII,30.55,30.4,30.55,30,595700,18075
31/08/2017,HII,30.6,30,30.7,29.8,145570,4396
30/08/2017,HII,30.8,30.5,30.8,30.2,108560,3312
29/08/2017,HII,30.7,30.8,31,30.3,149380,4567
28/08/2017,HII,30.9,30.8,30.9,30.6,243370,7481
25/08/2017,HII,30.95,30.8,31,30.6,199080,6140
24/08/2017,HII,31,30.9,31,30.6,252100,7776
23/08/2017,HII,31.5,30.9,31.5,30.6,196980,6108
22/08/2017,HII,30.4,30.9,31.3,30.3,264800,8203
21/08/2017,HII,29,30.4,30.9,28.8,598260,17743
18/08/2017,HII,29,29,29,28.5,203250,5846
17/08/2017,HII,29.15,29,29.15,28.9,274300,7964
16/08/2017,HII,29,29.15,29.15,28.5,330480,9506
15/08/2017,HII,29.1,29.1,29.35,28.8,301600,8776
14/08/2017,HII,28.85,29.2,29.4,28.85,312730,9102
11/08/2017,HII,28.95,28.7,28.95,28.4,237720,6846
10/08/2017,HII,29.6,29.8,30.2,29.5,225670,6705
09/08/2017,HII,30.2,29.6,30.2,29.2,217460,6471
08/08/2017,HII,28.8,30.1,30.4,28.8,492620,14667
07/08/2017,HII,29.9,28.9,29.9,28.9,336310,9873
04/08/2017,HII,30.6,29.8,30.6,29.5,210970,6320
03/08/2017,HII,30.4,30.25,30.5,30.1,273590,8294
02/08/2017,HII,30.2,30.2,30.3,29.4,279880,8410
01/08/2017,HII,30.2,30.2,30.45,30.1,228960,6924
31/07/2017,HII,29.75,30.2,30.4,29.75,286910,8654
28/07/2017,HII,29,29.75,30.4,29,393290,11729
27/07/2017,HII,28.6,29,29.15,28.3,342130,9816
26/07/2017,HII,28.8,28.5,28.8,28.05,313080,8896
25/07/2017,HII,27.6,28.4,29,27.6,333870,9399
24/07/2017,HII,28.6,28.3,28.6,28,222900,6324
21/07/2017,HII,28,28.7,28.8,26.7,538020,15046
20/07/2017,HII,27,27.9,27.9,26.6,354920,9716
19/07/2017,HII,26.1,26.6,26.9,26,269890,7102
18/07/2017,HII,27.3,26.1,27.3,26.1,250250,6690
17/07/2017,HII,26.2,26.75,26.75,26.2,502100,13300
14/07/2017,HII,28.7,25,28.7,25,768850,21130
13/07/2017,HII,25.1,26.85,26.85,24.8,537250,14061
12/07/2017,HII,24.8,25.1,25.1,24.3,338380,8334
11/07/2017,HII,23.6,24.3,24.3,22.5,251850,5995
10/07/2017,HII,22.2,23,23.65,21,253850,5654
07/07/2017,HII,22.3,22.2,23.5,21.9,413280,9234
06/07/2017,HII,23.8,23.5,24.4,23.5,298690,7141
05/07/2017,HII,25.6,24.65,25.8,23.5,451610,11195
04/07/2017,HII,24.15,24.15,24.15,24,1607600,38818
