DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
16/03/2018,HTT,3.05,3.14,3.15,3.05,9220,28
15/03/2018,HTT,3.15,3.07,3.15,3.07,8680,27
14/03/2018,HTT,3.18,3.15,3.18,3.05,46610,146
13/03/2018,HTT,3.17,3.18,3.18,3.05,36850,115
12/03/2018,HTT,3.08,3.17,3.19,3.08,48440,152
09/03/2018,HTT,3.15,3.07,3.15,3.07,74880,233
08/03/2018,HTT,3.06,3.05,3.15,3.05,68810,214
07/03/2018,HTT,2.92,3.05,3.05,2.92,64740,197
06/03/2018,HTT,3,3,3.07,2.91,58440,176
05/03/2018,HTT,2.92,3,3.1,2.9,19300,58
02/03/2018,HTT,2.92,2.91,2.94,2.9,23830,69
01/03/2018,HTT,2.9,2.92,2.93,2.88,18630,54
28/02/2018,HTT,2.81,2.94,2.94,2.81,16730,49
27/02/2018,HTT,2.88,2.92,2.94,2.81,16350,46
26/02/2018,HTT,2.92,2.9,2.92,2.89,51270,149
23/02/2018,HTT,3.09,2.91,3.09,2.91,54970,162
22/02/2018,HTT,3.1,3.02,3.1,2.96,9710,29
21/02/2018,HTT,3,3.05,3.15,2.95,60350,179
13/02/2018,HTT,3.1,3.05,3.1,3,64350,198
12/02/2018,HTT,3.2,3.03,3.2,2.86,32310,97
09/02/2018,HTT,2.83,3,3,2.83,71740,204
08/02/2018,HTT,3.1,3.04,3.13,2.97,113600,350
07/02/2018,HTT,2.79,2.97,2.97,2.79,61320,182
06/02/2018,HTT,2.79,2.78,2.87,2.78,221970,618
05/02/2018,HTT,3.2,2.98,3.3,2.98,255730,776
02/02/2018,HTT,3.31,3.2,3.45,3.2,159210,517
01/02/2018,HTT,3.5,3.39,3.64,3.39,234130,812
31/01/2018,HTT,3.72,3.64,3.8,3.58,157270,575
30/01/2018,HTT,3.88,3.81,3.98,3.8,92940,357
29/01/2018,HTT,4.15,3.95,4.15,3.95,39070,156
26/01/2018,HTT,3.95,4.05,4.19,3.95,157060,637
25/01/2018,HTT,4.4,4.2,4.4,4.2,610090,2565
22/01/2018,HTT,4.5,4.51,4.59,4.45,407140,1845
19/01/2018,HTT,4.54,4.54,4.6,4.43,291840,1315
18/01/2018,HTT,4.35,4.5,4.55,4.3,512450,2276
17/01/2018,HTT,4.36,4.36,4.39,4.33,301190,1312
16/01/2018,HTT,4.35,4.36,4.43,4.3,231760,1012
15/01/2018,HTT,4.4,4.38,4.45,4.35,215790,943
12/01/2018,HTT,4.5,4.4,4.58,4.4,252830,1118
11/01/2018,HTT,4.38,4.5,4.53,4.35,257760,1146
10/01/2018,HTT,4.4,4.38,4.48,4.3,235500,1034
09/01/2018,HTT,4.4,4.38,4.48,4.3,295240,1289
08/01/2018,HTT,4.5,4.4,4.5,4.3,173630,770
05/01/2018,HTT,4.53,4.49,4.56,4.48,102940,464
04/01/2018,HTT,4.59,4.53,4.59,4.5,388260,1758
03/01/2018,HTT,4.43,4.53,4.68,4.43,398730,1821
