DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
21/02/2018,HVN,54,54.9,55.6,53,1113547,60836
13/02/2018,HVN,49.9,53,53,49.9,1390941,72313
12/02/2018,HVN,46,49.9,50,46,727541,34956
09/02/2018,HVN,45,46.5,46.5,40.8,1433769,63062
08/02/2018,HVN,49.9,46.6,51.9,46.1,1412300,67784
07/02/2018,HVN,46,50.5,51,46,2381296,117706
06/02/2018,HVN,49.5,45.5,49.5,44.2,2770837,123654
05/02/2018,HVN,53.2,49.9,53.7,43.4,2133156,110834
02/02/2018,HVN,52,53.2,53.5,49.9,2551448,130084
01/02/2018,HVN,53.8,51.2,56,49.5,2430906,126466
31/01/2018,HVN,59,53.8,59.5,53.5,3097150,173637
30/01/2018,HVN,60,59,61.2,58.5,2202371,131096
29/01/2018,HVN,59.5,61,64,59,1507535,93019
26/01/2018,HVN,63.7,62,65,61.5,2179883,135891
25/01/2018,HVN,64.7,0,67.2,62.9,2344305,151768
24/01/2018,HVN,67.3,64.2,68,57.3,2076432,134194
23/01/2018,HVN,64.5,67.3,70,52.5,2455609,165273
22/01/2018,HVN,56.2,63.7,63.7,50,3011445,185694
19/01/2018,HVN,52.5,56.7,59,44.4,2350353,130209
18/01/2018,HVN,53.5,52.8,53.5,45.6,1590981,83036
17/01/2018,HVN,52.5,53,54.4,52.5,1733229,92906
16/01/2018,HVN,52,52.6,52.9,43.9,1154825,60535
15/01/2018,HVN,51,52,52,43.8,951914,49152
12/01/2018,HVN,50.9,51.3,53,42.4,1021552,52658
11/01/2018,HVN,49.3,50.7,51,42.3,1322935,65763
10/01/2018,HVN,51.5,49.3,54,48.7,1861371,92480
09/01/2018,HVN,50.9,51,52.3,42.2,1597691,81942
08/01/2018,HVN,47.8,50.9,51,47.7,1695283,84124
05/01/2018,HVN,46.5,47.9,48.5,40,1335299,63660
04/01/2018,HVN,45.5,46.9,47.7,43.5,1397180,65094
