DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
08/09/2021,IDC,41.3,42,42.5,40.7,5704500,239315
07/09/2021,IDC,42.5,41.3,43.4,41.1,9238800,389530
06/09/2021,IDC,41.4,42.5,44,41.4,5657700,244022
02/09/2021,IDC,0,0,0,0,0,0
01/09/2021,IDC,40,41.4,42.1,39.9,6859400,280457
31/08/2021,IDC,38.2,40,41.8,37.9,10175900,405946
30/08/2021,IDC,38.1,38.2,39.4,38.1,4034000,156249
27/08/2021,IDC,36.5,38.1,38.3,36,4245500,159015
26/08/2021,IDC,36.1,36.6,37.2,36,3139000,115351
25/08/2021,IDC,34.8,36.1,36.2,34.7,1861000,65625
24/08/2021,IDC,36,34.7,36.5,34.6,4186400,148459
23/08/2021,IDC,38.3,36,38.3,36,3730200,137969
20/08/2021,IDC,39.7,38.3,40.3,36.8,7257100,283344
19/08/2021,IDC,38.5,39.7,39.7,38.5,6205700,243284
18/08/2021,IDC,38,38.5,38.8,37.6,3423800,131344
17/08/2021,IDC,38.5,38,39,37.6,3065500,117114
16/08/2021,IDC,36,38.5,38.8,36,7094300,268798
13/08/2021,IDC,35.2,36,36,34.7,2399800,84670
12/08/2021,IDC,34.8,35.1,36.4,34.7,3256200,115402
11/08/2021,IDC,36,35.2,36,35.1,2333300,82861
10/08/2021,IDC,35.9,36,36.5,35.7,2368700,85548
09/08/2021,IDC,34.1,35.8,35.8,33.8,3173100,111832
06/08/2021,IDC,33.8,34.1,34.7,33.8,2083300,71549
05/08/2021,IDC,33.4,33.8,34.3,33.3,1165100,39499
04/08/2021,IDC,33.6,33.4,34.1,33,1998600,66880
03/08/2021,IDC,33.8,33.6,34.1,33.1,1813500,60626
02/08/2021,IDC,34.4,33.8,34.5,33.7,1353700,46190
30/07/2021,IDC,35,34.4,35,34.1,1433700,49598
29/07/2021,IDC,34.8,34.8,35,34,1115700,38366
28/07/2021,IDC,33.8,34.6,35.1,33.7,2480100,85462
27/07/2021,IDC,33.8,33.8,34.4,33.8,932400,31651
26/07/2021,IDC,33.4,33.8,34.5,32.9,2000000,66753
23/07/2021,IDC,33.6,33.6,34.5,32.9,2273500,76485
22/07/2021,IDC,31.8,33.2,33.9,31.7,2357400,77971
21/07/2021,IDC,32,31.8,32.3,31.5,639600,20317
20/07/2021,IDC,29.1,31.8,31.9,29.1,1916600,58703
