DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
08/08/2019,IJC,13.9,14.1,14.5,13.9,1561460,22056
07/08/2019,IJC,13.95,13.9,14.3,13.65,1655530,23022
06/08/2019,IJC,12.95,13.95,14.2,12.95,1993320,27381
05/08/2019,IJC,13,13.3,13.8,12.9,1590770,21390
02/08/2019,IJC,12.1,13.1,13.15,12.05,3077230,40007
01/08/2019,IJC,12.35,12.3,12.75,12.2,1901900,23704
31/07/2019,IJC,11.3,12.05,12.05,11.25,2362940,27905
30/07/2019,IJC,11.35,11.3,11.45,11.25,968470,11005
29/07/2019,IJC,11.6,11.45,11.75,11.35,1772450,20411
26/07/2019,IJC,11.25,11.35,11.35,11.25,1256650,14244
25/07/2019,IJC,10.8,10.65,10.85,10.65,296150,3183
24/07/2019,IJC,10.6,10.7,10.8,10.6,180420,1930
23/07/2019,IJC,10.6,10.7,10.7,10.6,312240,3321
22/07/2019,IJC,10.6,10.6,10.8,10.6,274880,2921
19/07/2019,IJC,10.95,10.75,11,10.65,451940,4842
18/07/2019,IJC,10.9,10.85,11,10.65,453890,4898
17/07/2019,IJC,10.9,10.9,11.1,10.9,447710,4925
16/07/2019,IJC,11.05,10.95,11.1,10.9,368810,4042
15/07/2019,IJC,11.2,11.05,11.25,11,392300,4345
12/07/2019,IJC,11.2,11.15,11.45,11.15,806460,9117
11/07/2019,IJC,10.9,11.1,11.2,10.9,629990,6999
10/07/2019,IJC,10.8,10.9,11,10.8,284650,3108
09/07/2019,IJC,11.1,10.9,11.1,10.8,323900,3530
08/07/2019,IJC,10.85,11.05,11.1,10.85,464780,5107
05/07/2019,IJC,10.8,11,11.05,10.8,552880,6062
04/07/2019,IJC,10.8,10.9,11.05,10.8,730540,7988
03/07/2019,IJC,10.55,10.7,10.8,10.55,253590,2712
02/07/2019,IJC,10.55,10.55,10.6,10.5,341410,3593
01/07/2019,IJC,10.65,10.6,10.7,10.45,308890,3255
28/06/2019,IJC,10.6,10.4,10.6,10.35,599380,6254
27/06/2019,IJC,10.65,10.5,10.75,10.5,588590,6238
26/06/2019,IJC,10.9,10.65,10.9,10.6,537660,5770
25/06/2019,IJC,11,10.95,11,10.85,267990,2927
24/06/2019,IJC,11.45,10.9,11.45,10.9,443630,4907
21/06/2019,IJC,10.75,11.25,11.35,10.75,1615780,17936
20/06/2019,IJC,10.75,10.75,10.8,10.7,287060,3091
19/06/2019,IJC,10.9,10.7,10.9,10.65,199830,2150
18/06/2019,IJC,10.55,10.8,10.9,10.55,585390,6307
17/06/2019,IJC,10.9,10.55,10.9,10.55,255200,2716
14/06/2019,IJC,10.6,10.8,10.95,10.6,417130,4480
13/06/2019,IJC,10.8,10.7,10.8,10.55,202320,2157
12/06/2019,IJC,10.4,10.75,10.85,10.35,924410,9875
11/06/2019,IJC,10.25,10.35,10.65,10.1,428590,4468
10/06/2019,IJC,10.3,10.2,10.4,10.15,229090,2344
07/06/2019,IJC,10.2,10.3,10.4,10.1,143500,1474
06/06/2019,IJC,10.1,10,10.2,10,289730,2920
05/06/2019,IJC,10.35,10.15,10.5,10.1,357900,3673
04/06/2019,IJC,10.15,10.2,10.4,10.1,181260,1852
03/06/2019,IJC,10.4,10.15,10.55,10,511670,5193
31/05/2019,IJC,11,10.75,11,10.7,149900,1614
30/05/2019,IJC,11.25,10.85,11.35,10.85,468010,5190
29/05/2019,IJC,10.3,10.95,10.95,10.3,1123400,12265
28/05/2019,IJC,10.4,10.25,10.4,10.25,66180,682
27/05/2019,IJC,10.35,10.35,10.4,10.25,58820,607
24/05/2019,IJC,10.4,10.35,10.4,10.1,51850,534
23/05/2019,IJC,10.3,10.4,10.45,10.3,146560,1513
22/05/2019,IJC,10.4,10.35,10.5,10.35,226110,2347
21/05/2019,IJC,10.5,10.45,10.55,10.4,249210,2608
20/05/2019,IJC,10.5,10.55,10.6,10.45,162030,1702
17/05/2019,IJC,10.7,10.55,10.7,10.55,182700,1941
16/05/2019,IJC,10.25,10.6,10.75,10.25,567080,5978
15/05/2019,IJC,10.1,10.25,10.3,10.1,135860,1388
14/05/2019,IJC,10.15,10.1,10.15,9.95,150960,1517
13/05/2019,IJC,10,10.15,10.35,9.99,164070,1664
10/05/2019,IJC,9.99,9.99,10.15,9.9,61930,619
09/05/2019,IJC,9.8,9.99,10.1,9.8,173780,1725
08/05/2019,IJC,9.8,9.8,9.9,9.6,252870,2470
07/05/2019,IJC,10.3,10,10.3,9.99,253770,2547
06/05/2019,IJC,10.4,10.2,10.5,10.1,210630,2153
03/05/2019,IJC,10.4,10.55,10.65,10.4,212440,2233
02/05/2019,IJC,10.5,10.55,10.6,10.5,83240,877
26/04/2019,IJC,10.5,10.5,10.55,10.4,130100,1358
25/04/2019,IJC,10.6,10.5,10.7,10.4,114530,1202
24/04/2019,IJC,10.4,10.55,10.55,10.25,226110,2359
23/04/2019,IJC,10.05,10.15,10.5,10.05,152560,1578
22/04/2019,IJC,10.35,10.2,10.35,10.15,134500,1375
19/04/2019,IJC,10.3,10.35,10.5,10.15,200710,2071
18/04/2019,IJC,10.5,10.4,10.5,10.3,262780,2733
17/04/2019,IJC,10.9,10.5,10.95,10.5,763660,8126
16/04/2019,IJC,11,10.8,11,10.8,605410,6604
12/04/2019,IJC,11.3,11.25,11.3,11.15,196440,2208
11/04/2019,IJC,10.8,11.3,11.4,10.8,497150,5483
10/04/2019,IJC,11.05,10.8,11.15,10.8,765940,8396
09/04/2019,IJC,11.25,11.2,11.4,10.9,1369520,15269
08/04/2019,IJC,11.6,11.3,11.65,11.3,656430,7510
05/04/2019,IJC,11.8,11.6,11.95,11.5,743940,8673
04/04/2019,IJC,11.5,11.8,11.95,11.45,1137700,13341
03/04/2019,IJC,11.1,11.4,11.4,11.1,316750,3553
