DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
14/09/2021,ITD,17.2,18.35,18.35,17.2,582300,10514
13/09/2021,ITD,17.15,17.15,17.55,17.15,175300,3024
10/09/2021,ITD,17.6,17.4,17.8,17.1,348600,6063
09/09/2021,ITD,17.6,17.6,17.8,16.9,123700,2176
08/09/2021,ITD,17.8,17.6,17.85,17.3,98600,1731
07/09/2021,ITD,18.5,17.8,18.6,17.8,185100,3350
06/09/2021,ITD,18.5,18.3,18.5,18,382600,7012
01/09/2021,ITD,17.8,17.8,17.8,17.5,198800,3506
31/08/2021,ITD,18.3,17.85,18.3,17.8,242900,4374
30/08/2021,ITD,18,18.05,18.05,17.5,274300,4898
27/08/2021,ITD,17.2,17.15,17.3,16.9,151100,2596
26/08/2021,ITD,16.95,17.2,17.5,16.8,260500,4478
25/08/2021,ITD,16.5,16.8,16.8,16.5,112400,1877
24/08/2021,ITD,17.15,16.55,17.15,16.5,342600,5758
23/08/2021,ITD,17,17.15,17.8,16.6,225700,3886
20/08/2021,ITD,18,17,18.2,16.85,419700,7385
19/08/2021,ITD,17.9,18.1,18.35,17.8,468100,8387
18/08/2021,ITD,18.85,18.35,18.85,17.7,494500,9069
17/08/2021,ITD,19.4,18.85,19.5,18.5,456500,8718
16/08/2021,ITD,18.9,19.2,19.7,18.6,474200,9055
13/08/2021,ITD,19.1,18.9,19.1,18,517300,9581
12/08/2021,ITD,19.4,19.15,19.4,18.95,334700,6393
11/08/2021,ITD,18.5,19,19.5,18.5,873400,16725
10/08/2021,ITD,19,18.6,19.3,18.5,535300,10032
09/08/2021,ITD,18.8,19,19.6,18.8,593300,11370
06/08/2021,ITD,17.2,18.4,18.4,17.1,858300,15518
05/08/2021,ITD,17,17.2,17.45,17,172400,2967
04/08/2021,ITD,17,17,17.2,16.8,243700,4131
03/08/2021,ITD,17.4,17,17.6,16.95,133900,2294
02/08/2021,ITD,16.9,17.4,18,16.9,204600,3612
30/07/2021,ITD,15.85,16.9,16.9,15.3,347700,5629
29/07/2021,ITD,16.4,15.8,16.4,15.7,166200,2643
28/07/2021,ITD,16,16.3,16.3,15.8,140600,2253
27/07/2021,ITD,16.5,16,16.5,15.8,173400,2798
26/07/2021,ITD,17.3,16.4,17.3,16.15,353800,5809
23/07/2021,ITD,17.55,17.35,17.8,17.1,95600,1660
22/07/2021,ITD,17.2,17.35,17.9,17.1,99800,1733
21/07/2021,ITD,17.4,17.2,17.4,16.95,109400,1878
20/07/2021,ITD,17,17.2,17.3,16.7,157900,2687
19/07/2021,ITD,16.9,16.95,17.6,16.9,212400,3628
16/07/2021,ITD,17,17.8,18.5,17,186000,3320
05/07/2021,ITD,16.9,15.9,16.9,15.3,384800,6191
02/07/2021,ITD,15.9,16.45,16.45,15.6,464700,7520
01/07/2021,ITD,14.4,15.4,15.4,14.4,798500,12089
30/06/2021,ITD,13.5,14.4,14.4,13.5,854900,12232
29/06/2021,ITD,13.5,13.5,13.75,13.5,110700,1502
28/06/2021,ITD,13.1,13.5,13.6,13.1,84400,1139
25/06/2021,ITD,13.2,13.1,13.2,12.9,30900,403
24/06/2021,ITD,13,13.2,13.25,12.9,104100,1354
23/06/2021,ITD,13.3,13.3,13.3,12.9,109700,1428
22/06/2021,ITD,14,13.3,14,13.15,57200,776
21/06/2021,ITD,13,13.9,13.9,12.9,242500,3240
18/06/2021,ITD,13,13,13.15,12.8,121100,1581
17/06/2021,ITD,12.75,13,13.05,12.75,40000,515
16/06/2021,ITD,13,13,13.1,12.9,36400,472
15/06/2021,ITD,13,13,13.05,12.9,84800,1100
14/06/2021,ITD,12.95,13,13.15,12.9,71700,931
11/06/2021,ITD,13.15,12.95,13.15,12.95,25700,336
10/06/2021,ITD,13.15,12.9,13.2,12.9,27200,352
09/06/2021,ITD,12.95,13.15,13.15,12.85,54900,712
08/06/2021,ITD,13.15,12.95,13.15,12.95,39200,510
07/06/2021,ITD,13.1,13.1,13.35,12.9,109900,1439
04/06/2021,ITD,13.05,13.2,13.25,13,88200,1153
03/06/2021,ITD,13.6,13.25,13.6,13.1,50400,670
02/06/2021,ITD,12.95,13.1,13.15,12.9,31100,405
01/06/2021,ITD,12.8,12.95,12.95,12.75,46100,591
31/05/2021,ITD,12.8,12.8,12.85,12.7,45000,574
28/05/2021,ITD,12.8,12.85,12.95,12.8,48100,618
27/05/2021,ITD,12.8,12.8,13.1,12.7,13100,170
26/05/2021,ITD,12.85,13,13.1,12.85,95000,1230
25/05/2021,ITD,13.3,13,13.3,12.9,48700,634
24/05/2021,ITD,13.45,13,13.55,12.7,64300,830
21/05/2021,ITD,12.7,13.45,13.7,12.55,74000,944
20/05/2021,ITD,13.75,12.9,13.75,12.7,79900,1029
19/05/2021,ITD,13.9,13.25,14.05,13.2,93100,1239
18/05/2021,ITD,13.55,13.75,14.1,13.2,54600,732
17/05/2021,ITD,13.8,13.55,13.8,13.2,63900,862
14/05/2021,ITD,14,13.6,14,13.55,54200,741
13/05/2021,ITD,14.1,14,14.2,13.9,74900,1047
12/05/2021,ITD,14,14.1,14.2,13.7,73900,1033
11/05/2021,ITD,14.2,14.1,14.2,13.7,223100,3127
10/05/2021,ITD,13.8,14.2,14.25,13.7,318600,4477
07/05/2021,ITD,13.5,13.6,13.95,13.4,196100,2674
06/05/2021,ITD,12.5,13.35,13.35,12.5,357100,4740
05/05/2021,ITD,12.7,12.5,13,12.4,100300,1276
04/05/2021,ITD,13,12.75,13,12.75,30000,388
29/04/2021,ITD,13.5,13,13.55,13,183600,2403
28/04/2021,ITD,12.4,13.2,13.55,12.4,1168300,14699
27/04/2021,ITD,12.5,12.7,12.7,12.3,39000,489
26/04/2021,ITD,12.6,12.6,12.9,12.6,7400,94
23/04/2021,ITD,12.1,12.7,12.8,12.1,64900,806
22/04/2021,ITD,12.8,12.6,12.95,12.6,44100,557
20/04/2021,ITD,12.9,12.8,13,12.8,36000,464
19/04/2021,ITD,12.9,12.9,13,12.6,59100,759
16/04/2021,ITD,13.4,12.9,13.4,12.85,38100,498
15/04/2021,ITD,13.3,13.35,13.4,13,83700,1098
14/04/2021,ITD,13,13.4,13.4,13,89800,1179
13/04/2021,ITD,13.4,13.3,13.5,13,65400,865
12/04/2021,ITD,13.15,13.3,13.45,13,66500,878
09/04/2021,ITD,13.3,13.15,13.3,13.15,82000,1083
08/04/2021,ITD,13.55,13.3,13.55,13,58000,767
07/04/2021,ITD,13.55,13.55,13.7,13.5,132400,1791
06/04/2021,ITD,14,13.55,14,13.5,98600,1349
05/04/2021,ITD,13.1,13.7,13.8,12.9,296500,3998
02/04/2021,ITD,13.1,12.9,13.1,12.9,93700,1219
01/04/2021,ITD,13.15,13.1,13.15,13,60400,787
31/03/2021,ITD,13.2,13.1,13.2,12.8,218300,2834
30/03/2021,ITD,13,13.2,13.2,12.85,138600,1798
29/03/2021,ITD,13.2,13.1,13.3,12.9,88100,1150
26/03/2021,ITD,12.6,13,13.3,12.5,140600,1797
25/03/2021,ITD,12.8,12.6,12.9,12.6,72500,921
24/03/2021,ITD,12.7,12.6,12.95,12.4,176900,2240
23/03/2021,ITD,13.35,13.2,13.45,13,72600,966
22/03/2021,ITD,13.05,13.35,13.65,13,151100,1997
19/03/2021,ITD,12.2,13.05,13.05,12.1,314600,4061
18/03/2021,ITD,12.2,12.2,12.3,12.2,26300,322
17/03/2021,ITD,12.4,12.2,12.4,11.6,120800,1460
16/03/2021,ITD,12.4,12.35,12.4,12.15,49300,603
15/03/2021,ITD,12.35,12.35,12.4,12.3,70400,870
12/03/2021,ITD,12.25,12.35,12.5,12.2,68400,843
11/03/2021,ITD,12.3,12.25,12.5,12.25,51700,636
10/03/2021,ITD,12.5,12.25,12.5,12.2,53300,656
09/03/2021,ITD,12.55,12.5,12.8,12,115100,1434
08/03/2021,ITD,12.4,12.75,13.1,12.4,54300,689
05/03/2021,ITD,12.2,12.4,12.5,11.95,161000,1958
04/03/2021,ITD,13.5,12.5,13.5,12.4,290000,3746
03/03/2021,ITD,13.5,12.9,13.5,12.7,120600,1578
02/03/2021,ITD,12.7,12.7,12.7,12.6,470200,5971
01/03/2021,ITD,11.15,11.9,11.9,11.15,282200,3339
26/02/2021,ITD,11.1,11.15,11.2,11,15300,170
25/02/2021,ITD,10.95,11.15,11.15,10.9,36500,402
24/02/2021,ITD,11,10.95,11.1,10.9,31500,345
23/02/2021,ITD,10.9,11.15,11.2,10.8,24400,268
22/02/2021,ITD,10.9,11.15,11.15,10.7,74500,811
19/02/2021,ITD,10.95,10.9,11,10.7,36500,397
18/02/2021,ITD,11.45,10.95,11.45,10.9,20300,224
17/02/2021,ITD,10.65,11.2,11.2,10.65,49600,548
09/02/2021,ITD,10.9,10.65,10.9,10.6,39700,423
08/02/2021,ITD,10.9,10.65,11,10.6,23300,251
05/02/2021,ITD,11.2,10.85,11.2,10.85,33200,363
04/02/2021,ITD,11,10.95,11,10.8,17900,196
03/02/2021,ITD,10.35,10.9,11.2,10.35,86900,943
02/02/2021,ITD,10.5,10.5,10.7,10.3,28400,298
01/02/2021,ITD,10.6,10.5,10.6,10.1,36500,380
29/01/2021,ITD,10,10.6,10.6,10,29500,306
28/01/2021,ITD,10.6,10.05,10.6,10.05,204400,2062
27/01/2021,ITD,10.35,10.8,11.1,10.35,296000,3226
26/01/2021,ITD,10.7,10.4,10.8,10.4,30800,326
25/01/2021,ITD,10.8,11,11,10.4,49500,534
22/01/2021,ITD,11.1,10.8,11.2,10.7,130400,1433
21/01/2021,ITD,11.2,11.2,11.3,11,90600,1010
20/01/2021,ITD,10.3,11.2,11.2,10.15,197200,2078
19/01/2021,ITD,11.5,10.9,11.85,10.7,134700,1515
