DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
04/09/2019,NAF,19.7,20,20,19.65,57150,1129
03/09/2019,NAF,20.3,19.7,20.3,19.6,54520,1077
30/08/2019,NAF,19.8,20.3,20.3,19.8,163830,3263
29/08/2019,NAF,19.55,19.8,19.8,19.5,62290,1226
28/08/2019,NAF,19.9,19.6,20,19.55,99850,1986
27/08/2019,NAF,20,19.9,20,19.5,43660,865
26/08/2019,NAF,20.3,20,20.3,19.75,81260,1621
23/08/2019,NAF,19.4,20.3,20.3,19.3,89850,1763
22/08/2019,NAF,19.1,19.4,19.4,19.1,58610,1129
21/08/2019,NAF,19.4,19.1,19.45,19.1,30780,591
20/08/2019,NAF,19.4,19.4,19.4,19.1,40770,783
19/08/2019,NAF,19.2,19.4,19.5,19.1,71040,1378
16/08/2019,NAF,19.4,19.5,19.7,19.2,55460,1082
15/08/2019,NAF,18.9,19.5,19.5,18.6,52230,995
14/08/2019,NAF,19.4,18.9,19.5,18.9,76080,1467
13/08/2019,NAF,19.3,19.4,19.5,19,71900,1375
12/08/2019,NAF,19.6,19.5,19.6,19.2,57990,1123
09/08/2019,NAF,19.3,19.7,19.7,19.3,124130,2416
08/08/2019,NAF,19.3,19.7,19.7,19.3,89180,1731
07/08/2019,NAF,19.3,19.8,19.9,19.3,74210,1466
06/08/2019,NAF,19.2,19.7,20,18.7,112270,2144
05/08/2019,NAF,20,19.4,20,19.4,104070,2046
02/08/2019,NAF,20.4,20.2,20.4,19.8,49730,995
01/08/2019,NAF,20.3,20.4,20.5,19.95,126360,2540
31/07/2019,NAF,19.3,20.3,20.3,19.25,178840,3528
30/07/2019,NAF,19.3,19.6,19.6,19.25,58450,1134
29/07/2019,NAF,19.4,19.6,19.7,19.3,110050,2130
26/07/2019,NAF,19.7,19.75,19.8,19.3,74640,1467
25/07/2019,NAF,19.5,19.65,19.8,19.35,155010,3032
24/07/2019,NAF,18.6,19.3,19.35,18.4,188530,3559
23/07/2019,NAF,18.4,18.7,18.9,18.3,107330,1987
22/07/2019,NAF,18.7,18.7,18.7,18.5,64700,1202
19/07/2019,NAF,18.5,18.7,18.7,18.5,66510,1236
18/07/2019,NAF,18.9,18.7,18.9,18.5,124880,2320
17/07/2019,NAF,19,18.9,19,18.55,143010,2686
16/07/2019,NAF,18.9,19,19.1,18.5,130490,2449
15/07/2019,NAF,18.55,18.9,18.9,18.55,158350,2946
12/07/2019,NAF,18.5,18.5,18.9,18.5,75120,1404
11/07/2019,NAF,19,18.5,19,18.45,174400,3250
10/07/2019,NAF,18.5,18.9,19,18.5,128880,2419
09/07/2019,NAF,19.1,19,19.1,18.5,61300,1140
08/07/2019,NAF,19.2,19.1,19.4,18.65,95380,1809
05/07/2019,NAF,19.1,19.2,19.5,18.5,50700,958
04/07/2019,NAF,19.1,19.3,19.6,18.9,119430,2300
03/07/2019,NAF,19.6,19.1,19.8,18.7,103440,1966
02/07/2019,NAF,19.8,19.6,20,19.15,111050,2155
01/07/2019,NAF,19.1,19.8,19.8,18.9,176480,3390
28/06/2019,NAF,18.2,19.1,19.1,17.7,224200,4068
27/06/2019,NAF,17.9,18,18.2,17.5,151640,2712
26/06/2019,NAF,17.5,18.1,18.1,17.4,80270,1424
25/06/2019,NAF,17.8,17.7,17.8,17.4,188290,3318
24/06/2019,NAF,17.9,17.8,17.9,17.45,152010,2697
21/06/2019,NAF,17.5,17.9,17.9,17.2,108510,1896
20/06/2019,NAF,17.7,17.4,18,17.4,62310,1110
19/06/2019,NAF,17.7,17.9,18.4,17.5,184080,3307
18/06/2019,NAF,17.3,17.6,18,17.3,279770,4943
17/06/2019,NAF,17.1,17.3,17.3,16.9,19180,329
14/06/2019,NAF,17.5,17.4,18.2,16.9,123620,2135
13/06/2019,NAF,17,17.5,17.7,17,115450,1995
12/06/2019,NAF,16.1,17,17,16.05,288480,4764
11/06/2019,NAF,18.3,18.5,18.5,17.9,83080,1511
10/06/2019,NAF,17.7,18.3,18.3,17.5,154400,2742
07/06/2019,NAF,17.8,17.8,18,17.6,39920,709
06/06/2019,NAF,17.4,17.8,17.8,17.2,57840,1010
05/06/2019,NAF,17.9,17.6,18,17.2,103160,1806
04/06/2019,NAF,18,17.8,18.4,17.6,97710,1742
03/06/2019,NAF,18,18,18.2,17.8,125900,2269
31/05/2019,NAF,17.6,18,18,17.6,105850,1878
30/05/2019,NAF,17.2,17.6,17.6,16.8,174740,2987
29/05/2019,NAF,17.3,17.2,17.3,16.9,57230,971
28/05/2019,NAF,17,17.3,17.3,16.8,42090,715
27/05/2019,NAF,16.8,17,17.1,16.7,22000,368
24/05/2019,NAF,16.9,17.1,17.2,16.6,27770,467
23/05/2019,NAF,17.25,17.1,17.3,16.8,42220,716
22/05/2019,NAF,17,17.25,17.4,16.9,63860,1089
21/05/2019,NAF,16.8,17.3,17.3,16.8,88990,1518
20/05/2019,NAF,16,17,17,16,149890,2475
17/05/2019,NAF,15.4,16.2,16.4,15.4,191430,3024
16/05/2019,NAF,15,15.5,15.5,15,208950,3172
15/05/2019,NAF,15.05,15.15,15.2,15,89240,1348
14/05/2019,NAF,15.05,15.15,16,15.05,121440,1850
13/05/2019,NAF,15,15.05,15.1,15,210930,3164
10/05/2019,NAF,15.05,15.1,15.1,15,36810,554
09/05/2019,NAF,15.15,15.15,15.15,14.85,38420,578
08/05/2019,NAF,15.15,15.2,15.2,15,64770,980
07/05/2019,NAF,15.1,15.15,15.3,15.05,117550,1776
06/05/2019,NAF,15.3,15.2,15.3,15.05,95930,1454
03/05/2019,NAF,15.15,15.3,15.4,15.05,62220,945
02/05/2019,NAF,15.2,15.3,15.5,15.05,99350,1507
26/04/2019,NAF,15.15,15.2,15.2,15.1,173160,2623
25/04/2019,NAF,15.2,15.1,15.3,15.1,75560,1149
24/04/2019,NAF,15.2,15.2,15.25,15.2,57460,876
23/04/2019,NAF,14.95,15.3,15.5,14.5,196800,2948
22/04/2019,NAF,15.1,15,15.1,14.9,15100,226
19/04/2019,NAF,15.05,15.05,15.05,15,23830,358
18/04/2019,NAF,15.1,15,15.1,14.9,37050,556
17/04/2019,NAF,15.05,15,15.1,15,69560,1049
16/04/2019,NAF,15.05,15.1,15.15,15,63200,949
12/04/2019,NAF,15.1,15.1,15.1,15,49550,747
11/04/2019,NAF,15.2,15.15,15.2,15.1,41950,635
10/04/2019,NAF,15.1,15.2,15.2,15.1,40940,620
09/04/2019,NAF,15.1,15.2,15.3,15,56770,859
08/04/2019,NAF,15.3,15.1,15.3,15,68550,1038
