DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
22/02/2018,NKG,35.7,35.4,35.8,35.25,161770,5754
21/02/2018,NKG,36.9,35.9,36.9,35.7,269550,9676
13/02/2018,NKG,35.9,35.8,36,35.5,316590,11306
12/02/2018,NKG,35,35.8,36,35,113990,4061
09/02/2018,NKG,32.6,35,35,32.6,201470,6749
08/02/2018,NKG,36.3,35,36.3,34.9,262210,9317
07/02/2018,NKG,36.5,36.3,36.8,36,263650,9597
06/02/2018,NKG,34.6,34.7,37,34.6,841400,29175
05/02/2018,NKG,39.3,37.2,39.7,37.2,329680,12693
02/02/2018,NKG,39.6,39.7,39.75,38,295310,11573
01/02/2018,NKG,41.3,39.7,41.4,39.7,282580,11356
31/01/2018,NKG,39.7,41.4,41.4,39.7,834710,34097
30/01/2018,NKG,39.9,39.7,40,39.2,719460,28513
29/01/2018,NKG,40,39.9,40.5,39.55,436800,17436
26/01/2018,NKG,40.2,40.4,40.9,39.5,1102290,44095
25/01/2018,NKG,42.8,40.9,42.8,40.7,1110050,46119
22/01/2018,NKG,42.9,42.8,43.7,42,1146670,48963
19/01/2018,NKG,41,42.5,43.2,40.8,1027610,43442
18/01/2018,NKG,40.5,41,41.5,39.5,709080,28550
17/01/2018,NKG,43,41,43.3,41,335990,14211
16/01/2018,NKG,43.2,43,43.8,42.6,273290,11795
15/01/2018,NKG,42.5,42.7,42.7,42.1,429180,18199
12/01/2018,NKG,43,42.75,43.9,42.75,930910,40145
11/01/2018,NKG,44,43.2,44.3,43.2,585860,25603
10/01/2018,NKG,43.95,44.3,45.2,43.5,1458900,65050
09/01/2018,NKG,43.65,43.95,44.05,42.9,1127150,49133
08/01/2018,NKG,42.5,43.25,43.5,42,907850,39125
05/01/2018,NKG,41,42.8,42.8,40.4,1459870,60836
04/01/2018,NKG,41.4,41.2,41.5,41.15,689820,28500
03/01/2018,NKG,41.4,41.4,41.5,40.3,1296300,53328
02/01/2018,NKG,38.8,41,41,38.55,1653510,66126
29/12/2017,NKG,38.8,38.8,38.9,38.4,830550,32085
28/12/2017,NKG,38.5,38.7,38.8,38.5,512010,19773
27/12/2017,NKG,37.9,38.5,38.9,37.8,774260,29745
26/12/2017,NKG,37.7,37.9,38.2,37.65,254350,9621
25/12/2017,NKG,38.5,37.7,38.5,37.6,316970,12022
22/12/2017,NKG,38.3,38.5,38.5,37.55,636150,24123
21/12/2017,NKG,38.8,38.6,39.2,38.6,540520,21014
20/12/2017,NKG,39.2,39,39.5,38.8,626090,24559
19/12/2017,NKG,38.2,39.2,39.4,38,994100,38625
18/12/2017,NKG,38.3,37.95,38.3,37.85,489850,18639
15/12/2017,NKG,38.4,38.2,38.4,37.7,219880,8358
14/12/2017,NKG,37.1,37.7,37.7,37.1,266390,9943
13/12/2017,NKG,37.25,37.35,38,37.2,200480,7519
12/12/2017,NKG,37.5,37.5,38,36.9,504210,18814
11/12/2017,NKG,38.2,37.5,38.35,37.5,500480,19019
08/12/2017,NKG,38.1,38.4,38.6,38.1,393840,15113
07/12/2017,NKG,38.2,38.2,38.45,38.1,755130,28869
06/12/2017,NKG,38.1,38.5,38.6,37.8,924130,35351
05/12/2017,NKG,39.3,38.5,39.5,38.5,1206780,47007
04/12/2017,NKG,38.65,39.3,39.4,38.65,1189440,46382
01/12/2017,NKG,38.4,38.65,38.8,38.3,645210,24859
30/11/2017,NKG,38.6,38.55,39.3,38.4,1356420,52585
29/11/2017,NKG,38.6,38.4,38.6,38.1,619510,23735
28/11/2017,NKG,38.6,38.45,39,38.2,631450,24324
27/11/2017,NKG,37.9,38.6,38.6,37.6,1417700,53963
24/11/2017,NKG,37.1,37.65,37.9,36.9,853160,31931
23/11/2017,NKG,37.7,37.1,37.7,37,819860,30651
22/11/2017,NKG,37,37.65,37.7,36.95,541960,20257
21/11/2017,NKG,37,36.95,37.5,36.6,892030,32994
20/11/2017,NKG,38,36.95,38,36.9,2196940,81928
17/11/2017,NKG,38.5,38,38.8,37.7,815460,31141
16/11/2017,NKG,38.9,38.5,38.9,38.2,1151740,44405
15/11/2017,NKG,37.65,39.5,39.5,37.5,1151770,44299
14/11/2017,NKG,37.5,37.55,37.55,36.9,521970,19502
13/11/2017,NKG,37.4,37.45,37.5,36.85,972240,36120
10/11/2017,NKG,36.95,37.15,37.35,36.9,1006850,37375
09/11/2017,NKG,37.4,37.15,37.45,36.8,974500,36122
08/11/2017,NKG,36.5,37.15,37.4,36.4,1841530,68061
07/11/2017,NKG,35.4,36.35,36.35,35.4,1361550,49119
06/11/2017,NKG,35.2,35.4,35.4,34.9,338430,11887
03/11/2017,NKG,34.75,34.75,35,34.5,393550,13636
02/11/2017,NKG,34.1,34.75,35,34.1,478730,16597
01/11/2017,NKG,35,34.6,35,34.2,183220,6343
31/10/2017,NKG,34.7,34.65,34.7,34,210800,7242
30/10/2017,NKG,35.1,34.5,35.2,34,255040,8869
27/10/2017,NKG,34.65,35,35.2,34.65,201860,7041
26/10/2017,NKG,34.7,34.65,35.4,34.25,331740,11505
25/10/2017,NKG,34.4,34.3,34.65,33.8,182760,6214
24/10/2017,NKG,34.3,34.4,34.6,33.8,307210,10459
23/10/2017,NKG,34.6,34.6,35.1,34.35,328220,11397
20/10/2017,NKG,35.5,34.9,35.5,34.5,499400,17551
19/10/2017,NKG,34.8,35.4,35.5,34.8,275930,9699
18/10/2017,NKG,35.75,34.8,35.75,34.8,842440,29730
17/10/2017,NKG,35.4,35.45,35.7,35.2,354590,12561
16/10/2017,NKG,36.05,35.4,36.05,35.35,645240,22990
13/10/2017,NKG,36.3,36,36.5,36,597360,21646
12/10/2017,NKG,36.5,36.5,36.7,36,549790,19984
11/10/2017,NKG,36.4,36.4,36.7,36.2,596230,21698
10/10/2017,NKG,35.95,36.4,36.45,35.95,572630,20705
09/10/2017,NKG,35.8,35.95,36.1,35.55,458300,16390
06/10/2017,NKG,35.3,35.55,35.85,35.1,458980,16256
05/10/2017,NKG,36.05,35.3,36.2,35.3,762930,27189
04/10/2017,NKG,36.5,36.3,36.5,35.7,624180,22489
03/10/2017,NKG,36.85,36.5,36.95,35.55,955210,34624
02/10/2017,NKG,35.25,36.5,36.5,35.25,1125960,40557
29/09/2017,NKG,35,35.25,35.3,34.6,456290,15976
28/09/2017,NKG,34.8,34.9,35.1,34.7,228760,7979
27/09/2017,NKG,34.8,34.8,35.2,34.6,436710,15224
26/09/2017,NKG,35.2,34.75,35.2,34.75,429220,14973
25/09/2017,NKG,35.7,35.35,35.7,35.1,265460,9352
22/09/2017,NKG,35,35.3,35.45,34.8,581180,20463
21/09/2017,NKG,34.8,35,35,34.6,506340,17627
20/09/2017,NKG,35.4,34.5,35.4,34.35,460240,15976
19/09/2017,NKG,33.1,34.8,35.5,32.9,908900,30898
18/09/2017,NKG,33.3,33.2,33.5,33,351040,11684
15/09/2017,NKG,33.3,33.2,33.4,32.8,150130,4969
14/09/2017,NKG,33,33.2,33.4,33,388670,12934
13/09/2017,NKG,32.7,32.85,33.1,32.65,247850,8144
12/09/2017,NKG,32.5,32.6,32.6,32.3,213170,6929
11/09/2017,NKG,32.55,32.6,33,32.35,212270,6916
