DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
08/08/2019,NVL,59.5,58.9,59.8,58.6,496840,29362
07/08/2019,NVL,58.7,59.6,59.7,58.4,419140,24791
06/08/2019,NVL,59.1,58.9,59.5,57.8,487730,28559
05/08/2019,NVL,59.7,59.5,60.2,59.5,430970,25837
02/08/2019,NVL,59.2,60.1,60.1,58.1,566240,33571
01/08/2019,NVL,57.7,59.2,59.5,57.7,463230,26985
31/07/2019,NVL,58.4,57.7,59.3,57.6,494760,28732
30/07/2019,NVL,58.5,58.4,58.6,58.1,331510,19347
29/07/2019,NVL,58.3,58.5,58.9,57.8,361270,21034
26/07/2019,NVL,58.5,58.3,58.6,58.1,350980,20470
25/07/2019,NVL,58.9,58.5,59.1,58.5,349760,20575
24/07/2019,NVL,59.1,58.9,59.1,58.3,326770,19183
23/07/2019,NVL,57.6,58.3,58.3,57.5,376050,21768
22/07/2019,NVL,58.2,57.6,58.5,57.5,334520,19406
19/07/2019,NVL,58,58.2,58.7,57.8,461110,26899
18/07/2019,NVL,60.5,57.8,60.5,57.8,548040,32003
17/07/2019,NVL,60.4,59.5,60.4,59.3,423500,25259
16/07/2019,NVL,60.2,60.4,60.5,59.8,842500,50788
15/07/2019,NVL,61.2,60.2,61.3,60,421920,25475
12/07/2019,NVL,61.5,61,61.7,61,415550,25483
11/07/2019,NVL,60.9,61.5,61.5,60.8,674460,41245
10/07/2019,NVL,60.2,60.8,61,60.1,596220,36185
09/07/2019,NVL,60.2,60.1,60.2,59,507590,30293
08/07/2019,NVL,60.2,60.2,60.3,59.8,591610,35548
05/07/2019,NVL,59.8,60.3,60.5,58.7,699870,41961
04/07/2019,NVL,58.7,59.8,60,58.7,599060,35721
03/07/2019,NVL,60.2,58.7,60.2,58.5,561990,33193
02/07/2019,NVL,60.7,60.2,60.9,60,436450,26404
01/07/2019,NVL,59.7,60.7,61.5,59.7,606940,36836
28/06/2019,NVL,59.6,59.6,59.7,58.5,587910,34840
27/06/2019,NVL,59.8,59.5,60.2,59,524560,31339
26/06/2019,NVL,58.5,59.9,60,58.1,538680,31956
25/06/2019,NVL,57.9,58.5,59.2,57.1,425910,24827
24/06/2019,NVL,57,57.9,58,57,446590,25750
21/06/2019,NVL,57.7,57,57.9,55.7,1265270,72179
20/06/2019,NVL,57.4,57.6,58.2,57.2,437220,25281
19/06/2019,NVL,57,57.4,57.6,56.9,374040,21469
18/06/2019,NVL,57.8,56.8,58,56.7,514910,29382
17/06/2019,NVL,59.2,57.8,59.5,57.5,596190,34571
14/06/2019,NVL,59,59.4,59.5,59,553300,32839
13/06/2019,NVL,59.5,59,60.1,58.8,546740,32441
12/06/2019,NVL,60.5,59.9,60.8,59.9,466730,28122
11/06/2019,NVL,60.7,60.5,61,60.4,621730,37734
10/06/2019,NVL,60.9,60.7,61.5,59.6,642850,39255
07/06/2019,NVL,60.4,60.7,61.2,60.3,579760,35270
06/06/2019,NVL,60,60.3,60.7,59.1,561760,33823
05/06/2019,NVL,60.4,60.5,60.9,60.1,465920,28224
04/06/2019,NVL,59.8,60.2,60.4,59,601300,35988
03/06/2019,NVL,60,60,60.8,59.7,695210,41927
31/05/2019,NVL,60.5,60.2,60.8,60.1,854450,51681
30/05/2019,NVL,59,60.1,60.4,58.9,709510,42561
29/05/2019,NVL,58.5,59.1,59.1,58.2,504600,29682
