DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
13/08/2018,PAC,39,39,39,38.55,33850,1316
10/08/2018,PAC,38.1,38.9,38.95,38,26660,1022
09/08/2018,PAC,38.5,39,39,38.3,19710,761
08/08/2018,PAC,39.2,38.35,39.5,38.3,20140,775
07/08/2018,PAC,38.55,39.2,39.2,38,19240,733
06/08/2018,PAC,39.5,38.2,39.5,38.2,8360,325
03/08/2018,PAC,38,39.5,39.5,38,2670,102
02/08/2018,PAC,39,38.5,39,38.5,2830,110
01/08/2018,PAC,39,38.9,39,38.9,25410,990
31/07/2018,PAC,39.4,39.2,39.4,39,25800,1009
30/07/2018,PAC,39.4,39.4,39.7,39.1,17470,686
27/07/2018,PAC,39.5,39.4,39.5,39.05,11170,437
26/07/2018,PAC,39.9,39.7,39.9,39.6,880,35
25/07/2018,PAC,39.2,39.6,39.7,39.1,26680,1044
24/07/2018,PAC,39.95,39.1,39.95,39.05,8360,329
23/07/2018,PAC,39.1,39.95,40,39,10860,424
20/07/2018,PAC,39.2,40,40.45,39.2,7300,290
19/07/2018,PAC,40.8,40.75,40.8,40.3,12010,489
18/07/2018,PAC,39.95,40.3,40.3,39.9,8980,359
17/07/2018,PAC,39,39.4,39.4,39,3720,145
16/07/2018,PAC,38.75,38.8,38.8,38,340,13
13/07/2018,PAC,38.3,38.8,38.8,38.3,3080,118
12/07/2018,PAC,38.5,38.5,38.5,37.3,2290,88
11/07/2018,PAC,38,38.5,38.5,37.6,4390,166
10/07/2018,PAC,38.8,38.5,39,38.05,8060,309
09/07/2018,PAC,39,38.8,39,38,128900,4952
06/07/2018,PAC,38.5,38.5,39,38.5,15150,589
05/07/2018,PAC,40.4,38.5,40.4,38.1,84800,3284
04/07/2018,PAC,39.3,39.9,39.9,39.3,1450,58
03/07/2018,PAC,39.85,39.3,39.85,39.2,8410,332
02/07/2018,PAC,41.8,41.1,41.8,39.9,8300,332
29/06/2018,PAC,42,41.7,42,40,12010,496
28/06/2018,PAC,40,39.85,40.95,39.7,26860,1073
27/06/2018,PAC,40.5,41,42,39.65,28340,1169
26/06/2018,PAC,39.5,40.5,40.5,39.5,3940,159
25/06/2018,PAC,41,40,41,39,122920,4915
22/06/2018,PAC,42.95,42.95,42.95,42.3,8720,371
21/06/2018,PAC,42.95,42.95,42.95,42,8290,353
20/06/2018,PAC,41.7,42.95,42.95,41.5,9000,378
19/06/2018,PAC,43.3,42,43.3,41.5,14930,638
18/06/2018,PAC,42.9,43.3,43.3,42.85,26050,1120
15/06/2018,PAC,42.6,42.85,42.85,42.3,10180,434
14/06/2018,PAC,43.2,42.6,43.2,42.6,16090,691
13/06/2018,PAC,44,44.05,44.05,43.1,6110,265
12/06/2018,PAC,44.7,44,44.7,43.2,8030,354
11/06/2018,PAC,42,44.5,44.5,42,33110,1434
08/06/2018,PAC,43,42.5,43,42,16310,695
07/06/2018,PAC,43,43.4,43.9,42.8,1570,68
06/06/2018,PAC,43.5,43.7,43.8,42.6,6940,300
05/06/2018,PAC,40.95,42.5,42.5,40.4,17530,719
04/06/2018,PAC,40.4,40.4,40.4,39.6,3500,141
01/06/2018,PAC,40,40.2,40.2,39.2,10650,422
31/05/2018,PAC,39.2,40.5,41,39.2,3400,136
30/05/2018,PAC,39.8,39.9,39.9,39.3,4230,168
29/05/2018,PAC,39.5,39.8,39.9,39.5,3960,157
28/05/2018,PAC,40.05,39.9,40.05,36.4,38280,1515
25/05/2018,PAC,40.85,39,40.9,39,5590,223
24/05/2018,PAC,40.1,40.1,40.5,40.1,8020,323
23/05/2018,PAC,39.9,40.1,40.1,39,37650,1505
22/05/2018,PAC,40,39,40,39,6950,272
21/05/2018,PAC,40.85,41,41,39.85,850,34
18/05/2018,PAC,40.85,40.85,40.85,40.85,570,23
17/05/2018,PAC,39.65,40.5,40.5,39.6,2590,103
16/05/2018,PAC,41.4,40,41.4,40,4980,201
15/05/2018,PAC,41.4,41.4,41.4,41,1450,60
14/05/2018,PAC,40,41.4,41.4,39.5,2810,114
07/05/2018,PAC,41.3,41.2,41.3,39.5,42780,1757
04/05/2018,PAC,41.8,40.85,41.8,39.3,730,29
03/05/2018,PAC,39.95,39.5,39.95,38.4,24170,939
02/05/2018,PAC,41.9,39.95,41.9,39.8,23150,926
27/04/2018,PAC,41,41,41.1,40.9,12070,495
