DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
24/04/2018,PGS,31,31,31,31,121900,3779
23/04/2018,PGS,31,31,31,31,19200,595
20/04/2018,PGS,31,31,31,31,3500,109
19/04/2018,PGS,31,31,31,30.8,56800,1761
18/04/2018,PGS,30.4,31,31,30.4,42300,1311
17/04/2018,PGS,0,30.4,0,0,0,0
16/04/2018,PGS,32,30.4,32,30.4,200,6
13/04/2018,PGS,31,30.2,31,30.2,4400,136
12/04/2018,PGS,0,31.4,0,0,0,0
11/04/2018,PGS,30.7,31.4,31.5,30.7,14300,440
10/04/2018,PGS,31.4,30.6,31.4,30.6,200,6
09/04/2018,PGS,30.5,31.5,31.5,30.5,16200,495
06/04/2018,PGS,31.1,31,31.1,31,4400,136
05/04/2018,PGS,33,31,33,31,600,19
04/04/2018,PGS,29.2,31.8,32.5,29.2,46400,1458
03/04/2018,PGS,0,31.6,0,0,0,0
02/04/2018,PGS,31.5,31.6,31.6,31.5,300,9
30/03/2018,PGS,32,32,32,32,1500,48
29/03/2018,PGS,33,33,33,33,100,3
28/03/2018,PGS,30,31,33.1,29.7,149600,4696
23/03/2018,PGS,33.3,33.5,33.5,32.5,16700,552
22/03/2018,PGS,33.5,33.5,33.5,30.3,16100,525
21/03/2018,PGS,33.2,33.5,33.5,33.2,14200,475
20/03/2018,PGS,33,33.2,33.5,33,15900,530
19/03/2018,PGS,33,33,33.4,32.8,17600,582
16/03/2018,PGS,32.3,33,33,31.5,26539,870
15/03/2018,PGS,31,32.3,32.3,31,2364,76
14/03/2018,PGS,32,32,32,32,30610,980
13/03/2018,PGS,32.5,31.5,32.5,31,11339,360
12/03/2018,PGS,32,32.5,32.5,31.5,15640,498
09/03/2018,PGS,32,32,32,32,2868,92
08/03/2018,PGS,31.5,31.5,31.5,31.5,2200,69
07/03/2018,PGS,31,31,31,31,110500,3426
06/03/2018,PGS,31,31,33,31,25300,785
05/03/2018,PGS,32,34,34,30.3,6936,215
02/03/2018,PGS,33,33.5,33.5,33,9403,311
01/03/2018,PGS,32.3,33,34,32.2,17410,563
28/02/2018,PGS,32,32.3,34,32,3129,103
27/02/2018,PGS,32.5,32.5,32.5,32.5,815,26
26/02/2018,PGS,33,31.5,33,31,52996,1648
23/02/2018,PGS,34,34,34.6,33.8,3869,132
22/02/2018,PGS,34,34,34,34,328,11
21/02/2018,PGS,32.5,33.8,33.8,32.5,36503,1204
13/02/2018,PGS,33,32.5,33,31,1513,47
12/02/2018,PGS,32.2,30,32.2,30,31628,957
09/02/2018,PGS,32,32,34.6,32,1202579,38533
08/02/2018,PGS,32,34.5,34.9,32,47610,1641
07/02/2018,PGS,35,34.2,36,34.2,84697,2973
06/02/2018,PGS,33.5,34.8,35.5,32,210625,6844
05/02/2018,PGS,34,35.5,35.5,33,47758,1638
02/02/2018,PGS,36,34,36,34,13810,495
01/02/2018,PGS,37,36.7,37,36,15919,577
31/01/2018,PGS,35.5,37,37,35.4,223022,8118
30/01/2018,PGS,32.6,35.6,35.6,31.9,246130,8619
29/01/2018,PGS,32,34,34.4,31.5,30677,968
26/01/2018,PGS,34.5,34.8,34.8,34,40837,1409
25/01/2018,PGS,33.5,34.7,35,33.5,108326,3686
24/01/2018,PGS,36.6,33.5,36.7,33.5,71914,2522
23/01/2018,PGS,30,33.4,33.4,30,264496,8832
22/01/2018,PGS,28,30.4,30.4,28,183608,5529
19/01/2018,PGS,27.7,27.7,28.5,27.7,21319,601
