DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
15/03/2018,PHR,50.2,48.8,50.2,48.8,275280,13602
14/03/2018,PHR,48.5,49.8,50,48.5,350890,17410
13/03/2018,PHR,49.2,48.5,49.2,48,295890,14309
12/03/2018,PHR,50,49.2,50.6,49,268320,13305
09/03/2018,PHR,52,50.5,52.9,49,568250,28765
08/03/2018,PHR,50.5,51.5,52,50.5,562710,28850
07/03/2018,PHR,50,50.5,51,49.8,339160,17107
06/03/2018,PHR,48.7,50,50.2,47.5,423330,20813
05/03/2018,PHR,49.2,48,50,47,534100,25727
02/03/2018,PHR,48,49.2,49.2,47.9,376920,18254
01/03/2018,PHR,48.9,48.6,49.4,47.9,673960,32802
28/02/2018,PHR,45.3,47.9,47.9,45,372570,17431
27/02/2018,PHR,45.5,45.3,45.5,43.2,50230,2267
26/02/2018,PHR,45.6,46,47,45.6,99890,4596
23/02/2018,PHR,45.5,46,46,45,62900,2870
22/02/2018,PHR,46,45.5,46.1,45,94850,4305
21/02/2018,PHR,46.1,46.2,48.5,46.1,74000,3444
13/02/2018,PHR,44.2,47.1,47.5,44.2,102150,4775
12/02/2018,PHR,42.5,45.5,45.5,41.8,183560,7994
09/02/2018,PHR,40.3,42.95,42.95,40.3,210210,8724
08/02/2018,PHR,42,42.9,43,41.6,53440,2254
07/02/2018,PHR,44.5,43.5,44.5,40.5,114420,4928
06/02/2018,PHR,40.5,43.4,43.5,40.5,809310,33233
05/02/2018,PHR,46,43.5,46,43.5,156710,7008
02/02/2018,PHR,46.25,46.1,47,45.9,122460,5652
01/02/2018,PHR,46.6,46.35,47.3,46.35,41870,1959
31/01/2018,PHR,46.6,47.3,48.7,45.8,335700,15756
30/01/2018,PHR,46,46.8,48,46,302500,14172
29/01/2018,PHR,49.3,46,49.3,46,799400,37899
26/01/2018,PHR,50.2,49.4,51,48.6,423900,20955
25/01/2018,PHR,52,50.2,52,50.2,475100,24147
22/01/2018,PHR,50.3,52,53.5,50.3,496620,25795
19/01/2018,PHR,49.3,50.3,51.5,49.2,447140,22357
18/01/2018,PHR,48,49.7,49.8,47,1007790,48452
17/01/2018,PHR,51,48.9,51,48,426720,21393
16/01/2018,PHR,50,50.9,51.3,49.35,939440,46803
15/01/2018,PHR,48.1,49.8,50.3,47.6,1171960,57565
12/01/2018,PHR,47.7,47.6,49.4,47.4,283610,13603
11/01/2018,PHR,48,47.9,48.5,47.3,400680,19230
10/01/2018,PHR,48,47.9,48.5,47.2,410540,19628
09/01/2018,PHR,48.6,48,48.8,47.2,299830,14377
08/01/2018,PHR,46.6,48.6,49,46.6,292900,14083
05/01/2018,PHR,46.7,47,48,45.7,720320,33878
04/01/2018,PHR,45.5,47,47.5,45.5,531360,24613
03/01/2018,PHR,46,45.5,46.3,44.9,735510,33484
02/01/2018,PHR,43.35,46,46.2,43.35,532430,23986
29/12/2017,PHR,43.4,43.35,43.8,43.3,242390,10539
28/12/2017,PHR,42.6,43.75,43.75,42.55,863520,37261
27/12/2017,PHR,42.1,42.9,42.9,42,411810,17458
26/12/2017,PHR,41.5,42.1,42.45,41.2,238680,9979
25/12/2017,PHR,42.85,41.5,43,41.5,146190,6139
22/12/2017,PHR,42.95,42.5,43,42.3,584190,24882
21/12/2017,PHR,42.65,42.95,43,42.65,252660,10845
20/12/2017,PHR,41.5,42.6,42.65,41.5,293010,12384
19/12/2017,PHR,41.4,41.5,41.8,41,169610,7015
18/12/2017,PHR,41.05,41.3,41.7,40.8,260670,10702
15/12/2017,PHR,41.4,41.4,41.5,40.8,144950,5971
14/12/2017,PHR,41,41.8,41.85,40.85,109170,4524
13/12/2017,PHR,41.9,41.45,41.9,40.6,157780,6489
12/12/2017,PHR,42,41.8,42.1,40,722210,29836
11/12/2017,PHR,42.2,42,43.4,42,231990,9888
08/12/2017,PHR,43.6,43,44,43,150860,6551
07/12/2017,PHR,42.2,43.8,43.8,42.2,302030,12933
06/12/2017,PHR,42.95,42.3,43.2,41.9,307090,13043
05/12/2017,PHR,44.45,43,44.45,43,367320,16057
04/12/2017,PHR,44.5,44.45,44.7,43.7,502510,22181
01/12/2017,PHR,42.6,44.5,44.5,42.6,921570,40037
30/11/2017,PHR,41.65,42.6,42.75,41.65,774210,32848
29/11/2017,PHR,41.6,41.75,42.2,41.2,280350,11704
28/11/2017,PHR,42.2,41.6,42.2,41.2,300530,12497
27/11/2017,PHR,42.8,42.2,43.6,42,734350,31219
24/11/2017,PHR,40.5,42.25,42.25,40.5,494060,20540
23/11/2017,PHR,39.6,40.5,40.95,39.2,458290,18421
