DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
14/03/2018,PIV,5.1,5.4,5.6,5.1,357050,1890
13/03/2018,PIV,5.5,5.1,5.5,5.1,354560,1808
12/03/2018,PIV,5.5,5.6,5.9,4.9,3258060,17156
09/03/2018,PIV,5.7,5.4,5.7,5.2,996275,5331
08/03/2018,PIV,5.8,5.7,5.8,5.4,544155,3000
07/03/2018,PIV,5.8,5.9,5.9,5.7,66745,388
06/03/2018,PIV,5.7,5.8,6,5.6,580610,3333
05/03/2018,PIV,6,5.6,6.1,5.5,786595,4531
02/03/2018,PIV,6,6.1,6.1,5.9,405215,2432
01/03/2018,PIV,6.1,6,6.4,6,422800,2641
28/02/2018,PIV,6.1,6.1,6.2,6,49567,302
27/02/2018,PIV,6.1,6.2,6.4,6.1,360300,2234
26/02/2018,PIV,6.1,6.1,6.2,6,85800,525
23/02/2018,PIV,6.1,6.1,6.2,5.7,22500,133
22/02/2018,PIV,6,6.2,6.2,5.8,53500,318
21/02/2018,PIV,6.2,6.3,6.3,6.1,9000,55
13/02/2018,PIV,6,6.3,6.4,6,813500,5113
12/02/2018,PIV,6.5,6.3,6.5,6,245400,1502
09/02/2018,PIV,6.7,6.6,6.7,6.3,401900,2538
08/02/2018,PIV,6.5,7,7,6.3,277900,1793
07/02/2018,PIV,7,6.9,7.2,6.5,46600,320
06/02/2018,PIV,6,7,7,5.8,460200,2736
05/02/2018,PIV,7,6.4,7,6,1004780,6259
02/02/2018,PIV,6,6.6,6.6,6,1805790,11782
01/02/2018,PIV,6.1,6,6.1,5.9,60600,363
31/01/2018,PIV,6.3,6.2,6.3,6,28510,176
30/01/2018,PIV,6.5,6.3,6.5,5.8,314300,1949
29/01/2018,PIV,5.8,6.2,6.2,5.3,1127090,6843
26/01/2018,PIV,6.3,5.7,6.4,5.7,228924,1364
25/01/2018,PIV,6.4,6.3,6.4,6,188410,1148
24/01/2018,PIV,6.4,6.6,6.6,6.2,218100,1373
23/01/2018,PIV,7,6.8,7,6.1,73400,475
22/01/2018,PIV,6.4,6.7,6.9,5.9,1711108,11407
19/01/2018,PIV,7,6.3,7.2,6.3,474350,3301
18/01/2018,PIV,6.9,7,7.1,6.8,457450,3159
17/01/2018,PIV,7.4,7.2,7.5,7,456620,3295
16/01/2018,PIV,6.6,7.3,7.5,6.6,1052321,7579
15/01/2018,PIV,7.6,7.2,7.6,7.2,445500,3229
12/01/2018,PIV,9.1,7.9,9.2,7.6,1386600,11276
11/01/2018,PIV,8.4,8.4,8.4,7.8,1344520,11079
10/01/2018,PIV,7,7.7,7.7,6.9,1304300,9745
09/01/2018,PIV,7.1,7,7.2,7,191800,1370
08/01/2018,PIV,7.1,7.1,7.1,7,113300,796
05/01/2018,PIV,7.1,7.1,7.3,7.1,140010,1005
04/01/2018,PIV,7.2,7.2,7.3,7.1,318060,2302
03/01/2018,PIV,7.1,7.2,7.2,7.1,61400,436
02/01/2018,PIV,7,7.1,7.6,7,90300,654
29/12/2017,PIV,7.3,7,7.4,6.7,183200,1289
28/12/2017,PIV,7.9,7.4,8.1,7.4,174750,1341
27/12/2017,PIV,8.9,8.2,8.9,8.2,85600,703
26/12/2017,PIV,9.2,9.1,9.5,8.3,863500,7746
25/12/2017,PIV,9.5,9.2,9.6,9.2,864620,7976
22/12/2017,PIV,10.5,10.2,11.2,9.9,941900,10054
21/12/2017,PIV,9.4,10.4,10.4,9.3,825100,8233
20/12/2017,PIV,10.6,9.5,10.7,9.5,1854100,17935
19/12/2017,PIV,9.2,10.5,10.6,9.2,501644,5178
18/12/2017,PIV,11,10.1,11,10.1,149700,1519
15/12/2017,PIV,12.1,11.2,12.1,11.2,93200,1050
14/12/2017,PIV,12.2,12.4,12.4,11.2,417200,4817
13/12/2017,PIV,12.4,12.4,13.4,11.4,934000,11079
