DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
15/03/2018,PND,0,13.2,0,0,0,0
14/03/2018,PND,13.2,0,13.2,13.2,100,1
13/03/2018,PND,13.2,13.2,13.2,13.2,100,1
12/03/2018,PND,0,11.5,0,0,0,0
09/03/2018,PND,11.5,11.5,11.5,11.5,200,2
08/03/2018,PND,0,10.5,0,0,0,0
07/03/2018,PND,0,10.5,0,0,0,0
06/03/2018,PND,10.5,10.5,10.5,10.5,100,1
05/03/2018,PND,0,10,0,0,0,0
02/03/2018,PND,0,10,0,0,0,0
01/03/2018,PND,0,10,0,0,0,0
28/02/2018,PND,0,10,0,0,0,0
27/02/2018,PND,0,10,0,0,0,0
26/02/2018,PND,0,10,0,0,0,0
23/02/2018,PND,10,10,10,10,100,1
22/02/2018,PND,9.7,9.7,9.7,9.7,100,1
21/02/2018,PND,0,8.5,0,0,0,0
13/02/2018,PND,8.5,8.5,8.5,8.5,100,1
12/02/2018,PND,0,10,0,0,0,0
09/02/2018,PND,10,10,10,10,555800,5558
08/02/2018,PND,8.7,8.7,8.7,8.7,100,1
07/02/2018,PND,0,9,0,0,0,0
06/02/2018,PND,0,9,0,0,0,0
05/02/2018,PND,0,9,0,0,0,0
02/02/2018,PND,0,9,0,0,0,0
01/02/2018,PND,0,9,0,0,0,0
31/01/2018,PND,0,9,0,0,0,0
30/01/2018,PND,0,9,0,0,0,0
29/01/2018,PND,0,9,0,0,0,0
26/01/2018,PND,0,9,0,0,0,0
25/01/2018,PND,9,9,9,9,200,2
24/01/2018,PND,0,8.7,0,0,0,0
23/01/2018,PND,0,8.7,0,0,0,0
22/01/2018,PND,0,8.7,0,0,0,0
19/01/2018,PND,8.7,8.7,8.7,8.7,500,4
18/01/2018,PND,0,8.5,0,0,0,0
17/01/2018,PND,8.5,8.5,8.5,8.5,200,2
16/01/2018,PND,0,7.4,0,0,0,0
15/01/2018,PND,0,7.4,0,0,0,0
12/01/2018,PND,0,7.4,0,0,0,0
11/01/2018,PND,0,7.4,0,0,0,0
10/01/2018,PND,0,7.4,0,0,0,0
09/01/2018,PND,7.4,7.4,7.4,7.4,500,4
08/01/2018,PND,0,7.3,0,0,0,0
05/01/2018,PND,0,7.3,0,0,0,0
04/01/2018,PND,0,7.3,0,0,0,0
03/01/2018,PND,0,7.3,0,0,0,0
02/01/2018,PND,0,7.3,0,0,0,0
29/12/2017,PND,7.3,7.3,7.3,7.3,500,4
28/12/2017,PND,0,7.3,0,0,0,0
27/12/2017,PND,0,7.3,0,0,0,0
26/12/2017,PND,0,7.3,0,0,0,0
25/12/2017,PND,0,7.3,0,0,0,0
22/12/2017,PND,0,7.3,0,0,0,0
21/12/2017,PND,0,7.3,0,0,0,0
20/12/2017,PND,7.3,7.3,7.3,7.3,100,1
19/12/2017,PND,0,7.3,0,0,0,0
18/12/2017,PND,7.3,7.3,7.3,7.3,500,4
15/12/2017,PND,7.3,7.3,7.3,7.3,500,4
14/12/2017,PND,8.3,6.3,8.3,6.3,2100,17
13/12/2017,PND,0,7.3,0,0,0,0
12/12/2017,PND,0,7.3,0,0,0,0
11/12/2017,PND,7.3,7.3,7.3,7.3,100,1
08/12/2017,PND,8.5,8.5,8.5,8.5,1000,9
07/12/2017,PND,0,10,0,0,0,0
06/12/2017,PND,0,10,0,0,0,0
05/12/2017,PND,0,10,0,0,0,0
04/12/2017,PND,0,10,0,0,0,0
01/12/2017,PND,0,10,0,0,0,0
30/11/2017,PND,0,10,0,0,0,0
29/11/2017,PND,0,10,0,0,0,0
28/11/2017,PND,0,10,0,0,0,0
27/11/2017,PND,0,10,0,0,0,0
24/11/2017,PND,0,10,0,0,0,0
23/11/2017,PND,0,10,0,0,0,0
22/11/2017,PND,0,10,0,0,0,0
21/11/2017,PND,0,10,0,0,0,0
20/11/2017,PND,0,10,0,0,0,0
17/11/2017,PND,10,10,10,10,9400,94
16/11/2017,PND,0,9.4,0,0,0,0
15/11/2017,PND,0,9.4,0,0,0,0
14/11/2017,PND,0,9.4,0,0,0,0
13/11/2017,PND,0,9.4,0,0,0,0
10/11/2017,PND,0,9.4,0,0,0,0
09/11/2017,PND,0,9.4,0,0,0,0
08/11/2017,PND,9.4,9.4,9.4,9.4,100,1
07/11/2017,PND,0,8.3,0,0,0,0
06/11/2017,PND,8.3,8.3,8.3,8.3,7300,61
03/11/2017,PND,0,9.7,0,0,0,0
02/11/2017,PND,0,9.7,0,0,0,0
01/11/2017,PND,0,9.7,0,0,0,0
31/10/2017,PND,9.7,9.7,9.7,9.7,100,1
30/10/2017,PND,0,8.5,0,0,0,0
27/10/2017,PND,0,8.5,0,0,0,0
26/10/2017,PND,0,8.5,0,0,0,0
25/10/2017,PND,0,8.5,0,0,0,0
24/10/2017,PND,0,8.5,0,0,0,0
23/10/2017,PND,8.5,8.5,8.5,8.5,1000,9
20/10/2017,PND,0,10,0,0,0,0
19/10/2017,PND,10,10,10,10,4500,45
18/10/2017,PND,0,10,0,0,0,0
17/10/2017,PND,0,10,0,0,0,0
16/10/2017,PND,0,10,0,0,0,0
13/10/2017,PND,10,10,10,10,3100,31
12/10/2017,PND,0,9,0,0,0,0
11/10/2017,PND,0,9,0,0,0,0
10/10/2017,PND,0,9,0,0,0,0
09/10/2017,PND,0,9,0,0,0,0
06/10/2017,PND,0,9,0,0,0,0
05/10/2017,PND,9,9,9,9,200,2
04/10/2017,PND,0,8.2,0,0,0,0
