DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
14/03/2018,PVO,8,0,8,7.3,111500,841
13/03/2018,PVO,7.9,8.1,8.4,7.9,17535,142
12/03/2018,PVO,8.5,8.1,8.5,7.5,89289,718
09/03/2018,PVO,8.9,8.3,8.9,8.3,66530,565
08/03/2018,PVO,8.9,8.9,9.1,8.9,36920,329
07/03/2018,PVO,9,8.9,9.5,8.8,187160,1696
06/03/2018,PVO,9.1,8.9,9.1,8.6,102710,908
05/03/2018,PVO,9.6,8.8,9.6,8.8,62789,562
02/03/2018,PVO,8.8,9,9,8.4,54442,471
01/03/2018,PVO,9.5,9,9.5,8.6,46010,412
28/02/2018,PVO,9.8,9.3,9.8,9.1,26434,246
27/02/2018,PVO,9.8,9.7,10.2,9.5,65464,636
26/02/2018,PVO,8.8,9.6,9.8,8.6,163166,1534
23/02/2018,PVO,9,8.8,9,8.4,37391,323
22/02/2018,PVO,8.2,8.5,8.9,8.2,36260,308
21/02/2018,PVO,9.2,8.8,9.2,8.6,62718,548
13/02/2018,PVO,9.2,9.2,9.4,9,47814,439
12/02/2018,PVO,8.5,9.7,10,8.5,22590,209
09/02/2018,PVO,8.8,9.3,9.6,8.5,50360,442
08/02/2018,PVO,10.8,9.7,10.8,9,34710,347
07/02/2018,PVO,9.8,9.8,9.8,9.8,15563,153
06/02/2018,PVO,8.5,9.1,9.4,8.5,115010,988
05/02/2018,PVO,11.8,9,11.8,9,270577,2715
02/02/2018,PVO,10.8,10.8,10.8,9.4,94249,990
01/02/2018,PVO,9.4,9.4,9.4,9.4,41420,389
31/01/2018,PVO,7.4,10,10,7.4,301620,2474
30/01/2018,PVO,8.7,8.7,8.7,8.7,48020,418
29/01/2018,PVO,10.2,10.2,10.2,10.2,22957,234
26/01/2018,PVO,11.9,11.9,11.9,11.9,59558,709
25/01/2018,PVO,14,14,14,14,62202,871
24/01/2018,PVO,19,16.2,19,16.2,130340,2137
23/01/2018,PVO,19.8,18.7,19.8,17.4,505448,9624
22/01/2018,PVO,17.4,17.4,17.4,16,468465,8084
19/01/2018,PVO,15.2,15.2,15.2,15,81850,1241
18/01/2018,PVO,13.6,13.6,13.6,12,585628,7773
17/01/2018,PVO,11.9,11.9,11.9,11,127680,1518
16/01/2018,PVO,10.4,10.4,10.4,10,223700,2317
15/01/2018,PVO,8.2,9.6,9.6,8.2,336910,3063
12/01/2018,PVO,8.5,8.1,8.5,6.3,301580,2528
11/01/2018,PVO,7.3,7.4,7.4,7.3,45850,339
10/01/2018,PVO,6.3,6.5,6.5,6.3,43800,285
09/01/2018,PVO,5.3,5.7,5.7,5.3,68200,387
08/01/2018,PVO,4.8,5.3,5.3,4.8,64253,323
05/01/2018,PVO,4.8,4.8,4.8,4.8,11800,57
04/01/2018,PVO,5,4.7,5,4.7,23400,110
03/01/2018,PVO,4.8,4.7,4.8,4.7,3600,17
02/01/2018,PVO,4.7,4.7,4.8,4.7,8300,39
29/12/2017,PVO,4.8,4.8,4.9,4.8,21000,101
28/12/2017,PVO,4.9,4.8,4.9,4.7,10200,49
27/12/2017,PVO,4.6,4.8,5,4.6,2500,12
26/12/2017,PVO,5,4.9,5,4.6,29320,137
25/12/2017,PVO,4.9,4.9,4.9,4.9,2223,11
22/12/2017,PVO,5.1,4.8,5.1,4.8,22800,112
21/12/2017,PVO,4.9,5,5.1,4.9,12600,63
20/12/2017,PVO,4.7,4.9,4.9,4.7,10600,50
19/12/2017,PVO,4.7,4.7,4.7,4.7,300,1
18/12/2017,PVO,4.8,4.7,4.8,4.7,19650,94
15/12/2017,PVO,4.9,4.8,4.9,4.8,2000,10
14/12/2017,PVO,4.6,4.9,4.9,4.6,2100,10
13/12/2017,PVO,5,4.8,5,4.8,5100,25
12/12/2017,PVO,5,4.9,5,4.8,15100,75
11/12/2017,PVO,4.9,4.8,5,4.8,24300,120
08/12/2017,PVO,4.4,4.8,4.9,4.4,6939,32
07/12/2017,PVO,4.7,4.8,4.8,4.1,10601,46
06/12/2017,PVO,0,4.8,0,0,0,0
05/12/2017,PVO,4.8,4.8,4.8,4.8,2310,11
04/12/2017,PVO,4.9,4.9,4.9,4.9,2600,13
01/12/2017,PVO,4.9,4.7,4.9,4.7,6520,31
30/11/2017,PVO,4.7,4.9,4.9,4.7,3300,16
29/11/2017,PVO,4.5,4.6,4.6,4.5,5900,27
28/11/2017,PVO,4.6,4.6,4.6,4.6,1900,9
27/11/2017,PVO,4.9,4.6,4.9,4.6,1900,9
24/11/2017,PVO,4.6,4.6,4.6,4.6,3800,17
23/11/2017,PVO,4.5,4.5,4.6,4.5,4600,21
22/11/2017,PVO,4.5,4.6,4.6,4.4,8100,37
21/11/2017,PVO,4.4,4.4,4.4,4.4,4100,18
20/11/2017,PVO,4.5,4.5,4.5,4.5,13500,61
17/11/2017,PVO,4.4,4.5,4.5,4.4,10500,47
16/11/2017,PVO,4.5,4.5,4.5,4.3,6100,27
15/11/2017,PVO,4.4,4.5,4.5,4.4,7000,31
14/11/2017,PVO,4.5,4.5,4.5,4.5,11500,52
13/11/2017,PVO,4.3,4.5,4.5,4.3,13100,58
