DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
14/03/2018,QCG,13.5,14.2,14.2,13.5,2842480,39576
13/03/2018,QCG,13.3,13.3,13.3,13,935430,12310
12/03/2018,QCG,13.5,13.3,13.6,12.95,1463510,19351
09/03/2018,QCG,13.7,13.5,13.8,13.5,820560,11150
08/03/2018,QCG,13.4,13.7,13.7,13.35,1152050,15623
07/03/2018,QCG,13.4,13.5,13.8,13.2,1092180,14732
06/03/2018,QCG,13.2,13.4,13.5,13,621850,8230
05/03/2018,QCG,13.6,13.2,13.9,13.2,1517190,20551
02/03/2018,QCG,13.6,13.5,13.9,13.35,1113670,15042
01/03/2018,QCG,13.8,13.7,14,13.5,956750,13076
28/02/2018,QCG,14,14,14.4,13.8,1355350,19103
27/02/2018,QCG,12.7,13.8,13.8,12.6,2030450,27007
26/02/2018,QCG,13.1,12.9,13.1,12.6,1492030,19110
23/02/2018,QCG,13.2,13.2,13.4,13,1236730,16244
22/02/2018,QCG,13.2,13.3,13.3,12.7,1029360,13352
21/02/2018,QCG,13.2,13.3,13.4,13,810430,10681
13/02/2018,QCG,12.6,13.1,13.1,12.5,845720,10790
12/02/2018,QCG,11.95,12.5,12.5,11.9,1087650,13263
09/02/2018,QCG,12.1,12.05,12.3,12.05,1181620,14281
08/02/2018,QCG,13.1,12.95,13.3,12.75,1103830,14333
07/02/2018,QCG,12.9,13.1,13.55,12.7,1895910,24883
06/02/2018,QCG,12.7,12.7,13.1,12.7,754540,9615
05/02/2018,QCG,14.3,13.65,14.3,13.65,1958580,27014
02/02/2018,QCG,14.6,14.65,14.8,14.2,1066040,15379
01/02/2018,QCG,14.7,14.6,15,14.4,1745880,25449
31/01/2018,QCG,15.7,14.8,16.25,14.8,2780090,43450
30/01/2018,QCG,14.3,15.4,15.4,14,2249300,33150
29/01/2018,QCG,14.8,14.4,14.8,14,1964820,27969
26/01/2018,QCG,14.7,14.8,14.9,14.1,1846590,26814
25/01/2018,QCG,14.7,14.9,15.3,14,3177060,46136
22/01/2018,QCG,15.8,14.9,15.8,14.9,1316950,20140
19/01/2018,QCG,16.2,15.8,16.4,15.8,1188260,19026
18/01/2018,QCG,15.6,16,16,15.3,1782500,27973
17/01/2018,QCG,16.5,16,16.9,15.9,1819180,30151
16/01/2018,QCG,15.9,16.6,16.7,15.75,2005220,32471
15/01/2018,QCG,15.9,16.1,16.6,15.4,1294460,20815
12/01/2018,QCG,16.45,16,16.45,15.75,1565230,25113
11/01/2018,QCG,15.8,16.4,16.6,15.5,2415670,38507
10/01/2018,QCG,17.4,16.3,17.5,16.3,1736760,29159
09/01/2018,QCG,17,17.5,17.6,16.4,1621230,27450
08/01/2018,QCG,16.5,17,17.1,16.3,1449080,24339
05/01/2018,QCG,16.3,16.5,17.25,16.3,2146280,36191
04/01/2018,QCG,15.2,16.15,16.15,15.2,1986340,31772
03/01/2018,QCG,15.1,15.1,15.3,14.8,1443790,21698
02/01/2018,QCG,15,15.1,15.3,14.75,1321940,19834
29/12/2017,QCG,14,14.9,14.9,13.95,1822790,26510
28/12/2017,QCG,13.6,14,14.3,13.6,900080,12498
27/12/2017,QCG,14,13.6,14.2,13.6,444040,6125
26/12/2017,QCG,14.45,14.1,14.45,13.85,409890,5758
25/12/2017,QCG,14.4,14.45,14.5,14,520200,7470
22/12/2017,QCG,14.5,14.45,14.85,14.4,408790,5937
21/12/2017,QCG,14.2,14.85,15.05,14.2,821190,12110
20/12/2017,QCG,13.55,14.1,14.35,13.45,1055090,14774
