DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
31/03/2020,SMB,29.5,28.5,29.5,28.4,15540,445
30/03/2020,SMB,29,29,29.5,28.5,3850,111
27/03/2020,SMB,30,29.5,30,29,30770,904
26/03/2020,SMB,29.9,29,29.9,29,23480,684
25/03/2020,SMB,29,29.5,29.5,28.4,35410,1024
24/03/2020,SMB,28,28.5,28.7,28,5920,168
23/03/2020,SMB,28.4,28,28.95,27.3,10100,281
20/03/2020,SMB,28.7,28.95,29.3,28.7,4210,122
19/03/2020,SMB,29,29,29,28.2,1630,47
18/03/2020,SMB,29.8,29.1,29.8,28.5,5770,166
17/03/2020,SMB,28.8,29.1,29.1,28.5,1170,34
16/03/2020,SMB,29,28.8,29,28,21800,620
13/03/2020,SMB,27.1,29,29,27.1,69410,1975
12/03/2020,SMB,29.9,28.9,29.9,28.1,48770,1400
11/03/2020,SMB,30,29.9,30,29.3,5720,169
10/03/2020,SMB,29.8,29.85,30,28.6,4510,132
09/03/2020,SMB,30.2,29.9,30.3,29.2,6900,205
06/03/2020,SMB,30.3,30.3,30.4,30.3,8520,258
05/03/2020,SMB,30.5,30.3,30.5,30.2,10220,311
04/03/2020,SMB,30.4,30.9,30.9,30,17690,532
03/03/2020,SMB,31.95,30.4,31.95,30,23280,704
02/03/2020,SMB,30,30,30.8,30,30700,922
28/02/2020,SMB,30.9,30.8,31,30.2,10990,334
27/02/2020,SMB,31.4,31,31.4,30.1,3820,118
26/02/2020,SMB,31,30.95,31.4,30.5,20690,641
25/02/2020,SMB,31,31.4,31.4,31,18310,569
24/02/2020,SMB,31.2,31.05,31.2,30.55,41980,1302
21/02/2020,SMB,31.5,31.7,32,31.5,7140,228
20/02/2020,SMB,32,32,32,31.8,7510,240
19/02/2020,SMB,32,32,32.5,31.4,21120,675
18/02/2020,SMB,31.2,32,32,31,32870,1022
17/02/2020,SMB,31,31.2,31.2,30.8,23700,734
14/02/2020,SMB,31.95,31,31.95,30.2,6670,205
13/02/2020,SMB,32,31.95,32,31.9,5470,175
12/02/2020,SMB,32.2,32,32.2,32,83810,2684
11/02/2020,SMB,31.9,32.2,32.5,31.5,91720,2936
10/02/2020,SMB,31,31.9,31.9,31,35040,1103
07/02/2020,SMB,31.5,32.2,32.2,31.5,47430,1497
06/02/2020,SMB,30,31.55,31.55,30,55890,1759
05/02/2020,SMB,29.9,29.5,30.5,29.5,6420,191
04/02/2020,SMB,31,30,31,29.5,13560,412
03/02/2020,SMB,31.5,30.95,31.5,29.3,49630,1467
31/01/2020,SMB,31.5,31.5,32,31.5,30030,947
30/01/2020,SMB,33.5,31.5,33.5,31.5,47400,1516
22/01/2020,SMB,34.2,33.85,34.8,33.8,41730,1421
21/01/2020,SMB,34,34,34.2,34,14380,490
20/01/2020,SMB,35.45,34.5,35.45,34,25790,898
17/01/2020,SMB,33.8,35,35.05,33.3,153570,5290
16/01/2020,SMB,30.7,32.8,32.8,30.7,48960,1590
15/01/2020,SMB,32.5,30.7,32.8,30.6,74730,2348
14/01/2020,SMB,33,32.8,33.1,31.6,37070,1214
13/01/2020,SMB,35.8,33.3,35.8,33.3,184280,6183
10/01/2020,SMB,36.1,35.8,36.5,35.5,45210,1626
09/01/2020,SMB,36.7,37,37.2,36.6,63700,2355
08/01/2020,SMB,37.5,36.7,37.5,36,78120,2866
07/01/2020,SMB,38,37.7,38.1,37.5,48430,1826
06/01/2020,SMB,38,37.9,38.7,37.8,70630,2690
03/01/2020,SMB,38.9,38.8,39,38.75,25350,984
02/01/2020,SMB,39.5,38.9,39.5,38.8,29490,1151
31/12/2019,SMB,39.8,39.4,39.9,39.3,6220,246
30/12/2019,SMB,38.75,39.8,40.5,38.75,64160,2542
27/12/2019,SMB,39,38.75,39,38.65,12160,471
26/12/2019,SMB,39,38.7,39,38.7,10570,410
25/12/2019,SMB,39.5,39,39.5,39,14220,557
24/12/2019,SMB,39,39.5,39.5,38.75,16610,648
23/12/2019,SMB,39.5,39.5,39.5,39.05,10040,395
20/12/2019,SMB,40,39.5,40,39.3,5440,215
19/12/2019,SMB,38.5,39.4,39.5,38.5,91190,3580
18/12/2019,SMB,38.5,38.5,38.7,38.2,24080,927
17/12/2019,SMB,39.1,38.5,39.1,38.5,33820,1306
16/12/2019,SMB,39.4,39.15,39.4,38.9,23810,931
13/12/2019,SMB,39.2,39.4,39.4,39,13560,531
12/12/2019,SMB,39,39.4,39.4,38.7,22780,891
11/12/2019,SMB,38.9,39.1,39.1,38.5,17070,662
10/12/2019,SMB,39.8,39,39.8,38.1,82800,3238
09/12/2019,SMB,39.8,39.8,40,39.3,16490,655
06/12/2019,SMB,40,39.7,40.4,39.6,31700,1266
05/12/2019,SMB,38.9,40,40.9,38.9,186250,7452
04/12/2019,SMB,38.8,38.9,39,38.7,41090,1599
03/12/2019,SMB,38.3,38.8,38.9,38.3,20470,791
02/12/2019,SMB,38.2,38.9,38.9,38.2,22970,883
29/11/2019,SMB,39,39,39,38.5,16270,634
28/11/2019,SMB,39.1,39,39.25,38.25,24530,944
27/11/2019,SMB,39.4,39.1,39.45,38.6,24340,957
26/11/2019,SMB,39.5,39.4,39.5,38.55,19750,773
25/11/2019,SMB,37.9,39.5,39.5,37.6,24030,925
22/11/2019,SMB,39.3,37.9,40,37.5,135770,5300
21/11/2019,SMB,42.1,42.5,42.7,42.1,237700,10060
20/11/2019,SMB,42.5,42.2,42.5,42,53290,2243
19/11/2019,SMB,43,42.2,43,42.2,92740,3951
18/11/2019,SMB,41.8,42.9,43.1,41.6,184750,7798
15/11/2019,SMB,41.6,41.5,41.7,41.5,23370,970
14/11/2019,SMB,41.7,41.5,41.85,41.5,55860,2326
13/11/2019,SMB,41.15,41.6,41.85,41.15,55060,2297
12/11/2019,SMB,41.7,41.7,41.8,41.2,116440,4854
11/11/2019,SMB,41,41.7,41.7,41,54410,2240
08/11/2019,SMB,41.6,41.2,41.6,41,74460,3063
07/11/2019,SMB,41.95,41.5,42.2,41.2,84300,3505
06/11/2019,SMB,39.4,41.2,41.65,39.4,270730,10941
05/11/2019,SMB,38.3,39,39.1,38.3,46610,1808
04/11/2019,SMB,38.1,38.3,38.9,37.8,107020,4064
01/11/2019,SMB,38.1,38.3,38.4,38,18140,694
31/10/2019,SMB,38.4,38,38.95,37.7,134970,5100
