DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
04/12/2020,SRA,9.2,9.3,9.4,9.2,165800,1540
03/12/2020,SRA,9.2,9.2,9.3,9.1,119200,1098
02/12/2020,SRA,9.3,9.3,9.3,9.1,321200,2947
01/12/2020,SRA,9.2,9.3,9.3,9.1,124800,1147
30/11/2020,SRA,9.3,9.2,9.4,9.2,134600,1246
27/11/2020,SRA,9.5,9.3,9.5,9.3,74300,698
26/11/2020,SRA,9.6,9.4,9.6,9.4,116000,1098
25/11/2020,SRA,9.2,9.6,9.8,9.1,696300,6582
24/11/2020,SRA,9.4,9.3,9.4,9.2,157100,1449
23/11/2020,SRA,9.3,9.3,9.4,9.2,127900,1189
20/11/2020,SRA,9.5,9.3,9.5,9.3,95800,894
19/11/2020,SRA,9.2,9.4,9.4,9.1,242200,2246
18/11/2020,SRA,9.4,9.1,9.4,9.1,226100,2076
17/11/2020,SRA,9.5,9.4,9.5,9.2,397800,3693
16/11/2020,SRA,9.6,9.6,9.8,9.4,188300,1791
13/11/2020,SRA,9.3,9.6,9.8,9.2,302600,2874
12/11/2020,SRA,9.3,9.3,9.4,9.1,210800,1951
11/11/2020,SRA,9.4,9.4,9.5,9.2,326400,3051
10/11/2020,SRA,9.6,9.5,9.8,9.2,733200,6937
09/11/2020,SRA,9.9,9.6,9.9,9.3,380200,3632
06/11/2020,SRA,10.1,9.9,10.4,9.8,274700,2730
05/11/2020,SRA,10.5,10,10.5,9.8,1010700,10228
04/11/2020,SRA,15.7,15.5,15.8,15.2,520600,8125
03/11/2020,SRA,16.5,15.8,16.5,15.4,760100,12121
02/11/2020,SRA,16.6,16.5,17,16.5,370600,6173
30/10/2020,SRA,16.3,16.6,16.7,16.3,576200,9531
29/10/2020,SRA,15.9,16.1,16.2,15.4,221300,3516
28/10/2020,SRA,16.5,15.9,16.5,15.8,313100,5013
27/10/2020,SRA,17,16.5,17,16.5,463300,7749
26/10/2020,SRA,17.9,17.1,18,17,635100,11043
23/10/2020,SRA,18.1,17.8,18.4,17,918100,16176
22/10/2020,SRA,15.8,16.8,17,15.5,797000,12954
21/10/2020,SRA,15.2,15.8,16.1,15.2,632600,9944
20/10/2020,SRA,15.3,15.1,15.4,14.9,230400,3484
19/10/2020,SRA,14.5,15.3,15.4,14.5,546000,8211
16/10/2020,SRA,14.4,14.5,14.6,14.3,81100,1173
15/10/2020,SRA,14.1,14.5,14.6,14.1,103900,1505
14/10/2020,SRA,14.7,14.7,14.7,14.5,159500,2320
13/10/2020,SRA,14.8,14.6,14.8,14.5,69600,1018
12/10/2020,SRA,14.7,14.5,14.8,14.5,254600,3734
09/10/2020,SRA,14.9,14.8,14.9,14.6,154900,2279
08/10/2020,SRA,14.7,14.8,14.9,14.7,160700,2370
07/10/2020,SRA,14.7,14.7,14.9,14.6,138600,2045
06/10/2020,SRA,14.9,14.8,14.9,14.6,107300,1582
05/10/2020,SRA,14.7,14.9,14.9,14.6,198000,2910
02/10/2020,SRA,14.9,14.5,14.9,14.4,403300,5902
01/10/2020,SRA,15,14.9,15,14.7,142300,2112
30/09/2020,SRA,14.8,14.9,15,14.6,308100,4547
29/09/2020,SRA,15,14.8,15.2,14.8,375400,5613
28/09/2020,SRA,15.2,15,15.2,14.9,236900,3560
25/09/2020,SRA,15.3,15.1,15.3,15,270700,4086
24/09/2020,SRA,15.4,15.2,15.7,15.1,679100,10404
23/09/2020,SRA,15.1,15.1,15.5,14.2,960900,14587
22/09/2020,SRA,14.1,14.1,14.2,13.8,284400,3989
21/09/2020,SRA,14.2,14.1,14.4,14.1,230200,3271
18/09/2020,SRA,14.3,14.2,14.4,14.1,141700,2018
17/09/2020,SRA,14.3,14.3,14.5,14,295700,4195
16/09/2020,SRA,14.2,14.3,14.6,14,191600,2743
15/09/2020,SRA,14.7,14.3,14.8,14.2,503900,7280
14/09/2020,SRA,14.7,14.7,14.8,14.6,184500,2714
11/09/2020,SRA,14.7,14.8,14.9,14.7,155600,2299
10/09/2020,SRA,14.9,14.8,15.1,14.6,248500,3678
09/09/2020,SRA,15,14.9,15,14.5,246400,3623
08/09/2020,SRA,15.4,15,15.4,14.6,288200,4269
07/09/2020,SRA,14.9,15,15.4,14.8,571400,8667
04/09/2020,SRA,14.2,14.7,14.9,13.9,585300,8510
03/09/2020,SRA,13.7,14.2,14.8,12.5,1051300,15028
02/09/2020,SRA,0,0,0,0,0,0
01/09/2020,SRA,13.7,13.5,13.8,13.5,274800,3734
31/08/2020,SRA,13.8,13.6,13.8,13.6,156200,2139
28/08/2020,SRA,13.6,13.8,13.9,13.5,250700,3437
27/08/2020,SRA,13.6,13.8,13.9,13.6,154300,2125
26/08/2020,SRA,13.5,13.8,13.9,13.3,164800,2247
25/08/2020,SRA,13.8,13.6,13.9,13.5,316800,4323
24/08/2020,SRA,13.8,14,14,13.1,375800,5059
21/08/2020,SRA,15,13.8,15.1,13.7,718200,10258
20/08/2020,SRA,13.5,14,14,13.3,1158900,16195
19/08/2020,SRA,11.8,12.8,12.8,11.7,507800,6281
18/08/2020,SRA,11,11.7,11.7,11,186000,2100
17/08/2020,SRA,11.1,11.1,11.1,10.9,58900,646
