DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
15/03/2018,SRC,14.8,14.9,14.9,14.7,13400,198
14/03/2018,SRC,14.75,14.8,14.85,14.7,20840,307
13/03/2018,SRC,14.9,14.8,14.9,14.4,8180,120
12/03/2018,SRC,14.95,14.65,15,14.65,73240,1086
09/03/2018,SRC,14.9,15.1,15.1,14.7,98270,1459
08/03/2018,SRC,15.4,15.1,15.4,14.7,167970,2502
07/03/2018,SRC,15,15.1,15.55,14.8,207820,3152
06/03/2018,SRC,15,14.7,15.6,14.65,258500,3905
05/03/2018,SRC,14.8,15,15.1,14.7,199340,2961
02/03/2018,SRC,15,15,15,14.75,12950,192
01/03/2018,SRC,15,14.95,15.05,14.8,93150,1388
28/02/2018,SRC,15.3,14.95,15.3,14.85,54100,808
27/02/2018,SRC,15,15.2,15.2,14.9,45200,680
26/02/2018,SRC,15.05,15,15.6,14.8,214740,3290
23/02/2018,SRC,15,15.05,15.1,14.3,569080,8498
22/02/2018,SRC,14.8,14.85,15,14.8,12760,189
21/02/2018,SRC,15.1,15,15.15,14.9,240150,3613
13/02/2018,SRC,15.3,15.1,15.6,15,272240,4154
12/02/2018,SRC,15.1,15.3,15.3,14.7,280850,4206
09/02/2018,SRC,14.8,15.2,15.2,14.8,70150,1065
08/02/2018,SRC,14.8,15.2,15.2,14.8,41630,628
07/02/2018,SRC,14.9,15.2,15.6,14.7,258250,3973
06/02/2018,SRC,14.3,15.2,15.2,14.3,316900,4765
05/02/2018,SRC,15.2,15.2,15.5,15,140920,2136
02/02/2018,SRC,15.5,15.25,15.5,15.2,108870,1665
01/02/2018,SRC,15.2,15.2,15.6,15.2,119620,1831
31/01/2018,SRC,15.35,15.2,15.45,15.2,131960,2014
30/01/2018,SRC,15,15.35,15.4,15,64730,993
29/01/2018,SRC,15,15.2,15.4,15,146990,2228
26/01/2018,SRC,14.95,15,15.45,14.6,118190,1785
25/01/2018,SRC,15,15,15.1,14.3,202740,3012
22/01/2018,SRC,15,15.2,15.2,14.8,81490,1225
19/01/2018,SRC,15.3,15.15,15.6,15,105020,1614
18/01/2018,SRC,14.6,15.4,15.4,14.5,242150,3621
17/01/2018,SRC,15,15.3,15.4,14.8,170680,2574
16/01/2018,SRC,15.4,15.1,15.4,14.75,180060,2700
15/01/2018,SRC,14.15,15.1,15.15,14,236580,3501
12/01/2018,SRC,14.1,14.2,14.5,14.1,207480,2970
11/01/2018,SRC,14.2,14.5,14.5,13.8,290630,4116
10/01/2018,SRC,14.6,14.2,14.6,13.95,151150,2133
09/01/2018,SRC,14.1,14.4,14.4,14,231410,3261
08/01/2018,SRC,13.2,14,14.1,13.15,381870,5287
05/01/2018,SRC,12.9,13.2,13.3,12.8,232490,3037
04/01/2018,SRC,12.8,12.8,13.15,12.75,56000,718
03/01/2018,SRC,12.7,12.8,13.05,12.6,43110,551
02/01/2018,SRC,12.85,12.85,13.1,12.8,117130,1514
29/12/2017,SRC,12.8,12.85,13,12.5,113200,1444
28/12/2017,SRC,12.6,12.8,12.85,12.5,21510,272
27/12/2017,SRC,12.5,12.6,12.8,12.5,38710,491
26/12/2017,SRC,12.8,12.5,12.9,12.4,70150,880
25/12/2017,SRC,12.6,12.8,13,12.55,19390,246
22/12/2017,SRC,12.85,12.7,13,12.7,28720,366
21/12/2017,SRC,12.85,12.85,13.05,12.85,23780,307
20/12/2017,SRC,12.9,13.05,13.1,12.85,58200,755
19/12/2017,SRC,13.2,13,13.2,12.75,37810,490
18/12/2017,SRC,12.65,12.95,13.1,12.65,46720,607
15/12/2017,SRC,13.2,12.9,13.2,12.8,8480,110
14/12/2017,SRC,12.6,13,13.2,12.6,16530,216
13/12/2017,SRC,12.9,12.85,12.9,12.6,12810,163
12/12/2017,SRC,12.65,12.8,12.85,12.3,152700,1920
11/12/2017,SRC,13,12.75,13.1,12.75,25160,326
08/12/2017,SRC,12.8,13,13,12.6,63140,812
07/12/2017,SRC,13.4,13,13.4,12.65,76460,982
06/12/2017,SRC,13.3,13.4,14,13.1,158380,2129
05/12/2017,SRC,12.6,13.2,13.2,12.6,277200,3622
04/12/2017,SRC,12,12.35,12.35,12,54080,663
01/12/2017,SRC,12.45,12.3,12.45,12.1,43420,531
30/11/2017,SRC,12.2,12.35,12.7,12.2,136620,1679
29/11/2017,SRC,12.55,12.3,12.6,12.2,95620,1183
28/11/2017,SRC,12.5,12.6,12.8,12.3,103190,1280
27/11/2017,SRC,12.7,12.6,12.9,12.4,161580,2027
24/11/2017,SRC,12.6,12.5,12.7,12.5,44380,557
23/11/2017,SRC,12.7,12.7,13,12.7,57590,739
22/11/2017,SRC,12.5,12.9,12.9,12.5,28460,361
21/11/2017,SRC,12.5,12.5,13,12.4,59650,748
20/11/2017,SRC,13.2,12.75,13.2,12.55,33680,432
17/11/2017,SRC,13.1,13,13.4,12.8,56650,736
16/11/2017,SRC,12.9,13.4,13.4,12.4,117200,1516
15/11/2017,SRC,12.7,12.9,13,12.3,29410,376
14/11/2017,SRC,13.5,13,13.5,12.8,101560,1348
13/11/2017,SRC,12.4,12.7,12.7,12,107240,1349
10/11/2017,SRC,11.25,11.9,11.9,11.25,63320,748
09/11/2017,SRC,10.9,11.15,11.15,10.8,17080,187
08/11/2017,SRC,10.7,10.8,11,10.65,11850,129
07/11/2017,SRC,10.75,10.7,11.1,10.7,46560,505
06/11/2017,SRC,10.9,11,11.2,10.4,22180,242
03/11/2017,SRC,11.1,10.65,11.2,10.55,178760,1905
02/11/2017,SRC,12.2,11.3,12.2,11.2,68620,781
01/11/2017,SRC,12.1,12,12.6,11.85,49650,597
31/10/2017,SRC,12.9,12.7,13.1,12.7,42440,548
30/10/2017,SRC,13.2,12.9,13.2,12.9,42430,551
27/10/2017,SRC,13.25,13.2,13.4,13.1,42560,561
26/10/2017,SRC,13.4,13.4,13.5,13.2,16070,216
25/10/2017,SRC,13.55,13.5,13.6,13.4,12740,172
24/10/2017,SRC,13.4,13.65,13.65,13.3,21240,285
23/10/2017,SRC,13.6,13.5,13.6,13.4,35610,480
20/10/2017,SRC,13.7,13.6,14.4,13.5,48150,657
19/10/2017,SRC,13.75,13.6,13.8,13.6,10470,143
18/10/2017,SRC,13.6,13.5,13.75,13.5,54720,744
17/10/2017,SRC,13.65,13.5,13.65,13.5,9590,129
16/10/2017,SRC,13.5,13.65,13.65,13.5,4760,65
13/10/2017,SRC,13.55,13.65,13.65,13.4,18990,258
12/10/2017,SRC,13.85,13.85,13.85,13.5,70120,958
11/10/2017,SRC,13.7,13.85,13.9,13.7,2280,31
10/10/2017,SRC,13.9,13.9,13.9,13.65,16250,223
09/10/2017,SRC,14,13.9,14,13.5,14100,195
06/10/2017,SRC,13.75,13.95,14.15,13.75,24590,343
05/10/2017,SRC,14,13.8,14,13.5,21910,299
04/10/2017,SRC,13.4,13.6,14.2,13.4,29230,399
03/10/2017,SRC,13.7,13.4,13.8,13.4,48490,662
02/10/2017,SRC,13.85,13.7,13.95,13.7,23070,318
29/09/2017,SRC,13.95,14,14,13.9,14930,208
28/09/2017,SRC,14,14.05,14.15,13.9,18880,265
27/09/2017,SRC,14.1,14.05,14.1,13.9,31200,436
26/09/2017,SRC,14,14,14.2,13.9,22620,316
25/09/2017,SRC,14.1,14,14.2,13.9,12730,179
22/09/2017,SRC,14,14,14,13.9,49890,697
21/09/2017,SRC,14.1,14,14.1,14,11320,159
20/09/2017,SRC,14.2,14.1,14.2,14,9310,131
19/09/2017,SRC,14,14.15,14.3,14,33010,465
18/09/2017,SRC,13.85,14,14.2,13.85,4840,68
15/09/2017,SRC,14,14,14.25,13.9,21350,300
14/09/2017,SRC,14.15,14,14.15,13.9,24060,336
13/09/2017,SRC,13.9,13.9,14,13.8,9010,125
12/09/2017,SRC,14.1,14,14.1,13.95,63000,882
11/09/2017,SRC,13.7,14,14,13.7,28350,394
08/09/2017,SRC,14.05,14,14.05,13.85,17050,237
07/09/2017,SRC,14.15,14,14.15,13.95,46470,652
06/09/2017,SRC,14.15,14.05,14.15,14,24810,350
05/09/2017,SRC,14.2,14.15,14.2,14,38120,535
01/09/2017,SRC,14.2,14.2,14.3,14.1,7060,101
31/08/2017,SRC,14.15,14.25,14.25,14.05,47920,680
30/08/2017,SRC,14.25,14.15,14.25,14,14300,202
29/08/2017,SRC,14.2,14.1,14.2,14,257260,3613
28/08/2017,SRC,14.2,14.4,14.4,14.15,30040,428
25/08/2017,SRC,14.25,14.3,14.5,14.15,59070,849
24/08/2017,SRC,14.2,14.15,14.3,14.1,60260,855
23/08/2017,SRC,14.05,14.1,14.25,14,152020,2135
22/08/2017,SRC,14.2,14.15,14.3,14,43180,611
21/08/2017,SRC,14.6,14.1,14.6,14,142360,2003
18/08/2017,SRC,14.4,14.25,14.4,14.2,26240,375
17/08/2017,SRC,14.9,14.35,14.9,14.35,88970,1299
16/08/2017,SRC,14.4,14.8,15,14.2,70360,1021
15/08/2017,SRC,14.35,14.4,14.5,14.2,65580,939
14/08/2017,SRC,14.4,14.1,14.7,14,189170,2668
11/08/2017,SRC,14.7,14.35,14.9,14,153900,2203
10/08/2017,SRC,14.45,14.7,14.85,14.45,23620,347
09/08/2017,SRC,14.35,14.55,14.75,14.35,129930,1879
08/08/2017,SRC,14.7,14.7,14.9,14.55,37260,546
07/08/2017,SRC,15,14.8,15,14.8,21100,313
04/08/2017,SRC,14.95,14.9,15,14.5,60340,890
03/08/2017,SRC,14.9,14.95,15.3,14.8,53600,806
02/08/2017,SRC,15,15,15.1,14.8,40100,600
01/08/2017,SRC,15.2,15.15,15.2,15,148660,2245
31/07/2017,SRC,15.2,15.2,15.2,14.9,41510,624
28/07/2017,SRC,14.75,15.2,15.2,14.7,226600,3379
27/07/2017,SRC,14.8,14.75,14.9,14.55,60720,893
26/07/2017,SRC,15,14.75,15.2,14.6,65800,971
25/07/2017,SRC,14.5,14.8,15,14.5,61230,906
24/07/2017,SRC,14.9,14.5,14.9,14.2,150170,2168
21/07/2017,SRC,15.3,14.9,15.3,14.7,125410,1874
20/07/2017,SRC,15.75,15.3,15.8,15.3,177670,2769
19/07/2017,SRC,15.95,15.85,16,15.8,47180,750
18/07/2017,SRC,16,16.1,16.1,15.8,104250,1667
17/07/2017,SRC,16.25,16,16.4,16,66150,1070
14/07/2017,SRC,16.3,16.05,16.35,16,116320,1876
13/07/2017,SRC,16.3,16.3,16.45,16.15,191830,3121
12/07/2017,SRC,16.1,16,16.35,15.95,37090,594
11/07/2017,SRC,16,16.1,16.2,16,80000,1285
10/07/2017,SRC,16.2,16,16.2,15.95,157680,2531
07/07/2017,SRC,16.1,16.1,16.4,16,123060,1988
06/07/2017,SRC,16.2,16.1,16.4,16,275430,4429
05/07/2017,SRC,16.6,16.2,16.6,16,266810,4328
04/07/2017,SRC,16.35,16.35,16.4,16.25,71380,1165
03/07/2017,SRC,16.55,16.35,16.55,16.3,57400,939
30/06/2017,SRC,16.3,16.4,16.5,16.2,81460,1331
29/06/2017,SRC,16.3,16.3,16.5,16.2,116530,1894
28/06/2017,SRC,16.4,16.3,16.7,16.3,122100,1999
27/06/2017,SRC,16.95,16.5,16.95,16.5,54960,919
26/06/2017,SRC,16.55,16.7,16.8,16.4,91920,1532
23/06/2017,SRC,17,16.3,17,16.3,279700,4649
22/06/2017,SRC,17,16.75,17,16.55,40950,682
21/06/2017,SRC,16.45,16.9,16.9,16.35,83920,1382
20/06/2017,SRC,16.75,16.55,16.8,16.5,173640,2883
19/06/2017,SRC,17,16.8,17.1,16.7,203940,3442
16/06/2017,SRC,17.5,17,17.5,16.8,287570,4894
15/06/2017,SRC,17.6,17.2,18,17,393840,6822
14/06/2017,SRC,18.5,18.1,18.5,18,310780,5632
13/06/2017,SRC,17.2,17.85,17.85,17,579520,10228
12/06/2017,SRC,16.45,16.7,16.85,16.4,213680,3570
09/06/2017,SRC,16.05,16.1,16.35,16.05,11750,190
08/06/2017,SRC,16.4,16.1,16.4,16.1,56230,914
07/06/2017,SRC,16.9,16.65,16.95,16.65,50780,850
06/06/2017,SRC,17.2,16.8,17.2,16.75,15490,262
05/06/2017,SRC,16.7,16.95,17,16.7,55540,934
02/06/2017,SRC,16.6,16.7,16.7,16.6,16620,276
01/06/2017,SRC,16.7,16.6,16.7,16.4,34430,571
31/05/2017,SRC,16.6,16.7,16.7,16.4,37090,614
30/05/2017,SRC,16.75,16.7,16.75,16.3,29830,492
29/05/2017,SRC,16.7,16.7,16.85,16.6,37140,621
26/05/2017,SRC,16.75,16.7,16.8,16.7,24370,409
25/05/2017,SRC,16.6,16.75,16.8,16.6,33930,568
24/05/2017,SRC,16.9,16.5,16.9,16.5,89770,1485
23/05/2017,SRC,16.65,16.8,16.8,16.5,23400,388
22/05/2017,SRC,17.2,16.85,17.2,16.7,26270,441
19/05/2017,SRC,16.9,16.85,16.95,16.5,94240,1581
18/05/2017,SRC,17.1,17,17.2,16.8,81260,1382
17/05/2017,SRC,16.65,17.8,17.8,16.6,116610,2012
16/05/2017,SRC,16.5,16.65,16.7,16.35,56170,931
15/05/2017,SRC,16.4,16.65,16.75,16.25,43190,707
12/05/2017,SRC,16.6,16.6,16.7,16.3,52300,862
11/05/2017,SRC,16.9,16.7,16.95,16.6,52360,875
10/05/2017,SRC,16.7,16.8,16.85,16.6,67540,1131
09/05/2017,SRC,16.4,16.7,16.7,16.25,37740,623
08/05/2017,SRC,16.5,16.5,16.5,16.3,6250,103
05/05/2017,SRC,16.4,16.55,16.55,16.3,46340,758
04/05/2017,SRC,16.4,16.3,16.8,16.25,41420,676
03/05/2017,SRC,16.5,16.45,16.7,16.45,33400,550
28/04/2017,SRC,16.7,16.7,16.7,16.6,8400,140
27/04/2017,SRC,16.7,16.7,16.7,16.5,22030,366
26/04/2017,SRC,16.6,16.75,16.75,16.55,20000,332
25/04/2017,SRC,16.7,16.6,16.95,16.5,196740,3320
24/04/2017,SRC,17,17.1,17.1,16.6,12700,214
21/04/2017,SRC,17,17.1,17.1,16.9,8120,138
20/04/2017,SRC,17.05,17.2,17.2,16.85,229190,3904
19/04/2017,SRC,16.7,17.1,17.3,16.6,75000,1271
18/04/2017,SRC,16.8,16.65,16.8,16.4,65450,1091
17/04/2017,SRC,16.6,16.4,16.9,16.4,48300,796
14/04/2017,SRC,16.9,16.65,16.9,16.5,54730,913
13/04/2017,SRC,17,16.9,17,16.8,28130,474
12/04/2017,SRC,17.15,17,17.15,16.8,19110,323
11/04/2017,SRC,17.2,17.05,17.2,16.9,37510,638
10/04/2017,SRC,17.2,17,17.2,17,47570,810
07/04/2017,SRC,17.1,17.25,17.25,17,51800,884
05/04/2017,SRC,17.3,17.25,17.3,17.15,26150,450
04/04/2017,SRC,17.1,17.2,17.2,17,49090,839
03/04/2017,SRC,17.1,17.05,17.1,17,20760,354
31/03/2017,SRC,17.3,17.05,17.3,17.05,35290,603
30/03/2017,SRC,17.4,17.1,17.5,17.1,23670,408
29/03/2017,SRC,17.25,17.4,17.4,17,128330,2207
28/03/2017,SRC,17.7,17.5,17.7,17.25,107920,1883
27/03/2017,SRC,17.8,17.7,17.8,17.65,76860,1363
24/03/2017,SRC,18,17.8,18.2,17.7,75070,1333
23/03/2017,SRC,17.9,17.8,18.3,17.7,59560,1073
22/03/2017,SRC,17.9,17.75,18.1,17.75,177380,3162
21/03/2017,SRC,17.9,18,18.15,17.7,128560,2304
20/03/2017,SRC,18.55,18.2,19,18,84650,1551
17/03/2017,SRC,18.3,18.7,18.7,18.1,387970,7233
16/03/2017,SRC,16.6,17.5,17.5,16.6,475870,8037
15/03/2017,SRC,16.5,16.4,16.5,16.3,38440,630
14/03/2017,SRC,16.6,16.6,16.7,16.55,19550,325
13/03/2017,SRC,16.8,16.6,16.8,16.6,11680,195
10/03/2017,SRC,16.9,16.8,17,16.8,27830,469
09/03/2017,SRC,17,16.9,17.1,16.7,13070,221
08/03/2017,SRC,17,17,17,16.6,88110,1486
07/03/2017,SRC,17.25,16.9,17.25,16.9,241660,4102
06/03/2017,SRC,16.7,17,17,16.7,21500,361
03/03/2017,SRC,17.25,16.7,17.25,16.7,42050,708
02/03/2017,SRC,17.2,17.3,17.35,16.95,34960,595
01/03/2017,SRC,17.4,17.3,17.4,16.95,31780,543
28/02/2017,SRC,17.3,17.4,17.4,17.2,19990,344
27/02/2017,SRC,17.7,17.3,17.7,17.3,7210,126
24/02/2017,SRC,17.3,17.55,17.6,17.3,33630,586
23/02/2017,SRC,17.8,17.4,17.8,17.4,30420,531
22/02/2017,SRC,17.9,17.7,17.9,17.6,14210,252
21/02/2017,SRC,17.5,17.95,17.95,17.5,33350,591
20/02/2017,SRC,17.7,17.5,18,17.5,126440,2247
17/02/2017,SRC,18.1,18,18.2,17.85,123770,2227
16/02/2017,SRC,18.4,18.3,18.6,18,82310,1509
15/02/2017,SRC,18.4,18.4,18.75,18.2,34310,630
14/02/2017,SRC,18.2,18.4,18.6,18.2,77110,1417
10/02/2017,SRC,17.1,17.1,17.1,17,46540,794
09/02/2017,SRC,17.2,17.1,17.2,16.9,87380,1484
08/02/2017,SRC,16.9,17.1,17.1,16.9,99340,1688
07/02/2017,SRC,17.2,17,17.2,17,20680,352
06/02/2017,SRC,17,17,17.15,16.7,24410,414
03/02/2017,SRC,17.2,17,17.3,17,43020,732
02/02/2017,SRC,16.75,17.2,17.25,16.75,25360,433
25/01/2017,SRC,17.2,17,17.2,16.55,21210,358
24/01/2017,SRC,16.95,16.8,17.2,16.8,34050,577
23/01/2017,SRC,16.9,16.95,16.95,16.5,37610,625
20/01/2017,SRC,17.2,17,17.2,17,33600,575
19/01/2017,SRC,17,17,17,16.9,19790,335
18/01/2017,SRC,17,17,17.15,16.95,42010,718
17/01/2017,SRC,17.1,17.2,17.25,16.9,42750,731
16/01/2017,SRC,17,17,17.1,16.85,102570,1742
13/01/2017,SRC,17.15,17,17.15,17,15800,269
12/01/2017,SRC,17.2,17,17.2,16.9,30750,522
11/01/2017,SRC,17.35,17.1,17.4,17.1,15540,267
10/01/2017,SRC,17,17.2,17.3,17,41520,710
09/01/2017,SRC,17,17,17.3,16.8,54200,919
06/01/2017,SRC,17,17,17.3,16.8,45090,766
05/01/2017,SRC,17.1,17,17.35,17,104980,1805
04/01/2017,SRC,17.35,17.5,17.5,17,71920,1252
