DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
31/12/2019,STK,17.65,17.55,17.65,17.5,15710,276
30/12/2019,STK,17.5,17.65,17.7,17.45,9100,160
27/12/2019,STK,17.2,17.4,17.65,17.2,68020,1191
26/12/2019,STK,17.65,17,17.65,17,2970,51
25/12/2019,STK,17.95,17.2,17.95,17.2,47890,843
24/12/2019,STK,16.6,17.4,17.5,16.6,32220,551
23/12/2019,STK,17.3,16.7,17.3,16.2,51440,848
20/12/2019,STK,17.05,16.9,17.1,16.9,18320,311
19/12/2019,STK,17.05,17.3,17.6,16.8,35910,614
18/12/2019,STK,17.2,17.05,17.6,17,32160,553
17/12/2019,STK,17.7,17.7,17.7,17.15,16590,291
16/12/2019,STK,17.7,17.15,18.35,17.1,28190,489
13/12/2019,STK,17.5,17.15,17.75,17.15,31440,549
12/12/2019,STK,17.4,17.6,17.7,16.9,37710,650
11/12/2019,STK,17.75,17.8,17.8,17.3,9670,169
10/12/2019,STK,17.3,17.8,17.8,17.3,18860,330
09/12/2019,STK,17.4,17.8,17.8,17.3,22580,396
06/12/2019,STK,17.25,17.05,17.3,17,58150,996
05/12/2019,STK,17.6,17.6,17.8,17.1,42240,739
04/12/2019,STK,16.25,17.3,17.35,15.6,59130,973
03/12/2019,STK,17.15,16.25,17.6,16.1,58880,978
02/12/2019,STK,17.6,17.3,18,17.3,33550,588
29/11/2019,STK,18.3,17.8,18.3,17.2,25780,460
28/11/2019,STK,18.3,18.3,18.3,17.9,13570,247
27/11/2019,STK,18.6,18.5,18.6,18.3,5180,96
26/11/2019,STK,18.7,18.5,18.7,18.3,13790,254
25/11/2019,STK,17.15,18.3,18.75,17.15,4860,89
22/11/2019,STK,18.8,18.4,18.8,18.4,15600,288
21/11/2019,STK,18.3,18.5,18.5,18.2,4290,78
20/11/2019,STK,18.3,18.5,18.6,18.3,11300,207
19/11/2019,STK,18.25,18.3,18.35,18.2,29280,535
18/11/2019,STK,18.35,18.35,18.35,18.2,10640,195
15/11/2019,STK,18.35,18.35,18.35,18,16010,290
