DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
04/05/2020,TCB,17.2,17.4,17.7,17.15,2018840,35226
29/04/2020,TCB,17.1,17.2,17.55,17,2860010,49502
28/04/2020,TCB,17.15,17.1,17.15,16.85,921180,15659
27/04/2020,TCB,17.1,17.05,17.25,17,962880,16442
24/04/2020,TCB,17.1,17.1,17.15,16.9,851770,14509
23/04/2020,TCB,17.2,16.95,17.3,16.95,1401680,23966
22/04/2020,TCB,16.25,16.9,17.2,16.25,1742290,29241
21/04/2020,TCB,17.3,16.85,17.4,16.7,3045020,51945
20/04/2020,TCB,17.9,17.7,17.95,17.5,1847520,32672
17/04/2020,TCB,17.8,17.75,17.85,17.5,2252420,39838
16/04/2020,TCB,17.5,17.55,17.55,17.2,1858330,32335
15/04/2020,TCB,17.3,17.55,17.55,17.2,2536130,44098
14/04/2020,TCB,17.35,17.15,17.35,16.9,1446850,24766
13/04/2020,TCB,16.75,17.2,17.6,16.75,2564400,44141
10/04/2020,TCB,16.7,16.75,16.95,16.65,1495400,25129
09/04/2020,TCB,17.1,16.9,17.15,16.85,2199830,37403
08/04/2020,TCB,16.8,16.7,16.8,16.3,1408000,23345
07/04/2020,TCB,17,16.95,17.2,16.8,2424610,41169
06/04/2020,TCB,16.2,16.95,16.95,16.1,2966040,49662
03/04/2020,TCB,15.5,15.85,15.95,15.5,1433510,22620
01/04/2020,TCB,15,15.5,15.6,14.35,1316380,20095
31/03/2020,TCB,15,15,15.5,14,1578850,23575
30/03/2020,TCB,15.1,14.9,15.5,14.9,3360230,50361
27/03/2020,TCB,16.15,16,16.2,15.6,2746330,43740
26/03/2020,TCB,16.6,16.1,16.6,16.1,1487540,24144
25/03/2020,TCB,16.5,16.6,16.7,16.3,2952270,48624
24/03/2020,TCB,16.5,16.1,16.5,16,3209920,51884
23/03/2020,TCB,16.2,16.15,17,16.15,3265510,52966
20/03/2020,TCB,17.45,17.35,17.5,17.15,1878140,32530
19/03/2020,TCB,17.6,17.25,17.8,17.15,2214980,38396
18/03/2020,TCB,18.1,17.95,18.2,17.7,1908520,34190
17/03/2020,TCB,17,17.95,17.95,16.85,3112070,53913
16/03/2020,TCB,18.25,17.45,18.25,17.2,3645430,64285
13/03/2020,TCB,16.7,18.25,18.55,16.7,4332700,75200
12/03/2020,TCB,18,17.95,18.5,17.95,4054760,72969
11/03/2020,TCB,20.8,19.3,20.95,19.3,5626550,110973
10/03/2020,TCB,20.4,20.7,21,20.1,3161970,64870
09/03/2020,TCB,20.65,20.55,21,20.55,4584600,94581
06/03/2020,TCB,22.2,22.05,22.2,21.8,2247920,49396
05/03/2020,TCB,22.55,22.3,22.85,22.3,2022250,45597
04/03/2020,TCB,22.35,22.55,22.6,22.2,1936620,43262
03/03/2020,TCB,22.85,22.5,23,22.5,2162150,49193
02/03/2020,TCB,22.4,22.5,22.65,22.1,2567350,57491
28/02/2020,TCB,22,22.25,22.4,21.85,2433150,53746
27/02/2020,TCB,22.35,22.75,22.75,22.2,2324050,52336
26/02/2020,TCB,21.75,22.35,22.5,21.6,2243500,49743
25/02/2020,TCB,21,22.2,22.25,20.8,3236900,69883
24/02/2020,TCB,22.75,21.5,22.75,21.5,7508070,163603
21/02/2020,TCB,23.4,23.1,23.7,23.1,2959980,69237
20/02/2020,TCB,23.7,23.5,23.9,23.3,2950950,69521
19/02/2020,TCB,23.6,23.65,23.7,23.45,1980690,46638
18/02/2020,TCB,23.8,23.7,24.1,23.55,4268770,101877
17/02/2020,TCB,23.4,23.8,23.9,23.25,6393370,151167
14/02/2020,TCB,23.1,23.3,23.4,22.9,4375740,101518
13/02/2020,TCB,22.55,22.6,22.65,22.4,1823230,41056
12/02/2020,TCB,22.3,22.65,22.95,22.2,3157240,71439
11/02/2020,TCB,21.85,22.15,22.3,21.85,1353360,29848
10/02/2020,TCB,21.9,21.85,22,21.65,1304360,28500
07/02/2020,TCB,22.35,22.15,22.35,21.9,1965440,43427
06/02/2020,TCB,21.65,22.35,22.45,21.5,2677150,59030
05/02/2020,TCB,22,21.75,22.15,21.55,2433210,53143
04/02/2020,TCB,21.5,21.75,21.9,21.2,2196570,47435
03/02/2020,TCB,20.5,21.45,22.1,20.35,4258750,89026
31/01/2020,TCB,22.65,21.6,22.9,21.6,6118460,136689
30/01/2020,TCB,23.5,22.9,23.8,22.75,4013510,93175
22/01/2020,TCB,24.25,24.2,24.25,23.95,2309150,55650
21/01/2020,TCB,23.45,24.05,24.05,23.4,7458340,177264
20/01/2020,TCB,23.3,23.35,23.45,23.2,2019730,47051
17/01/2020,TCB,23.4,23.4,23.6,23.3,1875160,43864
16/01/2020,TCB,22.9,23.3,23.35,22.9,4383720,101396
15/01/2020,TCB,22.9,22.9,23,22.8,1929280,44162
14/01/2020,TCB,22.95,22.9,23.05,22.9,1804950,41467
13/01/2020,TCB,23,22.95,23.15,22.75,892360,20452
10/01/2020,TCB,23,23.15,23.5,23,3679110,85373
09/01/2020,TCB,23,23.05,23.1,22.85,2009840,46208
08/01/2020,TCB,22.8,22.75,23.05,22.6,1710390,39101
07/01/2020,TCB,23.05,23.2,23.2,23,1043300,24113
06/01/2020,TCB,23.4,23.05,23.4,23.05,1162990,27013
03/01/2020,TCB,23.9,23.65,23.95,23.65,756700,17990
02/01/2020,TCB,23.55,23.8,23.85,23.5,1387610,32944
31/12/2019,TCB,23.45,23.55,23.75,23.45,731740,17193
30/12/2019,TCB,23.5,23.45,23.95,23.35,2452800,58065
27/12/2019,TCB,23.05,23.2,23.2,22.95,819850,18925
26/12/2019,TCB,23,23.05,23.05,22.9,855750,19682
25/12/2019,TCB,23,23,23.15,22.95,598950,13791
24/12/2019,TCB,23.15,23,23.15,22.85,419130,9634
23/12/2019,TCB,23,23.1,23.25,22.9,2394730,55348
20/12/2019,TCB,22.4,22.8,22.8,22.4,653220,14803
19/12/2019,TCB,22.6,22.35,22.75,22.3,1746590,39205
18/12/2019,TCB,22.7,22.7,22.8,22.6,681130,15435
17/12/2019,TCB,23.1,22.75,23.15,22.75,797100,18245
16/12/2019,TCB,23,23.15,23.15,22.9,837370,19253
13/12/2019,TCB,23.2,23.15,23.25,23,903570,20895
12/12/2019,TCB,22.65,23.15,23.3,22.65,1024340,23627
11/12/2019,TCB,22.5,22.7,22.75,22.5,795470,17979
10/12/2019,TCB,22.75,22.4,22.8,22.3,1281250,28833
09/12/2019,TCB,23.15,22.8,23.25,22.7,799820,18358
06/12/2019,TCB,23.25,23.15,23.4,23.1,509280,11823
05/12/2019,TCB,23.45,23.25,23.55,23.1,588750,13743
04/12/2019,TCB,22.55,23.45,23.45,22.55,1112220,25458
03/12/2019,TCB,22.7,22.55,22.75,22.35,1530470,34516
02/12/2019,TCB,22.95,22.7,23.05,22.6,1156110,26320
29/11/2019,TCB,23,22.9,23.1,22.75,754400,17290
28/11/2019,TCB,23.35,22.9,23.35,22.9,1133640,26098
27/11/2019,TCB,23.5,23.35,23.6,23.35,816030,19136
26/11/2019,TCB,23.4,23.45,23.5,23.3,995420,23325
25/11/2019,TCB,23.1,23.3,23.3,22.85,1110080,25608
22/11/2019,TCB,24,23.05,24,22.8,2348690,55161
21/11/2019,TCB,24.35,23.5,24.4,23.5,4049470,96061
20/11/2019,TCB,24.8,24.4,24.9,24.3,1185900,29075
19/11/2019,TCB,24.45,24.75,24.8,24.45,986340,24339
18/11/2019,TCB,24.9,24.45,24.95,24.45,1327810,32823
15/11/2019,TCB,24.7,24.9,24.95,24.4,1355990,33611
14/11/2019,TCB,24.7,24.7,24.75,24.45,1789980,44050
13/11/2019,TCB,25.3,24.75,25.3,24.75,3308350,82648
12/11/2019,TCB,25.05,25.15,25.2,25,1410930,35434
11/11/2019,TCB,25.2,25.15,25.5,25.05,3594060,90667
08/11/2019,TCB,24.8,25.1,25.15,24.8,4107220,102735
07/11/2019,TCB,24.8,24.8,24.8,24.65,1200940,29720
06/11/2019,TCB,24.85,24.75,24.85,24.65,1670500,41340
05/11/2019,TCB,24.5,24.75,24.9,24.4,2664570,65789
04/11/2019,TCB,23.9,24.35,24.4,23.75,3950490,95319
01/11/2019,TCB,23.7,23.75,23.85,23.6,1276580,30301
31/10/2019,TCB,23.8,23.7,23.95,23.7,1249530,29802
30/10/2019,TCB,23.7,23.8,24,23.6,1505720,35726
29/10/2019,TCB,23.8,23.7,23.8,23.55,1432590,33950
28/10/2019,TCB,23.95,23.8,24,23.75,1637090,39067
25/10/2019,TCB,23.9,23.85,23.9,23.7,1383270,32896
24/10/2019,TCB,24,23.85,24,23.75,1437210,34252
23/10/2019,TCB,24,23.95,24,23.8,1210010,28881
22/10/2019,TCB,23.9,24,24,23.75,1259780,30098
21/10/2019,TCB,24.4,23.9,24.4,23.6,1602090,38433
18/10/2019,TCB,24.4,24.4,24.6,24.3,1217000,29706
17/10/2019,TCB,24.4,24.4,24.4,24.15,2372790,57658
16/10/2019,TCB,24.3,24.45,24.55,24.3,2027890,49530
15/10/2019,TCB,23.85,24.25,24.25,23.6,2505730,60373
14/10/2019,TCB,23.7,23.9,24.2,23.6,5147390,122879
11/10/2019,TCB,23.6,23.6,23.7,23.55,859400,20293
10/10/2019,TCB,23.55,23.65,23.75,23.55,721560,17064
09/10/2019,TCB,23.6,23.65,23.65,23.45,1287970,30318
08/10/2019,TCB,23.15,23.55,23.55,23.15,1939340,45240
07/10/2019,TCB,23.65,23.15,23.65,23.15,2959530,69234
04/10/2019,TCB,23.85,23.6,23.95,23.5,2380040,56429
03/10/2019,TCB,23.5,23.8,23.8,23.35,2152040,50727
02/10/2019,TCB,23.7,23.75,23.95,23.6,2720060,64620
01/10/2019,TCB,23.35,23.75,23.75,23.15,2328320,54589
30/09/2019,TCB,23.3,23.35,23.5,23.15,2640100,61684
27/09/2019,TCB,23.1,23.2,23.35,23,2199880,51075
26/09/2019,TCB,22.65,23.1,23.15,22.65,2315980,53292
25/09/2019,TCB,22.6,22.65,22.75,22.4,1603250,36124
24/09/2019,TCB,22.65,22.6,22.8,22.55,2698720,61134
23/09/2019,TCB,23.2,22.65,23.25,22.65,2643620,60906
20/09/2019,TCB,23,23.15,23.2,22.95,2046450,47194
19/09/2019,TCB,22.6,22.95,22.95,22.5,3116360,70981
18/09/2019,TCB,22.5,22.6,22.75,22.4,2613940,59063
17/09/2019,TCB,22.5,22.6,22.7,22.45,1689630,38092
16/09/2019,TCB,22.65,22.6,22.75,22.45,1846340,41715
13/09/2019,TCB,21.9,22.65,22.65,21.9,5546230,124220
12/09/2019,TCB,21.75,21.95,22,21.7,1835330,40191
11/09/2019,TCB,21.5,21.75,21.75,21.4,1009440,21750
10/09/2019,TCB,21.6,21.45,21.9,21.45,2538930,54913
09/09/2019,TCB,22.2,21.7,22.2,21.65,2274060,49708
06/09/2019,TCB,22.35,22.2,22.45,22.1,1189570,26501
05/09/2019,TCB,21.7,22.2,22.45,21.7,4417320,97973
04/09/2019,TCB,21.25,21.7,21.8,21.25,1989740,42870
03/09/2019,TCB,21.6,21.4,21.65,21.4,1136630,24413
30/08/2019,TCB,21.4,21.5,21.5,21.25,1236390,26476
29/08/2019,TCB,21.4,21.35,21.4,21.1,948710,20202
28/08/2019,TCB,21.4,21.4,21.5,21.35,736990,15784
27/08/2019,TCB,21.35,21.45,21.55,21.3,1805340,38706
26/08/2019,TCB,21.2,21.25,21.35,20.95,3277300,69355
23/08/2019,TCB,21.6,21.65,21.65,21.45,1304670,28128
22/08/2019,TCB,21.65,21.65,21.85,21.6,1593030,34539
21/08/2019,TCB,21.65,21.65,21.8,21.4,2062850,44616
20/08/2019,TCB,21.6,21.55,21.7,21.35,1342680,28875
19/08/2019,TCB,21.9,21.55,21.9,21.5,1938330,41911
16/08/2019,TCB,21,21.9,22,20.9,6269250,135056
15/08/2019,TCB,20.4,21,21,20.4,2105150,43643
14/08/2019,TCB,20.85,20.85,20.95,20.7,1250150,26065
13/08/2019,TCB,20.2,20.65,20.7,20.15,2100020,43069
12/08/2019,TCB,20.2,20.25,20.35,20.2,840220,17009
09/08/2019,TCB,20.2,20.2,20.3,20.1,875180,17651
08/08/2019,TCB,20.1,20.2,20.25,20,1798980,36140
07/08/2019,TCB,20.3,20.1,20.4,20.05,1212000,24456
06/08/2019,TCB,20.2,20.25,20.3,19.9,1970250,39654
05/08/2019,TCB,20.4,20.4,20.55,20.3,2653940,54082
02/08/2019,TCB,20.4,20.55,20.7,20.35,3516660,72062
01/08/2019,TCB,20.6,20.7,20.7,20.5,1192180,24601
31/07/2019,TCB,20.7,20.55,20.7,20.55,1219550,25131
30/07/2019,TCB,20.9,20.7,20.9,20.65,1551320,32184
29/07/2019,TCB,21,20.8,21.05,20.75,2419230,50433
26/07/2019,TCB,20.85,20.8,20.95,20.75,1245510,25929
25/07/2019,TCB,20.95,20.9,21,20.9,1729230,36197
24/07/2019,TCB,21.1,20.95,21.2,20.9,2120730,44578
23/07/2019,TCB,21.05,21.05,21.15,21,1565740,32986
22/07/2019,TCB,21.15,21.05,21.3,20.95,2774500,58513
19/07/2019,TCB,21,21.2,21.3,21,3346840,70804
18/07/2019,TCB,20.95,20.9,21.1,20.8,2824630,59099
17/07/2019,TCB,21.3,21.1,21.3,21,2701360,57149
16/07/2019,TCB,21.15,21.2,21.4,21.1,2278750,48455
15/07/2019,TCB,20.85,21.15,21.25,20.75,2857380,59979
12/07/2019,TCB,21.1,20.7,21.2,20.7,2769760,58129
11/07/2019,TCB,20.9,21,21.1,20.8,1912930,40055
10/07/2019,TCB,20.85,20.7,21,20.7,906800,18891
09/07/2019,TCB,20.7,20.7,20.9,20.6,1946360,40359
08/07/2019,TCB,21.3,20.9,21.35,20.55,3362170,70163
05/07/2019,TCB,21.45,21.35,21.6,21.2,1549360,33112
04/07/2019,TCB,20.85,21.4,21.5,20.8,3900680,82662
03/07/2019,TCB,20.75,20.8,21,20.65,1983500,41229
02/07/2019,TCB,21.1,20.9,21.25,20.75,2795670,58740
01/07/2019,TCB,20.55,21,21.1,20.55,4072480,84957
28/06/2019,TCB,20.35,20.35,20.4,19.95,2795060,56285
27/06/2019,TCB,20.4,20.2,20.5,20.2,1584550,32314
26/06/2019,TCB,20.55,20.4,20.7,20.3,1838710,37659
25/06/2019,TCB,20.65,20.75,20.9,20.65,1564890,32545
24/06/2019,TCB,20.7,20.9,21.05,20.65,1664740,34670
21/06/2019,TCB,20.8,20.8,21.1,20.7,1724400,36005
20/06/2019,TCB,20.2,20.6,20.8,20.15,3519910,72414
19/06/2019,TCB,20.6,20.1,20.65,20,2057320,41623
18/06/2019,TCB,20.9,20.3,20.95,20.1,3167100,64303
17/06/2019,TCB,21.3,20.8,21.35,20.8,2217430,46508
14/06/2019,TCB,21.2,21.2,21.45,21.2,1082100,23070
13/06/2019,TCB,21.3,21.15,21.3,21.1,845890,17948
12/06/2019,TCB,21.5,21.3,21.6,21.3,672440,14422
11/06/2019,TCB,21.5,21.5,21.7,21.45,907130,19549
10/06/2019,TCB,21.8,21.5,21.9,21.3,1692190,36576
07/06/2019,TCB,21.35,21.6,21.6,21.35,1426730,30623
06/06/2019,TCB,21.3,21.35,21.5,20.9,1377350,29197
05/06/2019,TCB,21.6,21.3,21.8,21.3,1078360,23199
04/06/2019,TCB,21.75,21.2,21.8,21.1,2334950,49923
03/06/2019,TCB,22.4,21.5,22.5,21.5,2710010,59525
31/05/2019,TCB,22.95,22.6,23,22.6,1452700,33065
30/05/2019,TCB,22.75,22.95,23.05,22.5,1454130,33172
29/05/2019,TCB,23.05,22.75,23.1,22.75,2073420,47479
28/05/2019,TCB,23.1,23.1,23.4,22.9,1428370,32940
27/05/2019,TCB,23.2,23.15,23.35,23.1,888140,20611
24/05/2019,TCB,23.55,23.2,23.7,23.2,2380690,55852
23/05/2019,TCB,23.65,23.65,23.85,23.55,1377230,32636
22/05/2019,TCB,24.1,23.7,24.2,23.7,1706530,40886
21/05/2019,TCB,23.85,24.05,24.3,23.85,3217110,77574
