DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
25/05/2021,TCL,32.4,33.4,34,32.4,313300,10503
24/05/2021,TCL,31.9,32.4,32.85,31.8,219100,7080
21/05/2021,TCL,30.1,31.6,31.9,30.1,307100,9595
20/05/2021,TCL,30.1,30.1,30.5,29.8,79800,2394
19/05/2021,TCL,30.3,30.1,30.3,30,43500,1311
18/05/2021,TCL,30.5,30.4,30.5,30.2,33700,1023
17/05/2021,TCL,31,30.6,31,30.35,123200,3790
14/05/2021,TCL,29.6,30.35,30.5,29.55,129100,3881
13/05/2021,TCL,29.6,29.6,29.65,29.5,91500,2707
12/05/2021,TCL,29.55,29.65,29.8,29.45,43700,1294
11/05/2021,TCL,29.4,29.55,29.9,29.4,57200,1693
10/05/2021,TCL,29.4,29.4,29.5,28.9,158000,4595
07/05/2021,TCL,29.9,29.4,29.9,29.3,159100,4683
06/05/2021,TCL,30.3,29.9,30.3,29.6,47000,1402
05/05/2021,TCL,29.7,29.9,30.1,29.5,85000,2540
04/05/2021,TCL,30,29.7,30,29.6,86800,2577
29/04/2021,TCL,30.5,30.1,30.5,30,42000,1264
28/04/2021,TCL,30.5,30,30.5,29.95,18100,547
27/04/2021,TCL,29.45,29.9,29.9,29.4,30700,910
26/04/2021,TCL,29.9,29.4,30.5,29.1,86700,2569
23/04/2021,TCL,29.7,29.85,29.9,29.5,140000,4152
22/04/2021,TCL,30.4,29.7,30.4,29.7,114500,3440
20/04/2021,TCL,30.45,30.4,30.6,30.2,95800,2910
19/04/2021,TCL,30.2,30.4,30.5,30.2,81800,2482
16/04/2021,TCL,30.85,30.2,30.9,29.9,147200,4493
15/04/2021,TCL,30.85,30.85,31,30.6,122200,3773
14/04/2021,TCL,30.5,30.85,30.9,30.4,165900,5099
13/04/2021,TCL,31.35,30.8,31.35,30.8,238700,7392
12/04/2021,TCL,31.2,31.35,31.4,31.05,137900,4300
09/04/2021,TCL,31.3,31.4,31.5,31.2,62700,1965
08/04/2021,TCL,31.7,31.4,32,31.25,187800,5945
07/04/2021,TCL,30.7,31.7,31.8,30.55,343700,10707
06/04/2021,TCL,30.7,30.7,31,30.5,122400,3762
05/04/2021,TCL,31,30.75,31,30.6,117300,3610
02/04/2021,TCL,31,30.8,31.2,30.75,156700,4842
01/04/2021,TCL,30.85,30.85,30.85,30.6,145400,4467
31/03/2021,TCL,30.7,30.6,30.75,30.5,97700,2991
30/03/2021,TCL,30.85,30.7,30.85,30.5,117000,3585
29/03/2021,TCL,30.2,30.6,30.6,30.15,112200,3405
26/03/2021,TCL,29.8,30.2,30.55,29.7,140700,4229
25/03/2021,TCL,29.9,30.2,30.6,29.75,231800,6975
24/03/2021,TCL,30.6,29.95,30.65,29.95,183400,5580
23/03/2021,TCL,30.6,30.65,30.85,30.6,194300,5968
22/03/2021,TCL,30.6,30.6,30.8,30.55,193700,5944
19/03/2021,TCL,30.7,30.6,30.8,30.6,104400,3202
18/03/2021,TCL,31.1,30.8,31.2,30.6,100400,3101
17/03/2021,TCL,30.65,30.9,31.3,30.65,263500,8149
16/03/2021,TCL,30.75,30.4,30.8,30.4,210400,6447
15/03/2021,TCL,30.95,30.75,31.15,30.7,151300,4664
12/03/2021,TCL,31.2,30.9,31.3,30.8,122700,3807
11/03/2021,TCL,30.05,31.2,31.45,30,557900,17304
10/03/2021,TCL,29.85,29.95,29.95,29.75,108700,3244
09/03/2021,TCL,29.95,29.85,30,29.6,157600,4704
08/03/2021,TCL,29.8,29.75,30.05,29.65,231800,6923
05/03/2021,TCL,29.5,29.75,29.95,29,210000,6184
04/03/2021,TCL,30,29.5,30,29.4,221800,6646
03/03/2021,TCL,29.95,30,30.25,29.7,215100,6447
02/03/2021,TCL,29.8,29.95,30,29.7,217400,6503
01/03/2021,TCL,29.6,29.6,29.6,29.25,143800,4240
26/02/2021,TCL,29.4,29.25,29.4,28.95,123000,3598
25/02/2021,TCL,29.6,29.4,29.7,29.15,178400,5250
24/02/2021,TCL,28.95,29.5,29.9,28.9,346100,10216
23/02/2021,TCL,29.25,28.95,29.25,28.8,156800,4532
22/02/2021,TCL,28.8,28.9,29.4,28.7,239500,6941
19/02/2021,TCL,28.7,28.8,28.85,28.4,120300,3457
18/02/2021,TCL,28.8,28.7,28.8,28.5,179400,5139
17/02/2021,TCL,28.4,28.8,28.85,28.3,100600,2880
09/02/2021,TCL,27.5,28.4,28.4,27.5,91400,2562
08/02/2021,TCL,28.6,27.55,28.6,27.2,102900,2870
05/02/2021,TCL,28.1,28.35,28.4,28,127500,3582
04/02/2021,TCL,28.2,28,28.2,26.2,146400,4043
03/02/2021,TCL,27.3,28,28.1,27.2,227300,6294
02/02/2021,TCL,26.4,27,27.5,26.4,117000,3134
01/02/2021,TCL,27.25,26.4,27.25,26.4,162300,4350
29/01/2021,TCL,25.75,27.2,27.55,25,157800,4204
28/01/2021,TCL,26,25.75,27,25.75,552800,14377
27/01/2021,TCL,28.6,27.65,28.6,27.3,242800,6801
26/01/2021,TCL,29.5,28.45,29.5,28.3,180500,5210
25/01/2021,TCL,29.2,29.5,29.75,29.2,87500,2585
22/01/2021,TCL,29.5,29.7,29.9,29.05,222300,6573
21/01/2021,TCL,28.9,29,29,28.25,260100,7470
20/01/2021,TCL,28.9,28.25,28.9,27,330600,9324
19/01/2021,TCL,30.55,28.9,30.55,28.45,320400,9447
18/01/2021,TCL,31,30.55,31.15,30.5,333500,10266
15/01/2021,TCL,30.7,30.85,31.2,30.7,268100,8281
14/01/2021,TCL,31.2,30.7,31.3,30.6,239100,7369
13/01/2021,TCL,32.2,31.05,32.4,30.9,361400,11445
12/01/2021,TCL,30,31.6,31.6,29.85,527100,16269
11/01/2021,TCL,30.3,30.1,30.3,29.85,235100,7070
08/01/2021,TCL,30.4,29.85,30.6,29.75,255200,7693
07/01/2021,TCL,29.95,30.3,30.95,29.3,394100,11860
06/01/2021,TCL,30.2,29.95,30.25,29.85,255100,7674
05/01/2021,TCL,29.95,30.2,30.6,29.65,45650,13823
04/01/2021,TCL,28.35,30,30,28.3,99330,29134
31/12/2020,TCL,28.3,28.3,28.5,28.2,188220,5333
30/12/2020,TCL,28.35,28.3,28.7,28.25,323010,9195
