DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
23/02/2018,TDG,13.8,13.6,13.8,12.8,406580,5462
22/02/2018,TDG,12.9,12.9,12.9,12.6,291530,3758
21/02/2018,TDG,11.5,12.1,12.1,11.5,700070,8280
13/02/2018,TDG,11,11.35,11.4,11,236420,2640
12/02/2018,TDG,10.7,10.95,10.95,10.5,320080,3414
09/02/2018,TDG,10.75,10.7,10.75,10.45,57780,616
08/02/2018,TDG,10.8,10.75,10.8,10.6,161140,1729
07/02/2018,TDG,10.85,10.8,11,10.55,108420,1175
06/02/2018,TDG,10.7,10.8,10.8,10.15,243900,2542
05/02/2018,TDG,10.75,10.9,10.9,10.6,197840,2132
02/02/2018,TDG,11,11,11,10.25,318110,3437
01/02/2018,TDG,11,11,11,10.8,235650,2565
31/01/2018,TDG,11,11,11,10.6,392420,4281
30/01/2018,TDG,11,11,11,10.6,206780,2232
29/01/2018,TDG,11.55,11,11.55,10.7,175390,1943
26/01/2018,TDG,11.4,11.5,11.7,11,165840,1865
25/01/2018,TDG,10.7,11.35,11.35,9.99,251090,2633
22/01/2018,TDG,10.55,10.65,10.75,10.55,283580,3018
19/01/2018,TDG,10.6,10.5,10.6,10,345660,3606
18/01/2018,TDG,10.6,10.55,10.7,10.3,466290,4895
17/01/2018,TDG,10.55,10.5,10.8,10.45,372950,3935
16/01/2018,TDG,10.15,10.5,10.5,10,329950,3365
15/01/2018,TDG,11,10.15,11,10.15,279990,3001
12/01/2018,TDG,10.6,10.8,10.95,10.45,276440,2961
11/01/2018,TDG,11,11,11.1,10.5,295970,3193
10/01/2018,TDG,10.35,10.95,11,10.35,304660,3213
09/01/2018,TDG,10.3,10.4,10.85,10.25,489920,5095
08/01/2018,TDG,11.2,10.25,11.3,10.15,358550,3844
05/01/2018,TDG,11.8,10.9,11.85,10.9,354640,3991
04/01/2018,TDG,11.6,11.7,11.8,10.6,368300,4143
03/01/2018,TDG,11.25,11.35,11.7,10.3,405470,4560
02/01/2018,TDG,11.75,11,12.1,10.8,299630,3458
29/12/2017,TDG,11.55,11.6,12.4,11.5,291110,3373
28/12/2017,TDG,13.2,12.35,13.2,12.35,180650,2290
27/12/2017,TDG,12.45,13.25,13.3,12.45,397560,5108
26/12/2017,TDG,11.35,12.45,12.45,10.85,502020,5619
25/12/2017,TDG,11.35,11.65,12.2,11.35,466130,5330
22/12/2017,TDG,13.1,12.2,13.35,12.2,235590,3019
21/12/2017,TDG,13.85,13.1,13.9,12.9,323420,4312
20/12/2017,TDG,13.6,13.85,14,13.3,212100,2925
19/12/2017,TDG,14,13.6,14.25,13.05,322520,4372
18/12/2017,TDG,14.55,14,14.55,13.55,282930,3947
