DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
27/07/2021,TDM,31.4,30.5,31.8,30.5,1048200,32447
26/07/2021,TDM,29.55,31.2,31.45,29.1,1837800,55559
23/07/2021,TDM,30.4,29.9,30.5,29.9,616500,18606
22/07/2021,TDM,30,30.5,30.95,30,926200,28214
21/07/2021,TDM,27.9,29.8,29.85,27.8,2379200,69418
20/07/2021,TDM,27.9,27.9,27.95,27.4,176400,4875
19/07/2021,TDM,28,27.9,28.05,27.5,324600,9045
16/07/2021,TDM,27.45,28.25,28.8,27.1,337200,9432
05/07/2021,TDM,28.6,28.4,28.6,27.9,296000,8347
02/07/2021,TDM,28.8,28.6,28.8,28.4,375000,10710
01/07/2021,TDM,28,28.6,28.7,28,658800,18767
30/06/2021,TDM,28,28,28.1,27.8,216100,6045
29/06/2021,TDM,28.1,27.9,28.2,27.9,264700,7407
28/06/2021,TDM,28.2,28.1,28.3,27.95,207800,5836
25/06/2021,TDM,27.7,28.2,28.2,27.7,289200,8093
24/06/2021,TDM,28,27.8,28.4,27.7,270400,7565
23/06/2021,TDM,28.6,28.05,28.6,27.8,626900,17603
22/06/2021,TDM,29.2,28.5,29.2,28.2,524800,15046
21/06/2021,TDM,29.45,29,29.45,28.6,394100,11452
18/06/2021,TDM,29.45,29.45,29.5,29,353200,10348
17/06/2021,TDM,28.6,29.2,29.45,28.5,529300,15349
16/06/2021,TDM,28.8,28.6,29.1,28.5,577800,16578
15/06/2021,TDM,28.2,29.1,29.3,28.05,730000,20938
14/06/2021,TDM,28,28.1,28.2,27.9,241000,6757
11/06/2021,TDM,28.3,28.2,28.5,27.9,544900,15354
10/06/2021,TDM,27.7,28.2,28.5,27.7,515000,14501
09/06/2021,TDM,27.9,27.6,27.95,27,393900,10916
08/06/2021,TDM,26.8,27.6,28.15,26.8,776900,21495
07/06/2021,TDM,26.85,26.8,26.95,26.55,276900,7385
04/06/2021,TDM,26.9,26.85,26.9,26.6,142400,3813
03/06/2021,TDM,27.2,26.85,27.2,26.7,241100,6487
02/06/2021,TDM,26.7,26.7,27,26.35,260600,6904
01/06/2021,TDM,26.45,26.7,26.8,26.4,395300,10509
31/05/2021,TDM,26.8,26.6,27,26.1,167000,4454
28/05/2021,TDM,26.8,27,27.1,26.8,173600,4677
27/05/2021,TDM,27.3,26.95,27.35,26.8,181000,4878
26/05/2021,TDM,27.5,27.2,27.6,27,111400,3034
25/05/2021,TDM,27.4,27.5,27.65,27.2,147500,4045
24/05/2021,TDM,27,27.2,27.2,26.85,214400,5797
21/05/2021,TDM,26.4,27,27.2,26.4,280400,7551
20/05/2021,TDM,26.5,26.5,26.65,26.4,119500,3162
19/05/2021,TDM,26.8,26.55,26.8,26.35,75200,1994
18/05/2021,TDM,27.1,26.8,27.1,26.65,89800,2417
17/05/2021,TDM,26.7,27,27.2,26.7,199300,5386
14/05/2021,TDM,26.55,26.7,26.8,26.5,145700,3893
13/05/2021,TDM,26.5,26.5,26.8,26.45,151700,4026
12/05/2021,TDM,26.5,26.5,26.55,26.05,190000,4974
11/05/2021,TDM,27,26.05,27,26,215400,5698
10/05/2021,TDM,26.9,26.5,26.9,26.2,248600,6549
07/05/2021,TDM,27.35,26.9,27.35,26.8,193600,5227
06/05/2021,TDM,27.45,27.35,27.7,27.3,126200,3470
05/05/2021,TDM,27.3,27.45,27.55,27.3,210500,5771
04/05/2021,TDM,27,27.3,27.3,26.8,257000,6950
29/04/2021,TDM,27.4,27.3,27.5,27,334600,9087
28/04/2021,TDM,27.5,27.4,27.5,27.3,143900,3937
27/04/2021,TDM,27.1,27.5,27.5,27.1,278800,7614
26/04/2021,TDM,27.5,27.3,27.6,27.15,272500,7456
23/04/2021,TDM,27.4,27.5,27.55,27.1,241500,6625
22/04/2021,TDM,28,27.4,28,27.35,336600,9263
20/04/2021,TDM,27.8,28,28.2,27,434400,12052
19/04/2021,TDM,27.5,27.6,27.6,26.95,446400,12151
16/04/2021,TDM,27.8,27.45,27.85,27.4,349000,9636
15/04/2021,TDM,28.3,27.9,28.4,27.9,524000,14763
14/04/2021,TDM,28.2,28.4,28.55,28.2,259200,7362
13/04/2021,TDM,28.9,28.55,28.9,28.45,300800,8603
12/04/2021,TDM,28.55,28.9,28.95,28.4,219200,6267
09/04/2021,TDM,28.55,28.6,28.8,28.45,117300,3354
08/04/2021,TDM,28.95,28.8,28.95,28.6,111200,3188
07/04/2021,TDM,28.5,28.95,28.95,28.45,194800,5562
06/04/2021,TDM,28.9,28.6,28.9,28.5,404600,11562
05/04/2021,TDM,28.8,29,29,28.6,309900,8909
02/04/2021,TDM,29.1,28.8,29.35,28.7,334400,9710
01/04/2021,TDM,29,28.85,29,28.6,307100,8858
31/03/2021,TDM,28.85,28.9,29,28.6,194100,5585
30/03/2021,TDM,29.1,28.85,29.1,28.45,410300,11731
29/03/2021,TDM,29.3,29.1,29.5,28.5,323100,9293
26/03/2021,TDM,29.05,29.3,29.35,28.3,421600,12088
25/03/2021,TDM,28.8,29.6,29.6,28.7,424500,12297
24/03/2021,TDM,29.5,29.3,29.6,28.55,510800,14942
23/03/2021,TDM,30.2,29.95,30.2,29.5,277400,8259
22/03/2021,TDM,29.7,30.1,30.6,29.5,522100,15686
19/03/2021,TDM,29.5,29.7,29.7,29.4,251800,7434
18/03/2021,TDM,29.55,29.8,29.9,29.55,241300,7179
17/03/2021,TDM,29.7,29.9,29.9,29.2,675800,19956
16/03/2021,TDM,29.5,29.8,29.9,27.75,591300,17470
15/03/2021,TDM,29.9,29.8,29.95,29.35,578700,17174
12/03/2021,TDM,30,29.9,30,29.45,260000,7745
11/03/2021,TDM,29.9,30,30,29.4,585800,17404
10/03/2021,TDM,30,29.9,30,29.4,660100,19582
09/03/2021,TDM,29,29.9,30.2,28.7,1119900,33158
08/03/2021,TDM,28.4,28.7,29,28.4,361900,10369
05/03/2021,TDM,28.4,28.4,28.6,28,417600,11802
04/03/2021,TDM,29.6,28.4,29.6,28,307300,8867
03/03/2021,TDM,28,29.45,30,28,782400,22782
02/03/2021,TDM,28.05,28.05,28.3,27.6,501100,14020
01/03/2021,TDM,28.2,28,28.2,27.75,245200,6851
26/02/2021,TDM,27.6,28,28,27.3,539300,14875
25/02/2021,TDM,28.15,28,28.15,27.5,370400,10332
24/02/2021,TDM,28.3,28.15,28.3,27.75,549100,15389
23/02/2021,TDM,28.25,28.15,28.25,28,391000,10984
22/02/2021,TDM,28.35,28.25,28.5,27.8,847600,23904
19/02/2021,TDM,26.75,28.3,28.3,26.7,995400,27501
18/02/2021,TDM,27,26.9,27,26.6,159700,4293
17/02/2021,TDM,26.5,26.85,26.9,26.5,210000,5619
09/02/2021,TDM,26.4,26.4,26.4,26,205800,5398
08/02/2021,TDM,26.4,26.4,26.45,25.6,277000,7192
05/02/2021,TDM,26.4,26.4,26.6,26.1,241900,6371
04/02/2021,TDM,26.4,26.4,26.45,26,143100,3764
03/02/2021,TDM,25.3,26.7,26.7,25.15,451700,11540
02/02/2021,TDM,24.65,25.3,25.3,24.5,157400,3929
01/02/2021,TDM,25.4,24.65,25.45,24.5,193000,4806
29/01/2021,TDM,24,25.4,25.45,23.5,344400,8570
28/01/2021,TDM,25,24.3,26,24.3,1006700,24964
27/01/2021,TDM,26.5,26.1,27.1,26,272300,7218
26/01/2021,TDM,27.5,26.5,27.5,26.3,314800,8470
25/01/2021,TDM,26.65,27.5,28,26.65,348900,9579
22/01/2021,TDM,26.65,26.85,26.9,26.65,285100,7633
21/01/2021,TDM,26.2,26.65,26.65,26.15,383800,10132
20/01/2021,TDM,26.05,26.2,26.2,25,443400,11360
19/01/2021,TDM,27,26.05,27,25.2,561700,14720
18/01/2021,TDM,27.8,27,27.8,25.85,837100,22871
15/01/2021,TDM,27.95,27.75,28,27.5,267500,7433
