DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
13/08/2020,TNG,11.5,11.9,12.2,11.5,882500,10508
12/08/2020,TNG,11.5,11.5,11.7,11.5,411800,4768
11/08/2020,TNG,11.5,11.5,11.5,11.3,435400,4962
10/08/2020,TNG,11.3,11.3,11.5,11.2,985400,11193
07/08/2020,TNG,11.2,11.3,11.6,11.2,483300,5488
06/08/2020,TNG,11.5,11.4,11.5,11.2,525600,5974
05/08/2020,TNG,11.6,11.5,11.8,11.4,573100,6632
04/08/2020,TNG,11.4,11.6,11.7,11.3,768900,8871
03/08/2020,TNG,10.7,11.2,11.4,10.6,662900,7362
31/07/2020,TNG,10.3,10.7,10.8,10.3,1051000,11123
30/07/2020,TNG,10.5,10.5,10.8,10.3,330200,3497
29/07/2020,TNG,11.1,10.5,11.1,10,836400,8697
28/07/2020,TNG,10.2,11.1,11.1,10.1,579000,6271
27/07/2020,TNG,11.5,10.4,11.5,10.4,1393900,14847
24/07/2020,TNG,12.3,11.5,12.5,11.3,1275300,14987
23/07/2020,TNG,12.4,12.3,12.5,12.3,588800,7270
22/07/2020,TNG,12.4,12.4,12.7,12.3,392200,4881
21/07/2020,TNG,12.6,12.4,12.6,12.3,403000,5010
20/07/2020,TNG,12.8,12.5,12.8,12.5,635800,7988
17/07/2020,TNG,12.8,12.9,12.9,12.7,447400,5727
16/07/2020,TNG,12.5,12.8,12.9,12.5,964500,12275
15/07/2020,TNG,12.5,12.4,12.7,12.4,488100,6113
14/07/2020,TNG,12.5,12.4,12.5,12.3,427000,5307
13/07/2020,TNG,12.5,12.4,12.6,12.3,535200,6669
10/07/2020,TNG,12.5,12.5,12.8,12.2,786900,9886
09/07/2020,TNG,12.8,12.5,12.8,12.4,902800,11313
08/07/2020,TNG,12.8,13.1,13.1,12.7,634100,8254
07/07/2020,TNG,13.2,13,13.3,12.9,592600,7708
06/07/2020,TNG,13.2,13.1,13.3,13,433800,5683
03/07/2020,TNG,12.5,13,13.4,12.5,848200,11039
02/07/2020,TNG,12.5,12.5,12.5,12.3,176400,2192
01/07/2020,TNG,12.2,12.5,12.5,12,342800,4208
30/06/2020,TNG,12,12.2,12.4,11.8,833600,10094
29/06/2020,TNG,12.8,11.9,12.8,11.8,1103200,13496
26/06/2020,TNG,13,12.8,13.1,12.8,719700,9325
25/06/2020,TNG,13,12.9,13.2,12.9,566200,7364
24/06/2020,TNG,13.2,13.2,13.4,13,535400,7044
23/06/2020,TNG,13.4,13.2,13.5,13.2,772600,10249
22/06/2020,TNG,13.6,13.4,13.8,13.3,603400,8101
19/06/2020,TNG,13.2,13.4,13.6,13.2,487100,6572
18/06/2020,TNG,13.1,13.2,13.5,13,807200,10683
17/06/2020,TNG,13.1,13.1,13.4,13.1,1102200,14482
16/06/2020,TNG,13.2,13.1,13.4,13,798500,10495
15/06/2020,TNG,13.6,12.9,13.8,12.8,1658000,21865
12/06/2020,TNG,13.3,13.6,13.7,12.2,1785100,23459
11/06/2020,TNG,14.9,13.3,14.9,13.3,2822300,40362
