DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
14/03/2018,TNT,2.7,2.7,2.7,2.58,114140,305
13/03/2018,TNT,2.69,2.69,2.69,2.62,62870,166
12/03/2018,TNT,2.61,2.67,2.67,2.61,97030,255
09/03/2018,TNT,2.59,2.6,2.6,2.53,28140,72
08/03/2018,TNT,2.55,2.6,2.64,2.55,115040,298
07/03/2018,TNT,2.5,2.55,2.6,2.45,76090,192
06/03/2018,TNT,2.51,2.51,2.51,2.45,107000,267
05/03/2018,TNT,2.49,2.51,2.51,2.47,42120,105
02/03/2018,TNT,2.45,2.49,2.49,2.42,159360,391
01/03/2018,TNT,2.5,2.45,2.5,2.45,94510,233
28/02/2018,TNT,2.48,2.47,2.49,2.45,47220,117
27/02/2018,TNT,2.48,2.44,2.5,2.44,101880,252
26/02/2018,TNT,2.5,2.5,2.5,2.47,30990,77
23/02/2018,TNT,2.52,2.5,2.52,2.47,200600,496
22/02/2018,TNT,2.55,2.5,2.58,2.5,30500,78
21/02/2018,TNT,2.54,2.55,2.7,2.5,69910,179
13/02/2018,TNT,2.43,2.54,2.54,2.42,56510,142
12/02/2018,TNT,2.41,2.42,2.55,2.4,83950,204
09/02/2018,TNT,2.38,2.43,2.43,2.38,51720,124
08/02/2018,TNT,2.46,2.43,2.59,2.43,90540,222
07/02/2018,TNT,2.57,2.46,2.58,2.46,171430,438
06/02/2018,TNT,2.51,2.42,2.51,2.42,263800,643
05/02/2018,TNT,2.75,2.6,2.76,2.6,172180,462
02/02/2018,TNT,2.88,2.78,2.88,2.72,97070,268
01/02/2018,TNT,2.88,2.83,2.9,2.8,106430,304
31/01/2018,TNT,2.7,2.9,2.9,2.7,542480,1555
30/01/2018,TNT,2.6,2.72,2.72,2.6,164390,437
29/01/2018,TNT,2.62,2.67,2.68,2.6,259060,688
26/01/2018,TNT,2.65,2.55,2.76,2.55,83490,216
25/01/2018,TNT,2.74,2.7,2.74,2.65,236850,639
22/01/2018,TNT,2.71,2.7,2.8,2.7,91640,250
19/01/2018,TNT,2.8,2.72,2.8,2.7,56870,156
18/01/2018,TNT,2.76,2.8,2.8,2.71,287460,799
17/01/2018,TNT,2.83,2.71,2.83,2.66,269750,740
16/01/2018,TNT,2.88,2.86,2.9,2.8,313030,895
15/01/2018,TNT,2.9,2.91,2.93,2.85,220890,642
12/01/2018,TNT,3.01,2.88,3.07,2.88,531000,1574
11/01/2018,TNT,3,3.01,3.09,2.9,624360,1865
10/01/2018,TNT,2.8,2.9,2.9,2.8,364370,1042
09/01/2018,TNT,2.82,2.82,2.86,2.78,244620,689
08/01/2018,TNT,2.84,2.82,2.84,2.74,395080,1101
05/01/2018,TNT,2.74,2.74,2.76,2.71,104930,287
04/01/2018,TNT,2.74,2.74,2.76,2.62,179410,489
03/01/2018,TNT,2.77,2.7,2.77,2.57,134570,362
02/01/2018,TNT,2.77,2.76,2.77,2.7,123250,337
29/12/2017,TNT,2.83,2.66,2.9,2.66,314050,851
28/12/2017,TNT,2.82,2.85,2.86,2.81,84580,239
27/12/2017,TNT,2.87,2.87,2.88,2.82,61990,176
26/12/2017,TNT,2.9,2.87,2.95,2.85,32460,93
25/12/2017,TNT,2.99,2.9,2.99,2.88,116940,339
