DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
<<<<<<< HEAD
14/03/2018,TTB,11.2,11.3,11.3,11,1000100,11107
=======
>>>>>>> 3112e29d39d3021d876d28ab0b6ae89aaf946c9b
13/03/2018,TTB,11.3,11.3,11.4,11.3,311000,3515
12/03/2018,TTB,11.6,11.4,11.6,11.3,471710,5416
09/03/2018,TTB,11.6,11.6,11.8,11.6,375100,4383
08/03/2018,TTB,11.6,11.7,11.8,11.6,246900,2880
07/03/2018,TTB,11.9,11.6,12,11.5,319000,3709
06/03/2018,TTB,11.8,12,12.2,11.8,617400,7429
05/03/2018,TTB,11.4,11.8,12,11.4,664510,7784
02/03/2018,TTB,10.9,11.4,11.4,10.8,776200,8525
01/03/2018,TTB,10.8,10.9,11,10.7,641100,6920
28/02/2018,TTB,10.9,10.8,10.9,10.8,664400,7176
27/02/2018,TTB,10.9,10.9,11,10.9,831800,9068
26/02/2018,TTB,11,10.9,11.1,10.9,503800,5526
23/02/2018,TTB,9.9,11,11,9.9,527100,5765
22/02/2018,TTB,10.9,10.9,11,10.9,383600,4181
21/02/2018,TTB,11,11,11.2,10.9,534910,5840
13/02/2018,TTB,11.1,11,11.2,10.9,303800,3347
12/02/2018,TTB,10.9,11,11.1,10.8,256700,2820
09/02/2018,TTB,11.4,10.9,11.4,10.4,494240,5306
08/02/2018,TTB,11.4,11.5,11.6,11.3,686500,7847
07/02/2018,TTB,11.4,11.5,11.7,11.2,360000,4104
06/02/2018,TTB,11.7,11.4,11.7,10.7,270650,2968
05/02/2018,TTB,12.1,11.8,12.1,11.8,315500,3743
02/02/2018,TTB,11.9,12.1,12.1,11.8,622200,7433
01/02/2018,TTB,11.8,12,12,11.6,320700,3791
31/01/2018,TTB,11.9,11.9,13,11.7,282550,3337
30/01/2018,TTB,12,11.9,12.2,11.7,481400,5712
29/01/2018,TTB,12,12,12,11.7,248122,2936
26/01/2018,TTB,12.1,12.1,12.2,11.9,395600,4790
25/01/2018,TTB,12.3,12.1,12.4,11.9,433230,5206
24/01/2018,TTB,12.2,12.3,12.3,11.9,668500,8050
23/01/2018,TTB,12.4,12.3,12.7,12.3,594257,7399
22/01/2018,TTB,12.2,12.5,12.8,12.2,968720,12107
19/01/2018,TTB,11.8,12.2,12.3,11.8,926500,11145
18/01/2018,TTB,11.7,11.8,11.8,11.6,733500,8583
17/01/2018,TTB,11.8,11.8,11.8,11.7,776157,9082
16/01/2018,TTB,11.8,11.8,11.9,11.8,618300,7296
15/01/2018,TTB,11.7,11.8,11.9,11.7,861900,10170
12/01/2018,TTB,11.5,11.8,11.8,11.5,601400,6998
11/01/2018,TTB,11.4,11.5,11.6,11.3,722133,8262
10/01/2018,TTB,11.7,11.5,11.7,11.3,328300,3799
09/01/2018,TTB,11.8,11.8,12,11.7,352300,4165
08/01/2018,TTB,11.9,11.9,12,11.8,585210,6962
05/01/2018,TTB,11.8,11.9,12,11.8,811400,9638
04/01/2018,TTB,11.7,11.9,12,11.7,666700,7906
03/01/2018,TTB,11.8,11.8,11.9,11.7,365600,4314
