DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
23/02/2018,VMI,3.1,3,3.1,2.8,5500,16
22/02/2018,VMI,3.1,3,3.1,3,15000,46
21/02/2018,VMI,3.3,3.2,3.3,3,18700,58
13/02/2018,VMI,3.1,3.3,3.4,3.1,236410,779
12/02/2018,VMI,3,3.1,3.1,3,11900,36
09/02/2018,VMI,2.8,2.9,3,2.7,127300,353
08/02/2018,VMI,3.1,3,3.2,3,29300,89
07/02/2018,VMI,3,3,3,2.9,60000,179
06/02/2018,VMI,3,2.8,3,2.7,372500,1033
05/02/2018,VMI,3.2,3,3.2,3,189700,584
02/02/2018,VMI,3.2,3.3,3.5,3,117200,375
01/02/2018,VMI,3.8,3.3,3.8,3.3,473300,1598
31/01/2018,VMI,3.6,3.6,3.9,3.6,515500,1869
30/01/2018,VMI,4.2,3.9,4.2,3.9,63610,251
29/01/2018,VMI,4.3,4.3,4.4,4.3,30200,130
26/01/2018,VMI,4.2,4.3,4.3,4.2,22400,94
25/01/2018,VMI,4.3,4.3,4.4,4.2,11700,49
24/01/2018,VMI,4.3,4.4,4.4,4.3,3600,16
23/01/2018,VMI,4.3,4.3,4.4,4.2,16600,70
22/01/2018,VMI,4.3,4.3,4.4,4.2,16300,70
19/01/2018,VMI,4.5,4.4,4.5,4.3,12300,53
18/01/2018,VMI,4.4,4.4,4.5,4.2,47100,200
17/01/2018,VMI,4.5,4.4,4.5,4.3,79800,350
16/01/2018,VMI,4.4,4.5,4.5,4.4,52100,229
15/01/2018,VMI,4.4,4.5,4.5,4.4,7510,33
12/01/2018,VMI,4.5,4.4,4.5,4.4,23500,103
11/01/2018,VMI,4.4,4.5,4.5,4.4,46300,204
10/01/2018,VMI,4.4,4.4,4.5,4.3,76900,338
09/01/2018,VMI,4.5,4.5,4.5,4.3,62700,275
08/01/2018,VMI,4.4,4.5,4.5,4.3,16200,70
05/01/2018,VMI,4.4,4.4,4.4,4.3,90100,391
04/01/2018,VMI,4.4,4.5,4.5,4.4,79000,348
03/01/2018,VMI,4.4,4.5,4.5,4.4,29200,129
02/01/2018,VMI,4.5,4.5,4.5,4.4,63000,278
29/12/2017,VMI,4.6,4.4,4.7,4.4,29800,134
28/12/2017,VMI,4.5,4.5,4.6,4.5,11900,54
27/12/2017,VMI,4.5,4.6,4.6,4.5,43900,198
26/12/2017,VMI,4.5,4.5,4.5,4.4,75200,333
25/12/2017,VMI,4.4,4.5,4.6,4.4,22100,99
22/12/2017,VMI,4.4,4.5,4.5,4.4,98700,436
21/12/2017,VMI,4.5,4.4,4.5,4.3,144900,640
20/12/2017,VMI,4.5,4.5,4.6,4.4,112600,502
19/12/2017,VMI,4.6,4.6,4.8,4.5,168700,761
18/12/2017,VMI,4.7,4.6,4.7,4.5,34200,155
15/12/2017,VMI,4.6,4.7,4.7,4.6,10200,47
14/12/2017,VMI,4.5,4.6,4.7,4.5,44350,203
13/12/2017,VMI,4.4,4.5,4.5,4.4,19300,85
12/12/2017,VMI,4.5,4.5,4.5,4.4,15800,70
11/12/2017,VMI,4.6,4.5,4.6,4.5,25700,116
08/12/2017,VMI,4.5,4.6,4.6,4.5,34000,153
07/12/2017,VMI,4.5,4.5,4.7,4.4,45600,205
06/12/2017,VMI,4.4,4.5,4.5,4.4,26900,118
05/12/2017,VMI,4.5,4.5,4.5,4.4,37600,166
04/12/2017,VMI,4.6,4.5,4.6,4.5,78500,355
01/12/2017,VMI,4.6,4.5,4.6,4.3,51600,228
30/11/2017,VMI,4.6,4.4,4.7,4.4,24600,111
29/11/2017,VMI,4.6,4.6,4.7,4.5,21500,98
28/11/2017,VMI,4.7,4.6,4.9,4.5,25400,116
27/11/2017,VMI,4.3,4.5,4.5,4.2,45700,198
24/11/2017,VMI,4.3,4.4,4.5,4.3,21000,92
23/11/2017,VMI,4.3,4.5,4.5,4.2,16400,71
22/11/2017,VMI,4.5,4.4,4.5,4.4,18640,83
21/11/2017,VMI,4.5,4.5,4.6,4.5,23700,107
20/11/2017,VMI,4.5,4.5,4.5,4.4,27000,119
17/11/2017,VMI,4.4,4.5,4.5,4.4,120200,529
16/11/2017,VMI,4.6,4.6,4.6,4.5,56500,254
15/11/2017,VMI,4.5,4.6,4.6,4.5,59600,268
14/11/2017,VMI,4.5,4.6,4.6,4.4,124600,561
13/11/2017,VMI,4.6,4.7,4.7,4.6,5120,24
10/11/2017,VMI,4.6,4.7,4.7,4.6,2300,11
09/11/2017,VMI,4.6,4.6,4.6,4.6,11900,55
08/11/2017,VMI,4.6,4.6,4.7,4.6,28100,130
07/11/2017,VMI,4.4,4.8,4.8,4.4,10100,46
06/11/2017,VMI,4.4,4.7,4.7,4.3,30200,136
03/11/2017,VMI,4.4,4.7,4.7,4.4,26500,120
02/11/2017,VMI,4.7,4.4,4.7,4.3,76800,337
01/11/2017,VMI,4.5,4.7,4.8,4.3,27200,124
31/10/2017,VMI,5.1,4.7,5.1,4.7,191600,928
30/10/2017,VMI,5.3,5.2,5.3,5.1,112900,582
27/10/2017,VMI,5.3,5.3,5.3,5.2,38000,199
26/10/2017,VMI,5.3,5.3,5.3,5.2,58000,306
25/10/2017,VMI,5.4,5.4,5.4,5.4,2100,11
24/10/2017,VMI,5.4,5.4,5.5,5.4,3000,16
23/10/2017,VMI,5.5,5.4,5.5,5.2,48500,260
20/10/2017,VMI,5.5,5.5,5.5,5.4,26100,142
19/10/2017,VMI,5.4,5.4,5.5,5.3,28400,153
18/10/2017,VMI,5.6,5.4,5.6,5.4,17550,95
17/10/2017,VMI,5.3,5.6,5.6,5.3,54300,294
16/10/2017,VMI,5.4,5.3,5.4,5.3,63014,335
13/10/2017,VMI,5.4,5.5,5.5,5.4,6100,33
12/10/2017,VMI,5.4,5.5,5.5,5.4,39700,214
11/10/2017,VMI,5.4,5.4,5.5,5.4,26800,145
10/10/2017,VMI,5.5,5.5,5.5,5.5,20000,110
09/10/2017,VMI,5.5,5.6,5.6,5.5,24600,135
06/10/2017,VMI,5.5,5.6,5.6,5.5,51540,284
05/10/2017,VMI,5.5,5.5,5.5,5.5,23800,131
04/10/2017,VMI,5.5,5.5,5.6,5.5,72900,403
03/10/2017,VMI,5.5,5.5,5.6,5.5,11000,61
02/10/2017,VMI,5.5,5.5,5.6,5.5,42000,231
29/09/2017,VMI,5.6,5.6,5.6,5.6,21600,121
28/09/2017,VMI,5.6,5.7,5.7,5.6,42900,240
27/09/2017,VMI,5.6,5.5,5.6,5.5,48600,270
26/09/2017,VMI,5.6,5.7,5.7,5.6,11900,67
25/09/2017,VMI,5.6,5.6,5.6,5.6,30200,169
22/09/2017,VMI,5.6,5.7,5.7,5.6,18200,102
21/09/2017,VMI,5.6,5.7,5.7,5.6,11200,63
20/09/2017,VMI,5.6,5.7,5.7,5.6,43600,247
19/09/2017,VMI,5.7,5.6,5.7,5.6,37200,209
18/09/2017,VMI,5.6,5.6,5.6,5.6,48800,273
15/09/2017,VMI,5.6,5.6,5.6,5.6,18800,105
14/09/2017,VMI,5.6,5.6,5.6,5.5,11900,66
13/09/2017,VMI,5.6,5.5,5.6,5.5,96660,535
12/09/2017,VMI,5.6,5.7,5.7,5.6,14200,80
11/09/2017,VMI,5.7,5.7,5.7,5.5,44300,248
08/09/2017,VMI,5.7,5.7,5.7,5.6,42800,242
07/09/2017,VMI,5.6,5.7,5.7,5.6,32400,183
06/09/2017,VMI,5.7,5.6,5.8,5.6,27900,158
05/09/2017,VMI,5.7,5.7,5.8,5.7,45100,257
01/09/2017,VMI,5.7,5.8,5.8,5.7,70900,409
31/08/2017,VMI,5.7,5.8,5.8,5.6,40400,230
30/08/2017,VMI,5.7,5.7,5.7,5.7,1000,6
29/08/2017,VMI,5.7,5.7,5.8,5.7,29420,168
28/08/2017,VMI,5.7,5.7,5.7,5.6,29700,169
25/08/2017,VMI,5.6,5.7,5.7,5.6,82100,460
24/08/2017,VMI,5.8,5.6,5.8,5.6,84600,476
23/08/2017,VMI,5.7,5.7,5.7,5.6,46100,262
22/08/2017,VMI,5.7,5.7,5.7,5.6,67300,382
21/08/2017,VMI,5.8,5.7,5.9,5.7,37400,216
18/08/2017,VMI,5.8,5.8,5.8,5.7,18020,103
17/08/2017,VMI,5.8,5.8,5.8,5.7,109100,632
16/08/2017,VMI,5.9,5.8,5.9,5.7,135440,784
15/08/2017,VMI,5.9,5.9,5.9,5.8,115030,670
14/08/2017,VMI,5.9,5.8,6,5.8,46500,275
11/08/2017,VMI,5.8,5.9,6,5.8,112200,657
10/08/2017,VMI,5.8,5.8,5.9,5.8,131790,768
09/08/2017,VMI,5.9,5.8,6,5.8,370510,2170
08/08/2017,VMI,6,6,6,5.9,190700,1128
07/08/2017,VMI,5.9,6,6,5.9,227300,1363
04/08/2017,VMI,6.2,6,6.2,6,116000,701
03/08/2017,VMI,6.2,6.2,6.3,6.1,347824,2158
02/08/2017,VMI,6.1,6.2,6.3,6,343100,2093
01/08/2017,VMI,6,6,6.1,5.9,149800,889
31/07/2017,VMI,5.8,5.9,6,5.6,576600,3351
28/07/2017,VMI,5.8,5.8,5.9,5.8,114700,668
27/07/2017,VMI,5.8,5.9,5.9,5.8,151860,882
26/07/2017,VMI,5.8,5.8,5.9,5.7,299800,1730
25/07/2017,VMI,5.9,5.9,5.9,5.8,105100,614
24/07/2017,VMI,5.8,5.9,5.9,5.7,69900,405
21/07/2017,VMI,5.9,5.8,5.9,5.8,64130,375
20/07/2017,VMI,5.9,6,6,5.8,66000,388
19/07/2017,VMI,5.9,5.9,5.9,5.8,37100,219
18/07/2017,VMI,5.8,5.9,5.9,5.8,171700,998
17/07/2017,VMI,5.9,5.9,6,5.8,73400,433
14/07/2017,VMI,6,6,6.1,5.9,108500,642
13/07/2017,VMI,6,5.9,6.2,5.9,35510,213
12/07/2017,VMI,6,6,6,5.9,69910,413
11/07/2017,VMI,6,5.9,6.1,5.9,77800,463
10/07/2017,VMI,6.2,6.1,6.2,6,133000,806
07/07/2017,VMI,6.2,6.2,6.4,6.2,411610,2593
06/07/2017,VMI,6.1,6.2,6.3,6.1,354440,2196
05/07/2017,VMI,5.7,6,6.2,5.7,173410,1039
04/07/2017,VMI,5.8,5.8,5.9,5.7,121400,702
03/07/2017,VMI,5.9,5.8,5.9,5.7,106000,613
30/06/2017,VMI,5.8,5.9,6,5.7,72300,423
29/06/2017,VMI,5.8,5.7,5.8,5.6,116400,660
28/06/2017,VMI,5.7,5.7,5.7,5.6,145900,828
27/06/2017,VMI,5.8,5.8,5.8,5.7,71300,407
26/06/2017,VMI,5.9,5.8,5.9,5.8,51800,301
23/06/2017,VMI,5.8,5.9,5.9,5.6,213210,1220
22/06/2017,VMI,5.9,5.8,5.9,5.8,183600,1074
21/06/2017,VMI,5.9,6,6,5.9,100900,595
20/06/2017,VMI,5.8,5.9,6,5.8,30510,180
19/06/2017,VMI,5.9,5.8,6.1,5.8,79800,470
16/06/2017,VMI,6,5.9,6,5.9,40700,240
15/06/2017,VMI,5.9,5.9,6.1,5.9,128810,761
14/06/2017,VMI,6,5.9,6,5.8,173200,1010
13/06/2017,VMI,6.1,5.9,6.1,5.9,206100,1241
12/06/2017,VMI,6.2,6.2,6.3,6.1,18000,112
09/06/2017,VMI,6.4,6.2,6.4,6,69300,426
08/06/2017,VMI,6,6.1,6.5,5.9,393700,2423
07/06/2017,VMI,5.9,6,6,5.9,83700,494
06/06/2017,VMI,6,6,6,5.9,12152,72
05/06/2017,VMI,5.8,5.9,5.9,5.8,80530,473
02/06/2017,VMI,6,5.8,6.1,5.8,153918,904
01/06/2017,VMI,6.1,6,6.1,6,137000,823
31/05/2017,VMI,6.1,6,6.1,6,113300,680
30/05/2017,VMI,5.9,6,6.2,5.9,191420,1152
29/05/2017,VMI,5.9,6,6,5.9,138650,822
26/05/2017,VMI,5.9,6,6,5.9,71172,424
25/05/2017,VMI,6,5.9,6,5.9,123500,739
24/05/2017,VMI,6.1,6.2,6.2,5.8,468810,2796
23/05/2017,VMI,6.1,6.2,6.3,6,153600,944
22/05/2017,VMI,6.2,6.2,6.5,6.2,521000,3283
19/05/2017,VMI,6.7,6.2,6.7,6.2,179500,1133
18/05/2017,VMI,6.3,6.5,6.6,6.1,1217474,7856
17/05/2017,VMI,5.7,6,6.1,5.6,612800,3615
16/05/2017,VMI,5.8,5.6,5.9,5.6,179600,1033
15/05/2017,VMI,5.6,5.8,5.8,5.6,216310,1247
12/05/2017,VMI,5.6,5.6,5.8,5.6,228500,1288
11/05/2017,VMI,5.8,5.6,5.9,5.6,147928,845
10/05/2017,VMI,5.5,5.8,5.9,5.5,174200,993
09/05/2017,VMI,5.7,5.6,5.7,5.5,138000,765
08/05/2017,VMI,5.3,5.6,5.8,5.3,488110,2751
05/05/2017,VMI,5.2,5.3,5.4,5.1,201700,1060
04/05/2017,VMI,5.1,5.2,5.4,4.9,225200,1130
03/05/2017,VMI,5.6,5.2,5.8,5.2,634408,3349
28/04/2017,VMI,5.2,5.7,5.7,5.2,158502,853
27/04/2017,VMI,5.8,5.4,6,5.4,301000,1750
26/04/2017,VMI,5.5,5.9,6,5.5,237950,1385
25/04/2017,VMI,5.6,5.6,6,5,935310,5125
24/04/2017,VMI,5.9,5.5,6.4,5.5,608110,3642
21/04/2017,VMI,5.4,5.9,5.9,5.3,231070,1329
20/04/2017,VMI,5.3,5.4,5.4,5.3,27000,146
19/04/2017,VMI,5.3,5.3,5.4,5.3,49110,264
18/04/2017,VMI,5.1,5.4,5.7,5.1,141100,737
17/04/2017,VMI,5.3,5.2,5.3,5.1,122100,635
14/04/2017,VMI,5.1,5.2,5.2,5,23870,122
