DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
16/08/2021,VPB,64,65.6,66.8,63.9,15639700,1021744
13/08/2021,VPB,63,63.6,63.6,62.7,15126300,956026
12/08/2021,VPB,61.4,61.9,62.6,61.3,9887800,614208
11/08/2021,VPB,60.7,61.2,61.9,60.5,13475100,824505
10/08/2021,VPB,61.3,60.5,61.5,60.1,6199800,376352
09/08/2021,VPB,60,61,61.3,60,8858800,534773
06/08/2021,VPB,61.5,60.6,62,60.6,11940900,732224
05/08/2021,VPB,60.6,61.8,61.8,60.3,8050400,493695
04/08/2021,VPB,60.7,60.5,61.2,60.4,8030500,487756
03/08/2021,VPB,60.2,60.8,60.9,60.2,8690200,526089
02/08/2021,VPB,61.5,60.4,61.5,60.4,7576200,461953
30/07/2021,VPB,58,61,61,57.7,15637500,936198
29/07/2021,VPB,58,57.7,58.2,57,8593600,494624
28/07/2021,VPB,56.6,56.3,57.1,56.3,4633700,262936
27/07/2021,VPB,57.8,57,58.3,56.6,12908100,739635
26/07/2021,VPB,58,56.7,58.4,56.5,9337800,534513
23/07/2021,VPB,60.7,58.5,61,58.5,11176300,671239
22/07/2021,VPB,60.3,60.8,61.3,59.7,6636500,402651
21/07/2021,VPB,61,60.3,61.7,60.3,7778100,474489
20/07/2021,VPB,60,60.6,61,58.5,11652900,697467
19/07/2021,VPB,62.4,60,63,60,17012800,1048144
16/07/2021,VPB,65,64.5,65.3,64.3,15478800,1001491
05/07/2021,VPB,72.4,72.7,72.9,71.5,23568800,1700342
02/07/2021,VPB,71.8,72.1,72.2,70.5,31892600,2280580
01/07/2021,VPB,68.2,70.4,70.5,67.6,30912800,2138521
30/06/2021,VPB,67,67.7,68,67,15417000,1040522
29/06/2021,VPB,68,66.9,68.2,66.8,15695100,1060270
28/06/2021,VPB,68.4,68,68.4,67.7,17281700,1175972
25/06/2021,VPB,68.5,68.2,69,67.9,11060600,755133
24/06/2021,VPB,69.5,68.6,69.6,68.4,13397200,921403
23/06/2021,VPB,68,69,69.4,67.9,30671700,2102691
22/06/2021,VPB,66.5,66,66.8,65.5,16227700,1072846
21/06/2021,VPB,66.6,66.5,67,65.9,15519400,1028453
18/06/2021,VPB,65.9,66.5,66.7,65.9,14881900,986359
17/06/2021,VPB,66,66,66.4,65,15732600,1032321
16/06/2021,VPB,66,66.8,68,66,24074100,1609777
15/06/2021,VPB,70.2,66.5,70.2,66,37834100,2578017
14/06/2021,VPB,71.3,70.9,71.3,70,35156100,2479133
11/06/2021,VPB,71,71.7,71.8,70.2,30016000,2134896
10/06/2021,VPB,71,71.8,72.1,70.1,76530000,5448352
09/06/2021,VPB,71,71.8,72.2,70.1,33409200,2388603
08/06/2021,VPB,71.1,71.5,72,70.1,50833300,3607131
07/06/2021,VPB,71,72,72,69.5,45648300,3219684
04/06/2021,VPB,69.3,71.7,71.8,68.6,76583400,5376783
03/06/2021,VPB,70.1,70.6,70.8,68.1,59255200,4109074
02/06/2021,VPB,69,70.2,70.3,68.1,29367400,2043091
01/06/2021,VPB,68.5,69.3,70.2,67.2,46477100,3183097
31/05/2021,VPB,68.6,69.2,69.2,67.2,33135900,2255813
28/05/2021,VPB,67.1,68.6,68.7,66.9,39912100,2708463
27/05/2021,VPB,67.7,67.3,67.7,66.1,38641900,2579026
26/05/2021,VPB,66.6,67.6,67.9,66.1,35197100,2361011
25/05/2021,VPB,65.5,66.8,67.5,65.4,31781000,2120262
24/05/2021,VPB,67.8,66.7,67.8,65.2,39712200,2637813
21/05/2021,VPB,66.8,67.8,68,65,42798800,2840035
20/05/2021,VPB,67.2,66.8,67.4,65.5,34350700,2274611
19/05/2021,VPB,66.5,67.5,67.5,65,41305500,2746356
18/05/2021,VPB,65.8,67.2,67.2,64.5,30645700,2012850
17/05/2021,VPB,66.8,65.8,67.4,64.9,36478300,2409633
14/05/2021,VPB,65.2,66.6,66.6,63.8,44422200,2895894
13/05/2021,VPB,63.5,65.1,65.5,63.3,25718500,1661171
12/05/2021,VPB,62.7,64,64,61.5,33403900,2093668
11/05/2021,VPB,62.4,63,63.5,61.5,24541400,1530341
10/05/2021,VPB,61,62.3,62.6,60,36069200,2200533
07/05/2021,VPB,61.5,61.5,61.6,60.1,36308200,2209750
06/05/2021,VPB,60.6,61.8,61.9,60.3,28868100,1766482
05/05/2021,VPB,59.5,60.6,61.6,58.7,21968300,1319399
04/05/2021,VPB,57.1,59.5,59.5,56.2,24846500,1430572
29/04/2021,VPB,55.5,58.5,58.8,54.2,41536000,2341355
28/04/2021,VPB,53.5,55,55,52.8,17660900,951880
27/04/2021,VPB,52.4,53.2,53.4,51.4,16956600,888922
26/04/2021,VPB,51.5,53,53.5,51.4,18067600,948528
23/04/2021,VPB,49.25,51,51,48.8,17736800,883929
22/04/2021,VPB,49.6,49,51.5,46.05,18528500,934279
20/04/2021,VPB,49.55,49.5,49.9,49,7469200,370196
19/04/2021,VPB,49.5,49.55,49.55,48.2,6235000,305363
16/04/2021,VPB,49.5,48.95,50,48.5,7968700,394835
15/04/2021,VPB,50.1,50,50.9,49.6,8588700,429640
14/04/2021,VPB,50,50.1,50.2,49,8429500,420499
13/04/2021,VPB,50,49.7,50.5,49.05,8737300,436117
12/04/2021,VPB,47.5,49,49.35,47.5,12507000,605425
09/04/2021,VPB,46.7,47.2,47.65,46.3,6145000,289204
08/04/2021,VPB,47,46.7,47.2,46.1,4285000,200528
07/04/2021,VPB,46,46.5,47,46,4134200,192556
06/04/2021,VPB,46.45,46.45,47,45,3766400,175143
05/04/2021,VPB,46.8,46.45,46.8,45.9,3162000,146283
02/04/2021,VPB,46.4,46.2,46.6,45.85,2400100,111150
01/04/2021,VPB,44.65,45.9,46.1,44.4,5147000,233086
31/03/2021,VPB,44.2,44.65,44.95,44.2,2875600,128173
30/03/2021,VPB,44.8,44.95,45.25,44.2,3701300,165771
29/03/2021,VPB,43.5,44.5,44.5,43.05,2731800,119367
26/03/2021,VPB,43.25,43.4,43.6,41.5,3505000,150284
25/03/2021,VPB,44.1,43.25,44.3,43.1,2258200,98465
24/03/2021,VPB,43.85,44.1,44.3,43,3766600,164314
23/03/2021,VPB,44.25,44.5,44.9,44,3984700,176742
22/03/2021,VPB,45.1,44.9,45.2,44.3,4302500,192731
19/03/2021,VPB,45.2,45.2,45.65,44.8,2892600,130768
18/03/2021,VPB,45.4,45.85,45.85,44.75,6211400,281173
17/03/2021,VPB,44.35,44.6,44.95,43.9,3472100,153640
16/03/2021,VPB,44.8,44.35,44.8,43.4,5495600,242018
15/03/2021,VPB,44.5,44.8,45,43.9,5081100,226751
12/03/2021,VPB,44.1,44.5,45,43.75,8652300,384283
11/03/2021,VPB,42.5,43.75,44.4,42.2,7863700,342325
10/03/2021,VPB,41.9,42,42.4,41.3,3655900,153279
09/03/2021,VPB,41,41.8,42.5,40.5,5754000,237772
08/03/2021,VPB,41.9,41.35,42.5,40.9,3558200,147950
05/03/2021,VPB,40.9,41.8,41.9,40.5,3581200,147815
04/03/2021,VPB,42,41.5,42.75,40,7501300,313480
03/03/2021,VPB,40.75,41.6,41.7,40.6,6067500,251254
02/03/2021,VPB,41.1,40.75,41.15,40.6,5150400,210503
01/03/2021,VPB,40.7,40.8,40.95,40.05,3352500,136384
26/02/2021,VPB,38.7,40,40.25,38.65,5846800,229214
25/02/2021,VPB,39.7,39.6,40,38.45,7600300,297832
24/02/2021,VPB,41.1,39.7,41.1,39.5,4924100,197979
23/02/2021,VPB,41,40.5,41.6,39.5,8992000,367783
22/02/2021,VPB,40.3,40.95,42,40.05,4886200,199958
19/02/2021,VPB,40.3,40.6,41.25,40.1,5478300,222238
18/02/2021,VPB,40.9,41.3,41.5,40,5151300,210406
17/02/2021,VPB,39.5,41.15,41.15,39.2,6880800,280746
09/02/2021,VPB,36.5,38.5,38.5,35.4,11427300,430025
08/02/2021,VPB,37,36,37,34.5,8585000,308701
05/02/2021,VPB,36.6,37,37.1,36.3,5609800,206232
04/02/2021,VPB,35.5,36.6,37.2,35.5,8271100,302154
03/02/2021,VPB,34,35.45,35.45,33.5,7212700,251397
02/02/2021,VPB,31,33.15,33.15,31,4539500,146998
01/02/2021,VPB,30.2,31,31.65,30,8096300,250251
29/01/2021,VPB,28.2,30,31.7,28.2,7679900,230076
28/01/2021,VPB,29.7,29.65,30.9,29.65,8709000,262092
27/01/2021,VPB,33,31.85,34.5,31.6,8073900,262711
26/01/2021,VPB,35.5,33.85,35.55,33.4,6629100,228453
25/01/2021,VPB,36.4,35.9,36.4,35.6,3524100,126708
22/01/2021,VPB,36.3,36.5,36.8,35.75,4065000,147607
21/01/2021,VPB,35,36.2,36.55,34.2,6882400,242765
20/01/2021,VPB,34,34.2,34.5,31.6,8073200,268152
19/01/2021,VPB,36.1,33.9,36.25,33.9,7415600,258244
18/01/2021,VPB,37.25,36.45,37.35,36.45,5121400,188768
15/01/2021,VPB,37.15,37.25,38,37,4658200,174946
14/01/2021,VPB,36,36.8,37.3,35.5,6531000,238601
13/01/2021,VPB,34.9,35.7,36.2,34.7,5529300,196032
12/01/2021,VPB,35.2,34.9,35.2,34.3,4612500,160241
11/01/2021,VPB,36,35.2,36,35.05,4430300,156978
08/01/2021,VPB,35.35,35.55,36,34.95,4558600,162180
07/01/2021,VPB,34.55,34.9,34.95,34.1,4691100,162398
06/01/2021,VPB,35,34.4,35,34.2,6159400,213639
05/01/2021,VPB,34,34.35,34.65,33.9,565820,194049
04/01/2021,VPB,32.9,34.2,34.2,32.55,838550,280611
31/12/2020,VPB,31.8,32.5,32.85,31.8,7292340,235136
30/12/2020,VPB,31.85,31.8,32.4,31.8,5655530,181228
29/12/2020,VPB,32.25,31.7,32.4,31.6,5984160,191293
28/12/2020,VPB,33,32.3,33,32,4538820,147915
25/12/2020,VPB,31,32.5,32.5,30.9,6106960,195355
24/12/2020,VPB,32,31.5,32.45,30,6840970,212608
23/12/2020,VPB,33,32,33,31,5132140,166993
22/12/2020,VPB,33,33,33.5,32.2,5859550,192387
21/12/2020,VPB,32.1,33,33.5,32.1,5858030,191567
18/12/2020,VPB,30.2,31.65,31.65,30,9700790,301886
17/12/2020,VPB,29.2,29.6,30.25,29.05,9755270,289841
16/12/2020,VPB,28.35,29.3,29.4,28,7373790,212968
15/12/2020,VPB,28.9,28.1,28.95,28.05,6064100,172874
14/12/2020,VPB,28.7,28.7,28.95,28.4,5650800,162432
11/12/2020,VPB,28.15,28.3,28.3,27.8,4421030,124137
10/12/2020,VPB,28.5,28,28.55,28,6090320,172568
09/12/2020,VPB,28.65,28.45,28.8,28.35,5329840,151979
08/12/2020,VPB,28.5,28.35,28.55,28.1,4733470,134064
07/12/2020,VPB,28.2,28.1,28.35,27.9,4444700,124670
04/12/2020,VPB,28.2,27.8,28.55,27.8,7675980,215780
03/12/2020,VPB,27.7,28.3,28.45,27.5,8445590,237741
02/12/2020,VPB,27.8,27.7,28,27.4,7549440,209299
01/12/2020,VPB,26.4,27.9,28,26.35,10951390,296475
30/11/2020,VPB,27.2,26.8,27.3,26.8,9088440,246051
27/11/2020,VPB,27.15,27,27.25,26.7,6241440,168642
26/11/2020,VPB,26.7,27.2,27.2,26.45,7724470,208353
25/11/2020,VPB,26,26.7,26.7,25.7,12314880,323934
20/11/2020,VPB,25.45,25.5,25.5,25.15,5233610,132898
19/11/2020,VPB,25.05,25.5,25.6,24.9,11858880,300737
18/11/2020,VPB,24.95,24.9,25.2,24.85,7668540,191653
17/11/2020,VPB,24.15,25,25,24,7777280,189961
16/11/2020,VPB,24.6,24.15,24.9,24,9138440,224285
13/11/2020,VPB,23.95,24.5,24.5,23.85,7198130,174573
12/11/2020,VPB,23.75,23.85,23.85,23.65,2895350,68819
11/11/2020,VPB,23.75,23.75,23.85,23.45,5356460,126964
10/11/2020,VPB,24.15,23.75,24.2,23.75,5001930,120046
09/11/2020,VPB,23.7,23.85,23.85,23.6,4137770,98149
06/11/2020,VPB,23.7,23.5,23.8,23.3,3498930,82302
05/11/2020,VPB,24.2,23.7,24.25,23.6,4159850,100048
04/11/2020,VPB,24,24.2,24.4,23.9,4114660,99429
03/11/2020,VPB,23.8,23.95,24.1,23.75,5180160,123919
02/11/2020,VPB,23.6,23.8,23.8,23.4,2448770,57804
30/10/2020,VPB,23.6,23.6,23.6,22.9,6047360,140581
29/10/2020,VPB,23.2,23.3,23.7,23,6042720,140714
28/10/2020,VPB,24.2,23.2,24.45,23.2,9590780,228726
27/10/2020,VPB,24.5,24.35,24.9,24.3,10193930,250380
26/10/2020,VPB,25.7,24.3,26,24.3,9920290,251713
23/10/2020,VPB,25.6,25.7,25.7,25.25,7225270,184229
22/10/2020,VPB,25.3,25.6,25.6,25,8544500,216705
21/10/2020,VPB,25,25.1,26.3,24.75,16059760,408776
20/10/2020,VPB,24.2,24.8,24.95,24.1,12978810,319676
19/10/2020,VPB,24.8,24.45,24.85,24.35,7119110,175563
16/10/2020,VPB,24.05,24.6,25.05,23.9,11567220,284497
15/10/2020,VPB,24.15,24.05,24.2,23.8,8354960,200587
14/10/2020,VPB,23.5,24,24.15,23.4,10165900,242534
