DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
02/05/2018,VPI,42.2,42,42.4,41.5,224700,9443
30/04/2018,VPI,0,0,0,0,0,0
27/04/2018,VPI,42.9,42.6,42.9,42,338300,14305
26/04/2018,VPI,43.5,42.5,43.5,42.2,248600,10584
25/04/2018,VPI,0,0,0,0,0,0
24/04/2018,VPI,42.6,42.9,42.9,42.1,185100,7866
23/04/2018,VPI,42.2,42.9,43.7,42.2,278200,11944
20/04/2018,VPI,41.3,42.7,42.7,41.3,202900,8553
19/04/2018,VPI,42.2,41.5,42.2,41.5,229300,9576
18/04/2018,VPI,42.6,42.2,42.7,42.1,331200,14021
17/04/2018,VPI,42.3,42.5,42.6,42.3,319400,13562
16/04/2018,VPI,42,42.2,42.4,41.8,154800,6510
13/04/2018,VPI,41.9,42,42,41.7,139200,5830
12/04/2018,VPI,42.1,41.9,42.1,41.5,230800,9677
11/04/2018,VPI,42.5,41.5,42.8,41.5,195200,8205
10/04/2018,VPI,42.5,42.7,42.8,41.1,198600,8420
09/04/2018,VPI,42.3,42.5,42.9,42.1,151000,6419
06/04/2018,VPI,40.8,42.5,42.5,40.8,172500,7221
05/04/2018,VPI,40.8,40.9,40.9,40.3,127200,5165
04/04/2018,VPI,40.1,40.7,41,40.1,123500,5027
03/04/2018,VPI,40,40.7,40.7,39.7,137700,5532
02/04/2018,VPI,39.5,40.6,40.6,39.4,200400,7947
30/03/2018,VPI,38.9,39.5,39.5,38.4,136700,5327
29/03/2018,VPI,40,39,40,38.4,176000,6820
28/03/2018,VPI,38.8,38.9,39,38.3,126700,4907
23/03/2018,VPI,37.2,37.6,37.6,37.2,96200,3599
22/03/2018,VPI,37.5,37.6,37.8,37.5,96200,3611
21/03/2018,VPI,37.9,37.7,37.9,37.3,84300,3166
20/03/2018,VPI,37.9,37.9,37.9,37.4,101900,3852
19/03/2018,VPI,37.7,37.9,37.9,37.5,152431,5741
16/03/2018,VPI,37.6,37.9,37.9,37.4,119000,4480
15/03/2018,VPI,37.9,37.9,38,37.4,82300,3098
14/03/2018,VPI,37.4,37.8,37.8,37.1,82100,3072
13/03/2018,VPI,37.4,37.5,37.5,37.3,89000,3328
12/03/2018,VPI,37.5,37.5,37.5,37,100700,3765
09/03/2018,VPI,37.8,37.5,37.9,37.3,123600,4655
08/03/2018,VPI,37.6,37.8,37.9,37.5,137409,5183
07/03/2018,VPI,37.9,37.8,38,37.6,144400,5466
06/03/2018,VPI,37.8,37.9,38,37.6,117000,4431
05/03/2018,VPI,37.6,37.9,38,34.2,155500,5888
02/03/2018,VPI,37.9,37.9,38,37.7,208630,7887
01/03/2018,VPI,37.8,37.5,37.9,37.5,180700,6825
28/02/2018,VPI,37.8,38,38,37.4,174300,6576
27/02/2018,VPI,37.8,38,38.1,37.5,233440,8817
26/02/2018,VPI,37.7,38,38.4,37.5,226600,8586
23/02/2018,VPI,37.5,37.8,37.8,37,204700,7696
22/02/2018,VPI,37.8,37.5,37.9,37.4,209100,7884
21/02/2018,VPI,37.6,37.8,37.8,37.3,203000,7629
13/02/2018,VPI,37,37.4,37.4,33.3,172000,6326
12/02/2018,VPI,36.3,37,37.5,36,169600,6196
09/02/2018,VPI,35,36.5,36.5,35,141500,5075
08/02/2018,VPI,37,36.2,37,35.9,127200,4624
07/02/2018,VPI,35.6,36.1,36.5,35.5,143400,5176
06/02/2018,VPI,34,35.8,36.9,34,73300,2618
05/02/2018,VPI,37.5,37,37.5,36.3,59200,2204
02/02/2018,VPI,37.6,37.7,37.7,37.3,134400,5046
01/02/2018,VPI,37.8,37.7,37.9,37.4,78800,2965
31/01/2018,VPI,37.8,37.5,37.9,33.3,96800,3632
30/01/2018,VPI,37.7,37,37.7,36.9,157800,5858
29/01/2018,VPI,38,37.9,38.2,37.5,145800,5523
26/01/2018,VPI,38.3,38.2,38.3,36.5,80000,3017
25/01/2018,VPI,37.9,38.2,38.2,37.6,119800,4545
