DATE,TICKER,OPEN,CLOSE,HIGHEST,LOWEST,TOTAL VOLUMN,TOTAL VALUES
12/03/2018,VSC,43.2,45,45.4,43.2,841840,37561
09/03/2018,VSC,43.9,44.1,44.6,43.8,976860,43103
08/03/2018,VSC,42.7,43.8,44,42.1,344780,14907
07/03/2018,VSC,41.5,42.7,42.9,41,385430,16258
06/03/2018,VSC,41.8,41.8,41.9,40.9,269940,11170
05/03/2018,VSC,41.3,42,43.2,41,450710,19021
02/03/2018,VSC,38.8,41.3,41.5,38.5,513690,20874
01/03/2018,VSC,37.3,39.2,39.4,37,807730,31238
28/02/2018,VSC,36,37.3,37.5,36,175060,6390
27/02/2018,VSC,37.8,36,38,35.8,389650,14309
26/02/2018,VSC,37.9,37.8,38.6,37.5,371370,14202
23/02/2018,VSC,37.2,37.4,37.75,37.2,226130,8477
22/02/2018,VSC,37.9,37.2,37.9,37,147040,5484
21/02/2018,VSC,37.3,37.9,37.9,37,138870,5192
13/02/2018,VSC,36,36.4,36.95,36,158040,5775
12/02/2018,VSC,35.1,35.5,35.8,34.9,404430,14216
09/02/2018,VSC,36.5,35.1,37,35,396080,14025
08/02/2018,VSC,34.8,37.2,37.2,34.8,173610,6381
07/02/2018,VSC,36.6,34.8,36.6,34.5,252090,8905
06/02/2018,VSC,34.6,34.7,36,34.45,525750,18192
05/02/2018,VSC,38,37,38.2,37,339840,12806
02/02/2018,VSC,40,39,40,39,220270,8648
01/02/2018,VSC,40.4,40,41.2,39,230450,9234
31/01/2018,VSC,40.85,40.4,41.45,40.3,151750,6159
30/01/2018,VSC,41.5,40.85,41.5,40.5,243380,9919
29/01/2018,VSC,41.8,41.5,42.9,41.5,165200,6930
26/01/2018,VSC,40.7,41.8,42.5,40.3,140530,5809
25/01/2018,VSC,41.6,40.65,41.7,40.5,393120,16092
22/01/2018,VSC,42.1,42,42.9,41.85,159710,6707
19/01/2018,VSC,42,42.1,43,42,130760,5531
18/01/2018,VSC,42.1,42.5,43.5,41.7,285810,12044
17/01/2018,VSC,44.2,43,44.4,43,149890,6514
16/01/2018,VSC,45,44.3,45.4,44.2,273860,12240
15/01/2018,VSC,44.6,45,45.3,44.4,86110,3868
12/01/2018,VSC,45.7,44.6,45.7,44.6,182680,8223
11/01/2018,VSC,43.55,45.65,46,43.55,470580,20983
10/01/2018,VSC,44.2,43.75,44.3,43.75,168260,7395
09/01/2018,VSC,43.1,44.3,44.9,43.1,341820,15019
08/01/2018,VSC,42.2,43,43.2,41.8,394170,16721
05/01/2018,VSC,42.7,42.35,42.85,42,211690,8985
04/01/2018,VSC,42.4,42.7,42.75,42,183560,7808
03/01/2018,VSC,41.9,41.95,42.6,41.7,149980,6299
02/01/2018,VSC,42,41.65,43,41.65,206190,8641
29/12/2017,VSC,41.7,43,44,41.5,215710,9062
28/12/2017,VSC,42,41.6,42,40.9,151210,6258
27/12/2017,VSC,42.6,42,42.6,40.5,239310,9959
26/12/2017,VSC,43.9,42.6,44,42.5,241480,10370
25/12/2017,VSC,44.6,44.1,45,43.85,167650,7410
22/12/2017,VSC,44.65,44.6,44.7,44.4,157990,7041
21/12/2017,VSC,46,44.55,46,44.5,268770,12139
20/12/2017,VSC,51,51.3,51.7,51,516040,26495
19/12/2017,VSC,51.5,51,51.7,50.8,341770,17470
18/12/2017,VSC,51.8,51.5,51.8,51.3,327540,16875
15/12/2017,VSC,51.3,51,51.3,50.8,271460,13850
14/12/2017,VSC,50.2,50.2,50.4,50.1,203270,10219
13/12/2017,VSC,50,50,50.8,49.8,243110,12193
12/12/2017,VSC,51.3,50,52.3,49.8,358660,18146
11/12/2017,VSC,52.3,51.3,52.9,51.3,354340,18422
08/12/2017,VSC,52,51.4,52.5,51.4,164890,8517
07/12/2017,VSC,52.8,52,52.9,51.7,75150,3910
06/12/2017,VSC,53.2,52,53.2,52,289520,15188
05/12/2017,VSC,53.5,53.2,53.5,52.5,230680,12196
04/12/2017,VSC,52.5,53.4,53.5,52.2,161130,8502
01/12/2017,VSC,51.2,52.2,52.4,50.3,369510,18939
30/11/2017,VSC,51,51.1,51.5,51,255950,13130
29/11/2017,VSC,51,51,51.1,50.6,170300,8671
28/11/2017,VSC,51,51,51.8,50.8,503860,25761
27/11/2017,VSC,49.55,50.6,50.8,49.55,446320,22385
24/11/2017,VSC,49.5,49.3,49.5,48.6,94380,4629
23/11/2017,VSC,48.3,49.15,49.5,48.3,83440,4087
22/11/2017,VSC,48.9,48.7,48.95,48.1,61830,3004
