<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
KHB,20180209,0.90,0.90,0.80,0.80,259800,0.90,0.90,0.80,0.80,0,0,200
KHB,20180202,0.90,0.90,0.80,0.90,608300,0.90,0.90,0.80,0.90,0,5000,0
KHB,20180126,1.00,1.00,0.90,0.90,253502,1.00,1.00,0.90,0.90,0,0,0
KHB,20180119,1.10,1.10,1.00,1.00,81338,1.10,1.10,1.00,1.00,0,0,0
KHB,20180112,1.10,1.10,1.00,1.10,98230,1.10,1.10,1.00,1.10,0,0,0
KHB,20180105,1.00,1.10,0.90,1.10,304060,1.00,1.10,0.90,1.10,0,0,0
KHB,20171229,1.10,1.10,1.00,1.00,535700,1.10,1.10,1.00,1.00,0,0,0
KHB,20171222,1.20,1.20,1.10,1.10,91300,1.20,1.20,1.10,1.10,0,0,0
KHB,20171215,1.10,1.20,1.00,1.20,524900,1.10,1.20,1.00,1.20,0,0,0
KHB,20171208,1.10,1.20,1.00,1.10,388675,1.10,1.20,1.00,1.10,0,0,1600
KHB,20171201,1.10,1.20,1.00,1.10,311285,1.10,1.20,1.00,1.10,0,500,0
KHB,20171124,1.10,1.20,1.00,1.10,779730,1.10,1.20,1.00,1.10,0,200,0
KHB,20171117,1.10,1.20,1.10,1.10,1037510,1.10,1.20,1.10,1.10,0,300,84100
KHB,20171110,1.20,1.20,1.20,1.20,171800,1.20,1.20,1.20,1.20,0,500,0
KHB,20171103,1.30,1.40,1.30,1.30,1874710,1.30,1.40,1.30,1.30,0,12000,0
KHB,20171027,1.50,1.60,1.40,1.40,894400,1.50,1.60,1.40,1.40,0,10000,0
KHB,20171026,1.50,1.50,1.40,1.50,269700,1.50,1.50,1.40,1.50,0,20000,0
KHB,20171025,1.60,1.60,1.50,1.50,57400,1.60,1.60,1.50,1.50,0,0,0
KHB,20171024,1.60,1.60,1.50,1.60,467200,1.60,1.60,1.50,1.60,0,0,0
KHB,20171023,1.60,1.60,1.50,1.60,183618,1.60,1.60,1.50,1.60,0,0,0
KHB,20171020,1.60,1.70,1.60,1.60,224200,1.60,1.70,1.60,1.60,0,0,0
KHB,20171019,1.60,1.70,1.60,1.60,181765,1.60,1.70,1.60,1.60,0,0,0
KHB,20171018,1.60,1.70,1.50,1.60,312600,1.60,1.70,1.50,1.60,0,0,0
KHB,20171017,1.60,1.70,1.50,1.60,402440,1.60,1.70,1.50,1.60,0,10000,0
KHB,20171016,1.60,1.70,1.50,1.60,218110,1.60,1.70,1.50,1.60,0,0,0
KHB,20171013,1.70,1.70,1.60,1.60,629510,1.70,1.70,1.60,1.60,0,10000,0
KHB,20171012,1.70,1.70,1.60,1.70,80310,1.70,1.70,1.60,1.70,0,0,0
KHB,20171011,1.70,1.70,1.60,1.70,70010,1.70,1.70,1.60,1.70,0,0,0
KHB,20171010,1.70,1.70,1.60,1.70,113950,1.70,1.70,1.60,1.70,0,10000,0
KHB,20171009,1.70,1.80,1.60,1.70,164810,1.70,1.80,1.60,1.70,0,0,0
KHB,20171006,1.70,1.80,1.70,1.70,129000,1.70,1.80,1.70,1.70,0,0,0
KHB,20171005,1.80,1.80,1.70,1.80,85542,1.80,1.80,1.70,1.80,0,0,0
KHB,20171004,1.70,1.80,1.70,1.80,430800,1.70,1.80,1.70,1.80,0,0,0
KHB,20171003,1.90,1.90,1.80,1.80,83900,1.90,1.90,1.80,1.80,0,0,0
KHB,20171002,1.90,1.90,1.80,1.90,379300,1.90,1.90,1.80,1.90,0,10000,0
KHB,20170929,1.90,2.00,1.80,1.90,69430,1.90,2.00,1.80,1.90,0,0,0
KHB,20170928,1.90,2.00,1.90,1.90,96600,1.90,2.00,1.90,1.90,0,1600,0
KHB,20170927,1.90,2.00,1.90,1.90,233540,1.90,2.00,1.90,1.90,0,0,0
KHB,20170926,2.00,2.00,1.90,1.90,561100,2.00,2.00,1.90,1.90,0,0,0
KHB,20170925,2.00,2.10,1.90,2.00,134700,2.00,2.10,1.90,2.00,0,0,0
KHB,20170922,2.10,2.10,1.90,2.00,115620,2.10,2.10,1.90,2.00,0,0,0
KHB,20170921,2.00,2.00,1.90,2.00,376054,2.00,2.00,1.90,2.00,0,0,0
KHB,20170920,1.90,2.10,1.90,1.90,359235,1.90,2.10,1.90,1.90,0,0,0
KHB,20170919,2.00,2.10,1.90,2.00,253800,2.00,2.10,1.90,2.00,0,3300,5000
KHB,20170918,2.00,2.10,1.90,2.00,64600,2.00,2.10,1.90,2.00,0,0,0
KHB,20170915,2.00,2.10,1.90,2.10,295800,2.00,2.10,1.90,2.10,0,0,0
KHB,20170914,1.90,2.00,1.80,2.00,661520,1.90,2.00,1.80,2.00,0,10000,0
KHB,20170913,1.80,2.00,1.80,1.90,288120,1.80,2.00,1.80,1.90,0,0,0
KHB,20170912,2.00,2.00,1.90,1.90,593435,2.00,2.00,1.90,1.90,0,0,0
KHB,20170911,2.00,2.00,1.90,1.90,74500,2.00,2.00,1.90,1.90,0,0,0
KHB,20170908,2.00,2.10,2.00,2.00,296600,2.00,2.10,2.00,2.00,0,5000,0
KHB,20170907,2.10,2.10,2.00,2.00,42900,2.10,2.10,2.00,2.00,0,0,0
KHB,20170906,2.10,2.10,2.00,2.00,132210,2.10,2.10,2.00,2.00,0,0,0
KHB,20170905,2.00,2.10,2.00,2.10,343200,2.00,2.10,2.00,2.10,0,0,6000
KHB,20170901,2.10,2.10,2.00,2.10,68000,2.10,2.10,2.00,2.10,0,0,0
KHB,20170831,2.00,2.20,2.00,2.00,575600,2.00,2.20,2.00,2.00,0,0,0
KHB,20170830,2.10,2.10,2.00,2.10,137800,2.10,2.10,2.00,2.10,0,0,0
KHB,20170829,2.20,2.20,2.10,2.10,287560,2.20,2.20,2.10,2.10,0,0,0
KHB,20170828,2.10,2.20,2.00,2.20,362400,2.10,2.20,2.00,2.20,0,0,0
KHB,20170825,2.10,2.20,2.00,2.10,444600,2.10,2.20,2.00,2.10,0,0,0
KHB,20170824,2.10,2.20,2.10,2.10,627900,2.10,2.20,2.10,2.10,0,0,0
KHB,20170823,2.10,2.20,2.10,2.20,128300,2.10,2.20,2.10,2.20,0,0,0
KHB,20170822,2.10,2.20,2.10,2.10,305920,2.10,2.20,2.10,2.10,0,0,0
KHB,20170821,2.10,2.20,2.10,2.20,289900,2.10,2.20,2.10,2.20,0,0,0
KHB,20170818,2.10,2.20,1.90,2.10,776500,2.10,2.20,1.90,2.10,0,2000,0
KHB,20170817,2.10,2.20,2.00,2.00,607154,2.10,2.20,2.00,2.00,0,0,0
KHB,20170816,2.10,2.20,2.10,2.10,805010,2.10,2.20,2.10,2.10,0,3000,0
KHB,20170815,2.30,2.40,2.20,2.20,898500,2.30,2.40,2.20,2.20,0,6000,0
KHB,20170814,2.30,2.40,2.20,2.30,1123510,2.30,2.40,2.20,2.30,0,0,0
KHB,20170811,2.60,2.60,2.40,2.40,734594,2.60,2.60,2.40,2.40,0,5000,0
KHB,20170810,2.50,2.60,2.40,2.60,1809545,2.50,2.60,2.40,2.60,0,0,0
KHB,20170809,2.40,2.60,2.40,2.40,1637700,2.40,2.60,2.40,2.40,0,0,0
KHB,20170808,2.30,2.50,2.30,2.40,1190184,2.30,2.50,2.30,2.40,0,216500,0
KHB,20170807,2.40,2.50,2.30,2.40,1948850,2.40,2.50,2.30,2.40,0,50000,0
KHB,20170804,2.30,2.50,2.30,2.50,1388920,2.30,2.50,2.30,2.50,0,53000,0
KHB,20170803,2.40,2.50,2.30,2.30,1251330,2.40,2.50,2.30,2.30,0,100000,84400
KHB,20170802,2.20,2.40,2.10,2.40,2445600,2.20,2.40,2.10,2.40,0,0,0
KHB,20170801,2.30,2.30,2.10,2.20,522780,2.30,2.30,2.10,2.20,0,0,0
KHB,20170731,2.20,2.30,2.10,2.30,1483830,2.20,2.30,2.10,2.30,20,0,0
KHB,20170728,2.20,2.20,2.00,2.20,590900,2.20,2.20,2.00,2.20,0,0,0
KHB,20170727,2.20,2.20,2.10,2.10,256716,2.20,2.20,2.10,2.10,0,100,0
KHB,20170726,2.10,2.20,2.10,2.20,275704,2.10,2.20,2.10,2.20,0,0,0
KHB,20170725,2.00,2.20,2.00,2.10,381310,2.00,2.20,2.00,2.10,0,0,50000
KHB,20170724,2.10,2.10,2.00,2.10,212610,2.10,2.10,2.00,2.10,0,0,0
KHB,20170721,2.20,2.20,2.10,2.10,316970,2.20,2.20,2.10,2.10,0,0,0
KHB,20170720,2.30,2.40,2.20,2.20,405930,2.30,2.40,2.20,2.20,0,0,0
KHB,20170719,2.00,2.20,2.00,2.20,476490,2.00,2.20,2.00,2.20,0,0,0
KHB,20170718,2.10,2.10,2.00,2.00,183730,2.10,2.10,2.00,2.00,0,0,0
KHB,20170717,2.20,2.20,2.00,2.00,356660,2.20,2.20,2.00,2.00,0,0,0
KHB,20170714,2.10,2.20,2.10,2.10,813600,2.10,2.20,2.10,2.10,0,5000,0
KHB,20170713,2.20,2.20,2.00,2.10,289770,2.20,2.20,2.00,2.10,0,0,0
KHB,20170712,2.00,2.20,2.00,2.10,308960,2.00,2.20,2.00,2.10,0,0,0
KHB,20170711,2.10,2.30,2.10,2.10,956200,2.10,2.30,2.10,2.10,0,0,0
KHB,20170710,2.30,2.30,2.10,2.20,885000,2.30,2.30,2.10,2.20,10,0,0
KHB,20170707,2.40,2.50,2.30,2.30,771820,2.40,2.50,2.30,2.30,0,0,0
KHB,20170706,2.30,2.40,2.20,2.40,1431861,2.30,2.40,2.20,2.40,0,42900,0
KHB,20170705,2.20,2.30,2.20,2.20,859230,2.20,2.30,2.20,2.20,0,9000,0
KHB,20170704,2.30,2.30,2.10,2.30,355510,2.30,2.30,2.10,2.30,80,0,0
KHB,20170703,2.40,2.40,2.20,2.30,375000,2.40,2.40,2.20,2.30,0,0,0
KHB,20170630,2.30,2.50,2.30,2.30,836640,2.30,2.50,2.30,2.30,0,27000,0
KHB,20170629,2.10,2.30,2.10,2.30,481600,2.10,2.30,2.10,2.30,0,14500,0
KHB,20170628,2.20,2.20,2.10,2.20,274500,2.20,2.20,2.10,2.20,50,0,0
KHB,20170627,2.20,2.20,2.10,2.10,135901,2.20,2.20,2.10,2.10,0,0,0
KHB,20170626,2.10,2.20,2.00,2.20,457486,2.10,2.20,2.00,2.20,0,0,0
KHB,20170623,2.20,2.20,2.00,2.10,259699,2.20,2.20,2.00,2.10,0,0,0
KHB,20170622,2.10,2.20,2.00,2.10,791600,2.10,2.20,2.00,2.10,0,0,0
KHB,20170621,2.00,2.10,2.00,2.00,541510,2.00,2.10,2.00,2.00,0,3700,0
KHB,20170620,2.20,2.20,2.10,2.10,176422,2.20,2.20,2.10,2.10,0,0,0
KHB,20170619,2.00,2.20,1.90,2.20,331880,2.00,2.20,1.90,2.20,0,2300,0
KHB,20170616,2.00,2.10,2.00,2.00,1088700,2.00,2.10,2.00,2.00,0,1000,0
KHB,20170615,2.30,2.30,2.10,2.10,401400,2.30,2.30,2.10,2.10,0,0,0
KHB,20170614,2.10,2.30,2.10,2.20,513425,2.10,2.30,2.10,2.20,0,0,0
