<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
NLG,20180212,33.00,33.50,32.30,33.00,393940,33.00,33.50,32.30,33.00,0,60000,440
NLG,20180209,31.40,33.70,31.40,33.65,334070,31.40,33.70,31.40,33.65,390000,374150,370000
NLG,20180208,31.00,33.50,31.00,33.50,476140,31.00,33.50,31.00,33.50,0,6340,28300
NLG,20180207,30.10,31.70,30.10,31.70,682350,30.10,31.70,30.10,31.70,0,10990,60000
NLG,20180206,29.65,31.85,29.65,29.65,621300,29.65,31.85,29.65,29.65,488000,488020,492150
NLG,20180205,31.85,34.00,31.85,31.85,429110,31.85,34.00,31.85,31.85,0,5500,6340
NLG,20180202,33.80,34.20,33.70,34.20,296060,33.80,34.20,33.70,34.20,0,0,10990
NLG,20180201,35.20,35.20,34.00,34.05,365750,35.20,35.20,34.00,34.05,0,6900,20
NLG,20180131,35.50,35.90,34.90,34.90,1095480,35.50,35.90,34.90,34.90,204888,205888,210388
NLG,20180130,32.60,35.85,32.60,35.00,810260,32.60,35.85,32.60,35.00,0,7510,0
NLG,20180129,34.00,34.40,33.50,33.55,467560,34.00,34.40,33.50,33.55,0,0,6900
NLG,20180126,34.60,35.00,33.90,34.00,659430,34.60,35.00,33.90,34.00,0,0,1000
NLG,20180125,35.00,35.20,34.15,34.50,1909330,35.00,35.20,34.15,34.50,0,3900,7510
NLG,20180122,33.50,34.70,33.50,34.35,793770,33.50,34.70,33.50,34.35,20000,5000,1500
NLG,20180119,32.70,33.40,32.10,32.55,450570,32.70,33.40,32.10,32.55,0,8870,0
NLG,20180118,32.00,32.65,31.40,32.40,531180,32.00,32.65,31.40,32.40,0,5000,2400
NLG,20180117,34.30,34.70,32.70,32.70,794030,34.30,34.70,32.70,32.70,0,5000,5000
NLG,20180116,34.30,35.20,34.10,34.30,814640,34.30,35.20,34.10,34.30,0,5000,8870
NLG,20180115,32.80,34.50,32.50,34.50,1488270,32.80,34.50,32.50,34.50,0,14010,5000
NLG,20180112,32.50,33.30,32.40,32.50,550980,32.50,33.30,32.40,32.50,0,2000,5000
NLG,20180111,33.30,33.30,32.70,33.00,420290,33.30,33.30,32.70,33.00,0,8000,5000
NLG,20180110,31.80,33.45,31.80,33.00,1109350,31.80,33.45,31.80,33.00,631391,631411,645401
NLG,20180109,31.50,31.70,31.10,31.65,494540,31.50,31.70,31.10,31.65,0,10000,2000
NLG,20180108,30.80,31.00,30.50,31.00,289680,30.80,31.00,30.50,31.00,0,0,8000
NLG,20180105,31.40,31.40,30.50,30.80,241650,31.40,31.40,30.50,30.80,0,1000,20
