<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PGS,20180213,33.00,33.00,31.00,32.50,1513,33.00,33.00,31.00,32.50,0,0,0
PGS,20180212,32.20,32.20,30.00,30.00,31628,32.20,32.20,30.00,30.00,0,0,3800
PGS,20180209,32.00,34.60,32.00,32.00,1202579,32.00,34.60,32.00,32.00,0,0,1193100
PGS,20180208,32.00,34.90,32.00,34.50,47610,32.00,34.90,32.00,34.50,0,0,20100
PGS,20180207,35.00,36.00,34.20,34.20,84697,35.00,36.00,34.20,34.20,0,7200,68100
PGS,20180206,33.50,35.50,32.00,34.80,210625,33.50,35.50,32.00,34.80,0,0,18900
PGS,20180205,34.00,35.50,33.00,35.50,47758,34.00,35.50,33.00,35.50,0,10400,5100
PGS,20180202,36.00,36.00,34.00,34.00,13810,36.00,36.00,34.00,34.00,57,0,10200
PGS,20180201,37.00,37.00,36.00,36.70,15919,37.00,37.00,36.00,36.70,0,2000,12200
PGS,20180131,35.50,37.00,35.40,37.00,223022,35.50,37.00,35.40,37.00,0,40200,300
PGS,20180130,32.60,35.60,31.90,35.60,246130,32.60,35.60,31.90,35.60,52,36000,13600
PGS,20180129,32.00,34.40,31.50,34.00,30677,32.00,34.40,31.50,34.00,0,0,0
PGS,20180126,34.50,34.80,34.00,34.80,40837,34.50,34.80,34.00,34.80,0,35900,6900
PGS,20180125,33.50,35.00,33.50,34.70,108326,33.50,35.00,33.50,34.70,5,2000,28600
PGS,20180124,36.60,36.70,33.50,33.50,71914,36.60,36.70,33.50,33.50,0,15000,13400
PGS,20180123,30.00,33.40,30.00,33.40,264496,30.00,33.40,30.00,33.40,0,0,300
PGS,20180122,28.00,30.40,28.00,30.40,183608,28.00,30.40,28.00,30.40,0,0,2000
PGS,20180119,27.70,28.50,27.70,27.70,21319,27.70,28.50,27.70,27.70,0,0,0
PGS,20180118,26.00,27.90,26.00,27.80,3138,26.00,27.90,26.00,27.80,0,0,0
PGS,20180117,28.50,28.50,27.50,27.50,107580,28.50,28.50,27.50,27.50,0,6000,0
PGS,20180116,28.20,28.50,28.10,28.50,23467,28.20,28.50,28.10,28.50,0,0,0
PGS,20180115,26.50,28.00,26.50,28.00,11100,26.50,28.00,26.50,28.00,9,0,2000
PGS,20180112,27.50,28.50,27.50,28.00,80531,27.50,28.50,27.50,28.00,0,1000,0
PGS,20180111,27.50,27.80,27.40,27.50,354801,27.50,27.80,27.40,27.50,0,0,210000
PGS,20180110,27.00,27.50,27.00,27.50,26683,27.00,27.50,27.00,27.50,0,1500,0
PGS,20180109,27.00,28.00,26.20,28.00,55231,27.00,28.00,26.20,28.00,0,0,10000
PGS,20180108,25.10,27.50,24.50,27.50,109150,25.10,27.50,24.50,27.50,0,0,9400
