<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VCS,20180209,194.00,198.00,174.80,198.00,58900,194.00,198.00,174.80,198.00,0,5000,2400
VCS,20180208,200.00,200.00,194.00,194.00,30023,200.00,200.00,194.00,194.00,0,0,300
VCS,20180207,190.00,202.90,180.00,199.80,53106,190.00,202.90,180.00,199.80,0,0,550
VCS,20180206,187.20,204.00,187.20,191.00,268582,187.20,204.00,187.20,191.00,0,4810,320
VCS,20180205,218.60,219.90,208.00,208.00,88346,218.60,219.90,208.00,208.00,0,0,3000
VCS,20180202,222.00,222.70,220.00,220.30,23515,222.00,222.70,220.00,220.30,0,0,0
VCS,20180201,224.70,225.50,221.00,221.00,20729,224.70,225.50,221.00,221.00,0,100,0
VCS,20180131,219.20,227.90,219.00,224.00,67295,219.20,227.90,219.00,224.00,0,300,455
VCS,20180130,227.80,227.80,217.70,219.20,65921,227.80,227.80,217.70,219.20,101000,300,200
VCS,20180129,228.00,229.50,222.00,222.60,61690,228.00,229.50,222.00,222.60,6104,190,2700
VCS,20180126,230.00,230.00,226.60,228.00,47356,230.00,230.00,226.60,228.00,101200,400,500
VCS,20180125,233.80,234.00,228.10,228.10,69818,233.80,234.00,228.10,228.10,110600,400,200
VCS,20180124,231.90,235.00,231.90,233.80,71963,231.90,235.00,231.90,233.80,60002,500,200
VCS,20180123,231.00,233.50,230.90,231.90,29456,231.00,233.50,230.90,231.90,0,0,100
VCS,20180122,233.00,238.50,230.00,230.80,54268,233.00,238.50,230.00,230.80,0,728,700
VCS,20180119,236.00,236.00,230.00,230.20,34024,236.00,236.00,230.00,230.20,0,300,0
VCS,20180118,229.00,234.00,227.00,233.20,36973,229.00,234.00,227.00,233.20,0,0,3310
VCS,20180117,236.50,236.50,230.00,230.00,50700,236.50,236.50,230.00,230.00,0,470,1000
VCS,20180116,238.00,239.00,236.50,236.80,33730,238.00,239.00,236.50,236.80,0,600,0
VCS,20180115,242.00,242.00,235.00,238.00,36914,242.00,242.00,235.00,238.00,33,108,0
